DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,244.9,244.9,238.05,239.12,293.2,136.8,INDOFARM
2025-10-27,242.0,245.79,239.56,244.14,293.2,136.8,INDOFARM
2025-10-24,257.0,257.19,239.0,241.66,293.2,136.8,INDOFARM
2025-10-23,264.9,265.69,251.36,257.71,293.2,136.8,INDOFARM
2025-10-21,253.0,266.38,252.69,260.99,293.2,136.8,INDOFARM
2025-10-20,239.5,271.69,239.5,249.61,293.2,136.8,INDOFARM
2025-10-17,238.25,240.3,234.23,236.82,293.2,136.8,INDOFARM
2025-10-16,243.68,244.9,236.04,238.57,293.2,136.8,INDOFARM
2025-10-15,237.5,246.42,234.04,242.96,293.2,136.8,INDOFARM
2025-10-14,227.7,241.5,226.01,236.44,293.2,136.8,INDOFARM
2025-10-13,232.35,234.38,224.1,225.48,293.2,136.8,INDOFARM
2025-10-10,238.5,240.34,229.37,231.17,293.2,136.8,INDOFARM
2025-10-09,248.0,250.75,235.0,237.4,293.2,136.8,INDOFARM
2025-10-08,244.78,250.0,240.48,245.09,293.2,136.8,INDOFARM
2025-10-07,233.0,250.79,230.6,244.08,293.2,136.8,INDOFARM
2025-10-06,238.01,238.65,232.01,234.04,293.2,136.8,INDOFARM
2025-10-03,238.24,243.11,230.49,239.62,293.2,136.8,INDOFARM
2025-10-01,221.95,238.24,221.95,236.11,293.2,136.8,INDOFARM
2025-09-30,226.0,228.0,216.84,220.96,293.2,136.8,INDOFARM
2025-09-29,231.65,234.02,223.62,225.48,293.2,136.8,INDOFARM
2025-09-26,235.1,236.63,225.69,228.13,293.2,136.8,INDOFARM
2025-09-25,248.38,248.8,235.6,237.08,293.2,136.8,INDOFARM
2025-09-24,263.9,264.99,247.73,249.61,293.2,136.8,INDOFARM
2025-09-23,263.15,268.0,260.02,265.43,293.2,136.8,INDOFARM
2025-09-22,257.81,267.76,257.81,262.39,293.2,136.8,INDOFARM
2025-09-19,258.54,265.0,256.0,257.84,293.2,136.8,INDOFARM
2025-09-18,258.0,265.4,253.3,258.54,293.2,136.8,INDOFARM
2025-09-17,258.99,260.0,252.35,256.23,293.2,136.8,INDOFARM
2025-09-16,245.49,261.0,245.49,258.98,293.2,136.8,INDOFARM
2025-09-15,257.16,257.88,240.25,245.49,293.2,136.8,INDOFARM
2025-09-12,259.36,263.01,256.05,257.14,293.2,136.8,INDOFARM
2025-09-11,253.99,260.5,250.08,258.08,293.2,136.8,INDOFARM
2025-09-10,260.5,261.4,252.4,253.98,293.2,136.8,INDOFARM
2025-09-09,256.24,260.0,247.5,259.04,293.2,136.8,INDOFARM
2025-09-08,246.97,259.38,245.3,256.24,293.2,136.8,INDOFARM
2025-09-05,242.3,250.8,240.4,245.92,293.2,136.8,INDOFARM
2025-09-04,253.0,270.95,241.2,243.12,293.2,136.8,INDOFARM
2025-09-03,245.0,249.0,236.82,238.26,293.2,136.8,INDOFARM
2025-09-02,237.7,247.0,235.0,244.82,293.2,136.8,INDOFARM
