DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,2622.0,2655.0,2562.5,2584.5,2762.6,1264.0,INTERARCH
2025-11-13,2582.0,2664.4,2535.0,2619.6,2762.6,1264.0,INTERARCH
2025-11-12,2542.7,2635.9,2499.0,2574.6,2762.6,1264.0,INTERARCH
2025-11-11,2604.0,2667.6,2077.5,2575.5,2762.6,1264.0,INTERARCH
2025-11-10,2580.0,2762.6,2534.4,2596.8,2762.6,1264.0,INTERARCH
2025-11-07,2351.9,2616.0,2344.6,2520.7,2616.0,1264.0,INTERARCH
2025-11-06,2190.0,2269.8,2182.2,2194.4,2400.0,1264.0,INTERARCH
2025-11-04,2225.7,2247.3,2171.0,2182.7,2400.0,1264.0,INTERARCH
2025-11-03,2124.3,2230.0,2104.7,2203.7,2400.0,1264.0,INTERARCH
2025-10-31,2094.2,2143.6,2087.1,2103.1,2400.0,1264.0,INTERARCH
2025-10-30,2114.8,2147.0,2060.1,2083.8,2400.0,1264.0,INTERARCH
2025-10-29,2059.5,2125.0,2054.3,2095.5,2400.0,1264.0,INTERARCH
2025-10-28,2100.0,2104.2,2038.0,2059.2,2400.0,1264.0,INTERARCH
2025-10-27,2078.0,2190.1,2060.9,2074.4,2400.0,1264.0,INTERARCH
2025-10-24,2048.0,2075.0,2021.7,2044.2,2400.0,1264.0,INTERARCH
2025-10-23,2069.0,2070.0,1998.8,2017.1,2400.0,1264.0,INTERARCH
2025-10-21,2033.8,2035.0,2014.0,2022.2,2400.0,1264.0,INTERARCH
2025-10-20,2000.0,2000.0,1950.0,1997.0,2400.0,1264.0,INTERARCH
2025-10-17,1981.8,1994.0,1962.0,1973.5,2400.0,1264.0,INTERARCH
2025-10-16,1928.1,2006.5,1928.1,1964.5,2400.0,1264.0,INTERARCH
2025-10-15,1861.0,1943.6,1860.4,1890.2,2400.0,1264.0,INTERARCH
2025-10-14,1890.0,1905.7,1838.0,1859.8,2400.0,1264.0,INTERARCH
2025-10-13,1940.0,1940.0,1876.2,1887.8,2400.0,1264.0,INTERARCH
2025-10-10,1940.0,1984.9,1930.5,1944.6,2400.0,1254.6,INTERARCH
2025-10-09,1964.9,1979.8,1925.0,1940.0,2400.0,1254.6,INTERARCH
2025-10-08,2030.0,2039.0,1936.8,1964.5,2400.0,1254.6,INTERARCH
2025-10-07,1959.0,2030.7,1957.8,1987.0,2400.0,1254.6,INTERARCH
2025-10-06,1920.0,1979.9,1865.0,1934.0,2400.0,1254.6,INTERARCH
2025-10-03,1975.0,1975.0,1912.0,1929.1,2400.0,1254.6,INTERARCH
2025-10-01,1909.0,1953.0,1900.1,1928.7,2400.0,1254.6,INTERARCH
2025-09-30,1913.0,1943.8,1907.6,1916.0,2400.0,1254.6,INTERARCH
