DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,39.81,40.08,39.33,39.83,59.94,33.5,IOB
2025-11-07,38.75,39.85,38.01,39.59,59.94,33.5,IOB
2025-11-06,39.74,40.14,38.59,38.72,59.94,33.5,IOB
2025-11-04,40.44,40.49,39.45,39.55,59.94,33.5,IOB
2025-11-03,40.31,41.14,40.01,40.45,59.94,33.5,IOB
2025-10-31,39.85,41.29,39.78,40.11,59.94,33.5,IOB
2025-10-30,40.5,40.62,39.95,40.03,59.94,33.5,IOB
2025-10-29,40.7,40.77,40.25,40.49,59.94,33.5,IOB
2025-10-28,40.2,41.09,40.0,40.59,59.94,33.5,IOB
2025-10-27,39.7,41.0,39.45,40.38,59.94,33.5,IOB
2025-10-24,40.15,40.17,39.37,39.55,59.94,33.5,IOB
2025-10-23,40.59,41.8,40.0,40.15,59.94,33.5,IOB
2025-10-21,40.4,40.75,40.2,40.67,59.94,33.5,IOB
2025-10-20,38.9,40.99,38.7,40.16,59.94,33.5,IOB
2025-10-17,40.35,40.35,38.76,38.83,59.94,33.5,IOB
2025-10-16,40.6,41.05,39.55,39.77,59.94,33.5,IOB
2025-10-15,38.8,40.48,38.51,40.23,59.94,33.5,IOB
2025-10-14,39.75,39.77,38.45,38.6,59.94,33.5,IOB
2025-10-13,40.22,40.3,39.45,39.8,59.94,33.5,IOB
2025-10-10,39.27,40.71,39.05,40.23,59.94,33.5,IOB
2025-10-09,39.02,39.4,38.73,39.14,59.94,33.5,IOB
2025-10-08,39.65,39.8,38.98,39.12,59.94,33.5,IOB
2025-10-07,39.76,39.94,39.44,39.6,59.94,33.5,IOB
2025-10-06,39.95,40.43,39.39,39.58,59.94,33.5,IOB
2025-10-03,39.58,40.15,39.54,39.89,59.94,33.5,IOB
2025-10-01,39.55,39.72,39.18,39.56,59.94,33.5,IOB
2025-09-30,38.5,39.74,38.41,39.54,59.94,33.5,IOB
2025-09-29,38.35,39.1,38.03,38.51,59.94,33.5,IOB
2025-09-26,38.89,39.07,37.84,38.2,61.8,33.5,IOB
2025-09-25,39.53,39.99,38.65,38.89,61.8,33.5,IOB
2025-09-24,40.0,41.08,39.4,39.53,61.8,33.5,IOB
2025-09-23,39.81,40.0,39.18,39.65,61.8,33.5,IOB
2025-09-22,41.13,41.24,39.72,39.8,61.8,33.5,IOB
2025-09-19,40.46,41.32,40.23,40.88,61.8,33.5,IOB
2025-09-18,40.9,40.9,40.1,40.21,61.8,33.5,IOB
2025-09-17,40.25,40.66,40.05,40.58,61.8,33.5,IOB
2025-09-16,40.0,40.58,39.8,40.11,61.8,33.5,IOB
2025-09-15,39.73,40.16,39.41,39.98,61.8,33.5,IOB
2025-09-12,39.62,39.8,39.32,39.43,61.8,33.5,IOB
2025-09-11,39.5,40.2,39.33,39.44,61.8,33.5,IOB
2025-09-10,38.99,40.0,38.98,39.58,61.8,33.5,IOB
2025-09-09,39.05,39.18,38.59,38.92,61.8,33.5,IOB
2025-09-08,38.64,39.5,38.57,39.08,61.8,33.5,IOB
2025-09-05,38.04,38.6,37.72,38.49,61.8,33.5,IOB
2025-09-04,39.82,39.87,37.72,37.96,61.8,33.5,IOB
2025-09-03,40.0,40.28,39.4,39.47,61.8,33.5,IOB
2025-09-02,38.87,40.52,38.73,40.0,61.8,33.5,IOB
2025-09-01,37.98,38.95,37.9,38.87,61.8,33.5,IOB
2025-08-29,38.01,38.35,37.85,38.09,62.39,33.5,IOB
2025-08-28,37.6,38.44,37.59,38.18,62.39,33.5,IOB
2025-08-26,38.06,38.62,37.84,38.18,62.39,33.5,IOB
2025-08-25,38.85,38.98,38.05,38.21,62.39,33.5,IOB
2025-08-22,38.16,38.82,37.9,38.07,63.64,33.5,IOB
2025-08-21,38.04,38.89,37.9,38.42,63.64,33.5,IOB
2025-08-20,37.52,38.45,37.52,38.14,63.64,33.5,IOB
2025-08-19,36.35,37.94,36.32,37.82,63.64,33.5,IOB
2025-08-18,36.65,36.99,36.5,36.66,63.64,33.5,IOB
2025-08-14,36.25,36.33,35.97,36.17,63.64,33.5,IOB
2025-08-13,36.4,36.64,36.05,36.12,63.64,33.5,IOB
2025-08-12,36.04,36.27,35.93,36.18,63.64,33.5,IOB
2025-08-11,36.19,36.19,35.51,36.0,63.64,33.5,IOB
2025-08-08,36.25,36.69,35.65,35.81,63.9,33.5,IOB
2025-08-07,36.16,36.38,35.54,36.14,63.9,33.5,IOB
2025-08-06,36.89,37.15,36.25,36.4,63.9,33.5,IOB
2025-08-05,37.04,37.33,36.8,36.9,63.9,33.5,IOB
2025-08-04,36.95,37.2,36.65,37.04,63.9,33.5,IOB
2025-08-01,37.56,37.67,36.56,36.81,72.6,33.5,IOB
2025-07-31,37.44,37.88,37.2,37.56,72.6,33.5,IOB
2025-07-30,37.82,38.36,37.82,37.95,72.6,33.5,IOB
2025-07-29,37.55,38.08,37.34,37.92,72.6,33.5,IOB
2025-07-28,38.45,38.6,37.56,37.74,72.6,33.5,IOB
2025-07-25,38.92,39.13,38.2,38.45,72.6,33.5,IOB
2025-07-24,39.0,39.3,38.75,38.94,72.6,33.5,IOB
2025-07-23,39.13,39.32,38.9,39.09,72.6,33.5,IOB
2025-07-22,40.0,40.0,39.07,39.24,72.6,33.5,IOB
2025-07-21,40.65,40.75,39.75,39.85,72.6,33.5,IOB
2025-07-18,39.95,40.64,39.24,39.79,72.6,33.5,IOB
2025-07-17,39.95,40.24,39.61,39.83,72.6,33.5,IOB
2025-07-16,39.24,40.4,39.15,39.68,72.6,33.5,IOB
2025-07-15,38.83,39.29,38.72,39.05,72.6,33.5,IOB
2025-07-14,39.06,39.24,38.5,38.61,72.6,33.5,IOB
2025-07-11,39.01,39.52,38.7,38.89,72.6,33.5,IOB
2025-07-10,39.55,39.64,39.0,39.26,72.6,33.5,IOB
2025-07-09,39.2,39.74,39.06,39.4,72.6,33.5,IOB
2025-07-08,39.72,40.1,39.06,39.24,72.6,33.5,IOB
2025-07-07,39.75,40.29,39.71,39.93,72.6,33.5,IOB
2025-07-04,40.1,40.37,39.75,39.95,72.6,33.5,IOB
2025-07-03,39.98,40.21,39.45,39.99,72.6,33.5,IOB
2025-07-02,40.1,40.71,39.6,39.86,72.6,33.5,IOB
2025-07-01,39.0,40.05,38.9,39.95,72.6,33.5,IOB
2025-06-30,38.44,39.59,38.29,38.98,72.6,33.5,IOB
2025-06-27,38.04,38.83,37.55,38.25,72.6,33.5,IOB
2025-06-26,38.29,38.55,37.64,37.82,72.6,33.5,IOB
2025-06-25,37.9,38.38,37.82,38.15,72.6,33.5,IOB
