DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,32.28,34.75,31.21,32.57,69.99,29.9,IRISDOREME
2025-10-20,33.0,33.2,30.95,32.75,69.99,29.9,IRISDOREME
2025-10-17,33.01,33.59,32.14,32.86,73.9,29.9,IRISDOREME
2025-10-16,31.84,33.49,31.84,32.84,73.9,29.9,IRISDOREME
2025-10-15,31.51,32.27,31.2,31.7,73.9,29.9,IRISDOREME
2025-10-14,32.31,32.93,31.5,31.51,73.9,29.9,IRISDOREME
2025-10-13,32.7,33.89,31.0,31.94,73.9,29.9,IRISDOREME
2025-10-10,34.35,34.79,33.33,33.74,73.9,29.9,IRISDOREME
2025-10-09,35.0,35.4,34.27,34.68,73.9,29.9,IRISDOREME
2025-10-08,34.5,36.1,33.51,34.78,73.9,29.9,IRISDOREME
2025-10-07,35.8,36.29,33.55,34.2,73.9,29.9,IRISDOREME
2025-10-06,34.99,36.9,32.11,35.36,73.9,29.9,IRISDOREME
2025-07-03,66.49,67.56,66.16,66.93,79.24,41.46,IRISDOREME
2025-07-02,67.54,68.17,66.05,66.16,79.24,41.46,IRISDOREME
2025-07-01,66.45,68.7,64.81,67.88,79.24,41.46,IRISDOREME
2025-06-30,64.0,66.53,62.88,65.81,79.24,41.46,IRISDOREME
2025-06-27,62.8,63.79,62.32,63.04,79.24,41.46,IRISDOREME
2025-06-26,62.0,62.99,60.67,62.12,79.24,41.46,IRISDOREME
2025-06-25,63.2,64.94,61.11,62.77,79.24,41.46,IRISDOREME
2025-06-24,64.4,65.9,62.5,63.12,79.24,41.46,IRISDOREME
2025-06-23,61.95,63.8,61.05,63.06,79.24,41.46,IRISDOREME
2025-06-20,58.18,62.39,57.62,61.48,83.39,41.46,IRISDOREME
2025-06-19,57.99,59.49,57.32,58.25,83.39,41.46,IRISDOREME
2025-06-18,58.6,58.95,57.12,57.89,83.39,41.46,IRISDOREME
2025-06-17,59.15,59.5,57.2,57.82,83.39,41.46,IRISDOREME
2025-06-16,59.5,60.59,58.41,59.5,83.39,41.46,IRISDOREME
2025-06-13,57.5,60.1,56.67,59.71,83.39,41.46,IRISDOREME
2025-06-12,59.71,60.66,57.1,58.04,83.39,41.46,IRISDOREME
2025-06-11,61.3,61.96,59.33,60.11,83.39,41.46,IRISDOREME
2025-06-10,61.49,62.0,60.71,61.08,83.39,41.46,IRISDOREME
2025-06-09,60.03,61.49,59.68,60.78,83.39,41.46,IRISDOREME
2025-06-06,59.72,60.7,59.51,60.18,83.39,41.46,IRISDOREME
2025-06-05,59.97,61.16,59.29,59.72,83.39,41.46,IRISDOREME
2025-06-04,60.49,60.49,59.3,59.64,83.39,41.46,IRISDOREME
2025-06-03,60.1,60.98,59.01,59.48,83.39,41.46,IRISDOREME
2025-06-02,60.97,61.74,59.5,60.61,83.39,41.46,IRISDOREME
2025-05-30,59.58,61.42,59.01,60.4,83.39,41.46,IRISDOREME
2025-05-29,59.8,59.99,58.5,59.22,83.39,41.46,IRISDOREME
2025-05-28,59.23,60.98,58.46,59.23,83.39,41.46,IRISDOREME
2025-05-27,59.98,59.98,58.84,59.22,83.39,41.46,IRISDOREME
2025-05-26,59.05,59.85,58.62,59.34,83.39,41.46,IRISDOREME
2025-05-23,58.09,59.45,57.3,58.82,83.75,41.46,IRISDOREME
2025-05-22,58.5,59.99,57.0,57.93,83.75,41.46,IRISDOREME
2025-05-21,57.0,59.9,55.36,58.06,83.75,41.46,IRISDOREME
2025-05-20,58.35,59.74,56.12,56.67,83.75,41.46,IRISDOREME
2025-05-19,58.9,60.6,57.2,57.91,83.75,41.46,IRISDOREME
2025-05-16,60.01,60.36,58.0,58.37,88.95,41.46,IRISDOREME
2025-05-15,58.3,62.51,57.12,59.97,88.95,41.46,IRISDOREME
2025-05-14,58.6,62.0,58.6,59.49,88.95,41.46,IRISDOREME
2025-05-13,56.0,61.79,56.0,58.87,88.95,41.46,IRISDOREME
2025-05-12,56.3,58.99,56.3,56.78,88.95,41.46,IRISDOREME
2025-05-09,54.8,56.99,54.01,55.47,88.95,41.46,IRISDOREME
2025-05-08,54.65,58.0,54.5,55.87,88.95,41.46,IRISDOREME
2025-05-07,53.6,56.48,52.26,54.67,88.95,41.46,IRISDOREME
2025-05-06,52.4,53.49,52.0,52.24,88.95,41.46,IRISDOREME
2025-05-05,47.53,54.99,47.53,52.54,88.95,41.46,IRISDOREME
2025-05-02,46.87,54.68,46.0,53.01,88.95,41.46,IRISDOREME
2025-04-30,45.1,47.8,44.9,46.87,88.95,41.46,IRISDOREME
2025-04-29,46.2,46.8,45.75,45.81,88.95,41.46,IRISDOREME
2025-04-28,47.99,47.99,45.63,45.77,88.95,41.46,IRISDOREME
2025-04-25,46.0,46.5,44.47,45.84,88.95,41.46,IRISDOREME
2025-04-24,45.98,47.37,45.0,45.58,88.95,41.46,IRISDOREME
2025-04-23,48.4,48.4,46.0,46.59,88.95,41.46,IRISDOREME
2025-04-22,45.01,48.9,45.01,48.02,88.95,41.46,IRISDOREME
2025-04-21,46.65,48.79,45.5,47.75,88.95,41.46,IRISDOREME
2025-04-17,45.5,46.75,45.5,46.46,88.95,41.46,IRISDOREME
2025-04-16,46.5,47.2,44.9,46.1,88.95,41.46,IRISDOREME
2025-04-15,47.85,48.65,46.54,46.82,88.95,41.46,IRISDOREME
2025-04-11,48.8,49.26,46.53,47.5,88.95,41.46,IRISDOREME
2025-04-09,44.8,49.68,42.0,47.74,88.95,41.46,IRISDOREME
2025-04-08,44.6,45.45,43.0,44.22,88.95,41.46,IRISDOREME
2025-04-07,43.0,44.54,42.01,43.03,88.95,41.46,IRISDOREME
2025-04-04,48.75,48.75,44.33,44.91,88.95,41.46,IRISDOREME
2025-04-03,45.4,48.0,45.35,47.03,88.95,41.46,IRISDOREME
2025-04-02,44.0,46.86,43.9,45.65,88.95,41.46,IRISDOREME
2025-04-01,43.66,46.99,43.66,44.86,88.95,41.46,IRISDOREME
2025-03-28,42.05,46.45,42.05,43.66,88.95,41.46,IRISDOREME
2025-03-27,43.57,43.94,41.46,42.98,88.95,41.46,IRISDOREME
2025-03-26,44.75,44.75,42.56,42.96,88.95,42.56,IRISDOREME
2025-03-25,45.0,45.0,43.11,43.94,88.95,43.11,IRISDOREME
2025-03-24,45.0,45.14,43.16,44.53,88.95,43.15,IRISDOREME
2025-03-21,44.24,45.0,43.2,44.7,88.95,43.15,IRISDOREME
2025-03-20,44.35,45.0,43.72,44.27,88.95,43.15,IRISDOREME
2025-03-19,44.4,46.25,43.15,44.14,88.95,43.15,IRISDOREME
2025-03-18,45.0,47.0,43.9,45.04,88.95,43.5,IRISDOREME
2025-03-17,47.1,47.27,43.5,43.86,88.95,43.5,IRISDOREME
2025-03-13,47.1,47.39,46.32,46.79,88.95,44.11,IRISDOREME
2025-03-12,49.89,51.18,49.01,50.66,88.95,44.11,IRISDOREME
2025-03-11,48.5,50.58,48.5,49.89,88.95,44.11,IRISDOREME
2025-03-10,52.99,59.7,50.6,52.12,88.95,44.11,IRISDOREME
2025-03-07,49.78,52.99,48.3,51.47,88.95,44.11,IRISDOREME
2025-03-06,48.94,49.69,47.41,48.89,88.95,44.11,IRISDOREME
2025-03-05,45.0,48.79,45.0,48.01,88.95,44.11,IRISDOREME
2025-03-04,45.0,45.78,44.11,45.08,88.95,44.11,IRISDOREME
2025-03-03,46.42,46.85,45.0,45.05,88.95,45.0,IRISDOREME
2025-02-28,46.71,48.3,45.28,47.37,89.8,45.28,IRISDOREME
2025-02-27,49.37,49.37,47.0,47.1,89.8,45.65,IRISDOREME
2025-02-25,49.71,49.71,47.49,47.8,89.8,45.65,IRISDOREME
2025-02-24,49.83,49.99,46.23,48.76,89.8,45.65,IRISDOREME
2025-02-21,49.37,49.37,47.86,48.67,89.8,45.65,IRISDOREME
2025-02-20,47.9,48.9,45.65,47.67,89.8,45.65,IRISDOREME
2025-02-19,51.1,52.83,46.15,47.97,89.8,46.15,IRISDOREME
2025-02-18,55.46,56.0,51.0,51.09,89.8,51.0,IRISDOREME
2025-02-17,55.21,56.82,55.0,55.25,89.8,55.0,IRISDOREME
2025-02-14,58.45,58.45,55.0,56.82,89.8,55.0,IRISDOREME
2025-02-13,59.79,59.79,57.4,57.51,89.8,55.1,IRISDOREME
