DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-03-21,884.0,899.1,878.4,896.2,922.45,672.05,ISEC
2025-03-20,877.0,899.0,863.3,881.25,922.45,672.05,ISEC
2025-03-19,871.4,880.85,871.35,877.05,922.45,672.05,ISEC
2025-03-18,855.55,876.9,855.55,874.7,922.45,672.05,ISEC
2025-03-17,836.75,853.35,836.75,849.4,922.45,672.05,ISEC
2025-03-13,830.2,840.75,830.2,836.75,922.45,672.05,ISEC
2025-03-12,830.35,838.35,824.3,832.1,922.45,672.05,ISEC
2025-03-11,795.0,831.95,795.0,830.35,922.45,672.05,ISEC
2025-03-10,794.9,806.0,789.05,795.15,922.45,672.05,ISEC
2025-03-07,802.2,808.8,788.0,796.0,922.45,672.05,ISEC
2025-03-06,806.45,810.7,799.25,801.75,922.45,672.05,ISEC
2025-03-05,802.55,813.5,802.4,804.85,922.45,672.05,ISEC
2025-03-04,799.05,810.75,798.95,804.55,922.45,672.05,ISEC
2025-03-03,808.0,811.05,799.15,802.55,922.45,672.05,ISEC
2025-02-28,801.0,809.65,796.35,801.9,922.45,672.05,ISEC
2025-02-27,820.0,820.0,804.1,806.7,922.45,672.05,ISEC
2025-02-25,817.9,817.9,809.1,812.45,922.45,672.05,ISEC
2025-02-24,819.25,819.3,806.3,811.55,922.45,672.05,ISEC
2025-02-21,821.1,827.4,815.1,819.25,922.45,672.05,ISEC
2025-02-20,835.0,841.0,828.1,830.95,922.45,672.05,ISEC
2025-02-19,828.2,839.55,819.25,837.1,922.45,672.05,ISEC
2025-02-18,835.0,838.5,825.95,828.2,922.45,672.05,ISEC
2025-02-17,843.85,849.95,820.75,841.65,922.45,672.05,ISEC
2025-02-14,830.0,848.0,829.8,843.85,922.45,672.05,ISEC
2025-02-13,832.4,841.8,830.0,831.6,922.45,672.05,ISEC
2025-02-12,825.2,838.85,825.2,832.4,922.45,672.05,ISEC
2025-02-11,844.4,844.4,823.0,833.25,922.45,672.05,ISEC
2025-02-10,822.55,848.0,822.55,841.05,922.45,672.05,ISEC
2025-02-07,854.0,854.9,831.2,836.35,922.45,672.05,ISEC
2025-02-06,840.3,849.8,839.0,847.8,922.45,672.05,ISEC
2025-02-05,843.5,846.15,839.75,843.65,922.45,672.05,ISEC
2025-02-04,833.25,849.9,833.25,841.9,922.45,672.05,ISEC
2025-02-03,818.1,837.1,818.1,833.25,922.45,672.05,ISEC
2025-02-01,820.0,838.2,815.5,834.15,922.45,672.05,ISEC
2025-01-31,829.25,830.4,816.2,828.6,922.45,672.05,ISEC
2025-01-30,820.1,831.9,820.1,829.25,922.45,672.05,ISEC
2025-01-29,838.9,838.9,823.15,828.05,922.45,672.05,ISEC
2025-01-28,827.0,834.95,818.8,827.9,922.45,672.05,ISEC
2025-01-27,805.0,820.45,796.05,815.15,922.45,672.05,ISEC
2025-01-24,800.55,807.85,798.05,804.2,922.45,672.05,ISEC
2025-01-23,795.0,802.95,792.85,798.95,922.45,672.05,ISEC
2025-01-22,796.0,806.7,791.15,800.9,922.45,672.05,ISEC
2025-01-21,813.1,820.25,794.0,796.65,922.45,672.05,ISEC
2025-01-20,814.5,825.7,807.05,818.45,922.45,672.05,ISEC
2025-01-17,825.0,833.25,807.0,813.85,922.45,672.05,ISEC
2025-01-16,823.1,834.05,820.0,824.05,922.45,672.05,ISEC
2025-01-15,830.4,833.0,820.05,826.65,922.45,672.05,ISEC
2025-01-14,817.05,831.7,815.5,828.5,922.45,672.05,ISEC
2025-01-13,824.3,825.6,810.6,816.8,922.45,672.05,ISEC
2025-01-10,832.1,838.8,823.5,827.55,922.45,672.05,ISEC
2025-01-09,833.0,842.75,828.5,839.4,922.45,672.05,ISEC
2025-01-08,845.0,852.45,833.5,840.15,922.45,672.05,ISEC
2025-01-07,847.0,853.7,840.4,848.25,922.45,672.05,ISEC
2025-01-06,838.05,844.5,832.75,839.35,922.45,672.05,ISEC
2025-01-03,860.0,861.9,835.85,838.0,922.45,672.05,ISEC
2025-01-02,852.0,864.25,852.0,861.9,922.45,672.05,ISEC
2025-01-01,856.35,861.5,840.55,857.6,922.45,672.05,ISEC
2024-12-31,861.4,861.4,850.15,856.35,922.45,672.05,ISEC
2024-12-30,842.0,877.95,842.0,863.65,922.45,672.05,ISEC
2024-12-27,852.7,860.55,850.95,853.9,922.45,672.05,ISEC
2024-12-26,847.1,855.2,837.7,848.55,922.45,672.05,ISEC
2024-12-24,842.55,852.0,842.55,849.6,922.45,672.05,ISEC
2024-12-23,826.0,849.85,826.0,847.5,922.45,672.05,ISEC
2024-12-20,844.95,847.4,822.65,831.65,922.45,672.05,ISEC
2024-12-19,835.0,849.5,835.0,842.85,922.45,672.05,ISEC
2024-12-18,869.1,876.95,851.75,859.6,922.45,672.05,ISEC
2024-12-17,889.0,889.6,870.6,874.7,922.45,672.05,ISEC
2024-12-16,886.0,892.0,884.1,889.3,922.45,672.05,ISEC
2024-12-13,878.7,886.0,864.3,884.15,922.45,672.05,ISEC
2024-12-12,875.0,886.6,875.0,878.7,922.45,672.05,ISEC
2024-12-11,882.0,884.95,872.8,880.4,922.45,672.05,ISEC
2024-12-10,886.95,886.95,876.75,882.35,922.45,672.05,ISEC
2024-12-09,878.55,888.55,878.55,882.35,922.45,672.05,ISEC
2024-12-06,894.95,904.65,886.6,888.95,922.45,672.05,ISEC
2024-12-05,884.9,897.5,877.1,892.35,922.45,672.05,ISEC
2024-12-04,870.0,893.0,869.5,881.1,922.45,672.05,ISEC
2024-12-03,866.2,885.0,866.2,878.3,922.45,672.05,ISEC
2024-12-02,872.65,880.0,864.65,872.85,922.45,672.05,ISEC
2024-11-29,877.0,877.0,864.6,872.65,922.45,654.0,ISEC
2024-11-28,872.0,880.55,863.15,866.15,922.45,654.0,ISEC
2024-11-27,877.95,885.0,871.9,875.0,922.45,654.0,ISEC
2024-11-26,879.9,882.2,869.8,876.2,922.45,654.0,ISEC
2024-11-25,862.7,882.0,852.1,873.05,922.45,654.0,ISEC
2024-11-22,841.1,857.55,841.05,850.95,922.45,654.0,ISEC
2024-11-21,832.0,843.0,828.3,837.15,922.45,654.0,ISEC
2024-11-19,836.2,846.95,833.2,839.55,922.45,654.0,ISEC
2024-11-18,829.1,845.95,829.1,841.55,922.45,654.0,ISEC
2024-11-14,841.4,849.15,828.0,843.65,922.45,640.6,ISEC
2024-11-13,845.0,850.8,838.1,841.0,922.45,640.6,ISEC
2024-11-12,842.0,858.35,840.8,842.65,922.45,640.6,ISEC
2024-11-11,841.75,848.4,832.4,841.9,922.45,640.6,ISEC
2024-11-08,852.5,855.15,837.0,843.2,922.45,640.1,ISEC
2024-11-07,870.45,870.45,850.0,852.45,922.45,640.1,ISEC
2024-11-06,867.9,875.85,862.0,867.5,922.45,640.1,ISEC
