DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-15,76.0,80.31,72.1,75.17,83.37,36.0,ISHANCH
2025-10-14,81.97,82.99,75.36,76.03,83.37,36.0,ISHANCH
2025-10-13,80.0,83.37,79.01,81.97,83.37,36.0,ISHANCH
2025-10-10,75.0,82.99,72.77,80.44,82.99,36.0,ISHANCH
2025-10-09,71.87,79.4,67.64,76.52,79.4,36.0,ISHANCH
2025-10-08,71.0,74.5,70.05,71.3,74.5,36.0,ISHANCH
2025-10-07,69.9,72.95,67.65,70.52,72.95,36.0,ISHANCH
2025-10-06,64.16,70.7,62.0,69.24,70.7,36.0,ISHANCH
2025-07-04,59.4,60.95,59.4,60.08,63.7,36.0,ISHANCH
2025-07-03,62.5,63.7,59.51,60.19,63.7,36.0,ISHANCH
2025-07-02,60.85,63.06,58.92,62.16,63.06,36.0,ISHANCH
2025-07-01,57.94,63.0,57.36,60.64,63.0,36.0,ISHANCH
2025-06-30,56.99,58.74,55.61,57.94,59.9,36.0,ISHANCH
2025-06-27,57.26,59.5,54.5,56.8,59.9,36.0,ISHANCH
2025-06-26,52.0,59.9,51.9,56.97,59.9,36.0,ISHANCH
2025-06-25,52.95,53.01,51.0,51.96,55.0,36.0,ISHANCH
2025-06-24,55.0,55.0,48.91,52.13,55.0,36.0,ISHANCH
2025-06-23,44.52,53.71,44.52,53.63,53.71,36.0,ISHANCH
2025-06-20,44.41,44.85,43.41,44.76,49.05,36.0,ISHANCH
2025-06-19,45.19,45.19,43.89,44.41,49.05,36.0,ISHANCH
2025-06-18,45.36,45.9,44.65,45.19,49.05,36.0,ISHANCH
2025-06-17,47.77,47.77,45.15,45.94,49.05,36.0,ISHANCH
2025-06-16,47.85,48.5,45.16,46.85,49.05,36.0,ISHANCH
2025-06-13,44.97,49.05,42.99,46.93,49.05,36.0,ISHANCH
2025-06-12,45.55,46.0,42.76,44.97,48.4,36.0,ISHANCH
2025-06-11,41.2,47.95,39.0,44.65,48.4,36.0,ISHANCH
2025-06-10,40.25,41.01,39.52,40.48,48.4,36.0,ISHANCH
2025-06-09,39.19,40.4,39.0,40.02,48.4,36.0,ISHANCH
2025-06-06,39.72,40.1,38.51,39.34,48.4,36.0,ISHANCH
2025-06-05,39.16,40.22,38.8,39.5,48.4,36.0,ISHANCH
2025-06-04,40.2,41.04,38.3,39.15,48.4,36.0,ISHANCH
2025-06-03,41.28,41.28,39.12,39.4,48.4,36.0,ISHANCH
2025-06-02,39.8,41.22,38.01,40.64,48.4,36.0,ISHANCH
2025-05-30,41.09,41.09,39.13,39.81,48.4,36.0,ISHANCH
2025-05-29,42.69,42.69,39.3,40.3,48.4,36.0,ISHANCH
2025-05-28,44.9,45.25,42.1,42.7,48.4,36.0,ISHANCH
2025-05-27,43.5,45.0,42.2,44.9,48.4,36.0,ISHANCH
2025-05-26,44.69,44.7,43.9,43.94,48.4,36.0,ISHANCH
2025-05-23,44.65,45.0,43.71,44.25,48.4,36.0,ISHANCH
2025-05-22,45.01,47.06,44.1,45.36,48.4,36.0,ISHANCH
2025-05-21,42.99,48.4,42.0,45.0,48.4,36.0,ISHANCH
2025-05-20,44.29,44.29,42.26,42.77,48.36,36.0,ISHANCH
2025-05-19,43.25,46.0,42.9,44.23,48.36,36.0,ISHANCH
2025-05-16,43.0,43.6,42.01,42.51,48.36,36.0,ISHANCH
2025-05-15,42.36,43.9,41.41,42.17,48.36,36.0,ISHANCH
2025-05-14,42.6,45.94,41.0,42.37,48.36,36.0,ISHANCH
2025-05-13,38.84,48.36,38.84,41.83,48.36,36.0,ISHANCH
2025-05-12,38.6,40.79,38.51,40.3,46.77,36.0,ISHANCH
2025-05-09,36.66,38.8,36.65,37.82,46.77,36.0,ISHANCH
2025-05-08,37.81,40.74,36.79,38.2,46.77,36.0,ISHANCH
2025-05-07,37.25,37.81,36.0,37.75,46.77,36.0,ISHANCH
2025-05-06,38.45,38.45,37.0,37.49,46.77,36.77,ISHANCH
2025-05-05,38.52,39.0,38.0,38.45,46.77,36.77,ISHANCH
2025-05-02,38.26,39.05,37.0,38.53,46.77,36.77,ISHANCH
2025-04-30,38.95,38.95,38.03,38.26,46.77,36.77,ISHANCH
2025-04-29,39.37,39.59,38.21,38.82,46.77,36.77,ISHANCH
2025-04-28,38.66,39.04,37.85,38.98,46.77,36.77,ISHANCH
2025-04-25,39.62,39.65,38.15,38.32,46.77,36.77,ISHANCH
2025-04-24,39.4,40.49,39.0,39.84,46.77,36.77,ISHANCH
2025-04-23,40.36,41.38,38.11,38.98,46.77,36.77,ISHANCH
2025-04-22,40.43,40.88,40.12,40.76,46.77,36.77,ISHANCH
2025-04-21,40.19,41.05,40.0,40.12,46.77,36.77,ISHANCH
2025-04-17,40.32,41.0,39.74,39.92,46.77,36.77,ISHANCH
2025-04-16,41.07,41.5,40.1,40.33,46.77,36.77,ISHANCH
2025-04-15,40.82,42.0,40.06,41.71,46.77,36.77,ISHANCH
2025-04-11,39.16,40.48,39.02,40.02,46.77,36.77,ISHANCH
2025-04-09,39.29,39.98,37.96,38.69,46.77,36.77,ISHANCH
2025-04-08,39.49,41.95,38.27,38.79,46.77,36.77,ISHANCH
2025-04-07,39.04,39.04,36.77,38.14,46.77,36.77,ISHANCH
2025-04-04,39.31,43.01,39.07,39.82,46.77,37.0,ISHANCH
2025-04-03,39.75,41.67,39.75,40.21,46.77,37.0,ISHANCH
2025-04-02,41.7,42.58,39.35,40.68,46.77,37.0,ISHANCH
2025-04-01,39.76,46.77,38.5,40.95,46.77,37.0,ISHANCH
2025-03-28,40.0,41.51,37.0,39.73,45.0,37.0,ISHANCH
