DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,38.55,39.76,38.0,39.23,49.76,33.63,ITBEES
2025-11-07,38.79,38.85,38.21,38.6,49.76,33.63,ITBEES
2025-11-06,38.99,39.03,38.74,38.79,49.76,33.63,ITBEES
2025-11-04,39.0,39.25,38.13,38.79,49.76,33.63,ITBEES
2025-11-03,39.25,39.36,38.95,39.11,49.76,33.63,ITBEES
2025-10-31,39.45,39.61,39.22,39.25,49.76,33.63,ITBEES
2025-10-30,39.66,40.8,39.35,39.45,49.76,33.63,ITBEES
2025-10-29,39.42,39.95,39.35,39.66,49.76,33.63,ITBEES
2025-10-28,39.81,39.81,39.23,39.42,49.76,33.63,ITBEES
2025-10-27,39.28,40.8,39.28,39.63,49.76,33.63,ITBEES
2025-10-24,39.7,39.7,39.16,39.28,49.76,33.63,ITBEES
2025-10-23,38.95,39.8,38.75,39.42,49.76,33.63,ITBEES
2025-10-21,39.7,39.7,38.56,38.7,49.76,33.63,ITBEES
2025-10-20,38.61,38.65,38.23,38.58,49.76,33.63,ITBEES
2025-10-17,38.81,38.81,38.15,38.23,49.76,33.63,ITBEES
2025-10-16,38.99,38.99,38.46,38.81,49.76,33.63,ITBEES
2025-10-15,38.41,38.8,38.41,38.64,49.76,33.63,ITBEES
2025-10-14,38.57,38.94,38.34,38.37,49.76,33.63,ITBEES
2025-10-13,38.48,38.79,38.23,38.49,49.76,33.63,ITBEES
2025-10-10,38.86,39.0,38.52,38.78,49.76,33.63,ITBEES
2025-10-09,38.71,38.85,38.35,38.79,49.76,33.63,ITBEES
2025-10-08,37.82,38.55,37.73,38.37,49.76,33.63,ITBEES
2025-10-07,37.3,38.23,37.3,37.82,49.76,33.63,ITBEES
2025-10-06,37.08,37.86,37.0,37.83,49.76,33.63,ITBEES
2025-10-03,37.65,37.65,36.88,37.08,49.76,33.63,ITBEES
2025-10-01,37.0,38.05,36.52,37.16,49.76,33.63,ITBEES
2025-09-30,37.1,37.1,35.88,36.75,49.76,33.63,ITBEES
2025-09-29,36.8,37.29,35.9,36.8,49.76,33.63,ITBEES
2025-09-26,37.73,37.76,36.75,36.83,49.76,33.63,ITBEES
2025-09-25,37.25,39.05,37.25,37.73,49.76,33.63,ITBEES
2025-09-24,39.07,39.15,38.08,38.21,49.76,33.63,ITBEES
