DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,416.0,420.45,413.55,415.95,471.5,390.15,ITC
2025-10-21,413.5,413.95,412.35,412.85,471.5,390.15,ITC
2025-10-20,412.55,414.85,411.3,413.05,471.5,390.15,ITC
2025-10-17,405.35,413.85,405.25,412.15,471.5,390.15,ITC
2025-10-16,401.0,406.0,399.55,405.15,471.5,390.15,ITC
2025-10-15,398.0,400.85,397.25,399.9,471.5,390.15,ITC
2025-10-14,400.0,400.85,396.2,396.8,471.5,390.15,ITC
2025-10-13,400.0,400.95,398.55,399.25,471.5,390.15,ITC
2025-10-10,400.45,403.85,399.5,402.8,471.5,390.15,ITC
2025-10-09,399.0,401.4,398.95,399.9,471.5,390.15,ITC
2025-10-08,400.0,401.75,398.0,399.75,471.5,390.15,ITC
2025-10-07,402.5,402.6,399.5,399.8,471.5,390.15,ITC
2025-10-06,403.0,403.9,399.8,400.75,471.5,390.15,ITC
2025-10-03,404.9,405.5,402.3,404.3,471.5,390.15,ITC
2025-10-01,402.35,406.0,399.75,405.6,471.5,390.15,ITC
2025-09-30,406.75,406.75,400.4,401.55,471.5,390.15,ITC
2025-09-29,406.9,408.0,403.2,407.25,471.5,390.15,ITC
2025-09-26,400.1,405.9,399.8,405.1,471.5,390.15,ITC
2025-09-25,401.45,403.0,398.0,400.1,471.5,390.15,ITC
2025-09-24,403.2,404.65,400.7,401.0,471.5,390.15,ITC
2025-09-23,407.1,408.1,402.1,403.2,471.5,390.15,ITC
2025-09-22,410.65,411.0,406.05,406.95,471.5,390.15,ITC
2025-09-19,411.55,412.6,408.95,410.65,471.5,390.15,ITC
2025-09-18,411.35,413.05,410.1,411.55,471.5,390.15,ITC
2025-09-17,413.95,414.6,408.05,409.3,471.5,390.15,ITC
2025-09-16,413.2,414.35,412.0,413.1,471.5,390.15,ITC
2025-09-15,413.05,414.3,411.75,412.65,471.5,390.15,ITC
2025-09-12,415.35,417.05,412.85,413.75,471.5,390.15,ITC
2025-09-11,413.05,416.7,412.45,415.05,471.5,390.15,ITC
2025-09-10,411.0,413.7,408.95,413.05,471.5,390.15,ITC
2025-09-09,408.5,410.95,407.4,410.05,471.5,390.15,ITC
2025-09-08,407.45,410.55,406.8,407.55,471.5,390.15,ITC
2025-09-05,416.9,417.0,404.4,407.35,471.5,390.15,ITC
2025-09-04,423.95,427.0,415.0,415.9,471.5,390.15,ITC
2025-09-03,408.5,413.25,407.3,411.75,471.5,390.15,ITC
2025-09-02,406.55,407.85,404.45,406.75,471.5,390.15,ITC
2025-09-01,409.75,410.2,405.0,405.85,471.5,390.15,ITC
2025-08-29,402.0,410.45,401.9,409.75,471.5,390.15,ITC
2025-08-28,404.5,404.5,400.0,400.9,471.5,390.15,ITC
2025-08-26,399.3,405.4,398.4,403.35,471.5,390.15,ITC
2025-08-25,399.0,400.55,396.25,399.35,471.5,390.15,ITC
2025-08-22,406.0,406.5,397.5,398.3,471.5,390.15,ITC
2025-08-21,406.05,406.85,403.35,405.55,471.5,390.15,ITC
2025-08-20,409.1,410.25,405.45,406.05,471.5,390.15,ITC
2025-08-19,406.35,409.4,404.5,409.1,471.5,390.15,ITC
2025-08-18,413.0,413.7,404.85,406.3,471.5,390.15,ITC
2025-08-14,414.25,415.05,411.0,411.45,471.5,390.15,ITC
2025-08-13,417.2,417.5,413.6,414.1,471.5,390.15,ITC
2025-08-12,417.0,419.8,415.3,416.35,471.5,390.15,ITC
2025-08-11,414.5,417.0,414.0,416.85,471.5,390.15,ITC
2025-08-08,413.9,415.35,412.95,414.5,471.5,390.15,ITC
2025-08-07,412.0,414.75,411.65,413.6,471.5,390.15,ITC
2025-08-06,414.15,415.0,410.5,412.0,471.5,390.15,ITC
2025-08-05,417.2,417.95,413.0,414.15,471.5,390.15,ITC
2025-08-04,420.2,422.5,415.1,416.85,471.5,390.15,ITC
2025-08-01,412.4,419.35,411.8,416.45,471.5,390.15,ITC
2025-07-31,405.95,414.0,405.55,411.95,471.5,390.15,ITC
2025-07-30,409.0,409.3,405.75,407.6,471.5,390.15,ITC
2025-07-29,410.0,411.4,408.0,408.45,471.5,390.15,ITC
2025-07-28,410.8,410.85,408.6,409.9,471.5,390.15,ITC
2025-07-25,410.0,410.25,407.75,409.4,471.5,390.15,ITC
2025-07-24,415.85,415.85,409.45,409.95,471.5,390.15,ITC
2025-07-23,417.1,417.9,414.0,414.95,471.5,390.15,ITC
2025-07-22,420.1,420.4,415.2,416.0,471.5,390.15,ITC
2025-07-21,422.0,422.75,418.4,420.1,471.5,390.15,ITC
2025-07-18,425.2,425.2,420.1,422.75,471.5,390.15,ITC
2025-07-17,425.8,425.9,423.0,423.95,471.5,390.15,ITC
2025-07-16,422.1,425.45,420.3,424.6,471.5,390.15,ITC
2025-07-15,420.9,422.4,419.0,422.1,471.5,390.15,ITC
2025-07-14,417.05,419.95,416.55,419.4,471.5,390.15,ITC
2025-07-11,417.0,418.05,415.5,416.8,471.5,390.15,ITC
2025-07-10,420.3,420.3,416.4,416.85,471.5,390.15,ITC
2025-07-09,416.2,420.3,415.45,419.45,471.5,390.15,ITC
2025-07-08,416.15,418.1,414.65,417.2,471.5,390.15,ITC
2025-07-07,413.0,417.2,412.0,416.15,471.5,390.15,ITC
2025-07-04,414.9,415.0,411.75,412.55,471.5,390.15,ITC
2025-07-03,414.0,416.0,411.25,413.35,471.5,390.15,ITC
2025-07-02,416.9,416.9,411.7,412.95,471.5,390.15,ITC
2025-07-01,417.0,418.85,414.9,415.1,471.5,390.15,ITC
2025-06-30,419.8,420.75,415.8,416.45,471.5,390.15,ITC
2025-06-27,421.0,422.0,417.8,418.65,471.5,390.15,ITC
2025-06-26,417.2,420.9,416.25,420.3,471.5,390.15,ITC
2025-06-25,416.4,418.15,415.1,416.35,471.5,390.15,ITC
2025-06-24,416.9,420.65,413.75,414.35,471.5,390.15,ITC
2025-06-23,417.0,417.5,411.75,413.9,471.5,390.15,ITC
2025-06-20,416.0,419.5,416.0,418.55,471.5,390.15,ITC
2025-06-19,415.65,418.25,414.8,416.0,471.5,390.15,ITC
2025-06-18,417.0,418.45,414.9,415.9,471.5,390.15,ITC
2025-06-17,418.1,419.05,415.7,417.4,471.5,390.15,ITC
2025-06-16,414.95,418.9,413.25,418.2,471.5,390.15,ITC
2025-06-13,415.0,419.35,413.5,413.9,471.5,390.15,ITC
2025-06-12,427.0,427.2,419.55,421.0,471.5,390.15,ITC
2025-06-11,428.0,428.1,424.85,426.15,471.5,390.15,ITC
2025-06-10,424.5,428.55,423.05,427.0,471.5,390.15,ITC
2025-06-09,422.0,423.6,420.5,423.05,471.5,390.15,ITC
2025-06-06,420.3,421.3,419.0,421.05,471.5,390.15,ITC
2025-06-05,418.5,420.95,415.75,419.1,471.5,390.15,ITC
2025-06-04,417.15,419.0,415.95,417.0,471.5,390.15,ITC
2025-06-03,419.0,421.7,415.65,416.95,471.5,390.15,ITC
2025-06-02,418.3,420.45,414.55,419.3,471.5,390.15,ITC
2025-05-30,419.1,420.05,416.4,418.05,471.5,390.15,ITC
2025-05-29,422.0,422.8,416.6,418.75,471.5,390.15,ITC
2025-05-28,417.7,422.6,413.0,420.2,471.5,390.15,ITC
2025-05-27,442.9,444.2,430.85,433.9,471.5,390.15,ITC
2025-05-26,438.25,443.55,436.75,442.9,471.5,390.15,ITC
2025-05-23,434.0,439.0,429.0,436.3,471.5,390.15,ITC
2025-05-22,433.0,433.0,422.9,426.1,471.5,390.15,ITC
2025-05-21,436.6,438.2,432.0,433.0,471.5,390.15,ITC
2025-05-20,437.0,440.8,432.9,434.9,471.5,390.15,ITC
2025-05-19,435.0,438.5,432.65,435.35,471.5,390.15,ITC
2025-05-16,434.9,436.2,432.1,435.7,471.5,390.15,ITC
2025-05-15,429.1,435.4,426.0,432.65,471.5,390.15,ITC
2025-05-14,427.1,431.85,425.9,429.1,471.5,390.15,ITC
2025-05-13,434.9,437.95,425.35,427.9,471.5,390.15,ITC
2025-05-12,429.5,436.2,428.15,435.5,471.5,390.15,ITC
2025-05-09,425.95,429.15,423.0,423.55,471.5,390.15,ITC
2025-05-08,429.0,431.5,423.55,430.6,471.5,390.15,ITC
2025-05-07,433.4,435.0,429.7,431.15,471.5,390.15,ITC
2025-05-06,437.5,439.65,433.0,435.55,471.5,390.15,ITC
2025-05-05,430.25,438.5,429.35,436.95,471.5,390.15,ITC
2025-05-02,424.1,431.5,424.1,430.25,471.5,390.15,ITC
2025-04-30,427.4,429.3,422.0,425.8,471.5,390.15,ITC
2025-04-29,428.9,429.6,425.0,426.0,471.5,390.15,ITC
2025-04-28,426.65,430.5,424.75,428.8,471.5,390.15,ITC
2025-04-25,430.05,432.7,423.3,427.8,471.5,390.15,ITC
2025-04-24,431.85,436.05,429.3,430.05,471.5,390.15,ITC
2025-04-23,436.2,437.45,428.85,430.85,471.5,390.15,ITC
2025-04-22,425.95,434.8,423.55,433.6,471.5,390.15,ITC
2025-04-21,428.05,429.1,421.5,422.85,471.5,390.15,ITC
2025-04-17,425.0,427.85,421.55,427.25,471.5,390.15,ITC
2025-04-16,418.0,426.05,418.0,424.45,471.5,390.15,ITC
2025-04-15,429.2,429.2,419.0,420.4,471.5,390.15,ITC
2025-04-11,420.0,422.45,417.0,421.55,471.5,390.15,ITC
2025-04-09,413.0,419.05,411.25,416.3,471.5,390.15,ITC
2025-04-08,411.9,415.8,407.25,412.55,471.5,390.15,ITC
2025-04-07,390.15,408.1,390.15,406.05,471.5,390.15,ITC
2025-04-04,407.5,412.8,404.5,409.7,471.5,391.2,ITC
2025-04-03,407.05,410.2,406.7,409.4,471.5,391.2,ITC
2025-04-02,407.05,410.0,406.05,409.05,471.5,391.2,ITC
2025-04-01,409.8,414.4,405.6,406.65,471.5,391.2,ITC
2025-03-28,410.9,415.6,408.15,409.75,471.5,391.2,ITC
2025-03-27,408.0,410.7,405.65,409.45,471.5,391.2,ITC
2025-03-26,410.3,411.2,406.25,407.35,471.5,391.2,ITC
2025-03-25,412.0,415.25,408.7,409.8,471.5,391.2,ITC
2025-03-24,407.0,412.85,405.6,410.9,471.5,391.2,ITC
2025-03-21,405.95,407.5,401.7,405.55,471.5,391.2,ITC
2025-03-20,405.0,406.65,401.9,403.95,471.5,391.2,ITC
2025-03-19,410.0,410.75,402.6,403.05,471.5,391.2,ITC
2025-03-18,410.0,411.95,407.75,409.1,471.5,391.2,ITC
2025-03-17,413.0,416.25,407.0,407.95,471.5,391.2,ITC
2025-03-13,413.0,414.4,408.2,412.05,471.5,391.2,ITC
2025-03-12,406.4,413.3,404.0,412.4,471.5,391.2,ITC
2025-03-11,401.5,408.4,401.2,406.2,471.5,391.2,ITC
2025-03-10,401.05,406.85,400.4,405.0,471.5,391.2,ITC
2025-03-07,403.55,405.85,401.7,403.9,471.5,391.2,ITC
2025-03-06,409.15,409.7,400.55,405.7,471.5,391.2,ITC
2025-03-05,394.5,412.75,394.5,405.05,471.5,391.2,ITC
2025-03-04,395.4,397.2,392.85,394.85,471.5,391.2,ITC
2025-03-03,395.95,399.0,391.2,397.45,471.5,391.2,ITC
2025-02-28,399.0,402.5,392.2,395.0,471.5,392.2,ITC
2025-02-27,404.85,406.5,399.5,401.6,471.5,396.2,ITC
2025-02-25,402.0,407.0,400.5,404.85,471.5,396.2,ITC
2025-02-24,400.0,403.4,398.75,401.9,471.5,396.2,ITC
2025-02-21,402.05,403.25,399.2,400.9,471.5,396.2,ITC
2025-02-20,399.95,403.9,396.2,402.05,471.5,396.2,ITC
2025-02-19,404.8,408.8,404.5,406.4,471.5,404.0,ITC
2025-02-18,408.0,410.85,404.0,405.25,471.5,404.0,ITC
2025-02-17,409.8,411.4,406.75,408.6,471.5,406.75,ITC
2025-02-14,411.75,416.2,408.4,410.25,471.5,407.6,ITC
2025-02-13,409.95,413.95,409.0,409.7,471.5,407.6,ITC
2025-02-12,413.15,413.8,407.6,409.9,471.5,407.6,ITC
2025-02-11,428.8,430.55,417.5,418.3,471.5,417.5,ITC
2025-02-10,427.0,433.3,426.5,427.2,471.5,426.5,ITC
2025-02-07,440.0,445.5,428.4,430.85,471.5,428.4,ITC
2025-02-06,450.0,450.0,438.2,441.1,471.5,430.1,ITC
2025-02-05,455.15,455.85,446.5,448.15,471.5,430.1,ITC
2025-02-04,458.0,460.35,448.75,455.15,471.5,430.1,ITC
2025-02-03,462.0,465.2,452.3,454.35,471.5,430.1,ITC
2025-02-01,448.0,471.5,439.55,462.55,471.5,430.1,ITC
2025-01-31,436.5,448.2,435.1,447.5,461.75,430.1,ITC
2025-01-30,433.0,438.0,431.45,436.2,461.75,430.1,ITC
2025-01-29,435.95,437.5,430.1,433.35,461.75,430.1,ITC
2025-01-28,440.0,441.8,434.5,435.45,461.75,431.1,ITC
2025-01-27,440.8,445.0,436.55,440.1,461.75,431.1,ITC
2025-01-24,439.4,445.0,439.05,441.6,461.75,431.1,ITC
2025-01-23,435.0,441.85,434.1,440.2,461.75,431.1,ITC
2025-01-22,439.9,441.95,436.55,437.0,461.75,431.1,ITC
2025-01-21,438.0,447.0,435.25,437.55,461.75,431.1,ITC
2025-01-20,439.0,441.2,436.0,437.7,461.75,431.1,ITC
2025-01-17,433.0,441.8,432.5,440.2,461.75,431.1,ITC
2025-01-16,438.05,439.45,431.1,432.85,461.75,431.1,ITC
2025-01-15,436.6,441.8,435.35,437.35,461.75,435.0,ITC
2025-01-14,441.0,441.5,435.85,436.6,461.75,435.0,ITC
2025-01-13,435.0,444.0,435.0,439.05,461.75,435.0,ITC
