DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,429.0,430.9,410.0,415.7,461.0,247.57,JAINREC
2025-11-21,425.8,431.2,416.1,427.75,461.0,247.57,JAINREC
2025-11-20,442.0,451.2,423.9,425.8,461.0,247.57,JAINREC
2025-11-19,458.95,458.95,442.9,444.45,461.0,247.57,JAINREC
2025-11-18,450.0,461.0,436.65,457.9,461.0,247.57,JAINREC
2025-11-17,441.3,457.95,441.05,449.05,457.95,247.57,JAINREC
2025-11-14,441.1,449.95,437.3,439.7,451.7,247.57,JAINREC
2025-11-13,426.0,451.7,426.0,442.05,451.7,247.57,JAINREC
2025-11-12,438.0,446.0,420.5,424.55,446.0,247.57,JAINREC
2025-11-11,412.5,444.9,411.3,435.4,444.9,247.57,JAINREC
2025-11-10,395.95,418.4,392.25,411.6,418.4,247.57,JAINREC
2025-11-07,375.95,393.0,368.6,385.85,413.66,247.57,JAINREC
2025-11-06,377.8,382.7,362.0,379.05,413.66,247.57,JAINREC
2025-11-04,372.65,383.95,369.1,377.25,413.66,247.57,JAINREC
2025-11-03,385.35,385.35,368.05,372.7,413.66,247.57,JAINREC
2025-10-31,397.5,397.5,383.32,386.05,413.66,247.57,JAINREC
2025-10-30,386.21,408.8,385.0,397.57,413.66,247.57,JAINREC
2025-10-29,380.0,391.0,377.8,387.77,413.66,247.57,JAINREC
2025-10-28,391.0,400.0,381.05,395.2,413.66,247.57,JAINREC
2025-10-27,408.14,413.66,380.01,392.6,413.66,247.57,JAINREC
2025-10-24,368.1,404.4,367.46,400.22,404.4,247.57,JAINREC
2025-10-23,359.45,387.98,358.71,369.19,387.98,247.57,JAINREC
2025-10-21,370.0,372.0,348.1,355.3,372.0,247.57,JAINREC
2025-10-20,343.0,352.71,336.05,350.17,357.0,247.57,JAINREC
2025-10-17,320.25,341.77,317.12,338.7,357.0,247.57,JAINREC
2025-10-16,328.0,330.14,314.35,319.36,357.0,247.57,JAINREC
2025-10-15,327.97,335.94,323.0,328.0,357.0,247.57,JAINREC
2025-10-14,345.23,345.8,320.25,326.75,357.0,247.57,JAINREC
2025-10-13,343.9,357.0,340.8,344.44,357.0,247.57,JAINREC
2025-10-10,347.0,351.0,336.47,347.01,356.6,247.57,JAINREC
2025-10-09,327.7,356.6,320.3,342.45,356.6,247.57,JAINREC
2025-10-08,329.9,339.8,320.1,325.26,346.7,247.57,JAINREC
2025-10-07,314.0,342.77,310.32,324.04,346.7,247.57,JAINREC
2025-10-06,306.0,341.7,298.2,311.15,346.7,247.57,JAINREC
2025-10-03,319.94,346.7,295.9,304.58,346.7,247.57,JAINREC
2025-10-01,265.05,318.06,247.57,318.06,318.06,247.57,JAINREC
