DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,1605.0,1643.8,1604.4,1619.2,2023.4,1600.65,JCHAC
2025-11-28,1653.2,1674.9,1606.0,1614.3,2023.4,1600.65,JCHAC
2025-11-27,1716.0,1722.0,1643.5,1653.1,2023.4,1600.65,JCHAC
2025-11-26,1746.2,1746.2,1700.0,1716.0,2023.4,1600.65,JCHAC
2025-11-25,1748.0,1756.9,1745.1,1746.2,2023.4,1600.65,JCHAC
2025-11-24,1752.9,1756.5,1745.2,1752.7,2023.4,1600.65,JCHAC
2025-11-21,1750.4,1754.8,1750.4,1751.6,2023.4,1600.65,JCHAC
2025-11-20,1752.4,1756.8,1750.3,1753.7,2023.4,1600.65,JCHAC
2025-11-19,1751.6,1755.0,1751.2,1752.1,2023.4,1600.65,JCHAC
2025-11-18,1757.9,1760.0,1750.1,1752.3,2023.4,1600.65,JCHAC
2025-11-17,1751.7,1758.9,1742.8,1750.6,2023.4,1600.65,JCHAC
2025-11-14,1750.7,1754.9,1745.0,1751.6,2042.9,1600.65,JCHAC
2025-11-13,1750.2,1755.0,1750.1,1750.8,2088.65,1600.65,JCHAC
2025-11-12,1749.7,1753.5,1749.1,1749.4,2089.0,1600.65,JCHAC
2025-11-11,1748.3,1754.7,1748.0,1749.2,2089.0,1600.65,JCHAC
2025-11-10,1736.8,1751.7,1736.8,1748.3,2089.0,1600.65,JCHAC
2025-11-07,1745.3,1750.0,1745.3,1747.5,2089.0,1600.65,JCHAC
2025-11-06,1747.6,1752.0,1745.0,1748.0,2089.0,1600.65,JCHAC
2025-11-04,1742.3,1759.6,1742.3,1747.5,2089.0,1600.65,JCHAC
2025-11-03,1714.1,1734.0,1714.1,1725.8,2098.45,1600.65,JCHAC
2025-10-31,1729.0,1735.0,1720.1,1720.9,2098.45,1600.65,JCHAC
2025-10-30,1715.2,1723.0,1715.2,1720.5,2193.4,1600.65,JCHAC
2025-10-29,1725.0,1725.0,1715.1,1715.2,2338.55,1600.65,JCHAC
2025-10-28,1729.9,1729.9,1715.1,1718.5,2481.5,1600.65,JCHAC
2025-10-27,1716.1,1724.9,1715.0,1718.6,2594.9,1600.65,JCHAC
2025-10-24,1725.2,1725.2,1705.1,1716.0,2607.0,1600.65,JCHAC
2025-10-23,1738.9,1738.9,1717.4,1725.2,2607.0,1600.65,JCHAC
2025-10-21,1730.0,1730.0,1715.2,1726.0,2616.95,1600.65,JCHAC
2025-10-20,1738.0,1738.0,1713.5,1718.9,2620.1,1600.65,JCHAC
2025-10-17,1732.7,1732.7,1715.5,1720.8,2620.1,1600.65,JCHAC
2025-10-16,1730.6,1735.8,1722.0,1724.6,2620.1,1600.65,JCHAC
2025-10-15,1722.9,1744.0,1714.9,1739.0,2620.1,1600.65,JCHAC
2025-10-14,1723.8,1731.5,1720.2,1723.6,2620.1,1600.65,JCHAC
2025-10-13,1740.0,1740.0,1721.1,1723.7,2620.1,1600.65,JCHAC
2025-10-10,1728.5,1738.5,1726.0,1728.2,2620.1,1600.65,JCHAC
2025-10-09,1728.0,1737.7,1727.5,1728.4,2620.1,1600.65,JCHAC
2025-10-08,1732.4,1740.0,1727.2,1730.1,2620.1,1600.65,JCHAC
2025-10-07,1731.1,1744.6,1728.0,1732.3,2620.1,1600.65,JCHAC
2025-10-06,1730.4,1738.0,1727.3,1731.0,2620.1,1600.65,JCHAC
2025-10-03,1748.9,1748.9,1727.8,1730.4,2620.1,1600.65,JCHAC
2025-10-01,1744.9,1744.9,1729.3,1740.7,2620.1,1600.65,JCHAC
2025-09-30,1729.8,1739.9,1725.1,1732.4,2620.1,1600.65,JCHAC
2025-09-29,1726.0,1752.0,1726.0,1729.7,2620.1,1600.65,JCHAC
2025-09-26,1733.3,1745.0,1729.9,1731.8,2620.1,1600.65,JCHAC
2025-09-25,1744.9,1759.9,1731.0,1733.2,2620.1,1600.65,JCHAC
2025-09-24,1746.8,1756.8,1732.0,1737.0,2620.1,1600.65,JCHAC
2025-09-23,1755.0,1760.2,1741.1,1746.7,2620.1,1600.65,JCHAC
2025-09-22,1769.8,1774.8,1750.0,1754.5,2620.1,1600.65,JCHAC
2025-09-19,1773.0,1773.0,1753.1,1762.4,2620.1,1600.65,JCHAC
2025-09-18,1774.4,1774.4,1745.0,1754.6,2620.1,1600.65,JCHAC
2025-09-17,1740.5,1778.6,1739.1,1766.5,2620.1,1600.65,JCHAC
2025-09-16,1737.2,1749.8,1737.2,1740.4,2620.1,1600.65,JCHAC
2025-09-15,1735.1,1747.0,1733.0,1737.1,2620.1,1600.65,JCHAC
2025-09-12,1739.0,1743.8,1725.1,1735.1,2620.1,1600.65,JCHAC
2025-09-11,1739.1,1744.0,1735.0,1739.0,2620.1,1600.65,JCHAC
2025-09-10,1742.9,1747.1,1731.7,1739.1,2620.1,1600.65,JCHAC
2025-09-09,1748.4,1748.4,1725.8,1731.6,2620.1,1600.65,JCHAC
2025-09-08,1729.5,1746.9,1729.5,1737.9,2620.1,1600.65,JCHAC
2025-09-05,1730.0,1744.6,1725.2,1729.4,2620.1,1600.65,JCHAC
2025-09-04,1754.9,1758.6,1735.0,1736.8,2620.1,1600.65,JCHAC
2025-09-03,1744.8,1759.0,1736.8,1747.3,2620.1,1600.65,JCHAC
2025-09-02,1732.7,1749.9,1730.1,1741.8,2620.1,1600.65,JCHAC
2025-09-01,1730.7,1741.6,1730.0,1732.6,2620.1,1600.65,JCHAC
2025-08-29,1725.2,1741.3,1725.2,1730.6,2620.1,1600.65,JCHAC
2025-08-28,1728.0,1743.4,1720.0,1728.2,2620.1,1600.65,JCHAC
2025-08-26,1757.0,1757.0,1725.1,1728.3,2620.1,1600.65,JCHAC
2025-08-25,1736.0,1759.9,1734.6,1757.1,2620.1,1600.65,JCHAC
2025-08-22,1751.4,1756.1,1735.0,1736.0,2620.1,1600.65,JCHAC
2025-08-21,1742.8,1759.9,1742.8,1750.7,2620.1,1600.65,JCHAC
