DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,115.65,115.65,111.9,112.34,125.0,106.01,JKIPL
2025-11-28,113.3,117.4,107.92,115.01,125.0,106.01,JKIPL
2025-11-27,113.0,113.87,111.5,112.18,125.0,106.01,JKIPL
2025-11-26,111.92,113.98,111.0,111.23,125.0,106.01,JKIPL
2025-11-25,111.31,113.39,111.0,111.92,125.0,106.01,JKIPL
2025-11-24,115.68,116.57,110.29,110.75,125.0,106.01,JKIPL
2025-11-21,122.0,122.0,115.1,115.69,125.0,106.01,JKIPL
2025-11-20,124.9,124.98,120.0,121.79,125.0,106.01,JKIPL
2025-11-19,117.07,123.9,115.13,122.67,125.0,106.01,JKIPL
2025-11-18,118.1,119.82,116.25,117.39,125.0,106.01,JKIPL
2025-11-17,118.2,123.5,116.85,119.11,125.0,106.01,JKIPL
2025-11-14,111.11,120.74,110.51,117.85,125.0,106.01,JKIPL
2025-11-13,118.8,118.8,110.8,111.1,125.0,106.01,JKIPL
2025-11-12,118.49,119.0,116.41,117.81,125.0,106.01,JKIPL
2025-11-11,117.0,119.7,116.1,116.86,125.0,106.01,JKIPL
2025-11-10,118.0,123.9,115.01,116.09,125.0,106.01,JKIPL
2025-11-07,117.13,118.9,114.57,118.01,125.0,106.01,JKIPL
2025-11-06,119.1,120.09,115.0,117.13,125.0,106.01,JKIPL
2025-11-04,118.35,121.8,115.25,118.6,125.0,106.01,JKIPL
2025-11-03,110.48,120.57,110.15,117.74,125.0,106.01,JKIPL
2025-10-31,113.8,114.27,108.9,109.81,125.0,106.01,JKIPL
2025-10-30,113.25,115.99,111.1,113.85,125.0,106.01,JKIPL
2025-10-29,117.45,118.0,113.35,114.05,125.0,106.01,JKIPL
2025-10-28,121.0,121.39,116.21,116.75,125.0,106.01,JKIPL
2025-10-27,122.99,125.0,117.0,118.49,125.0,106.01,JKIPL
2025-10-24,115.9,122.0,113.23,120.71,122.0,106.01,JKIPL
2025-10-23,110.0,115.0,109.05,114.2,115.0,106.01,JKIPL
2025-10-21,107.5,110.0,107.5,109.51,111.49,106.01,JKIPL
2025-10-20,107.0,109.5,106.28,107.5,111.49,106.01,JKIPL
2025-10-17,111.49,111.49,106.01,107.43,111.49,106.01,JKIPL
