DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,137.33,138.23,135.45,136.45,162.15,134.75,JSWCEMENT
2025-10-16,138.27,139.25,137.07,137.36,162.15,134.75,JSWCEMENT
2025-10-15,135.26,138.49,134.86,138.05,162.15,134.75,JSWCEMENT
2025-10-14,138.9,139.57,134.75,135.21,162.15,134.75,JSWCEMENT
2025-10-13,139.5,140.78,139.01,139.33,162.15,135.9,JSWCEMENT
2025-10-10,137.98,143.4,137.6,140.68,162.15,135.9,JSWCEMENT
2025-10-09,138.51,139.04,137.12,137.98,162.15,135.9,JSWCEMENT
2025-10-08,139.74,140.95,137.9,138.26,162.15,135.9,JSWCEMENT
2025-10-07,140.86,141.17,139.26,139.74,162.15,135.9,JSWCEMENT
2025-10-06,141.1,142.64,139.51,140.86,162.15,135.9,JSWCEMENT
2025-10-03,138.8,139.4,137.79,138.86,162.15,135.9,JSWCEMENT
2025-10-01,137.57,139.2,135.9,138.46,162.15,135.9,JSWCEMENT
2025-09-30,140.75,141.2,137.45,137.89,162.15,137.45,JSWCEMENT
2025-09-29,141.0,142.76,140.01,140.27,162.15,139.79,JSWCEMENT
2025-09-26,143.85,144.0,139.79,141.36,162.15,139.79,JSWCEMENT
2025-09-25,146.49,147.2,143.25,143.85,162.15,143.25,JSWCEMENT
2025-09-24,147.18,148.38,146.2,146.44,162.15,143.95,JSWCEMENT
2025-09-23,149.44,150.09,146.7,147.18,162.15,143.95,JSWCEMENT
2025-09-22,149.51,151.4,149.02,149.44,162.15,143.95,JSWCEMENT
2025-09-19,151.74,151.74,149.05,149.27,162.15,143.95,JSWCEMENT
2025-09-18,148.5,151.85,147.5,151.21,162.15,143.95,JSWCEMENT
2025-09-17,149.44,152.9,147.33,147.77,162.15,143.95,JSWCEMENT
2025-09-16,151.45,151.65,148.05,148.71,162.15,143.95,JSWCEMENT
2025-09-15,151.95,153.45,149.71,150.29,162.15,143.95,JSWCEMENT
2025-09-12,146.29,149.3,145.9,148.72,162.15,143.95,JSWCEMENT
2025-09-11,148.0,148.4,145.31,145.69,162.15,143.95,JSWCEMENT
2025-09-10,149.3,149.94,147.8,148.01,162.15,143.95,JSWCEMENT
2025-09-09,149.95,149.99,148.21,148.54,162.15,143.95,JSWCEMENT
2025-09-08,150.49,151.14,148.51,149.21,162.15,143.95,JSWCEMENT
2025-09-05,152.89,152.99,149.48,150.11,162.15,143.95,JSWCEMENT
2025-09-04,161.51,162.15,151.52,152.29,162.15,143.95,JSWCEMENT
2025-09-03,153.7,159.93,153.7,159.17,159.93,143.95,JSWCEMENT
2025-09-02,152.68,154.8,152.32,153.73,159.0,143.95,JSWCEMENT
2025-09-01,148.9,152.8,147.97,151.76,159.0,143.95,JSWCEMENT
2025-08-29,148.4,151.8,147.81,148.43,159.0,143.95,JSWCEMENT
2025-08-28,150.3,151.55,147.06,148.23,159.0,143.95,JSWCEMENT
2025-08-26,153.48,156.74,150.05,150.49,159.0,143.95,JSWCEMENT
2025-08-25,153.89,155.4,152.92,153.48,159.0,143.95,JSWCEMENT
2025-08-22,153.97,156.75,152.76,153.12,159.0,143.95,JSWCEMENT
2025-08-21,154.0,156.7,151.77,153.98,159.0,143.95,JSWCEMENT
2025-08-20,157.0,159.0,153.25,153.83,159.0,143.95,JSWCEMENT
2025-08-19,150.0,158.2,148.12,156.55,158.2,143.95,JSWCEMENT
2025-08-18,148.0,151.68,143.95,150.02,154.77,143.95,JSWCEMENT
2025-08-14,153.5,154.77,145.05,146.07,154.77,145.05,JSWCEMENT
