DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,728.9,728.9,712.6,720.2,798.4,474.05,KIMS
2025-10-21,727.0,729.2,721.05,727.2,798.4,474.05,KIMS
2025-10-20,725.6,731.45,714.6,719.9,798.4,474.05,KIMS
2025-10-17,733.8,737.9,717.95,719.9,798.4,474.05,KIMS
2025-10-16,731.0,738.0,728.0,733.8,798.4,474.05,KIMS
2025-10-15,715.9,730.0,709.2,727.45,798.4,474.05,KIMS
2025-10-14,717.2,720.5,705.05,715.7,798.4,474.05,KIMS
2025-10-13,693.6,716.25,692.25,713.8,798.4,474.05,KIMS
2025-10-10,693.8,703.55,688.0,700.6,798.4,474.05,KIMS
2025-10-09,707.0,711.9,688.4,690.3,798.4,474.05,KIMS
2025-10-08,710.2,711.7,701.65,705.65,798.4,474.05,KIMS
2025-10-07,722.25,726.7,704.25,706.45,798.4,474.05,KIMS
2025-10-06,715.0,731.85,695.6,722.2,798.4,474.05,KIMS
2025-10-03,687.9,694.0,676.8,690.35,798.4,474.05,KIMS
2025-10-01,700.15,701.0,682.35,687.9,798.4,474.05,KIMS
2025-09-30,704.7,709.6,697.3,700.15,798.4,474.05,KIMS
2025-09-29,727.0,732.6,700.0,701.0,798.4,474.05,KIMS
2025-09-26,728.0,731.45,725.0,726.7,798.4,474.05,KIMS
2025-09-25,726.5,738.6,723.5,732.6,798.4,474.05,KIMS
2025-09-24,736.1,736.4,725.0,726.45,798.4,474.05,KIMS
2025-09-23,739.2,740.1,730.5,736.4,798.4,474.05,KIMS
2025-09-22,744.6,751.5,734.0,739.15,798.4,474.05,KIMS
2025-09-19,741.0,747.65,737.6,744.6,798.4,474.05,KIMS
2025-09-18,747.8,748.2,727.9,740.3,798.4,474.05,KIMS
2025-09-17,757.9,766.0,739.25,742.95,798.4,474.05,KIMS
2025-09-16,757.75,761.0,749.6,757.0,798.4,474.05,KIMS
2025-09-15,759.0,760.0,743.75,754.95,798.4,474.05,KIMS
2025-09-12,769.0,769.6,756.0,758.8,2866.15,474.05,KIMS
2025-09-11,755.0,772.0,746.25,762.4,2866.15,474.05,KIMS
2025-09-10,752.0,762.05,747.25,755.65,2866.15,474.05,KIMS
2025-09-09,741.8,750.4,736.05,748.15,2866.15,474.05,KIMS
2025-09-08,744.75,744.75,732.45,736.0,2866.15,474.05,KIMS
2025-09-05,742.0,748.25,734.05,742.95,2866.15,474.05,KIMS
2025-09-04,747.0,756.2,732.2,738.1,2866.15,474.05,KIMS
2025-09-03,736.95,748.6,728.2,737.6,2866.15,474.05,KIMS
2025-09-02,727.95,742.0,726.05,736.95,2866.15,474.05,KIMS
2025-09-01,721.5,740.1,716.15,727.5,2866.15,474.05,KIMS
2025-08-29,737.5,740.9,721.3,723.9,2866.15,474.05,KIMS
2025-08-28,745.8,747.45,734.0,737.4,2866.15,474.05,KIMS
2025-08-26,756.6,759.7,737.5,745.8,2866.15,474.05,KIMS
2025-08-25,739.3,759.9,730.2,756.6,2866.15,474.05,KIMS
2025-08-22,745.0,753.55,735.0,736.8,2866.15,474.05,KIMS
2025-08-21,762.5,763.15,740.1,746.15,2866.15,474.05,KIMS
2025-08-20,770.95,773.0,753.4,758.5,2866.15,474.05,KIMS
2025-08-19,761.75,771.4,752.15,769.15,2866.15,474.05,KIMS
2025-08-18,752.4,766.35,744.4,761.75,2866.15,474.05,KIMS
2025-08-14,737.6,749.7,724.5,745.05,2866.15,474.05,KIMS
2025-08-13,739.25,740.0,726.3,731.2,2866.15,474.05,KIMS
2025-08-12,728.3,744.6,718.0,735.85,2866.15,474.05,KIMS
2025-08-11,700.0,730.45,692.65,726.5,2866.15,474.05,KIMS
2025-08-08,735.1,740.3,707.65,711.3,2866.15,474.05,KIMS
2025-08-07,746.0,751.35,732.45,743.05,2866.15,474.05,KIMS
2025-08-06,741.0,765.0,741.0,753.9,2866.15,474.05,KIMS
