DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,1115.5,1119.0,1094.7,1106.6,1817.0,953.0,KIRLPNU
2025-11-13,1095.0,1179.9,1081.7,1111.2,1817.0,953.0,KIRLPNU
2025-11-12,1085.1,1099.3,1071.8,1084.4,1817.0,953.0,KIRLPNU
2025-11-11,1054.8,1084.7,1043.2,1079.8,1817.0,953.0,KIRLPNU
2025-11-10,1070.0,1075.2,1051.2,1054.1,1817.0,953.0,KIRLPNU
2025-11-07,1080.0,1080.2,1050.5,1069.2,1817.0,953.0,KIRLPNU
2025-11-06,1111.2,1120.0,1061.5,1076.4,1817.0,953.0,KIRLPNU
2025-11-04,1129.1,1134.9,1088.3,1104.2,1817.0,953.0,KIRLPNU
2025-11-03,1128.0,1139.7,1115.2,1119.0,1817.0,953.0,KIRLPNU
2025-10-31,1146.6,1147.3,1115.5,1118.6,1817.0,953.0,KIRLPNU
2025-10-30,1153.2,1160.1,1135.0,1139.4,1817.0,953.0,KIRLPNU
2025-10-29,1134.1,1200.0,1130.5,1147.4,1817.0,953.0,KIRLPNU
2025-10-28,1139.0,1168.0,1101.5,1153.1,1817.0,953.0,KIRLPNU
2025-10-27,1181.5,1192.0,1155.2,1160.6,1817.0,953.0,KIRLPNU
2025-10-24,1181.9,1218.0,1178.4,1187.7,1817.0,953.0,KIRLPNU
2025-10-23,1185.0,1192.1,1169.5,1182.6,1817.0,953.0,KIRLPNU
2025-10-21,1157.0,1187.0,1157.0,1181.1,1817.0,953.0,KIRLPNU
2025-10-20,1156.0,1170.0,1151.9,1157.4,1817.0,953.0,KIRLPNU
2025-10-17,1160.0,1162.7,1136.1,1160.8,1817.0,953.0,KIRLPNU
2025-10-16,1167.0,1176.1,1150.0,1154.5,1817.0,953.0,KIRLPNU
2025-10-15,1177.4,1188.0,1160.0,1165.7,1817.0,953.0,KIRLPNU
2025-10-14,1170.8,1193.8,1170.4,1177.4,1817.0,953.0,KIRLPNU
2025-10-13,1175.0,1190.0,1160.0,1170.4,1817.0,953.0,KIRLPNU
2025-10-10,1178.8,1190.5,1177.5,1180.3,1817.0,953.0,KIRLPNU
2025-10-09,1199.6,1200.0,1178.8,1180.4,1817.0,953.0,KIRLPNU
2025-10-08,1200.0,1200.0,1181.1,1193.5,1817.0,953.0,KIRLPNU
2025-10-07,1200.0,1205.0,1187.1,1196.7,1817.0,953.0,KIRLPNU
2025-10-06,1222.0,1225.9,1194.0,1198.3,1817.0,953.0,KIRLPNU
2025-10-03,1217.5,1228.9,1202.0,1219.8,1817.0,953.0,KIRLPNU
2025-10-01,1204.2,1226.5,1198.4,1217.5,1817.0,953.0,KIRLPNU
2025-09-30,1210.4,1220.0,1185.0,1203.4,1817.0,953.0,KIRLPNU
2025-09-29,1210.0,1221.4,1187.4,1195.4,1817.0,953.0,KIRLPNU
2025-09-26,1229.4,1231.3,1198.8,1206.1,1817.0,953.0,KIRLPNU
2025-09-25,1227.0,1255.0,1226.0,1230.4,1817.0,953.0,KIRLPNU
2025-09-24,1237.7,1249.9,1227.0,1238.3,1817.0,953.0,KIRLPNU
2025-09-23,1244.5,1246.1,1230.0,1236.0,1817.0,953.0,KIRLPNU
2025-09-22,1258.4,1264.9,1240.6,1244.4,1817.0,953.0,KIRLPNU
2025-09-19,1264.6,1265.9,1237.0,1258.4,1817.0,953.0,KIRLPNU
2025-09-18,1264.9,1268.1,1249.8,1258.3,1817.0,953.0,KIRLPNU
2025-09-17,1247.0,1275.0,1244.0,1249.9,1817.0,953.0,KIRLPNU
2025-09-16,1261.9,1283.0,1240.1,1245.3,1817.0,953.0,KIRLPNU
2025-09-15,1260.1,1275.0,1255.0,1259.9,1817.0,953.0,KIRLPNU
2025-09-12,1255.0,1279.7,1249.0,1262.1,1817.0,953.0,KIRLPNU
2025-09-11,1261.0,1274.3,1252.0,1256.7,1817.0,953.0,KIRLPNU
2025-09-10,1267.5,1283.0,1265.0,1268.5,1817.0,953.0,KIRLPNU
2025-09-09,1270.3,1284.8,1260.8,1266.4,1817.0,953.0,KIRLPNU
2025-09-08,1274.8,1289.9,1266.0,1270.2,1817.0,953.0,KIRLPNU
