DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,191.59,191.59,186.0,187.88,886.4,147.01,KITEX
2025-10-16,190.0,193.88,187.08,191.59,886.4,147.01,KITEX
2025-10-15,185.0,187.5,182.93,185.51,886.4,147.01,KITEX
2025-10-14,188.25,190.19,183.31,185.2,886.4,147.01,KITEX
2025-10-13,190.0,194.4,186.22,188.06,886.4,147.01,KITEX
2025-10-10,182.0,199.15,179.06,190.51,886.4,147.01,KITEX
2025-10-09,179.64,180.35,176.0,178.17,886.4,147.01,KITEX
2025-10-08,187.99,187.99,179.8,180.39,886.4,147.01,KITEX
2025-10-07,186.0,187.36,183.08,184.02,886.4,147.01,KITEX
2025-10-06,192.74,192.8,182.99,183.89,886.4,147.01,KITEX
2025-10-03,188.31,190.5,184.64,187.98,886.4,147.01,KITEX
2025-10-01,186.4,189.19,183.75,188.31,886.4,147.01,KITEX
2025-09-30,187.51,190.42,185.02,186.65,886.4,147.01,KITEX
2025-09-29,191.85,193.78,185.1,186.04,886.4,147.01,KITEX
2025-09-26,201.8,201.8,189.61,190.98,886.4,147.01,KITEX
2025-09-25,207.99,210.2,198.21,199.59,886.4,147.01,KITEX
2025-09-24,206.85,211.79,205.09,207.35,886.4,147.01,KITEX
2025-09-23,214.35,217.5,202.5,206.81,886.4,147.01,KITEX
2025-09-22,219.0,219.0,209.2,209.83,886.4,147.01,KITEX
2025-09-19,222.0,222.0,214.0,220.22,886.4,147.01,KITEX
2025-09-18,220.97,223.54,213.61,217.53,886.4,147.01,KITEX
2025-09-17,207.0,212.9,205.0,212.9,886.4,147.01,KITEX
2025-09-16,193.75,202.77,193.75,202.77,886.4,147.01,KITEX
2025-09-15,196.0,202.75,192.1,193.12,886.4,147.01,KITEX
2025-09-12,202.4,202.4,195.5,198.01,886.4,147.01,KITEX
2025-09-11,199.0,204.6,192.27,200.27,886.4,147.01,KITEX
2025-09-10,194.0,195.63,193.4,195.63,886.4,147.01,KITEX
2025-09-09,193.85,195.7,185.21,186.82,886.4,147.01,KITEX
2025-09-08,185.85,192.44,183.9,192.44,886.4,147.01,KITEX
2025-09-05,179.58,188.55,179.58,183.28,886.4,147.01,KITEX
2025-09-04,191.0,195.53,179.55,179.58,886.4,147.01,KITEX
2025-09-03,197.0,197.0,188.0,189.01,886.4,147.01,KITEX
2025-09-02,192.0,196.27,191.3,196.22,886.4,147.01,KITEX
2025-09-01,182.0,186.93,181.59,186.93,886.4,147.01,KITEX
2025-08-29,174.14,178.03,169.56,178.03,886.4,147.01,KITEX
2025-08-28,169.56,175.4,169.56,169.56,886.4,147.01,KITEX
2025-08-26,178.49,178.49,178.49,178.49,886.4,147.01,KITEX
2025-08-25,194.73,194.86,187.89,187.89,886.4,147.01,KITEX
2025-08-22,214.0,218.5,197.78,197.78,886.4,147.01,KITEX
2025-08-21,203.0,208.19,202.25,208.19,886.4,147.01,KITEX
2025-08-20,191.97,198.28,190.0,198.28,886.4,147.01,KITEX
2025-08-19,185.25,188.84,182.0,188.84,886.4,147.01,KITEX
2025-08-18,179.79,179.85,175.3,179.85,886.4,147.01,KITEX
2025-08-14,188.25,188.25,170.32,171.29,886.4,147.01,KITEX
2025-08-13,179.29,179.29,179.29,179.29,886.4,147.01,KITEX
2025-08-12,160.01,170.76,158.1,170.76,886.4,147.01,KITEX
2025-08-11,162.63,162.63,162.63,162.63,886.4,147.01,KITEX
2025-08-08,171.19,171.19,171.19,171.19,886.4,147.01,KITEX
2025-08-07,180.21,180.21,180.21,180.21,886.4,147.01,KITEX
2025-08-06,192.0,194.0,189.7,189.7,886.4,147.01,KITEX
2025-08-05,199.69,199.69,199.69,199.69,886.4,147.01,KITEX
2025-08-04,211.0,223.0,206.25,210.2,886.4,147.01,KITEX
2025-07-15,282.0,285.5,280.0,282.55,886.4,147.01,KITEX
2025-07-14,285.5,285.5,272.65,279.45,886.4,147.01,KITEX
2025-07-11,291.0,291.65,282.0,285.5,886.4,147.01,KITEX
2025-07-10,295.4,296.4,285.5,289.75,886.4,147.01,KITEX
2025-07-09,300.0,303.95,290.0,292.65,886.4,147.01,KITEX
2025-07-08,286.4,296.0,284.2,295.35,886.4,147.01,KITEX
2025-07-07,280.8,290.6,278.65,281.95,886.4,147.01,KITEX
2025-07-04,277.4,282.95,273.15,280.6,886.4,147.01,KITEX
2025-07-03,272.5,285.45,272.05,274.0,886.4,147.01,KITEX
2025-07-02,281.15,283.35,270.55,272.55,886.4,147.01,KITEX
2025-07-01,285.0,286.0,280.0,281.05,886.4,147.01,KITEX
2025-06-30,287.25,287.25,277.0,281.35,886.4,147.01,KITEX
2025-06-27,289.0,289.0,275.8,280.55,886.4,147.01,KITEX
2025-06-26,286.0,291.25,277.4,284.3,886.4,147.01,KITEX
2025-06-25,267.0,277.4,267.0,277.4,886.4,147.01,KITEX
2025-06-24,255.0,264.2,254.0,264.2,886.4,147.01,KITEX
2025-06-23,252.1,257.0,247.0,251.65,886.4,147.01,KITEX
2025-05-22,304.0,314.0,293.2,308.98,886.4,147.01,KITEX
2025-05-21,300.0,309.0,285.99,299.79,886.4,147.01,KITEX
2025-05-20,298.0,304.37,281.75,296.57,886.4,147.01,KITEX
2025-05-19,283.8,289.88,282.0,289.88,886.4,147.01,KITEX
2025-05-16,262.94,276.08,262.94,276.08,886.4,147.01,KITEX
2025-05-15,250.5,262.94,248.15,262.94,886.4,147.01,KITEX
2025-05-14,248.6,253.0,241.4,250.42,886.4,147.01,KITEX
2025-05-13,258.22,259.9,244.15,246.71,886.4,147.01,KITEX
2025-05-12,266.86,266.86,250.72,257.0,886.4,147.01,KITEX
2025-04-16,240.72,240.72,240.72,240.72,886.4,147.01,KITEX
2025-04-15,229.26,229.26,229.26,229.26,886.4,147.01,KITEX
2025-04-11,218.35,218.35,214.2,218.35,886.4,147.01,KITEX
2025-04-09,196.91,207.97,191.26,207.96,886.4,147.01,KITEX
2025-04-08,193.8,198.7,192.04,198.07,886.4,147.01,KITEX
2025-04-07,189.24,189.24,189.24,189.24,886.4,147.01,KITEX
2025-04-04,199.2,199.2,193.35,199.2,886.4,147.01,KITEX
2025-04-03,177.0,189.72,172.6,189.72,886.4,147.01,KITEX
2025-04-02,173.0,181.45,169.71,180.69,886.4,147.01,KITEX
2025-04-01,171.15,179.38,171.15,172.81,886.4,147.01,KITEX
2025-03-28,182.0,183.8,175.41,180.14,886.4,147.01,KITEX
2025-03-27,180.0,183.35,177.6,179.38,886.4,147.01,KITEX
2025-03-26,188.5,189.4,179.5,181.12,886.4,147.01,KITEX
2025-03-25,191.52,191.52,179.0,185.77,886.4,147.01,KITEX
2025-03-24,174.25,182.4,173.72,182.4,886.4,147.01,KITEX
2025-03-21,170.9,175.0,169.94,173.72,886.4,147.01,KITEX
2025-03-20,173.1,174.9,169.93,170.9,886.4,147.01,KITEX
2025-03-19,168.49,176.26,168.49,171.52,886.4,147.01,KITEX
2025-03-18,164.0,167.87,161.57,167.87,886.4,147.01,KITEX
2025-03-17,160.99,164.0,155.65,159.88,886.4,147.01,KITEX
2025-03-13,166.08,169.8,159.11,160.79,886.4,147.01,KITEX
2025-03-12,161.9,166.81,159.1,163.52,886.4,147.01,KITEX
2025-03-11,159.91,160.09,155.98,158.87,886.4,147.01,KITEX
2025-03-10,170.75,171.41,162.85,164.19,886.4,147.01,KITEX
2024-12-04,724.4,745.25,722.05,742.55,767.7,177.0,KITEX
2024-12-03,757.0,757.0,707.45,720.7,767.7,177.0,KITEX
2024-12-02,741.8,757.5,727.75,744.65,767.7,177.0,KITEX
2024-11-29,728.0,767.7,722.0,742.45,767.7,177.0,KITEX
2024-11-28,707.9,733.7,701.0,731.15,734.95,177.0,KITEX
2024-11-27,707.0,734.95,682.45,698.8,734.95,177.0,KITEX
2024-11-26,682.0,702.15,664.05,702.15,702.15,177.0,KITEX
2024-11-25,656.0,668.75,637.75,668.75,679.85,177.0,KITEX
2024-11-22,675.0,679.85,633.7,636.95,679.85,177.0,KITEX
2024-11-21,647.0,667.05,636.0,667.05,678.7,177.0,KITEX
2024-11-19,635.3,635.3,633.85,635.3,678.7,177.0,KITEX
2024-11-18,619.8,626.95,591.15,605.05,678.7,177.0,KITEX
2024-11-14,578.0,608.55,564.35,608.4,678.7,177.0,KITEX
2024-11-13,616.0,616.0,578.15,579.6,678.7,177.0,KITEX
2024-11-12,639.0,648.5,602.05,608.55,678.7,177.0,KITEX
2024-11-11,635.1,656.8,623.0,628.05,678.7,177.0,KITEX
2024-11-08,663.7,678.7,627.7,633.75,678.7,177.0,KITEX
2024-11-07,622.95,651.05,618.05,651.05,667.15,177.0,KITEX
2024-11-06,620.8,634.8,606.75,620.05,667.15,177.0,KITEX
2024-11-05,653.0,667.15,611.75,615.8,667.15,177.0,KITEX
2024-11-04,639.9,643.95,626.9,643.95,643.95,177.0,KITEX
2024-11-01,613.3,613.3,613.3,613.3,613.3,177.0,KITEX
2024-10-31,584.1,584.1,575.05,584.1,584.1,177.0,KITEX
2024-10-30,543.95,565.45,511.65,556.3,575.0,177.0,KITEX
2024-10-29,520.9,540.0,520.85,538.55,575.0,177.0,KITEX
2024-10-28,508.05,532.2,502.5,514.85,575.0,177.0,KITEX
2024-10-25,516.95,530.0,483.3,506.9,575.0,177.0,KITEX
2024-10-24,494.0,508.7,490.1,508.7,575.0,177.0,KITEX
2024-10-23,475.0,484.5,473.75,484.5,575.0,177.0,KITEX
2024-10-22,485.05,494.0,460.8,461.45,575.0,177.0,KITEX
2024-10-21,512.2,516.45,484.3,485.05,575.0,177.0,KITEX
2024-10-18,510.0,516.8,491.0,509.75,575.0,177.0,KITEX
2024-10-17,537.0,538.8,507.75,508.75,575.0,177.0,KITEX
2024-10-16,523.0,538.05,520.0,534.45,575.0,177.0,KITEX
2024-10-15,543.4,543.4,520.5,523.4,575.0,177.0,KITEX
2024-10-14,528.85,546.5,505.6,533.85,575.0,177.0,KITEX
2024-10-11,565.0,565.0,522.45,522.45,575.0,177.0,KITEX
2024-10-10,549.95,549.95,543.35,549.95,575.0,177.0,KITEX
2024-10-09,504.9,523.8,503.0,523.8,575.0,177.0,KITEX
2024-10-08,477.15,514.0,477.15,498.9,575.0,177.0,KITEX
2024-10-07,516.0,525.0,502.25,502.25,575.0,177.0,KITEX
2024-10-04,558.0,575.0,528.65,528.65,575.0,177.0,KITEX
2024-10-03,544.9,569.0,530.55,556.45,569.0,177.0,KITEX
2024-10-01,541.95,541.95,510.55,541.95,542.0,177.0,KITEX
2024-09-30,516.15,516.15,516.15,516.15,542.0,177.0,KITEX
2024-09-27,472.9,491.6,466.2,491.6,542.0,177.0,KITEX
2024-09-26,480.0,486.0,463.2,468.2,542.0,177.0,KITEX
2024-09-25,456.55,479.25,451.95,476.2,542.0,177.0,KITEX
2024-09-24,472.35,472.35,453.0,456.5,542.0,177.0,KITEX
2024-09-23,485.95,495.95,465.7,466.95,542.0,177.0,KITEX
2024-09-20,455.0,483.05,441.55,483.05,542.0,177.0,KITEX
2024-09-19,497.25,497.25,461.55,461.55,542.0,177.0,KITEX
2024-09-18,520.0,520.0,483.85,485.85,542.0,177.0,KITEX
2024-09-17,528.85,540.05,504.05,509.3,542.0,177.0,KITEX
2024-09-16,520.0,542.0,503.05,530.55,542.0,177.0,KITEX
2024-09-13,508.4,516.3,493.0,516.3,516.3,177.0,KITEX
2024-09-12,482.0,491.75,470.2,491.75,504.8,177.0,KITEX
2024-09-11,472.95,484.7,462.65,468.35,504.8,177.0,KITEX
2024-09-10,504.0,504.8,464.0,465.8,504.8,177.0,KITEX
2024-09-09,466.85,488.4,460.25,488.4,488.4,177.0,KITEX
2024-09-06,424.8,467.6,412.0,465.15,467.6,177.0,KITEX
2024-09-05,422.5,440.0,422.5,425.1,441.85,177.0,KITEX
2024-09-04,409.0,441.85,401.7,421.35,441.85,177.0,KITEX
2024-09-03,366.0,401.7,361.9,401.7,401.7,177.0,KITEX
2024-09-02,371.0,371.0,356.35,365.2,393.85,177.0,KITEX
2024-08-30,362.95,373.7,356.5,367.02,393.85,177.0,KITEX
2024-08-29,368.5,372.0,353.6,363.18,393.85,177.0,KITEX
2024-08-28,369.45,378.1,365.15,368.72,393.85,177.0,KITEX
2024-08-27,366.85,374.0,360.11,367.16,393.85,177.0,KITEX
2024-08-26,383.7,384.75,363.25,370.25,393.85,177.0,KITEX
2024-08-23,380.95,392.0,375.0,382.33,393.85,177.0,KITEX
2024-08-22,352.86,379.57,344.0,376.95,393.85,177.0,KITEX
2024-08-21,347.75,356.0,335.25,350.37,393.85,177.0,KITEX
2024-08-20,380.0,393.85,339.0,344.31,393.85,177.0,KITEX
2024-08-19,328.4,375.0,325.15,369.84,375.0,177.0,KITEX
2024-08-16,284.0,339.1,277.0,323.82,339.1,176.2,KITEX
2024-08-14,241.0,286.69,230.0,286.2,287.6,176.2,KITEX
2024-08-13,243.02,247.8,237.55,238.91,287.6,176.2,KITEX
2024-08-12,242.29,252.0,239.64,245.59,287.6,176.2,KITEX
2024-08-09,251.1,254.0,239.39,241.11,287.6,173.6,KITEX
2024-08-08,255.57,256.94,246.75,248.63,287.6,173.6,KITEX
2024-08-07,252.92,274.35,251.01,255.57,287.6,173.6,KITEX
2024-08-06,217.0,251.0,216.0,246.64,287.6,173.6,KITEX
2024-08-05,218.85,220.67,209.42,210.8,287.6,173.6,KITEX
2024-08-02,224.0,229.82,220.0,227.63,287.6,173.6,KITEX
2024-08-01,235.4,235.84,225.59,227.82,287.6,173.6,KITEX
2024-07-31,233.45,236.99,231.7,234.18,287.6,173.6,KITEX
2024-07-30,232.9,237.01,231.05,231.75,287.6,173.6,KITEX
2024-07-29,232.9,236.3,229.0,231.21,287.6,173.6,KITEX
2024-07-26,226.45,236.34,225.5,231.25,287.6,173.6,KITEX
2024-07-25,223.46,226.01,220.78,225.01,287.6,173.6,KITEX
2024-07-24,217.19,228.43,217.19,223.46,287.6,173.6,KITEX
2024-07-23,218.88,223.5,212.1,217.19,287.6,173.6,KITEX
2024-07-22,216.0,223.79,212.58,218.06,287.6,173.6,KITEX
2024-07-19,224.1,226.24,217.0,217.54,287.6,173.6,KITEX
2024-07-18,233.9,233.9,224.11,226.63,287.6,173.6,KITEX
2024-07-16,220.8,239.25,219.82,233.7,287.6,173.6,KITEX
2024-07-15,220.85,222.0,216.5,219.8,287.6,173.6,KITEX
2024-07-12,217.95,218.75,215.22,215.95,287.6,173.6,KITEX
2024-07-11,215.5,220.75,215.37,216.81,287.6,173.6,KITEX
2024-07-10,217.29,217.96,210.15,214.61,287.6,173.6,KITEX
2024-07-09,215.0,219.9,215.0,217.06,287.6,173.6,KITEX
2024-07-08,222.0,222.0,214.48,216.8,287.6,173.6,KITEX
2024-07-05,213.25,222.76,212.46,221.02,287.6,173.6,KITEX
2024-07-04,212.2,216.0,211.85,212.93,287.6,173.6,KITEX
2024-07-03,214.99,215.83,211.3,211.79,287.6,173.6,KITEX
2024-07-02,214.07,216.0,210.15,213.45,287.6,173.6,KITEX
2024-07-01,210.8,215.75,208.0,213.18,287.6,173.6,KITEX
