DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,377.55,385.65,375.7,381.1,495.0,241.25,KRBL
2025-10-16,378.25,381.0,371.0,377.95,495.0,241.25,KRBL
2025-10-15,368.0,386.15,365.45,378.25,495.0,241.25,KRBL
2025-10-14,368.0,376.95,356.75,368.15,495.0,241.25,KRBL
2025-10-13,367.65,369.85,363.2,368.05,495.0,241.25,KRBL
2025-10-10,349.9,373.75,345.45,370.9,495.0,241.25,KRBL
2025-10-09,350.0,350.05,344.7,347.35,495.0,241.25,KRBL
2025-10-08,347.75,351.0,342.4,349.4,495.0,241.25,KRBL
2025-10-07,348.0,349.0,342.0,347.75,495.0,241.25,KRBL
2025-10-06,351.95,352.85,344.25,346.2,495.0,241.25,KRBL
2025-10-03,352.0,354.95,344.15,348.5,495.0,241.25,KRBL
2025-10-01,343.55,347.9,340.55,343.7,495.0,241.25,KRBL
2025-09-30,350.3,350.85,342.0,344.45,495.0,241.25,KRBL
2025-09-29,346.0,354.0,342.7,347.1,495.0,241.25,KRBL
2025-09-26,363.7,363.7,348.3,350.9,495.0,241.25,KRBL
2025-09-25,368.9,372.2,360.2,362.5,495.0,241.25,KRBL
2025-09-24,373.45,377.6,365.2,367.05,495.0,241.25,KRBL
2025-09-23,391.0,392.45,369.45,371.65,495.0,241.25,KRBL
2025-09-22,395.4,400.2,388.0,389.75,495.0,241.25,KRBL
2025-09-19,404.0,404.0,394.0,395.45,495.0,241.25,KRBL
2025-09-18,408.85,408.85,399.55,402.35,495.0,241.25,KRBL
2025-09-17,408.0,422.5,402.0,404.75,495.0,241.25,KRBL
2025-09-16,402.45,413.25,399.25,403.85,495.0,241.25,KRBL
2025-09-15,406.0,413.9,387.1,401.45,495.0,241.25,KRBL
2025-09-12,444.95,450.2,439.25,444.1,495.0,241.25,KRBL
2025-09-11,442.35,451.95,440.2,447.15,495.0,241.25,KRBL
2025-09-10,461.9,467.3,438.5,440.2,495.0,241.25,KRBL
2025-09-09,467.1,478.0,458.35,461.85,495.0,241.25,KRBL
2025-09-08,455.95,479.0,451.8,467.55,495.0,241.25,KRBL
2025-09-05,455.0,470.6,454.05,455.95,495.0,241.25,KRBL
2025-09-04,467.25,467.25,453.35,455.9,495.0,241.25,KRBL
2025-09-03,463.35,467.9,451.75,456.9,495.0,241.25,KRBL
2025-09-02,445.05,479.0,441.05,465.6,495.0,241.25,KRBL
2025-09-01,432.45,454.95,427.0,447.25,495.0,241.25,KRBL
2025-08-29,437.0,444.0,430.0,431.1,495.0,241.25,KRBL
2025-08-28,445.35,456.3,435.0,440.45,495.0,241.25,KRBL
2025-08-26,452.05,464.95,442.55,447.05,495.0,241.25,KRBL
2025-08-25,475.6,477.25,435.0,450.7,495.0,241.25,KRBL
2025-08-22,477.75,495.0,470.15,473.3,495.0,241.25,KRBL
2025-08-21,473.7,486.9,470.05,477.75,495.0,241.25,KRBL
2025-08-20,472.0,478.15,466.05,469.75,495.0,241.25,KRBL
2025-08-19,473.3,481.6,470.0,472.15,495.0,241.25,KRBL
2025-08-18,473.35,486.75,464.25,475.6,495.0,241.25,KRBL
2025-08-14,484.8,484.8,464.05,469.55,495.0,241.25,KRBL
2025-08-13,448.15,495.0,447.0,487.15,495.0,241.25,KRBL
2025-08-12,444.8,470.95,437.8,450.8,470.95,241.25,KRBL
2025-08-11,427.95,449.0,417.55,446.85,449.0,241.25,KRBL
2025-08-08,390.0,434.0,390.0,427.9,434.0,241.25,KRBL
2025-08-07,371.0,378.25,360.0,371.85,418.85,241.25,KRBL
2025-08-06,378.0,378.55,369.15,373.0,418.85,241.25,KRBL
2025-08-05,382.7,382.7,373.15,377.95,418.85,241.25,KRBL
2025-08-04,369.95,382.95,366.0,379.9,418.85,241.25,KRBL
2025-08-01,380.0,385.75,367.65,369.95,418.85,241.25,KRBL
2025-07-31,384.1,391.5,382.35,384.65,418.85,241.25,KRBL
2025-07-30,397.4,401.8,391.4,393.05,418.85,241.25,KRBL
2025-07-29,385.3,400.0,380.25,397.4,418.85,241.25,KRBL
2025-07-28,390.15,397.5,383.2,385.3,418.85,241.25,KRBL
2025-07-25,406.75,406.95,388.1,390.15,418.85,241.25,KRBL
2025-07-24,412.0,417.5,403.2,404.9,418.85,241.25,KRBL
2025-07-23,413.0,416.75,406.05,409.55,418.85,241.25,KRBL
2025-07-22,415.0,418.85,411.0,413.55,418.85,241.25,KRBL
2025-07-21,408.35,415.95,396.55,414.0,415.95,241.25,KRBL
2025-07-18,396.95,412.5,396.2,406.8,412.5,241.25,KRBL
2025-07-17,394.0,402.1,394.0,396.0,406.9,241.25,KRBL
2025-07-16,380.05,403.7,380.05,393.15,406.9,241.25,KRBL
2025-07-15,379.25,385.3,378.6,379.65,406.9,241.25,KRBL
2025-07-14,388.55,388.7,374.4,378.75,406.9,241.25,KRBL
2025-07-11,395.5,399.8,386.1,388.55,406.9,241.25,KRBL
2025-07-10,403.05,406.9,395.35,398.75,406.9,241.25,KRBL
2025-07-09,396.75,405.0,396.75,401.6,405.45,241.25,KRBL
2025-07-08,392.1,402.0,392.05,396.55,405.45,241.25,KRBL
2025-07-07,394.95,402.0,389.0,391.85,405.45,241.25,KRBL
2025-07-04,395.8,405.45,393.2,396.8,405.45,241.25,KRBL
2025-07-03,380.0,398.0,377.55,396.8,398.0,241.25,KRBL
2025-07-02,376.25,390.4,372.75,379.5,390.4,241.25,KRBL
2025-07-01,366.95,380.8,366.95,375.3,384.0,241.25,KRBL
2025-06-30,368.05,376.1,364.2,365.7,384.0,241.25,KRBL
2025-06-27,355.2,370.0,355.05,367.45,384.0,241.25,KRBL
2025-06-26,356.5,366.4,353.3,356.25,384.0,241.25,KRBL
2025-06-25,358.15,365.45,352.35,359.3,384.0,241.25,KRBL
2025-06-24,345.0,362.5,337.25,356.15,384.0,241.25,KRBL
2025-06-23,340.0,343.65,331.2,332.9,384.0,241.25,KRBL
2025-06-20,345.0,349.1,340.35,342.35,384.0,241.25,KRBL
2025-06-19,350.0,356.1,342.0,345.5,384.0,241.25,KRBL
2025-06-18,355.95,363.85,347.4,350.25,384.0,241.25,KRBL
2025-06-17,360.05,366.85,353.05,356.65,384.0,241.25,KRBL
2025-06-16,360.0,364.0,353.85,360.05,384.0,241.25,KRBL
2025-06-13,367.0,371.7,359.95,360.45,384.0,241.25,KRBL
2025-06-12,378.4,383.85,372.0,373.55,384.0,241.25,KRBL
2025-06-11,371.95,384.0,371.95,380.0,384.0,241.25,KRBL
2025-06-10,373.2,377.65,369.35,373.75,377.65,241.25,KRBL
2025-06-09,373.9,374.9,366.75,371.15,376.0,241.25,KRBL
2025-06-06,368.95,376.0,366.6,372.3,376.0,241.25,KRBL
2025-06-05,369.85,375.0,365.25,366.6,375.0,241.25,KRBL
2025-06-04,365.95,374.5,365.0,366.6,374.5,241.25,KRBL
2025-06-03,361.9,367.4,359.0,364.55,372.0,241.25,KRBL
2025-06-02,352.05,364.75,351.75,360.35,372.0,241.25,KRBL
2025-05-30,360.0,363.9,351.3,352.85,372.0,241.25,KRBL
2025-05-29,365.95,372.0,357.05,358.45,372.0,241.25,KRBL
2025-05-28,361.5,369.3,361.35,365.85,370.0,241.25,KRBL
2025-05-27,361.25,367.0,360.5,361.7,370.0,241.25,KRBL
2025-05-26,364.95,370.0,361.55,364.25,370.0,241.25,KRBL
2025-05-23,354.9,365.0,352.7,363.25,365.0,241.25,KRBL
2025-05-22,358.0,362.8,350.3,353.9,362.8,241.25,KRBL
2025-05-21,347.6,362.0,344.6,358.25,362.0,241.25,KRBL
2025-05-20,351.4,354.6,340.55,347.45,355.55,241.25,KRBL
2025-05-19,339.3,355.55,335.55,349.5,355.55,241.25,KRBL
2025-05-16,324.25,330.0,322.1,323.95,348.7,241.25,KRBL
2025-05-15,319.9,327.25,319.9,321.55,348.7,241.25,KRBL
2025-05-14,318.15,322.4,315.8,317.5,348.7,241.25,KRBL
2025-05-13,314.5,322.0,312.25,318.1,348.7,241.25,KRBL
2025-05-12,308.5,319.6,308.05,314.5,348.7,241.25,KRBL
2025-05-09,300.0,306.6,297.0,300.95,348.7,241.25,KRBL
2025-05-08,307.25,315.5,307.0,308.15,348.7,241.25,KRBL
2025-05-07,291.05,314.0,291.05,307.05,348.7,241.25,KRBL
2025-05-06,304.15,305.8,293.4,295.3,348.7,241.25,KRBL
2025-05-05,306.0,308.85,302.5,304.15,348.7,241.25,KRBL
