DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,837.3,856.9,828.6,849.4,1012.0,416.07,KRN
2025-10-17,838.4,843.5,832.0,833.9,1012.0,416.07,KRN
2025-10-16,841.0,845.0,832.95,836.7,1012.0,416.07,KRN
2025-10-15,833.0,840.45,831.65,833.95,1012.0,416.07,KRN
2025-10-14,850.7,864.7,828.05,831.2,1012.0,416.07,KRN
2025-10-13,845.0,862.75,837.2,849.05,1012.0,416.07,KRN
2025-10-10,829.7,848.95,829.7,845.3,1012.0,402.1,KRN
2025-10-09,833.5,834.95,821.75,829.05,1012.0,402.1,KRN
2025-10-08,848.0,848.0,830.0,832.5,1012.0,402.1,KRN
2025-10-07,848.7,892.0,832.5,844.35,1012.0,402.1,KRN
2025-10-06,832.0,842.4,821.15,827.25,1012.0,402.1,KRN
2025-10-03,831.0,835.6,821.0,828.65,1012.0,402.1,KRN
2025-10-01,840.0,847.9,827.85,830.25,1012.0,402.1,KRN
2025-09-30,840.0,850.8,831.2,840.45,1012.0,402.1,KRN
2025-09-29,837.7,851.65,827.5,845.45,1012.0,402.1,KRN
2025-09-26,854.5,863.0,818.0,830.9,1012.0,402.1,KRN
2025-09-25,857.2,866.0,853.2,855.75,1012.0,402.1,KRN
2025-09-24,858.7,866.85,850.0,855.4,1012.0,402.1,KRN
2025-09-23,877.95,881.0,850.0,854.15,1012.0,402.1,KRN
2025-09-22,888.25,894.65,871.0,875.65,1012.0,402.1,KRN
2025-09-19,874.4,889.75,866.55,883.75,1012.0,402.1,KRN
2025-09-18,880.5,880.5,865.0,871.75,1012.0,402.1,KRN
2025-09-17,875.7,880.8,865.0,874.5,1012.0,402.1,KRN
2025-09-16,854.95,898.0,854.95,872.3,1012.0,402.1,KRN
2025-09-15,852.9,861.2,847.1,852.85,1012.0,402.1,KRN
2025-09-12,860.7,866.2,847.1,850.6,1012.0,402.1,KRN
2025-09-11,867.0,874.85,852.55,857.4,1012.0,402.1,KRN
2025-09-10,861.8,874.9,858.35,861.7,1012.0,402.1,KRN
2025-09-09,865.9,874.0,855.0,858.3,1012.0,402.1,KRN
2025-09-08,876.95,882.0,861.5,863.9,1012.0,402.1,KRN
2025-09-05,872.0,886.0,868.1,874.15,1012.0,402.1,KRN
2025-09-04,890.0,908.05,861.5,865.6,1012.0,402.1,KRN
2025-09-03,882.0,890.8,877.1,882.1,1012.0,402.1,KRN
2025-09-02,898.0,905.6,875.6,882.1,1012.0,402.1,KRN
2025-09-01,869.0,920.95,861.4,892.55,1012.0,402.1,KRN
2025-08-29,888.4,896.9,857.5,862.35,1012.0,402.1,KRN
2025-08-28,905.95,913.05,882.0,887.2,1012.0,402.1,KRN
2025-08-26,938.0,949.05,902.0,907.3,1012.0,402.1,KRN
2025-08-25,959.9,989.45,934.1,941.35,1012.0,402.1,KRN
2025-08-22,870.45,962.95,870.35,955.3,1012.0,402.1,KRN
2025-08-21,903.7,907.4,870.0,872.15,1012.0,402.1,KRN
2025-08-20,917.6,926.2,893.45,899.0,1012.0,402.1,KRN
2025-08-19,877.7,917.0,863.65,911.25,1012.0,402.1,KRN
2025-08-18,862.0,875.75,856.85,873.25,1012.0,402.1,KRN
2025-08-14,881.0,882.9,846.25,853.0,1012.0,402.1,KRN
2025-08-13,903.0,907.5,876.55,879.55,1012.0,402.1,KRN
2025-08-12,877.4,921.7,871.3,901.45,1012.0,402.1,KRN
2025-08-11,859.6,895.1,842.05,874.7,1012.0,402.1,KRN
2025-08-08,883.5,885.7,848.0,859.6,1012.0,402.1,KRN
2025-08-07,839.05,889.0,833.35,883.7,1012.0,402.1,KRN
2025-08-06,856.15,859.95,833.05,842.4,1012.0,402.1,KRN
2025-08-05,851.7,862.9,842.2,858.75,1012.0,402.1,KRN
2025-08-04,822.65,862.9,812.1,855.65,1012.0,402.1,KRN
2025-08-01,830.0,857.95,815.0,824.55,1012.0,402.1,KRN
2025-07-31,854.7,877.0,840.6,850.25,1012.0,402.1,KRN
2025-07-30,817.9,877.25,817.9,860.05,1012.0,402.1,KRN
2025-07-29,821.0,823.8,791.75,812.75,1012.0,402.1,KRN
2025-07-28,840.0,856.0,817.0,823.7,1012.0,402.1,KRN
2025-07-25,846.0,852.7,821.0,842.0,1012.0,402.1,KRN
2025-07-24,871.0,871.0,843.05,847.35,1012.0,402.1,KRN
2025-07-23,854.4,872.6,842.0,868.0,1012.0,402.1,KRN
2025-07-22,835.7,863.3,832.0,849.9,1012.0,402.1,KRN
2025-07-21,850.8,854.5,826.9,830.55,1012.0,402.1,KRN
2025-07-18,857.0,858.0,844.65,850.1,1012.0,402.1,KRN
2025-07-17,872.0,879.8,850.2,857.0,1012.0,402.1,KRN
2025-07-16,863.65,872.0,856.9,865.45,1012.0,402.1,KRN
2025-07-15,886.7,915.95,856.0,860.35,1012.0,402.1,KRN
2025-07-14,885.75,892.15,872.9,883.25,1012.0,402.1,KRN
2025-07-11,917.0,918.1,878.9,886.75,1012.0,402.1,KRN
2025-07-10,918.4,941.95,906.9,915.7,1012.0,402.1,KRN
2025-07-09,930.0,939.9,913.75,916.45,1012.0,402.1,KRN
2025-07-08,931.95,948.8,920.15,935.0,1012.0,402.1,KRN
2025-07-07,814.75,942.7,806.5,933.4,1012.0,402.1,KRN
2025-07-04,830.0,836.6,812.0,816.7,1012.0,402.1,KRN
2025-07-03,860.0,863.7,825.1,829.65,1012.0,402.1,KRN
2025-07-02,857.7,870.0,848.85,859.65,1012.0,402.1,KRN
2025-07-01,850.5,868.0,850.0,858.4,1012.0,402.1,KRN
2025-06-30,823.9,854.8,821.0,849.2,1012.0,402.1,KRN
2025-06-27,832.0,835.0,817.65,820.45,1012.0,402.1,KRN
2025-06-26,843.7,848.75,828.0,830.6,1012.0,402.1,KRN
2025-06-25,853.95,875.9,837.15,840.55,1012.0,402.1,KRN
2025-06-24,818.7,872.55,818.65,848.25,1012.0,402.1,KRN
2025-06-23,810.2,815.9,799.7,808.65,1012.0,402.1,KRN
2025-06-20,805.8,834.0,803.05,816.85,1012.0,402.1,KRN
2025-06-19,782.0,821.0,776.1,808.35,1012.0,402.1,KRN
2025-06-18,748.7,785.0,737.0,781.45,1012.0,402.1,KRN
2025-06-17,730.0,774.6,722.2,748.35,1012.0,402.1,KRN
2025-06-16,718.0,734.0,709.0,730.05,1012.0,402.1,KRN
2025-06-13,733.65,734.0,718.3,719.85,1012.0,402.1,KRN
2025-06-12,768.7,773.8,740.1,746.5,1012.0,402.1,KRN
2025-06-11,777.0,780.95,762.85,768.0,1012.0,402.1,KRN
2025-06-10,761.7,777.0,755.0,771.35,1012.0,402.1,KRN
2025-06-09,759.0,772.55,745.0,753.8,1012.0,402.1,KRN
2025-06-06,763.0,764.5,750.0,753.45,1012.0,402.1,KRN
2025-06-05,757.0,776.55,757.0,761.25,1012.0,402.1,KRN
2025-06-04,758.0,761.4,749.3,754.95,1012.0,402.1,KRN
