DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,134.8,136.41,132.0,132.7,248.0,117.0,LAMBODHARA
2025-11-28,133.01,135.89,132.3,133.8,248.0,117.0,LAMBODHARA
2025-11-27,134.4,134.88,132.31,133.46,248.0,117.0,LAMBODHARA
2025-11-26,133.0,134.87,131.1,133.72,248.0,117.0,LAMBODHARA
2025-11-25,132.9,134.23,129.12,132.54,248.0,117.0,LAMBODHARA
2025-11-24,138.12,139.7,130.51,132.05,248.0,117.0,LAMBODHARA
2025-11-21,134.4,138.67,134.4,137.44,248.0,117.0,LAMBODHARA
2025-11-20,138.08,143.8,132.15,134.4,248.0,117.0,LAMBODHARA
2025-11-19,138.4,139.9,135.1,138.08,248.0,117.0,LAMBODHARA
2025-11-18,131.2,137.8,131.2,136.34,248.0,117.0,LAMBODHARA
2025-11-17,134.4,134.4,132.47,133.09,248.0,117.0,LAMBODHARA
2025-11-14,132.01,134.39,131.81,132.46,248.0,117.0,LAMBODHARA
2025-11-13,131.0,133.98,130.5,132.74,248.0,117.0,LAMBODHARA
2025-11-12,133.0,133.0,128.39,130.47,248.0,117.0,LAMBODHARA
2025-11-11,134.46,134.49,131.25,132.6,248.0,117.0,LAMBODHARA
2025-11-10,132.0,138.0,130.5,133.8,248.0,117.0,LAMBODHARA
2025-11-07,129.99,132.98,129.0,131.17,248.0,117.0,LAMBODHARA
2025-11-06,132.07,133.63,132.0,132.12,248.0,117.0,LAMBODHARA
2025-11-04,132.02,133.99,132.02,132.97,248.0,117.0,LAMBODHARA
2025-11-03,136.16,138.51,131.51,131.9,248.0,117.0,LAMBODHARA
2025-10-31,132.0,141.69,132.0,136.15,248.0,117.0,LAMBODHARA
2025-10-30,132.3,133.2,131.22,132.14,248.0,117.0,LAMBODHARA
2025-10-29,130.85,133.0,130.85,132.49,248.0,117.0,LAMBODHARA
2025-10-28,133.94,134.78,129.5,130.85,248.0,117.0,LAMBODHARA
2025-10-27,133.25,135.45,131.1,133.94,248.0,117.0,LAMBODHARA
2025-10-24,132.0,135.0,132.0,133.25,248.0,117.0,LAMBODHARA
2025-10-23,134.98,138.4,131.79,133.15,248.0,117.0,LAMBODHARA
2025-10-21,129.1,133.74,129.0,132.27,248.0,117.0,LAMBODHARA
2025-10-20,131.88,133.08,130.0,130.64,248.0,117.0,LAMBODHARA
2025-10-17,134.3,135.27,130.2,131.88,248.0,117.0,LAMBODHARA
2025-10-16,129.9,139.8,127.32,133.73,248.0,117.0,LAMBODHARA
2025-10-15,129.9,131.5,128.1,128.7,248.0,117.0,LAMBODHARA
2025-10-14,132.24,132.76,126.2,128.31,248.0,117.0,LAMBODHARA
2025-10-13,131.6,132.97,130.5,132.24,248.0,117.0,LAMBODHARA
2025-10-10,134.84,135.0,130.66,132.44,248.0,117.0,LAMBODHARA
2025-10-09,136.7,137.89,133.12,134.05,248.0,117.0,LAMBODHARA
2025-10-08,134.46,138.1,133.12,135.0,248.0,117.0,LAMBODHARA
2025-10-07,136.54,137.74,132.4,133.58,248.0,117.0,LAMBODHARA
2025-10-06,137.2,142.0,135.15,136.33,248.0,117.0,LAMBODHARA
2025-10-03,131.45,138.8,131.45,136.17,248.0,117.0,LAMBODHARA
2025-10-01,131.94,134.49,131.43,132.23,248.0,117.0,LAMBODHARA
2025-09-30,135.71,135.71,130.06,132.13,248.0,117.0,LAMBODHARA
2025-09-29,138.0,142.34,133.1,134.63,248.0,117.0,LAMBODHARA
2025-09-26,129.49,151.96,127.0,136.31,248.0,117.0,LAMBODHARA
2025-09-25,131.99,131.99,128.61,128.91,248.0,117.0,LAMBODHARA
2025-09-24,132.49,133.96,130.35,131.31,248.0,117.0,LAMBODHARA
2025-09-23,136.55,136.59,130.11,131.44,248.0,117.0,LAMBODHARA
2025-09-22,138.0,138.99,134.0,134.54,248.0,117.0,LAMBODHARA
2025-09-19,138.06,140.13,136.16,136.74,248.0,117.0,LAMBODHARA
2025-09-18,138.79,144.48,135.6,137.98,248.0,117.0,LAMBODHARA
2025-09-17,139.9,141.99,135.63,136.55,248.0,117.0,LAMBODHARA
2025-09-16,141.9,143.84,135.67,138.38,248.0,117.0,LAMBODHARA
2025-09-15,157.07,162.0,138.75,142.83,248.0,117.0,LAMBODHARA
2025-09-12,129.79,152.68,127.25,152.68,248.0,117.0,LAMBODHARA
2025-09-11,128.75,129.49,126.05,127.24,248.0,117.0,LAMBODHARA
2025-09-10,128.77,132.39,125.51,126.99,248.0,117.0,LAMBODHARA
2025-09-09,128.0,129.97,125.21,126.94,248.0,117.0,LAMBODHARA
2025-09-08,127.38,128.78,122.85,126.04,248.0,117.0,LAMBODHARA
2025-09-05,127.11,130.0,125.66,127.38,248.0,117.0,LAMBODHARA
2025-09-04,128.15,131.59,125.0,126.3,248.0,117.0,LAMBODHARA
2025-09-03,129.0,129.99,127.0,127.44,248.0,117.0,LAMBODHARA
2025-09-02,125.49,129.65,124.02,128.43,248.0,117.0,LAMBODHARA
2025-09-01,123.58,125.07,122.0,123.17,248.0,117.0,LAMBODHARA
2025-08-29,121.06,127.58,117.0,123.53,248.0,117.0,LAMBODHARA
2025-08-28,124.18,124.18,118.0,120.0,248.0,117.93,LAMBODHARA
2025-08-26,126.78,126.78,121.0,121.76,248.0,117.93,LAMBODHARA
2025-08-25,127.15,130.0,125.0,125.52,248.0,117.93,LAMBODHARA
2025-08-22,129.75,130.6,127.35,129.85,248.0,117.93,LAMBODHARA
2025-08-21,132.69,133.0,127.61,130.08,248.0,117.93,LAMBODHARA
2025-08-20,127.98,132.03,127.98,130.91,248.0,117.93,LAMBODHARA
2025-08-19,119.8,138.39,117.93,127.69,248.0,117.93,LAMBODHARA
2025-08-18,122.19,125.98,118.0,119.06,248.0,118.0,LAMBODHARA
2025-08-14,124.0,126.0,121.15,121.48,248.0,118.81,LAMBODHARA
2025-08-13,126.0,126.9,122.25,123.09,248.0,118.81,LAMBODHARA
2025-08-12,128.0,128.7,124.52,127.53,248.0,118.81,LAMBODHARA
2025-08-11,125.15,127.38,123.31,125.63,248.0,118.81,LAMBODHARA
2025-08-08,125.41,127.09,122.5,122.69,248.0,118.81,LAMBODHARA
2025-08-07,130.81,130.81,124.5,125.41,248.0,118.81,LAMBODHARA
2025-08-06,127.32,131.0,122.82,128.86,248.0,118.81,LAMBODHARA
2025-08-05,126.73,127.9,125.61,125.86,248.0,118.81,LAMBODHARA
2025-08-04,127.24,128.16,125.0,125.41,248.0,118.81,LAMBODHARA
2025-08-01,127.0,130.97,125.15,126.97,248.0,118.81,LAMBODHARA
2025-07-31,132.4,132.93,128.0,129.29,248.0,118.81,LAMBODHARA
2025-07-30,135.26,135.65,130.5,131.96,248.0,118.81,LAMBODHARA
2025-07-29,135.01,135.01,132.6,133.05,248.0,118.81,LAMBODHARA
2025-07-28,133.6,135.74,132.06,134.29,248.0,118.81,LAMBODHARA
2025-07-25,137.94,137.94,132.01,133.1,248.0,118.81,LAMBODHARA
2025-07-24,139.01,141.0,136.2,136.36,248.0,118.81,LAMBODHARA
2025-07-23,139.44,139.9,136.98,138.56,248.0,118.81,LAMBODHARA
2025-07-22,137.55,139.8,136.05,137.86,248.0,118.81,LAMBODHARA
2025-07-21,140.12,140.87,137.31,137.98,248.0,118.81,LAMBODHARA
2025-07-18,138.02,141.86,138.02,139.1,248.0,118.81,LAMBODHARA
2025-07-17,139.31,139.95,137.7,138.48,248.0,118.81,LAMBODHARA
2025-07-16,136.4,139.8,135.99,136.65,248.0,118.81,LAMBODHARA
2025-07-15,136.0,139.9,136.0,136.93,248.0,118.81,LAMBODHARA
2025-07-14,143.0,143.0,136.5,137.14,248.0,118.81,LAMBODHARA
2025-07-11,138.22,141.18,137.49,140.41,248.0,118.81,LAMBODHARA
