DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,1650.1,1668.8,1647.0,1654.1,1749.0,1627.8,LGEINDIA
2025-10-27,1643.0,1655.3,1628.5,1650.1,1749.0,1627.8,LGEINDIA
2025-10-24,1663.4,1671.5,1636.1,1648.7,1749.0,1627.8,LGEINDIA
2025-10-23,1675.0,1698.4,1654.7,1663.4,1749.0,1627.8,LGEINDIA
2025-10-21,1674.2,1680.5,1665.5,1669.2,1749.0,1627.8,LGEINDIA
2025-10-20,1673.4,1686.4,1645.0,1665.2,1749.0,1627.8,LGEINDIA
2025-10-17,1675.0,1701.3,1627.8,1668.0,1749.0,1627.8,LGEINDIA
2025-10-16,1688.9,1705.0,1662.0,1671.3,1749.0,1650.0,LGEINDIA
2025-10-15,1698.0,1728.9,1680.2,1688.1,1749.0,1650.0,LGEINDIA
2025-10-14,1710.1,1749.0,1650.0,1689.9,1749.0,1650.0,LGEINDIA
