DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,297.55,318.75,288.45,318.75,959.0,274.0,LGHL
2025-10-16,304.0,312.3,302.75,303.6,959.0,274.0,LGHL
2025-10-15,330.35,330.4,318.65,318.65,959.0,274.0,LGHL
2025-10-14,359.75,359.75,335.1,335.4,959.0,274.0,LGHL
2025-10-13,386.0,386.0,349.85,352.7,959.0,274.0,LGHL
2025-10-10,395.0,395.0,365.0,368.25,959.0,274.0,LGHL
2025-10-09,885.05,913.0,874.3,903.6,959.0,274.0,LGHL
2025-10-08,912.0,914.85,882.05,890.25,959.0,274.0,LGHL
2025-10-07,937.8,937.8,890.0,905.0,959.0,274.0,LGHL
2025-10-06,948.0,948.75,920.0,926.45,959.0,274.0,LGHL
2025-10-03,927.2,940.0,909.1,932.2,959.0,274.0,LGHL
2025-10-01,918.45,930.0,900.1,904.6,959.0,274.0,LGHL
2025-09-30,891.0,934.85,891.0,918.55,959.0,274.0,LGHL
2025-09-29,919.9,922.0,900.0,900.7,959.0,274.0,LGHL
2025-09-26,944.95,944.95,894.0,919.9,959.0,274.0,LGHL
2025-09-25,932.45,936.05,900.05,909.15,959.0,274.0,LGHL
2025-09-24,959.0,959.0,928.0,938.25,959.0,274.0,LGHL
2025-09-23,925.0,954.55,918.75,945.5,958.0,274.0,LGHL
2025-09-22,930.0,935.7,911.0,920.05,958.0,274.0,LGHL
2025-09-19,949.0,953.2,907.05,936.7,958.0,266.5,LGHL
2025-09-18,932.0,940.0,916.85,932.2,958.0,266.5,LGHL
2025-09-17,940.0,940.0,912.3,922.4,958.0,266.5,LGHL
2025-09-16,907.0,940.0,906.0,925.65,958.0,266.5,LGHL
2025-09-15,958.0,958.0,875.05,906.4,958.0,266.5,LGHL
2025-09-12,880.0,913.1,880.0,913.1,950.0,266.05,LGHL
2025-09-11,910.0,910.0,858.9,869.65,950.0,266.05,LGHL
2025-09-10,937.8,950.0,894.3,904.1,950.0,266.05,LGHL
2025-09-09,900.0,937.8,871.45,912.1,937.8,266.05,LGHL
2025-09-08,900.0,913.05,851.0,893.15,913.05,266.05,LGHL
2025-09-05,780.6,830.05,760.5,830.05,896.0,265.6,LGHL
2025-09-04,756.4,760.0,736.85,754.6,896.0,265.6,LGHL
2025-09-03,739.9,748.95,711.1,738.75,896.0,265.6,LGHL
2025-09-02,699.95,738.9,687.05,730.1,896.0,265.6,LGHL
2025-09-01,755.0,775.05,691.0,694.45,896.0,265.6,LGHL
