DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,523.4,543.95,521.4,527.5,979.5,499.0,LINCOLN
2025-10-20,521.0,529.0,521.0,523.4,979.5,499.0,LINCOLN
2025-10-17,525.0,529.8,521.5,524.45,979.5,499.0,LINCOLN
2025-10-16,528.3,531.9,521.1,525.0,979.5,499.0,LINCOLN
2025-10-15,523.8,531.0,518.0,527.35,979.5,499.0,LINCOLN
2025-10-14,525.0,527.25,518.0,523.8,979.5,499.0,LINCOLN
2025-10-13,522.6,527.95,522.0,524.3,979.5,499.0,LINCOLN
2025-10-10,525.0,532.75,522.9,528.85,979.5,499.0,LINCOLN
2025-10-09,528.0,540.5,522.4,526.85,979.5,499.0,LINCOLN
2025-10-08,530.0,545.0,518.0,522.65,979.5,499.0,LINCOLN
2025-10-07,529.1,531.85,525.0,529.55,979.5,499.0,LINCOLN
2025-10-06,533.0,543.7,527.0,528.1,979.5,499.0,LINCOLN
2025-10-03,531.0,536.0,531.0,532.55,979.5,499.0,LINCOLN
2025-10-01,531.0,535.7,529.0,531.95,979.5,499.0,LINCOLN
2025-09-30,535.0,535.0,529.0,532.2,979.5,499.0,LINCOLN
2025-09-29,537.0,541.9,530.1,531.75,979.5,499.0,LINCOLN
2025-09-26,541.0,547.9,535.0,537.3,979.5,499.0,LINCOLN
2025-09-25,546.2,549.6,543.0,543.9,979.5,499.0,LINCOLN
2025-09-24,548.0,552.9,545.0,545.6,979.5,499.0,LINCOLN
2025-09-23,552.0,553.95,547.0,548.0,979.5,499.0,LINCOLN
2025-09-22,555.0,561.6,549.5,550.45,979.5,499.0,LINCOLN
2025-09-19,554.0,558.8,552.2,555.0,979.5,499.0,LINCOLN
2025-09-18,557.9,558.55,552.0,553.3,979.5,499.0,LINCOLN
2025-09-17,555.9,561.6,553.15,555.55,979.5,499.0,LINCOLN
2025-09-16,553.5,562.45,551.25,553.65,979.5,499.0,LINCOLN
2025-09-15,554.35,558.25,552.15,553.5,979.5,499.0,LINCOLN
2025-09-12,558.65,562.2,550.0,554.35,979.5,499.0,LINCOLN
2025-09-11,558.15,562.2,554.0,558.7,979.5,499.0,LINCOLN
2025-09-10,551.5,559.45,550.0,557.15,979.5,499.0,LINCOLN
2025-09-09,559.95,564.45,549.95,551.8,979.5,499.0,LINCOLN
2025-09-08,552.0,565.75,552.0,560.15,979.5,499.0,LINCOLN
2025-09-05,553.95,563.0,545.1,558.7,979.5,499.0,LINCOLN
2025-09-04,555.5,556.4,547.25,550.0,979.5,499.0,LINCOLN
2025-09-03,556.1,558.0,550.0,555.45,979.5,499.0,LINCOLN
2025-09-02,544.35,560.0,542.2,556.1,979.5,499.0,LINCOLN
2025-09-01,537.15,547.0,537.15,543.35,979.5,499.0,LINCOLN
2025-08-29,543.2,547.45,537.0,538.65,979.5,499.0,LINCOLN
2025-08-28,533.7,547.0,532.6,543.2,979.5,499.0,LINCOLN
2025-08-26,544.8,549.4,541.0,541.85,979.5,499.0,LINCOLN
2025-08-25,555.0,555.0,543.2,544.9,979.5,499.0,LINCOLN
2025-08-22,549.0,557.8,545.0,550.55,979.5,499.0,LINCOLN
2025-08-21,558.7,559.7,546.6,548.25,979.5,499.0,LINCOLN
2025-08-20,555.35,560.6,554.35,557.25,979.5,499.0,LINCOLN
2025-08-19,546.35,565.05,545.25,560.95,979.5,499.0,LINCOLN
2025-08-18,543.3,554.65,543.3,546.35,979.5,499.0,LINCOLN
2025-08-14,545.0,549.0,541.0,542.65,979.5,499.0,LINCOLN
2025-08-13,553.0,554.25,543.0,544.45,979.5,499.0,LINCOLN
2025-08-12,553.0,555.25,542.85,546.7,979.5,499.0,LINCOLN
2025-08-11,558.95,563.0,542.15,546.05,979.5,499.0,LINCOLN
2025-08-08,594.0,594.0,554.0,562.35,979.5,499.0,LINCOLN
2025-08-07,531.15,624.4,523.0,601.1,979.5,499.0,LINCOLN
2025-08-06,537.9,543.2,528.0,531.15,979.5,499.0,LINCOLN
2025-08-05,530.0,539.9,529.0,534.65,979.5,499.0,LINCOLN
2025-08-04,534.05,537.9,530.9,531.6,979.5,499.0,LINCOLN
2025-08-01,533.0,542.1,533.0,534.05,979.5,499.0,LINCOLN
2025-07-31,540.0,546.7,532.1,533.45,979.5,499.0,LINCOLN
2025-07-30,543.05,549.95,540.0,541.6,979.5,499.0,LINCOLN
2025-07-29,537.0,549.0,536.0,543.85,979.5,499.0,LINCOLN
2025-07-28,540.0,547.2,539.0,540.1,979.5,499.0,LINCOLN
2025-07-25,550.0,552.5,540.0,542.4,979.5,499.0,LINCOLN
2025-07-24,552.0,557.0,549.0,549.95,979.5,499.0,LINCOLN
2025-07-23,556.4,558.85,549.0,550.6,979.5,499.0,LINCOLN
2025-07-22,560.3,562.6,554.0,555.1,979.5,499.0,LINCOLN
2025-07-21,560.5,562.45,552.8,559.3,979.5,499.0,LINCOLN
2025-07-18,567.35,567.35,555.6,559.4,979.5,499.0,LINCOLN
2025-07-17,559.7,568.95,558.7,566.35,979.5,499.0,LINCOLN
2025-07-16,557.25,562.6,556.0,558.2,979.5,499.0,LINCOLN
2025-07-15,548.95,561.35,548.95,556.25,979.5,499.0,LINCOLN
2025-07-14,549.95,553.2,544.0,547.9,979.5,499.0,LINCOLN
2025-07-11,557.0,560.95,548.65,549.85,979.5,499.0,LINCOLN
2025-07-10,562.0,563.55,556.0,557.0,979.5,499.0,LINCOLN
