DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,1075.02,1075.04,1075.02,1075.02,1095.15,1017.31,LIQUIDSHRI
2025-10-15,1074.87,1074.89,1074.87,1074.87,1095.15,1017.31,LIQUIDSHRI
2025-10-14,1074.73,1074.75,1074.73,1074.73,1095.15,1017.31,LIQUIDSHRI
2025-10-13,1074.61,1074.61,1074.59,1074.59,1095.15,1017.31,LIQUIDSHRI
2025-10-10,1074.48,1074.48,1074.46,1074.47,1095.15,1015.77,LIQUIDSHRI
2025-10-09,1074.0,1074.02,1074.0,1074.0,1095.15,1015.77,LIQUIDSHRI
2025-10-08,1073.86,1073.88,1073.86,1073.87,1095.15,1015.77,LIQUIDSHRI
2025-10-07,1073.72,1073.74,1073.72,1073.73,1095.15,1015.77,LIQUIDSHRI
2025-10-06,1073.58,1073.6,1073.58,1073.58,1095.15,1015.77,LIQUIDSHRI
2025-10-03,1073.44,1073.46,1073.44,1073.45,1095.15,1015.1,LIQUIDSHRI
2025-10-01,1073.04,1073.04,1073.02,1073.03,1095.15,1015.1,LIQUIDSHRI
2025-09-30,1072.72,1072.74,1072.72,1072.72,1095.15,1015.1,LIQUIDSHRI
2025-09-29,1072.58,1072.6,1072.58,1072.58,1095.15,1015.1,LIQUIDSHRI
2025-09-26,1072.44,1072.46,1072.44,1072.45,1095.15,1013.91,LIQUIDSHRI
2025-09-25,1071.99,1072.01,1071.99,1072.0,1095.15,1013.91,LIQUIDSHRI
2025-09-24,1071.84,1071.86,1071.84,1071.85,1095.15,1013.91,LIQUIDSHRI
2025-09-23,1071.72,1071.72,1071.7,1071.71,1095.15,1013.91,LIQUIDSHRI
2025-09-22,1071.57,1071.57,1071.55,1071.55,1095.15,1013.91,LIQUIDSHRI
2025-09-19,1071.41,1071.43,1071.41,1071.43,1095.15,1012.71,LIQUIDSHRI
2025-09-18,1070.97,1070.99,1070.97,1070.97,1095.15,1012.71,LIQUIDSHRI
2025-09-17,1070.82,1070.84,1070.82,1070.82,1095.15,1012.71,LIQUIDSHRI
2025-09-16,1070.67,1070.69,1070.67,1070.68,1095.15,1012.71,LIQUIDSHRI
2025-09-15,1070.53,1070.55,1070.53,1070.53,1095.15,1012.71,LIQUIDSHRI
2025-09-12,1070.38,1070.4,1070.38,1070.39,1095.15,1011.55,LIQUIDSHRI
2025-09-11,1069.95,1069.97,1069.95,1069.95,1095.15,1011.55,LIQUIDSHRI
2025-09-10,1069.8,1069.82,1069.8,1069.81,1095.15,1011.55,LIQUIDSHRI
2025-09-09,1069.66,1069.68,1069.66,1069.66,1095.15,1011.55,LIQUIDSHRI
2025-09-08,1069.52,1069.54,1069.52,1069.52,1095.15,1011.55,LIQUIDSHRI
2025-09-05,1069.53,1069.55,1069.53,1069.53,1095.15,1009.91,LIQUIDSHRI
2025-09-04,1069.39,1069.39,1069.37,1069.39,1095.15,1009.91,LIQUIDSHRI
2025-09-03,1068.8,1068.82,1068.8,1068.8,1095.15,1009.91,LIQUIDSHRI
2025-09-02,1068.67,1068.68,1068.66,1068.67,1095.15,1009.91,LIQUIDSHRI
2025-09-01,1068.54,1068.54,1068.52,1068.54,1095.15,1009.91,LIQUIDSHRI
2025-08-29,1068.37,1068.39,1068.37,1068.38,1095.15,1009.24,LIQUIDSHRI
2025-08-28,1067.93,1067.95,1067.93,1067.93,1095.15,1009.24,LIQUIDSHRI
2025-08-26,1067.8,1067.82,1067.8,1067.81,1095.15,1009.24,LIQUIDSHRI
2025-08-25,1067.51,1067.53,1067.51,1067.51,1095.15,1009.24,LIQUIDSHRI
2025-08-22,1067.36,1067.38,1067.36,1067.37,1095.15,1008.08,LIQUIDSHRI
2025-08-21,1066.9,1066.92,1066.9,1066.91,1095.15,1008.08,LIQUIDSHRI
2025-08-20,1066.76,1066.78,1066.76,1066.76,1095.15,1008.08,LIQUIDSHRI
