DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,286.45,286.45,259.25,266.2,564.0,212.0,LOYALTEX
2025-10-21,266.6,273.0,266.6,272.9,564.0,212.0,LOYALTEX
2025-10-20,283.95,283.95,260.0,261.35,564.0,212.0,LOYALTEX
2025-07-16,375.9,375.9,356.7,358.05,772.6,212.0,LOYALTEX
2025-07-15,374.9,376.55,370.55,375.45,772.6,212.0,LOYALTEX
2025-07-14,358.65,358.65,350.35,358.65,772.6,212.0,LOYALTEX
2025-07-11,335.0,341.6,327.1,341.6,772.6,212.0,LOYALTEX
2025-07-10,324.0,325.35,310.2,325.35,772.6,212.0,LOYALTEX
2025-07-09,309.45,309.9,296.4,309.9,772.6,212.0,LOYALTEX
2025-07-08,280.05,297.9,280.05,295.15,772.6,212.0,LOYALTEX
2025-07-07,285.05,294.8,282.0,285.05,772.6,212.0,LOYALTEX
2025-07-04,287.45,296.9,282.45,293.2,772.6,212.0,LOYALTEX
2025-07-03,290.5,294.9,285.4,287.55,772.6,212.0,LOYALTEX
2025-07-02,285.7,293.95,283.65,290.35,772.6,212.0,LOYALTEX
2025-07-01,288.0,291.55,280.1,283.65,772.6,212.0,LOYALTEX
2025-06-30,282.0,290.0,282.0,289.9,772.6,212.0,LOYALTEX
2025-06-27,286.55,290.0,282.0,288.65,772.6,212.0,LOYALTEX
2025-06-26,294.0,294.0,281.05,286.95,772.6,212.0,LOYALTEX
2025-06-25,287.0,293.95,283.95,288.2,772.6,212.0,LOYALTEX
2025-06-24,284.0,293.45,284.0,286.7,772.6,212.0,LOYALTEX
2025-06-23,280.5,294.4,280.5,283.95,772.6,212.0,LOYALTEX
2025-06-20,284.1,297.15,284.1,292.45,772.6,212.0,LOYALTEX
2025-06-19,287.5,296.35,284.4,290.7,772.6,212.0,LOYALTEX
2025-06-18,304.0,304.0,290.0,290.85,772.6,212.0,LOYALTEX
2025-06-17,295.3,305.95,286.4,293.1,772.6,212.0,LOYALTEX
2025-04-30,288.99,289.1,288.0,288.0,772.6,212.0,LOYALTEX
2025-04-29,296.29,305.0,286.4,287.52,772.6,212.0,LOYALTEX
2025-04-28,297.99,298.21,294.05,296.28,772.6,212.0,LOYALTEX
2025-04-25,293.0,298.99,290.0,298.21,772.6,212.0,LOYALTEX
2025-04-24,313.69,313.7,299.01,299.42,772.6,212.0,LOYALTEX
2025-04-23,313.43,314.99,293.0,298.94,772.6,212.0,LOYALTEX
2025-04-22,284.9,317.23,284.9,308.22,772.6,212.0,LOYALTEX
2025-04-21,278.01,304.4,278.01,291.56,772.6,212.0,LOYALTEX
2025-04-17,253.1,287.02,240.0,284.19,772.6,212.0,LOYALTEX
2025-04-16,232.01,262.0,232.01,260.93,772.6,212.0,LOYALTEX
2025-04-15,225.06,253.0,225.06,251.92,772.6,212.0,LOYALTEX
2024-11-21,365.0,365.0,318.1,321.7,774.9,318.1,LOYALTEX
2024-11-19,365.0,377.15,350.0,351.95,774.9,342.05,LOYALTEX
2024-11-18,364.85,391.9,342.05,361.65,774.9,342.05,LOYALTEX
2024-11-14,398.05,399.7,351.0,357.25,774.9,351.0,LOYALTEX
2024-11-13,521.15,521.2,425.4,425.4,774.9,425.4,LOYALTEX
2024-11-12,539.85,546.0,526.2,531.75,774.9,484.2,LOYALTEX
2024-11-11,535.3,548.0,522.1,543.7,774.9,484.2,LOYALTEX
2024-11-08,540.6,548.8,534.75,544.65,774.9,484.2,LOYALTEX
2024-11-07,529.8,550.0,528.1,540.3,774.9,484.2,LOYALTEX
2024-11-06,534.75,540.0,526.65,535.3,774.9,484.2,LOYALTEX
2024-11-05,537.0,538.1,519.05,525.65,774.9,484.2,LOYALTEX
2024-11-04,510.65,539.95,508.45,525.45,774.9,484.2,LOYALTEX
2024-11-01,520.05,520.05,506.1,508.45,774.9,484.2,LOYALTEX
2024-10-31,515.95,516.0,504.0,507.8,774.9,484.2,LOYALTEX
2024-10-30,513.85,525.65,501.55,510.0,774.9,484.2,LOYALTEX
2024-10-29,521.1,521.1,504.0,505.8,774.9,484.2,LOYALTEX
2024-10-28,519.2,530.0,506.05,510.0,774.9,484.2,LOYALTEX
2024-10-25,517.1,518.8,501.05,507.9,774.9,484.2,LOYALTEX
2024-10-24,527.75,528.1,512.1,517.45,774.9,484.2,LOYALTEX
2024-10-23,525.0,532.15,515.6,520.45,774.9,484.2,LOYALTEX
2024-10-22,540.8,554.15,504.5,512.3,774.9,484.2,LOYALTEX
2024-10-21,556.0,564.0,535.0,540.8,774.9,484.2,LOYALTEX
2024-10-18,543.05,577.35,540.1,556.4,774.9,484.2,LOYALTEX
2024-10-17,543.55,550.0,525.0,536.55,774.9,484.2,LOYALTEX
2024-10-16,558.25,558.25,535.0,543.85,774.9,484.2,LOYALTEX
2024-10-15,565.2,567.1,536.0,544.7,774.9,484.2,LOYALTEX
2024-10-14,564.45,581.95,564.0,568.9,774.9,484.2,LOYALTEX
2024-10-11,552.0,593.9,552.0,563.0,774.9,484.2,LOYALTEX
2024-10-10,534.0,555.0,532.05,552.1,774.9,484.2,LOYALTEX
2024-10-09,548.9,577.85,525.05,529.55,774.9,484.2,LOYALTEX
2024-10-08,515.0,574.8,505.35,542.8,774.9,484.2,LOYALTEX
2024-10-07,544.9,557.4,515.0,524.9,774.9,484.2,LOYALTEX
2024-10-04,529.25,610.0,520.55,544.9,774.9,484.2,LOYALTEX
2024-10-03,551.0,551.0,515.3,519.85,774.9,484.2,LOYALTEX
2024-10-01,519.0,571.0,503.0,553.4,774.9,484.2,LOYALTEX
2024-09-30,518.7,520.45,501.1,502.7,774.9,484.2,LOYALTEX
2024-09-27,506.6,522.95,506.6,518.7,774.9,484.2,LOYALTEX
2024-09-26,523.35,530.2,500.0,505.05,774.9,484.2,LOYALTEX
2024-09-25,534.4,534.4,511.2,519.65,774.9,484.2,LOYALTEX
2024-09-24,521.1,533.75,517.8,526.85,774.9,484.2,LOYALTEX
2024-09-23,522.0,531.0,518.0,520.9,774.9,484.2,LOYALTEX
2024-09-20,545.3,548.0,523.95,528.6,774.9,484.2,LOYALTEX
2024-09-19,549.4,562.75,541.3,545.3,774.9,484.2,LOYALTEX
2024-09-18,557.5,557.5,543.85,549.1,774.9,484.2,LOYALTEX
2024-09-17,565.05,565.05,555.05,557.8,774.9,484.2,LOYALTEX
2024-09-16,570.65,570.65,555.15,559.45,774.9,484.2,LOYALTEX
2024-09-13,563.95,565.0,556.2,556.75,774.9,484.2,LOYALTEX
2024-09-12,578.3,578.3,553.1,559.0,774.9,484.2,LOYALTEX
2024-09-11,564.2,578.45,564.2,571.15,774.9,484.2,LOYALTEX
2024-09-10,559.3,565.95,554.0,554.85,774.9,484.2,LOYALTEX
2024-09-09,575.0,575.0,551.0,555.25,774.9,484.2,LOYALTEX
2024-09-06,575.0,575.0,566.65,569.4,774.9,484.2,LOYALTEX
2024-09-05,554.05,570.0,554.05,566.65,774.9,484.2,LOYALTEX
2024-09-04,573.75,573.75,552.4,558.75,774.9,484.2,LOYALTEX
2024-09-03,571.4,573.9,560.0,560.8,774.9,484.2,LOYALTEX
2024-09-02,593.75,593.75,568.25,571.4,774.9,484.2,LOYALTEX
2024-08-30,588.65,594.0,578.0,579.85,774.9,484.2,LOYALTEX
2024-08-29,600.0,600.0,581.0,588.65,774.9,484.2,LOYALTEX
2024-08-28,619.65,635.25,581.0,586.8,774.9,484.2,LOYALTEX
2024-08-27,599.95,634.95,596.35,615.65,774.9,484.2,LOYALTEX
2024-08-26,597.4,609.0,581.0,597.5,774.9,484.2,LOYALTEX
2024-08-23,590.05,599.95,580.05,582.95,774.9,484.2,LOYALTEX
2024-08-22,593.0,625.7,578.8,587.95,774.9,484.2,LOYALTEX
2024-08-21,586.65,595.0,574.3,578.8,774.9,484.2,LOYALTEX
2024-08-20,590.9,609.95,573.85,585.5,774.9,484.2,LOYALTEX
2024-08-19,618.0,631.45,580.0,593.0,774.9,484.2,LOYALTEX
2024-08-16,637.0,637.0,582.25,597.65,774.9,484.2,LOYALTEX
2024-08-14,599.8,623.7,578.95,602.05,774.9,484.2,LOYALTEX
2024-08-13,619.0,622.45,590.0,593.6,774.9,484.2,LOYALTEX
2024-08-12,635.0,635.0,600.0,606.85,774.9,484.2,LOYALTEX
2024-08-09,650.0,651.0,602.8,614.05,774.9,484.2,LOYALTEX
2024-08-08,638.15,685.0,629.75,646.1,774.9,484.2,LOYALTEX
2024-08-07,621.95,671.0,621.0,638.15,774.9,484.2,LOYALTEX
2024-08-06,599.0,699.9,599.0,612.65,774.9,484.2,LOYALTEX
2024-08-05,643.05,643.05,572.0,590.45,774.9,484.2,LOYALTEX
2024-08-02,644.0,654.95,611.15,627.4,774.9,484.2,LOYALTEX
2024-08-01,769.9,772.6,655.0,660.7,774.9,484.2,LOYALTEX
2024-07-31,607.95,718.7,607.95,718.7,774.9,484.2,LOYALTEX
2024-07-30,604.15,605.9,585.05,598.95,774.9,484.2,LOYALTEX
2024-07-29,586.35,606.4,575.9,594.75,774.9,484.2,LOYALTEX
2024-07-26,564.75,604.0,564.2,596.7,774.9,484.2,LOYALTEX
2024-07-25,568.9,568.9,562.75,564.8,774.9,484.2,LOYALTEX
2024-07-24,560.05,569.95,560.0,569.15,774.9,484.2,LOYALTEX
2024-07-23,570.0,575.45,541.2,551.9,774.9,484.2,LOYALTEX
2024-07-22,563.35,579.95,563.35,571.05,774.9,484.2,LOYALTEX
2024-07-19,583.75,583.75,560.0,563.35,774.9,484.2,LOYALTEX
2024-07-18,582.0,584.9,567.6,580.25,774.9,484.2,LOYALTEX
2024-07-16,573.1,581.95,561.05,572.2,774.9,484.2,LOYALTEX
2024-07-15,565.2,585.0,564.05,582.2,774.9,484.2,LOYALTEX
2024-07-12,594.8,597.4,549.8,560.0,774.9,484.2,LOYALTEX
2024-07-11,594.6,596.95,589.95,594.7,774.9,484.2,LOYALTEX
2024-07-10,598.35,609.0,582.55,594.7,774.9,484.2,LOYALTEX
2024-07-09,599.75,609.0,596.2,599.35,774.9,484.2,LOYALTEX
2024-07-08,592.5,610.0,592.5,596.3,774.9,484.2,LOYALTEX
2024-07-05,605.4,615.0,595.85,603.35,774.9,484.2,LOYALTEX
2024-07-04,589.0,618.0,586.5,602.1,774.9,484.2,LOYALTEX
2024-07-03,582.65,615.0,572.55,589.95,774.9,484.2,LOYALTEX
2024-07-02,582.45,587.8,576.0,579.25,774.9,484.2,LOYALTEX
2024-07-01,592.05,609.95,575.2,583.3,774.9,484.2,LOYALTEX
2024-06-28,578.75,592.0,565.0,580.7,774.9,484.2,LOYALTEX
2024-06-27,590.9,604.4,570.0,573.8,774.9,484.2,LOYALTEX
2024-06-26,596.2,599.0,585.95,592.75,774.9,484.2,LOYALTEX
2024-06-25,587.35,611.0,575.0,591.5,774.9,484.2,LOYALTEX
2024-06-24,585.45,586.85,574.05,579.4,774.9,484.2,LOYALTEX
2024-06-21,586.5,599.95,570.5,577.55,774.9,484.2,LOYALTEX
2024-06-20,606.7,609.0,580.6,586.45,774.9,484.2,LOYALTEX
2024-06-19,592.0,614.4,565.05,603.25,774.9,484.2,LOYALTEX
2024-06-18,611.7,621.95,588.4,594.75,774.9,484.2,LOYALTEX
2024-06-14,597.95,612.85,584.1,604.05,774.9,484.2,LOYALTEX
2024-06-13,553.75,609.0,552.5,599.85,774.9,484.2,LOYALTEX
2024-06-12,555.0,561.05,548.0,553.55,774.9,484.2,LOYALTEX
2024-06-11,561.6,561.6,548.25,556.7,774.9,484.2,LOYALTEX
