DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,5.9,6.45,5.9,6.26,10.93,5.35,LYPSAGEMS
2025-10-20,5.97,6.08,5.86,5.9,10.93,5.35,LYPSAGEMS
2025-10-17,6.7,6.9,6.01,6.01,10.93,5.35,LYPSAGEMS
2025-10-16,6.33,6.88,6.33,6.68,10.93,5.35,LYPSAGEMS
2025-10-15,6.8,6.88,6.03,6.41,10.93,5.35,LYPSAGEMS
2025-10-14,6.39,6.85,6.22,6.66,10.93,5.35,LYPSAGEMS
2025-10-13,6.51,6.86,6.3,6.39,10.93,5.35,LYPSAGEMS
2025-10-10,6.77,6.8,6.43,6.66,10.93,5.35,LYPSAGEMS
2025-10-09,6.94,6.94,6.52,6.58,10.93,5.35,LYPSAGEMS
2025-10-08,6.35,6.95,6.34,6.76,10.93,5.35,LYPSAGEMS
2025-10-07,6.48,6.56,6.35,6.38,10.93,5.35,LYPSAGEMS
2025-10-06,6.15,6.62,6.15,6.34,10.93,5.35,LYPSAGEMS
2025-10-03,6.43,6.77,6.22,6.31,10.93,5.35,LYPSAGEMS
2025-10-01,6.48,6.48,6.29,6.45,10.93,5.35,LYPSAGEMS
2025-09-30,6.24,6.56,6.05,6.34,10.93,5.35,LYPSAGEMS
2025-09-29,6.34,6.69,6.34,6.37,10.93,5.35,LYPSAGEMS
2025-09-26,6.65,6.88,6.51,6.55,10.93,5.35,LYPSAGEMS
2025-09-25,6.66,6.85,6.66,6.8,10.93,5.35,LYPSAGEMS
2025-09-24,6.92,6.92,6.6,6.66,10.93,5.35,LYPSAGEMS
2025-09-23,6.71,6.95,6.71,6.78,10.93,5.35,LYPSAGEMS
2025-09-22,6.93,7.15,6.81,6.84,10.93,5.35,LYPSAGEMS
2025-09-19,7.06,7.29,6.86,6.93,10.93,5.35,LYPSAGEMS
2025-09-18,7.07,7.22,6.82,7.06,10.93,5.35,LYPSAGEMS
2025-09-17,7.17,7.17,6.79,6.88,10.93,5.35,LYPSAGEMS
2025-09-16,7.24,7.49,6.87,6.95,10.93,5.35,LYPSAGEMS
2025-09-15,6.87,7.21,6.77,7.21,10.93,5.35,LYPSAGEMS
2025-09-12,6.69,6.87,6.46,6.87,10.93,5.35,LYPSAGEMS
2025-09-11,6.64,6.66,6.37,6.55,10.93,5.35,LYPSAGEMS
2025-09-10,6.79,6.79,6.45,6.49,10.93,5.35,LYPSAGEMS
2025-09-09,6.47,6.79,6.47,6.64,10.93,5.35,LYPSAGEMS
2025-06-04,9.5,10.3,9.27,9.92,12.05,5.13,LYPSAGEMS
2025-06-03,10.15,10.93,8.7,9.27,12.05,5.13,LYPSAGEMS
2025-06-02,8.58,10.0,8.51,9.63,12.05,5.13,LYPSAGEMS
2025-05-30,7.15,8.7,7.15,8.34,12.05,5.13,LYPSAGEMS
2025-05-29,7.55,7.85,7.15,7.25,12.05,5.13,LYPSAGEMS
2025-05-28,7.9,7.91,7.67,7.72,12.05,5.13,LYPSAGEMS
2025-05-27,8.03,8.3,7.65,7.88,12.05,5.13,LYPSAGEMS
2025-05-26,7.81,8.18,7.63,8.03,12.05,5.13,LYPSAGEMS
2025-05-23,6.79,7.8,6.49,7.58,12.05,5.13,LYPSAGEMS
2025-05-22,6.59,6.88,6.56,6.7,12.05,5.13,LYPSAGEMS
2025-05-21,6.79,7.13,6.5,6.59,12.05,5.13,LYPSAGEMS
2025-05-20,6.92,7.23,6.75,6.76,12.05,5.13,LYPSAGEMS
2025-05-19,7.39,7.5,6.75,6.83,12.05,5.13,LYPSAGEMS
2025-05-16,6.2,7.47,6.17,7.07,12.05,5.13,LYPSAGEMS
2025-05-15,6.27,6.3,6.12,6.23,12.05,5.13,LYPSAGEMS
2025-05-14,6.21,6.36,5.86,6.15,12.05,5.13,LYPSAGEMS
2025-05-13,6.37,6.37,6.13,6.21,12.05,5.13,LYPSAGEMS
2025-05-12,6.15,6.4,5.9,6.24,12.05,5.13,LYPSAGEMS
2025-05-09,6.15,6.15,5.9,5.98,12.05,5.13,LYPSAGEMS
2025-05-08,6.01,6.15,6.01,6.07,12.05,5.13,LYPSAGEMS
2025-05-07,6.09,6.61,5.66,6.01,12.05,5.13,LYPSAGEMS
2025-05-06,6.25,6.38,6.05,6.1,12.05,5.13,LYPSAGEMS
2025-05-05,6.39,6.39,6.06,6.28,12.05,5.13,LYPSAGEMS
2025-05-02,6.27,6.43,6.13,6.28,12.05,5.13,LYPSAGEMS
2025-04-30,6.36,6.5,6.25,6.27,12.05,5.13,LYPSAGEMS
2025-04-29,6.46,7.3,6.21,6.41,12.05,5.13,LYPSAGEMS
2025-04-28,6.46,6.46,6.2,6.36,12.05,5.13,LYPSAGEMS
2025-04-25,6.74,6.74,6.35,6.4,12.05,5.13,LYPSAGEMS
2025-04-24,6.89,6.89,6.55,6.61,12.05,5.13,LYPSAGEMS
2025-04-23,6.6,6.78,6.4,6.63,12.05,5.13,LYPSAGEMS
2025-04-22,6.67,6.67,6.41,6.49,12.05,5.13,LYPSAGEMS
2025-04-21,6.63,6.67,6.43,6.58,12.05,5.13,LYPSAGEMS
2025-04-17,6.33,6.58,6.33,6.51,12.05,5.13,LYPSAGEMS
2025-04-16,6.63,6.63,6.21,6.44,12.05,5.13,LYPSAGEMS
2025-04-15,6.64,6.75,6.4,6.52,12.05,5.13,LYPSAGEMS
2025-04-11,6.07,7.4,6.07,6.4,12.05,5.13,LYPSAGEMS
2025-04-09,6.3,6.58,6.1,6.22,12.05,5.13,LYPSAGEMS
2025-04-08,6.23,6.51,6.23,6.39,12.05,5.13,LYPSAGEMS
2025-04-07,6.0,6.44,5.9,6.27,12.05,5.13,LYPSAGEMS
2025-04-04,6.9,6.9,6.62,6.66,12.05,5.13,LYPSAGEMS
2025-04-03,6.77,6.97,6.2,6.66,12.05,5.13,LYPSAGEMS
2025-04-02,6.84,6.9,6.62,6.69,12.05,5.13,LYPSAGEMS
2025-04-01,6.19,6.9,6.05,6.6,12.05,5.13,LYPSAGEMS
2025-03-28,6.79,6.79,6.06,6.13,12.05,5.13,LYPSAGEMS
