DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,365.0,365.0,357.55,362.9,495.8,238.2,MAHLOG
2025-10-21,365.0,365.0,361.4,364.7,495.8,238.2,MAHLOG
2025-10-20,348.0,365.0,346.75,363.8,495.8,238.2,MAHLOG
2025-10-17,347.55,351.0,341.5,346.75,512.35,238.2,MAHLOG
2025-10-16,346.5,355.0,346.5,351.05,512.35,238.2,MAHLOG
2025-10-15,348.45,355.95,342.25,347.75,512.35,238.2,MAHLOG
2025-10-14,350.1,353.0,340.9,349.55,512.35,238.2,MAHLOG
2025-10-13,352.95,353.9,346.5,352.2,512.35,238.2,MAHLOG
2025-10-10,355.0,356.5,350.0,351.55,512.35,238.2,MAHLOG
2025-10-09,352.3,360.65,352.3,357.5,512.35,238.2,MAHLOG
2025-10-08,361.4,361.4,351.1,358.15,512.35,238.2,MAHLOG
2025-10-07,352.7,365.0,345.1,359.2,512.35,238.2,MAHLOG
2025-10-06,352.5,355.9,342.3,349.65,512.35,238.2,MAHLOG
2025-10-03,348.0,354.0,345.0,352.6,512.35,238.2,MAHLOG
2025-10-01,342.0,351.0,342.0,348.2,512.35,238.2,MAHLOG
2025-09-30,345.55,349.0,341.1,344.2,512.35,238.2,MAHLOG
2025-09-29,345.25,348.0,339.9,345.3,512.35,238.2,MAHLOG
2025-09-26,355.9,355.9,343.85,345.25,513.95,238.2,MAHLOG
2025-09-25,357.8,358.9,354.4,356.0,513.95,238.2,MAHLOG
2025-09-24,359.15,360.55,345.8,353.55,513.95,238.2,MAHLOG
2025-09-23,360.0,364.9,358.5,359.15,513.95,238.2,MAHLOG
2025-09-22,360.0,369.9,357.85,364.1,513.95,238.2,MAHLOG
2025-09-19,360.8,366.05,355.0,362.85,513.95,238.2,MAHLOG
2025-09-18,357.15,364.0,353.5,359.4,513.95,238.2,MAHLOG
2025-09-17,352.8,358.15,351.25,355.45,513.95,238.2,MAHLOG
2025-09-16,352.3,354.0,347.05,351.25,513.95,238.2,MAHLOG
2025-09-15,336.95,357.95,335.0,350.9,513.95,238.2,MAHLOG
2025-09-12,330.0,337.9,328.05,334.9,513.95,238.2,MAHLOG
2025-09-11,328.5,332.2,324.3,329.3,513.95,238.2,MAHLOG
2025-09-10,323.5,333.0,322.65,328.5,513.95,238.2,MAHLOG
2025-09-09,322.65,326.95,318.55,322.9,513.95,238.2,MAHLOG
2025-09-08,320.7,324.7,320.05,321.05,513.95,238.2,MAHLOG
2025-09-05,318.5,324.35,317.2,320.7,513.95,238.2,MAHLOG
2025-09-04,323.05,325.4,318.05,320.15,513.95,238.2,MAHLOG
2025-09-03,322.0,323.2,317.9,319.9,513.95,238.2,MAHLOG
2025-09-02,316.95,324.0,315.0,321.35,513.95,238.2,MAHLOG
2025-09-01,318.1,321.6,313.65,316.45,513.95,238.2,MAHLOG
2025-08-29,314.05,322.15,313.0,316.85,515.0,238.2,MAHLOG
2025-08-28,320.75,323.35,311.4,314.05,515.0,238.2,MAHLOG
2025-08-26,325.85,326.2,321.5,321.85,515.0,238.2,MAHLOG
2025-08-25,329.0,332.45,325.1,326.4,515.0,238.2,MAHLOG
2025-08-22,327.0,328.25,322.45,327.2,516.85,238.2,MAHLOG
2025-08-21,320.05,326.6,319.05,325.25,516.85,238.2,MAHLOG
2025-08-20,324.8,324.8,316.85,321.4,516.85,238.2,MAHLOG
2025-08-19,325.5,329.55,322.8,328.1,516.85,238.2,MAHLOG
2025-08-18,326.0,333.0,322.95,324.55,516.85,238.2,MAHLOG
