DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,1330.1,1337.6,1262.5,1270.2,1785.0,1050.0,MALLCOM
2025-11-13,1355.0,1420.0,1348.0,1373.4,1785.0,1050.0,MALLCOM
2025-11-12,1361.0,1370.9,1332.0,1351.7,1785.0,1050.0,MALLCOM
2025-11-11,1376.0,1390.5,1342.3,1360.5,1785.0,1050.0,MALLCOM
2025-11-10,1427.6,1427.6,1360.6,1399.3,1785.0,1050.0,MALLCOM
2025-11-07,1402.9,1412.6,1392.3,1406.5,1785.0,1050.0,MALLCOM
2025-11-06,1444.0,1447.2,1398.0,1417.0,1785.0,1050.0,MALLCOM
2025-11-04,1435.0,1472.8,1409.5,1438.8,1785.0,1050.0,MALLCOM
2025-11-03,1414.4,1435.6,1399.8,1424.6,1785.0,1050.0,MALLCOM
2025-10-31,1447.0,1447.0,1399.9,1415.1,1785.0,1050.0,MALLCOM
2025-10-30,1397.6,1433.0,1385.1,1425.7,1785.0,1050.0,MALLCOM
2025-10-29,1443.8,1448.0,1396.0,1400.3,1785.0,1050.0,MALLCOM
2025-10-28,1430.2,1448.9,1408.5,1434.9,1785.0,1050.0,MALLCOM
2025-10-27,1443.2,1460.0,1410.0,1420.1,1785.0,1050.0,MALLCOM
2025-10-24,1450.1,1467.9,1425.2,1436.2,1785.0,1050.0,MALLCOM
2025-10-23,1500.0,1514.9,1455.0,1459.2,1785.0,1050.0,MALLCOM
2025-10-21,1446.0,1520.0,1442.9,1487.6,1785.0,1050.0,MALLCOM
2025-10-20,1455.0,1483.1,1437.6,1446.3,1785.0,1050.0,MALLCOM
2025-10-17,1414.1,1469.9,1391.0,1455.0,1785.0,1050.0,MALLCOM
2025-10-16,1390.0,1435.0,1387.4,1414.1,1785.0,1050.0,MALLCOM
2025-10-15,1474.0,1474.0,1391.0,1406.8,1785.0,1050.0,MALLCOM
2025-10-14,1436.0,1469.7,1397.0,1401.9,1785.0,1050.0,MALLCOM
2025-10-13,1450.0,1474.8,1418.8,1452.6,1785.0,1050.0,MALLCOM
2025-10-10,1420.0,1517.0,1401.7,1435.8,1785.0,1050.0,MALLCOM
