DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-17,178.11,178.11,174.65,177.05,358.7,162.0,MARKSANS
2025-10-16,181.6,182.15,177.61,178.11,358.7,162.0,MARKSANS
2025-10-15,182.34,184.55,179.1,180.71,358.7,162.0,MARKSANS
2025-10-14,177.75,182.88,174.0,181.1,358.7,162.0,MARKSANS
2025-10-13,180.0,180.68,177.1,177.91,358.7,162.0,MARKSANS
2025-10-10,174.0,186.72,170.61,181.58,358.7,162.0,MARKSANS
2025-10-09,166.0,172.35,165.17,169.46,358.7,162.0,MARKSANS
2025-10-08,165.7,166.65,164.0,164.24,358.7,162.0,MARKSANS
2025-10-07,164.06,165.8,162.0,165.04,358.7,162.0,MARKSANS
2025-10-06,167.49,167.49,163.3,164.06,358.7,162.51,MARKSANS
2025-10-03,167.3,168.34,165.45,166.53,358.7,162.51,MARKSANS
2025-10-01,166.0,167.5,163.53,166.67,358.7,162.51,MARKSANS
2025-09-30,169.33,169.8,164.25,165.04,358.7,162.51,MARKSANS
2025-09-29,164.38,169.99,162.8,166.34,358.7,162.51,MARKSANS
2025-09-26,167.51,168.0,162.51,164.38,358.7,162.51,MARKSANS
2025-09-25,170.08,170.6,168.51,169.39,358.7,165.52,MARKSANS
2025-09-24,171.34,172.47,169.26,170.08,358.7,165.52,MARKSANS
2025-09-23,174.25,174.25,169.97,171.32,358.7,165.52,MARKSANS
2025-09-22,179.01,179.1,174.0,174.25,358.7,165.52,MARKSANS
2025-09-19,178.37,180.32,178.37,179.11,358.7,165.52,MARKSANS
2025-09-18,180.63,181.6,176.71,178.37,358.7,165.52,MARKSANS
2025-09-17,177.4,180.65,176.39,179.24,358.7,165.52,MARKSANS
2025-09-16,175.0,178.89,173.4,176.11,358.7,165.52,MARKSANS
2025-09-15,173.01,175.12,172.0,174.44,358.7,165.52,MARKSANS
2025-09-12,175.5,176.37,172.51,172.93,358.7,165.52,MARKSANS
2025-09-11,177.45,180.21,173.25,174.2,358.7,165.52,MARKSANS
2025-09-10,173.61,177.9,173.5,176.9,358.7,165.52,MARKSANS
2025-09-09,170.85,174.2,169.0,172.0,358.7,165.52,MARKSANS
2025-09-08,170.26,171.43,167.71,169.49,358.7,165.52,MARKSANS
2025-09-05,171.51,174.5,168.4,168.91,358.7,165.52,MARKSANS
2025-09-04,176.95,177.29,169.92,171.58,358.7,165.52,MARKSANS
2025-09-03,172.0,174.99,169.17,173.02,358.7,165.52,MARKSANS
2025-09-02,169.9,173.77,167.9,170.95,358.7,165.52,MARKSANS
2025-09-01,169.4,170.61,165.52,167.37,358.7,165.52,MARKSANS
2025-08-29,170.0,172.2,166.75,168.6,358.7,166.75,MARKSANS
2025-08-28,173.27,173.75,169.0,169.47,358.7,169.0,MARKSANS
2025-08-26,178.37,178.37,171.8,173.27,358.7,171.0,MARKSANS
2025-08-25,181.0,182.63,175.0,177.84,358.7,171.0,MARKSANS
2025-08-22,181.6,181.97,179.5,179.96,358.7,171.0,MARKSANS
2025-08-21,182.99,184.53,180.54,181.12,358.7,171.0,MARKSANS
2025-08-20,185.5,185.5,181.0,181.49,358.7,171.0,MARKSANS
2025-08-19,185.3,186.0,181.83,184.28,358.7,171.0,MARKSANS
2025-08-18,180.0,184.9,180.0,184.25,358.7,171.0,MARKSANS
2025-08-14,185.83,187.5,176.82,178.58,358.7,171.0,MARKSANS
2025-08-13,188.0,190.0,183.23,184.29,358.7,171.0,MARKSANS
2025-08-12,211.15,214.47,180.1,186.74,358.7,171.0,MARKSANS
2025-08-11,211.64,212.51,206.3,210.08,358.7,171.0,MARKSANS
2025-08-08,215.75,217.49,210.0,210.95,358.7,171.0,MARKSANS
2025-08-07,213.16,218.9,209.11,214.35,358.7,171.0,MARKSANS
2025-08-06,224.99,225.09,213.51,215.75,358.7,171.0,MARKSANS
2025-08-05,226.31,227.9,223.8,225.73,358.7,171.0,MARKSANS
2025-08-04,225.6,227.5,221.6,226.31,358.7,171.0,MARKSANS
2025-08-01,227.28,227.28,220.23,224.86,358.7,171.0,MARKSANS
2025-07-31,230.0,235.4,226.3,227.45,358.7,171.0,MARKSANS
2025-07-30,228.0,241.0,227.75,236.25,358.7,171.0,MARKSANS
2025-07-29,226.5,231.4,224.65,227.5,358.7,171.0,MARKSANS
2025-07-28,228.1,235.0,224.8,226.2,358.7,171.0,MARKSANS
2025-07-25,231.6,233.45,226.1,227.75,358.7,171.0,MARKSANS
2025-07-24,238.15,242.45,230.3,231.6,358.7,171.0,MARKSANS
2025-07-23,242.8,244.1,236.3,237.2,358.7,171.0,MARKSANS
2025-07-22,248.4,250.5,241.2,242.05,358.7,171.0,MARKSANS
2025-07-21,255.0,255.55,246.3,247.55,358.7,171.0,MARKSANS
2025-07-18,259.55,260.8,255.15,255.75,358.7,171.0,MARKSANS
2025-07-17,261.05,266.5,257.0,258.9,358.7,171.0,MARKSANS
2025-07-16,261.35,264.7,259.25,261.05,358.7,171.0,MARKSANS
2025-07-15,261.0,265.5,259.55,261.35,358.7,171.0,MARKSANS
2025-07-14,255.0,265.0,251.3,260.6,358.7,171.0,MARKSANS
2025-07-11,256.95,266.0,253.5,254.55,358.7,171.0,MARKSANS
2025-07-10,259.0,260.95,255.0,256.75,358.7,171.0,MARKSANS
2025-07-09,253.05,261.0,252.8,258.85,358.7,171.0,MARKSANS
2025-07-08,257.5,258.85,249.5,252.45,358.7,171.0,MARKSANS
2025-07-07,263.3,266.6,256.4,257.4,358.7,171.0,MARKSANS
2025-07-04,260.05,265.0,256.5,263.05,358.7,160.0,MARKSANS
2025-07-03,258.2,261.6,257.15,259.5,358.7,160.0,MARKSANS
2025-07-02,258.0,260.55,256.0,257.35,358.7,160.0,MARKSANS
2025-07-01,263.55,263.95,257.15,258.5,358.7,160.0,MARKSANS
2025-06-30,253.4,263.85,252.7,261.5,358.7,160.0,MARKSANS
2025-06-27,248.0,255.35,246.9,252.55,358.7,158.22,MARKSANS
2025-06-26,248.1,250.95,246.1,247.05,358.7,158.22,MARKSANS
2025-06-25,243.5,249.9,241.8,247.0,358.7,158.22,MARKSANS
2025-06-24,242.7,247.15,241.2,242.8,358.7,158.22,MARKSANS
2025-06-23,238.0,243.3,235.9,240.7,358.7,158.22,MARKSANS
2025-06-20,248.2,249.8,236.95,240.0,358.7,157.06,MARKSANS
2025-06-19,251.5,256.0,242.1,247.95,358.7,157.06,MARKSANS
2025-06-18,249.95,255.2,244.5,250.15,358.7,157.06,MARKSANS
2025-06-17,258.0,258.0,249.0,250.65,358.7,157.06,MARKSANS
2025-06-16,258.05,259.25,252.0,257.95,358.7,157.06,MARKSANS
2025-06-13,252.0,260.0,250.1,259.25,358.7,154.35,MARKSANS
2025-06-12,263.55,270.6,258.0,259.95,358.7,154.35,MARKSANS
2025-06-11,252.15,270.7,252.0,263.55,358.7,154.35,MARKSANS
2025-06-10,254.9,254.9,249.3,249.95,358.7,154.35,MARKSANS
2025-06-09,254.55,257.7,252.5,253.35,358.7,154.35,MARKSANS
2025-06-06,257.85,261.35,251.05,251.95,358.7,130.0,MARKSANS
2025-06-05,256.95,261.05,256.5,257.85,358.7,130.0,MARKSANS
2025-06-04,262.0,263.0,255.9,256.8,358.7,130.0,MARKSANS
2025-06-03,255.6,262.5,254.1,261.35,358.7,130.0,MARKSANS
2025-06-02,260.0,260.0,254.55,255.15,358.7,130.0,MARKSANS
2025-05-30,261.4,265.0,258.66,261.42,358.7,130.0,MARKSANS
2025-05-29,251.85,261.83,250.52,260.24,358.7,130.0,MARKSANS
2025-05-28,253.9,254.17,248.16,250.27,358.7,130.0,MARKSANS
2025-05-27,253.7,254.18,246.85,251.99,358.7,130.0,MARKSANS
2025-05-26,246.5,253.5,244.25,251.83,358.7,130.0,MARKSANS
2025-05-23,246.85,248.5,243.7,246.67,358.7,130.0,MARKSANS
2025-05-22,249.4,249.6,242.99,246.8,358.7,130.0,MARKSANS
2025-05-21,238.51,252.0,231.41,250.21,358.7,130.0,MARKSANS
2025-05-20,241.0,249.86,235.12,236.78,358.7,130.0,MARKSANS
2025-05-19,243.0,256.08,238.3,253.51,358.7,130.0,MARKSANS
2025-05-16,240.25,243.47,238.5,241.4,358.7,130.0,MARKSANS
2025-05-15,237.0,243.65,236.28,239.61,358.7,130.0,MARKSANS
2025-05-14,237.57,242.73,234.0,238.27,358.7,130.0,MARKSANS
2025-05-13,224.49,239.0,223.5,237.4,358.7,130.0,MARKSANS
2025-05-12,228.5,231.69,222.0,222.71,358.7,130.0,MARKSANS
2025-05-09,217.36,227.45,217.2,226.23,358.7,130.0,MARKSANS
2025-05-08,225.54,227.7,223.26,226.4,358.7,130.0,MARKSANS
2025-05-07,214.2,227.0,207.0,225.54,358.7,130.0,MARKSANS
2025-05-06,222.0,222.7,215.11,218.51,358.7,130.0,MARKSANS
2025-05-05,225.05,226.0,221.11,222.23,358.7,130.0,MARKSANS
2025-05-02,218.39,226.35,215.27,223.25,358.7,130.0,MARKSANS
2025-04-30,218.3,228.9,215.8,219.39,358.7,130.0,MARKSANS
2025-04-29,218.98,220.7,216.1,219.32,358.7,130.0,MARKSANS
2025-04-28,215.9,221.4,211.86,217.48,358.7,130.0,MARKSANS
2025-04-25,230.4,231.0,212.72,216.03,358.7,130.0,MARKSANS
2025-04-24,215.0,231.5,214.38,228.37,358.7,130.0,MARKSANS
2025-04-23,215.99,219.13,212.1,214.66,358.7,130.0,MARKSANS
2025-04-22,214.13,216.6,211.7,214.21,358.7,130.0,MARKSANS
2025-04-21,212.01,215.6,210.63,214.13,358.7,130.0,MARKSANS
2025-04-17,213.52,214.83,209.68,211.44,358.7,130.0,MARKSANS
2025-04-16,213.0,216.0,211.01,213.52,358.7,130.0,MARKSANS
2025-04-15,209.99,213.15,207.61,211.01,358.7,130.0,MARKSANS
2025-04-11,213.3,213.3,202.0,205.58,358.7,130.0,MARKSANS
2025-04-09,201.35,205.6,192.62,194.15,358.7,130.0,MARKSANS
2025-04-08,200.0,210.7,197.37,208.52,358.7,130.0,MARKSANS
2025-04-07,171.0,199.0,171.0,194.73,358.7,130.0,MARKSANS
2025-04-04,233.0,233.5,202.1,206.69,358.7,130.0,MARKSANS
2025-04-03,231.01,246.79,226.4,233.15,358.7,130.0,MARKSANS
2025-04-02,222.0,226.5,216.92,225.22,358.7,130.0,MARKSANS
2025-04-01,221.0,224.75,217.66,221.97,358.7,130.0,MARKSANS
2025-03-28,226.0,229.3,220.39,222.47,358.7,130.0,MARKSANS
2025-03-27,216.2,225.79,216.0,224.14,358.7,130.0,MARKSANS
2025-03-26,226.6,228.7,218.34,219.51,358.7,130.0,MARKSANS
2025-03-25,230.15,230.2,222.9,226.0,358.7,130.0,MARKSANS
2025-03-24,220.43,231.94,219.05,228.12,358.7,130.0,MARKSANS
2025-03-21,219.0,221.89,214.5,216.84,358.7,130.0,MARKSANS
2025-03-20,211.0,220.2,207.81,217.36,358.7,130.0,MARKSANS
2025-03-19,204.0,208.74,203.55,207.08,358.7,130.0,MARKSANS
2025-03-18,193.96,203.65,191.43,202.67,358.7,130.0,MARKSANS
2025-03-17,196.02,198.45,190.0,191.03,358.7,130.0,MARKSANS
2025-03-13,199.0,201.6,192.66,194.4,358.7,130.0,MARKSANS
2025-03-12,203.0,203.9,193.2,197.61,358.7,130.0,MARKSANS
2025-03-11,195.25,202.18,190.0,201.18,358.7,130.0,MARKSANS
2025-03-10,207.17,210.2,197.5,198.38,358.7,130.0,MARKSANS
2025-03-07,211.76,215.65,205.3,207.17,358.7,130.0,MARKSANS
2025-03-06,198.79,216.5,198.78,211.75,358.7,130.0,MARKSANS
2025-03-05,204.0,205.95,196.46,198.79,358.7,130.0,MARKSANS
2025-03-04,195.0,208.1,195.0,199.91,358.7,130.0,MARKSANS
2025-03-03,207.69,208.24,194.1,202.15,358.7,130.0,MARKSANS
2025-02-28,207.5,212.41,201.1,204.69,358.7,130.0,MARKSANS
2025-02-27,221.76,223.98,208.34,211.86,358.7,130.0,MARKSANS
2025-02-25,222.35,227.71,218.5,219.64,358.7,130.0,MARKSANS
2025-02-24,226.05,228.98,218.22,225.76,358.7,130.0,MARKSANS
2025-02-21,233.05,236.8,224.3,226.05,358.7,130.0,MARKSANS
2025-02-20,225.0,235.9,225.0,232.69,358.7,130.0,MARKSANS
2025-02-19,237.8,238.94,227.0,228.15,358.7,130.0,MARKSANS
2025-02-18,236.86,245.0,228.0,241.47,358.7,130.0,MARKSANS
2025-02-17,229.0,242.7,224.05,239.57,358.7,130.0,MARKSANS
2025-02-14,250.05,251.99,228.0,230.69,358.7,130.0,MARKSANS
