DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,85.0,86.4,84.99,85.1,111.5,78.43,MAWANASUG
2025-11-07,85.8,86.89,85.0,85.48,111.5,78.43,MAWANASUG
2025-11-06,86.65,87.86,85.51,85.96,111.5,78.43,MAWANASUG
2025-11-04,86.35,87.94,86.35,87.24,111.5,78.43,MAWANASUG
2025-11-03,87.0,87.99,87.0,87.15,111.5,78.43,MAWANASUG
2025-10-31,88.4,88.4,87.3,87.39,111.5,78.43,MAWANASUG
2025-10-30,88.55,88.55,87.55,87.82,111.5,78.43,MAWANASUG
2025-10-29,87.7,88.5,86.98,88.09,111.5,78.43,MAWANASUG
2025-10-28,87.5,87.5,86.78,87.27,111.5,78.43,MAWANASUG
2025-10-27,87.9,87.9,86.05,86.71,111.5,78.43,MAWANASUG
2025-10-24,87.74,87.74,86.1,86.89,113.35,78.43,MAWANASUG
2025-10-23,87.64,88.7,87.0,87.28,113.35,78.43,MAWANASUG
2025-10-21,88.0,88.0,86.8,87.64,113.35,78.43,MAWANASUG
2025-10-20,87.7,87.7,85.74,86.32,113.35,78.43,MAWANASUG
2025-10-17,87.05,88.0,85.1,85.72,119.52,78.43,MAWANASUG
2025-10-16,87.4,88.0,86.3,87.08,119.52,78.43,MAWANASUG
2025-10-15,85.05,87.89,85.05,87.01,119.52,78.43,MAWANASUG
2025-10-14,89.1,89.91,83.3,85.04,119.52,78.43,MAWANASUG
2025-10-13,88.8,90.99,88.8,89.09,119.52,78.43,MAWANASUG
2025-10-10,90.45,90.8,89.59,90.22,120.35,78.43,MAWANASUG
2025-10-09,90.44,91.1,89.0,90.25,120.35,78.43,MAWANASUG
2025-10-08,90.9,91.69,89.6,90.44,120.35,78.43,MAWANASUG
2025-10-07,88.89,90.9,88.5,90.11,120.35,78.43,MAWANASUG
2025-10-06,90.0,90.46,88.8,89.23,120.35,78.43,MAWANASUG
2025-10-03,88.0,90.39,88.0,89.49,128.3,78.43,MAWANASUG
2025-10-01,88.0,90.0,87.19,89.36,128.3,78.43,MAWANASUG
2025-09-30,89.59,89.59,87.25,88.0,128.3,78.43,MAWANASUG
2025-09-29,90.0,90.0,88.14,88.5,128.3,78.43,MAWANASUG
