DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,756.75,769.85,753.9,759.95,1045.3,636.1,MEDPLUS
2025-10-15,768.1,771.6,750.5,756.75,1045.3,636.1,MEDPLUS
2025-10-14,774.95,777.95,750.0,770.05,1045.3,636.1,MEDPLUS
2025-10-13,770.1,792.25,763.35,778.05,1045.3,636.1,MEDPLUS
2025-10-10,779.95,797.45,773.0,784.2,1045.3,634.8,MEDPLUS
2025-10-09,767.0,784.0,759.0,779.6,1045.3,634.8,MEDPLUS
2025-10-08,752.7,779.0,745.6,763.1,1045.3,634.8,MEDPLUS
2025-10-07,758.95,761.75,746.0,749.8,1045.3,634.8,MEDPLUS
2025-10-06,746.65,766.0,734.0,755.15,1045.3,634.8,MEDPLUS
2025-10-03,741.8,752.45,732.0,746.65,1045.3,634.8,MEDPLUS
2025-10-01,752.95,756.9,738.9,741.8,1045.3,634.8,MEDPLUS
2025-09-30,764.3,775.55,746.6,757.45,1045.3,634.8,MEDPLUS
2025-09-29,780.3,798.2,759.45,764.3,1045.3,634.8,MEDPLUS
2025-09-26,791.9,803.4,778.05,786.9,1045.3,634.8,MEDPLUS
2025-09-25,786.8,805.0,782.3,799.15,1045.3,634.8,MEDPLUS
2025-09-24,805.0,813.25,780.1,789.15,1045.3,634.8,MEDPLUS
2025-09-23,819.25,827.95,803.05,808.15,1045.3,634.8,MEDPLUS
2025-09-22,840.55,843.35,807.0,820.05,1045.3,634.8,MEDPLUS
2025-09-19,841.65,845.0,832.75,840.55,1045.3,634.8,MEDPLUS
2025-09-18,849.8,853.6,830.5,838.3,1045.3,634.8,MEDPLUS
2025-09-17,839.95,853.0,834.95,844.55,1045.3,634.8,MEDPLUS
2025-09-16,841.95,841.95,830.55,839.5,1045.3,634.8,MEDPLUS
2025-09-15,838.0,845.6,824.8,842.3,1045.3,634.8,MEDPLUS
2025-09-12,828.25,841.35,828.25,838.75,1045.3,634.8,MEDPLUS
2025-09-11,831.0,838.45,825.0,830.9,1045.3,634.8,MEDPLUS
2025-09-10,830.5,843.65,826.6,831.05,1045.3,634.8,MEDPLUS
2025-09-09,834.65,840.65,829.0,835.3,1045.3,634.8,MEDPLUS
2025-09-08,832.5,842.6,823.05,834.85,1045.3,634.8,MEDPLUS
2025-09-05,841.15,848.15,827.45,832.5,1045.3,634.8,MEDPLUS
2025-09-04,849.8,857.8,834.05,841.55,1045.3,634.8,MEDPLUS
2025-09-03,842.6,851.9,829.35,842.6,1045.3,634.8,MEDPLUS
2025-09-02,837.4,849.95,834.05,847.4,1045.3,634.8,MEDPLUS
2025-09-01,841.95,858.6,828.0,833.05,1045.3,634.8,MEDPLUS
2025-08-29,832.2,845.0,825.85,841.95,1045.3,616.0,MEDPLUS
2025-08-28,849.95,849.95,822.65,827.8,1045.3,616.0,MEDPLUS
2025-08-26,842.0,847.0,827.0,842.1,1045.3,616.0,MEDPLUS
2025-08-25,825.6,848.15,825.6,841.1,1045.3,616.0,MEDPLUS
2025-08-22,828.55,833.6,803.5,821.25,1045.3,616.0,MEDPLUS
2025-08-21,838.15,844.0,825.05,828.55,1045.3,616.0,MEDPLUS
2025-08-20,835.0,847.1,825.8,829.95,1045.3,616.0,MEDPLUS
2025-08-19,831.0,839.75,825.6,835.0,1045.3,616.0,MEDPLUS
2025-08-18,815.1,835.15,811.55,831.6,1045.3,616.0,MEDPLUS
2025-08-14,806.9,829.6,805.35,813.8,1045.3,616.0,MEDPLUS
2025-08-13,815.0,819.25,800.55,804.05,1045.3,616.0,MEDPLUS
2025-08-12,830.0,835.2,804.0,815.1,1045.3,616.0,MEDPLUS
2025-08-11,812.5,837.65,805.0,830.8,1045.3,616.0,MEDPLUS
2025-08-08,839.0,851.85,810.1,828.65,1045.3,616.0,MEDPLUS
2025-08-07,820.15,845.0,817.0,839.15,1045.3,616.0,MEDPLUS
2025-08-06,877.25,877.25,825.1,836.1,1045.3,616.0,MEDPLUS
2025-08-05,919.9,925.0,866.15,876.75,1045.3,616.0,MEDPLUS
2025-08-04,929.9,932.0,888.2,919.4,1045.3,616.0,MEDPLUS
2025-08-01,931.0,940.0,902.45,915.25,1045.3,616.0,MEDPLUS
2025-07-31,929.8,935.0,873.7,930.55,1045.3,616.0,MEDPLUS
2025-07-30,915.65,937.6,909.75,934.45,1045.3,616.0,MEDPLUS
2025-07-29,903.3,924.35,888.1,911.1,1045.3,616.0,MEDPLUS
2025-07-28,897.75,914.6,890.9,898.6,1045.3,616.0,MEDPLUS
2025-07-25,880.0,904.05,874.2,896.25,1045.3,616.0,MEDPLUS
2025-07-24,889.1,892.75,854.8,887.2,1045.3,616.0,MEDPLUS
2025-07-23,902.8,906.95,880.0,884.4,1045.3,616.0,MEDPLUS
2025-07-22,911.3,915.05,901.0,902.65,1045.3,616.0,MEDPLUS
2025-07-21,895.8,913.55,890.45,906.55,1045.3,616.0,MEDPLUS
2025-07-18,917.15,917.15,891.65,900.4,1045.3,616.0,MEDPLUS
2025-07-17,926.9,945.0,910.05,917.5,1045.3,616.0,MEDPLUS
2025-07-16,907.1,933.0,898.6,927.1,1045.3,616.0,MEDPLUS
2025-07-15,884.0,915.4,878.0,910.9,1045.3,616.0,MEDPLUS
2025-07-14,867.35,884.4,860.4,879.1,1045.3,616.0,MEDPLUS
2025-07-11,859.0,879.1,853.15,874.35,1045.3,616.0,MEDPLUS
2025-07-10,855.0,864.2,851.0,859.95,1045.3,616.0,MEDPLUS
2025-07-09,855.0,869.0,850.05,855.05,1045.3,616.0,MEDPLUS
2025-07-08,860.0,866.05,843.8,853.6,1045.3,616.0,MEDPLUS
2025-07-07,869.3,879.3,852.1,860.55,1045.3,616.0,MEDPLUS
2025-07-04,880.0,890.8,859.4,869.3,1045.3,616.0,MEDPLUS
2025-07-03,888.15,892.8,868.5,874.95,1045.3,616.0,MEDPLUS
2025-07-02,898.95,902.25,883.8,888.15,1045.3,616.0,MEDPLUS
2025-07-01,900.05,908.0,886.95,890.05,1045.3,616.0,MEDPLUS
2025-06-30,910.0,912.8,890.6,904.5,1045.3,616.0,MEDPLUS
2025-06-27,910.2,918.0,894.9,911.8,1045.3,616.0,MEDPLUS
2025-06-26,897.0,905.0,885.9,903.0,1045.3,616.0,MEDPLUS
2025-06-25,887.0,903.0,878.05,883.8,1045.3,616.0,MEDPLUS
2025-06-24,875.0,895.3,875.0,887.35,1045.3,616.0,MEDPLUS
2025-06-23,863.0,873.0,849.8,870.65,1045.3,616.0,MEDPLUS
