DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,1227.1,1256.0,1227.1,1253.3,1586.9,1075.25,MGL
2025-11-13,1230.0,1239.4,1226.3,1231.8,1586.9,1075.25,MGL
2025-11-12,1229.5,1240.0,1223.2,1231.0,1586.9,1075.25,MGL
2025-11-11,1210.8,1246.4,1210.8,1220.6,1586.9,1075.25,MGL
2025-11-10,1215.6,1226.0,1206.0,1210.8,1586.9,1075.25,MGL
2025-11-07,1234.9,1236.0,1209.9,1215.6,1586.9,1075.25,MGL
2025-11-06,1264.1,1267.0,1225.1,1232.7,1586.9,1075.25,MGL
2025-11-04,1277.3,1284.0,1261.0,1264.1,1586.9,1075.25,MGL
2025-11-03,1271.0,1286.2,1266.0,1277.3,1586.9,1075.25,MGL
2025-10-31,1267.0,1284.7,1265.2,1276.9,1586.9,1075.25,MGL
2025-10-30,1275.0,1279.5,1260.0,1271.7,1586.9,1075.25,MGL
2025-10-29,1295.0,1301.0,1289.3,1295.6,1586.9,1075.25,MGL
2025-10-28,1289.9,1296.9,1284.1,1290.9,1586.9,1075.25,MGL
2025-10-27,1314.0,1314.0,1278.5,1281.9,1586.9,1075.25,MGL
2025-10-24,1305.0,1306.7,1292.2,1305.1,1616.6,1075.25,MGL
2025-10-23,1297.0,1305.5,1290.1,1301.8,1616.6,1075.25,MGL
2025-10-21,1283.5,1294.2,1283.5,1290.1,1616.6,1075.25,MGL
2025-10-20,1282.0,1293.2,1273.7,1282.7,1616.6,1075.25,MGL
2025-10-17,1306.5,1306.5,1280.0,1282.3,1857.0,1075.25,MGL
2025-10-16,1320.0,1329.0,1293.2,1298.0,1857.0,1075.25,MGL
2025-10-15,1308.8,1315.0,1299.0,1310.7,1857.0,1075.25,MGL
2025-10-14,1300.8,1321.0,1287.0,1308.4,1857.0,1075.25,MGL
2025-10-13,1301.0,1303.7,1277.9,1294.6,1857.0,1075.25,MGL
2025-10-10,1285.0,1302.0,1285.0,1294.9,1923.75,1075.25,MGL
2025-10-09,1285.0,1297.5,1274.0,1291.0,1923.75,1075.25,MGL
2025-10-08,1324.9,1335.4,1276.7,1279.0,1923.75,1075.25,MGL
2025-10-07,1284.4,1333.7,1284.4,1313.6,1923.75,1075.25,MGL
2025-10-06,1285.7,1295.5,1278.1,1283.2,1923.75,1075.25,MGL
2025-10-03,1281.0,1289.4,1273.0,1281.3,1958.0,1075.25,MGL
2025-10-01,1305.0,1310.0,1272.4,1277.0,1958.0,1075.25,MGL
