DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,358.15,369.9,358.15,367.1,405.6,274.05,MOIL
2025-11-07,357.0,361.1,353.0,358.15,405.6,274.05,MOIL
2025-11-06,364.0,368.5,355.9,357.35,405.6,274.05,MOIL
2025-11-04,369.9,369.9,362.0,364.05,405.6,274.05,MOIL
2025-11-03,366.0,373.55,365.35,370.4,405.6,274.05,MOIL
2025-10-31,370.4,371.0,365.15,365.9,405.6,274.05,MOIL
2025-10-30,374.95,374.95,369.05,370.4,405.6,274.05,MOIL
2025-10-29,368.0,380.95,366.6,374.5,405.6,274.05,MOIL
2025-10-28,368.0,369.55,365.65,367.2,405.6,274.05,MOIL
2025-10-27,374.9,376.4,365.0,368.3,405.6,274.05,MOIL
2025-10-24,370.0,382.0,369.9,373.85,405.6,274.05,MOIL
2025-10-23,378.0,378.2,367.05,369.55,405.6,274.05,MOIL
2025-10-21,372.65,376.5,372.0,374.75,405.6,274.05,MOIL
2025-10-20,369.2,372.95,364.5,371.1,405.6,274.05,MOIL
2025-10-17,379.95,381.85,367.15,368.9,405.6,274.05,MOIL
2025-10-16,387.5,387.8,378.9,379.55,405.6,274.05,MOIL
2025-10-15,376.4,391.75,374.05,386.65,405.6,274.05,MOIL
2025-10-14,378.9,389.4,374.2,376.05,405.6,274.05,MOIL
2025-10-13,383.0,384.1,375.9,378.0,405.6,274.05,MOIL
2025-10-10,391.0,392.3,381.05,387.05,405.6,274.05,MOIL
2025-10-09,372.95,392.05,372.95,389.8,405.6,274.05,MOIL
2025-10-08,378.0,379.8,370.5,371.45,405.6,274.05,MOIL
2025-10-07,393.7,393.7,375.55,377.0,405.6,274.05,MOIL
2025-10-06,395.2,404.9,390.6,393.9,405.6,274.05,MOIL
2025-10-03,368.45,395.7,365.8,391.7,413.95,274.05,MOIL
2025-10-01,372.0,372.0,360.0,368.4,413.95,274.05,MOIL
2025-09-30,361.15,371.0,359.35,370.3,413.95,274.05,MOIL
2025-09-29,354.45,365.7,352.3,360.15,413.95,274.05,MOIL
2025-09-26,358.95,366.3,351.5,354.4,413.95,274.05,MOIL
2025-09-25,362.95,366.8,358.75,360.3,413.95,274.05,MOIL
2025-09-24,364.0,367.95,359.0,362.5,413.95,274.05,MOIL
2025-09-23,354.0,368.2,350.0,362.4,413.95,274.05,MOIL
2025-09-22,356.2,360.35,352.65,354.3,413.95,274.05,MOIL
2025-09-19,357.55,361.0,354.2,355.6,413.95,274.05,MOIL
2025-09-18,359.65,364.0,355.0,356.95,413.95,274.05,MOIL
2025-09-17,356.15,359.1,352.8,353.95,413.95,274.05,MOIL
2025-09-16,356.0,359.5,353.55,355.4,413.95,274.05,MOIL
2025-09-15,355.3,363.0,353.65,355.3,413.95,274.05,MOIL
2025-09-12,350.4,357.45,349.05,354.45,413.95,274.05,MOIL
2025-09-11,350.1,354.0,346.8,348.4,413.95,274.05,MOIL
2025-09-10,351.2,354.45,347.0,350.05,413.95,274.05,MOIL
2025-09-09,354.65,355.15,347.0,351.15,413.95,274.05,MOIL
2025-09-08,352.1,362.15,350.3,354.05,413.95,274.05,MOIL
2025-09-05,345.0,362.7,342.2,352.15,413.95,274.05,MOIL
2025-09-04,362.4,362.8,342.25,344.85,413.95,274.05,MOIL
2025-09-03,369.95,373.9,355.25,358.1,413.95,274.05,MOIL
2025-09-02,337.55,350.4,333.35,344.8,413.95,274.05,MOIL
2025-09-01,331.8,339.0,330.2,337.2,413.95,274.05,MOIL
2025-08-29,329.9,333.05,327.9,330.25,419.4,274.05,MOIL
2025-08-28,326.0,337.8,324.35,330.5,419.4,274.05,MOIL
2025-08-26,330.8,332.0,323.6,325.05,419.4,274.05,MOIL
2025-08-25,330.0,332.5,328.6,330.2,419.4,274.05,MOIL
2025-08-22,330.6,331.8,326.35,329.75,423.5,274.05,MOIL
2025-08-21,335.85,339.5,330.0,330.15,423.5,274.05,MOIL
2025-08-20,331.25,335.8,329.15,335.1,423.5,274.05,MOIL
2025-08-19,326.8,332.9,325.8,330.65,423.5,274.05,MOIL
2025-08-18,326.5,328.0,323.05,327.4,423.5,274.05,MOIL
2025-08-14,332.0,333.0,320.2,321.1,440.2,274.05,MOIL
2025-08-13,325.05,333.0,325.05,331.35,440.2,274.05,MOIL
2025-08-12,325.15,325.75,320.55,325.05,440.2,274.05,MOIL
2025-08-11,321.0,326.4,318.1,325.2,440.2,274.05,MOIL
2025-08-08,322.7,329.3,321.0,322.5,462.85,274.05,MOIL
2025-08-07,325.0,325.0,316.8,322.15,462.85,274.05,MOIL
2025-08-06,337.85,338.4,326.25,327.9,462.85,274.05,MOIL
2025-08-05,348.15,348.75,336.6,337.9,462.85,274.05,MOIL
2025-08-04,337.0,348.6,336.85,346.7,462.85,274.05,MOIL
2025-08-01,342.4,342.4,332.5,336.05,519.0,274.05,MOIL
2025-07-31,337.0,349.8,336.75,342.75,519.0,274.05,MOIL
2025-07-30,370.9,376.35,342.4,346.8,519.0,274.05,MOIL
2025-07-29,368.6,371.55,365.25,369.5,519.0,274.05,MOIL
2025-07-28,372.5,376.15,367.95,370.95,519.0,274.05,MOIL
2025-07-25,388.5,389.3,374.8,375.65,519.0,274.05,MOIL
2025-07-24,395.85,397.5,387.25,388.7,519.0,274.05,MOIL
2025-07-23,392.8,396.85,388.85,393.55,519.0,274.05,MOIL
2025-07-22,381.95,396.15,380.1,388.9,519.0,274.05,MOIL
2025-07-21,383.7,386.4,380.2,381.8,519.0,274.05,MOIL
2025-07-18,372.45,387.5,367.5,382.2,554.5,274.05,MOIL
2025-07-17,375.7,376.95,370.35,371.65,554.5,274.05,MOIL
2025-07-16,374.55,376.0,372.65,375.15,554.5,274.05,MOIL
2025-07-15,367.75,375.0,367.75,374.55,554.5,274.05,MOIL
2025-07-14,370.0,370.0,365.0,365.9,554.5,274.05,MOIL
2025-07-11,370.6,375.9,368.65,370.05,588.0,274.05,MOIL
2025-07-10,371.0,377.5,369.4,373.05,588.0,274.05,MOIL
2025-07-09,372.8,378.25,369.0,370.2,588.0,274.05,MOIL
2025-07-08,378.95,381.95,370.15,372.5,588.0,274.05,MOIL
2025-07-07,387.45,387.7,378.0,379.05,588.0,274.05,MOIL
2025-07-04,391.9,393.55,386.4,387.85,588.0,274.05,MOIL
2025-07-03,389.8,396.75,385.2,391.05,588.0,274.05,MOIL
2025-07-02,388.5,394.6,387.7,390.15,588.0,274.05,MOIL
2025-07-01,388.05,389.6,380.05,384.75,588.0,274.05,MOIL
2025-06-30,386.45,389.8,383.0,388.05,588.0,274.05,MOIL
2025-06-27,389.9,392.0,384.0,385.0,588.0,274.05,MOIL
2025-06-26,381.25,388.85,374.3,387.2,588.0,274.05,MOIL
2025-06-25,373.0,382.6,371.8,372.8,588.0,274.05,MOIL
2025-06-24,374.1,376.7,366.95,370.4,588.0,274.05,MOIL
2025-06-23,361.3,372.5,358.25,370.05,588.0,274.05,MOIL
2025-06-20,358.8,365.0,355.6,361.3,588.0,274.05,MOIL
2025-06-19,365.2,368.85,353.3,357.2,588.0,274.05,MOIL
2025-06-18,369.7,374.7,364.55,366.1,588.0,274.05,MOIL
2025-06-17,381.0,384.45,368.6,369.4,588.0,274.05,MOIL
