DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,63.88,65.05,63.88,64.73,75.48,51.21,MOMOMENTUM
2025-10-20,64.41,65.0,64.4,64.72,75.48,51.21,MOMOMENTUM
2025-10-17,64.34,64.85,64.09,64.41,78.5,51.21,MOMOMENTUM
2025-10-16,64.28,64.63,63.67,64.33,78.5,51.21,MOMOMENTUM
2025-10-15,62.99,64.23,62.99,63.97,78.5,51.21,MOMOMENTUM
2025-10-14,63.22,63.6,62.63,62.98,78.5,51.21,MOMOMENTUM
2025-10-13,63.49,63.49,62.82,63.22,78.5,51.21,MOMOMENTUM
2025-10-10,62.84,63.36,62.84,63.21,78.5,51.21,MOMOMENTUM
2025-10-09,62.71,63.0,62.0,62.79,78.5,51.21,MOMOMENTUM
2025-10-08,62.97,62.97,62.13,62.18,78.5,51.21,MOMOMENTUM
2025-10-07,62.47,62.77,61.83,62.44,78.5,51.21,MOMOMENTUM
2025-10-06,59.84,62.38,59.84,62.16,78.5,51.21,MOMOMENTUM
2025-10-03,60.05,61.78,60.05,61.38,78.5,51.21,MOMOMENTUM
2025-10-01,60.59,66.05,60.35,61.04,78.5,51.21,MOMOMENTUM
2025-09-30,61.37,61.48,60.14,60.58,78.5,51.21,MOMOMENTUM
2025-09-29,60.93,61.13,60.26,60.73,78.5,51.21,MOMOMENTUM
2025-09-26,61.99,61.99,60.4,60.59,78.5,51.21,MOMOMENTUM
2025-09-25,62.14,62.47,61.5,61.67,78.5,51.21,MOMOMENTUM
2025-09-24,62.32,62.35,61.78,61.84,78.5,51.21,MOMOMENTUM
2025-09-23,63.11,63.37,62.13,62.32,78.5,51.21,MOMOMENTUM
2025-09-22,63.21,63.29,61.68,62.8,78.5,51.21,MOMOMENTUM
2025-09-19,63.13,63.58,62.71,62.9,78.5,51.21,MOMOMENTUM
2025-09-18,63.58,63.58,62.73,63.13,78.5,51.21,MOMOMENTUM
2025-09-17,62.79,63.36,62.5,62.9,78.5,51.21,MOMOMENTUM
2025-09-16,62.79,62.87,62.32,62.79,78.5,51.21,MOMOMENTUM
2025-09-15,62.29,62.95,61.63,62.61,78.5,51.21,MOMOMENTUM
2025-09-12,61.8,62.5,61.8,62.3,78.5,51.21,MOMOMENTUM
2025-09-11,62.05,62.68,61.61,61.79,78.5,51.21,MOMOMENTUM
2025-09-10,61.73,62.19,61.63,62.05,78.5,51.21,MOMOMENTUM
2025-09-09,61.72,61.99,61.07,61.38,78.5,51.21,MOMOMENTUM
2025-09-08,61.89,61.89,61.0,61.42,78.5,51.21,MOMOMENTUM
2025-09-05,61.18,61.59,60.89,61.16,78.5,51.21,MOMOMENTUM
2025-09-04,63.04,63.04,60.99,61.06,78.5,51.21,MOMOMENTUM
2025-09-03,61.49,61.58,60.62,61.2,78.5,51.21,MOMOMENTUM
2025-09-02,61.23,61.57,60.72,60.99,78.5,51.21,MOMOMENTUM
2025-09-01,60.74,61.78,59.83,60.93,78.5,51.21,MOMOMENTUM
2025-08-29,60.78,61.15,60.0,60.42,78.5,51.21,MOMOMENTUM
2025-08-28,61.5,61.5,60.22,60.48,78.5,51.21,MOMOMENTUM
2025-08-26,62.06,62.49,60.97,61.2,78.5,51.21,MOMOMENTUM
2025-08-25,62.3,62.96,62.08,62.29,78.5,51.21,MOMOMENTUM
2025-08-22,62.79,62.79,61.5,62.23,78.5,51.21,MOMOMENTUM
2025-08-21,62.15,62.58,61.83,62.22,78.5,51.21,MOMOMENTUM
2025-08-20,62.45,62.78,62.04,62.16,78.5,51.21,MOMOMENTUM
2025-08-19,62.66,62.66,61.8,62.14,78.5,51.21,MOMOMENTUM
2025-08-18,61.5,62.85,61.5,62.35,78.5,51.21,MOMOMENTUM
2025-08-14,61.3,61.53,61.11,61.41,78.5,51.21,MOMOMENTUM
2025-08-13,60.33,61.36,60.0,61.29,78.5,51.21,MOMOMENTUM
2025-08-12,60.41,61.27,60.27,60.34,78.5,51.21,MOMOMENTUM
2025-08-11,60.15,60.94,59.51,60.77,78.5,51.21,MOMOMENTUM
2025-08-08,61.65,61.66,60.24,60.38,78.5,51.21,MOMOMENTUM
2025-08-07,60.8,61.38,60.4,61.06,78.5,51.21,MOMOMENTUM
2025-08-06,61.17,61.73,60.75,60.98,78.5,51.21,MOMOMENTUM
2025-08-05,62.29,62.29,60.81,61.17,78.5,51.21,MOMOMENTUM
2025-08-04,62.58,62.58,60.53,61.19,78.5,51.21,MOMOMENTUM
2025-08-01,61.57,61.58,60.5,60.76,78.5,51.21,MOMOMENTUM
2025-07-31,61.28,61.69,60.75,61.27,78.5,51.21,MOMOMENTUM
2025-07-30,61.6,61.76,61.26,61.36,78.5,51.21,MOMOMENTUM
2025-07-29,61.31,61.73,61.13,61.51,78.5,51.21,MOMOMENTUM
2025-07-28,62.0,62.74,61.27,61.46,78.5,51.21,MOMOMENTUM
2025-07-25,62.79,62.99,61.93,62.12,78.5,51.21,MOMOMENTUM
2025-07-24,63.3,63.79,62.71,62.79,78.5,51.21,MOMOMENTUM
2025-07-23,63.29,63.39,62.67,63.29,78.5,51.21,MOMOMENTUM
2025-07-22,62.31,63.3,62.31,62.93,78.5,51.21,MOMOMENTUM
2025-07-21,62.31,62.9,61.78,62.7,78.5,51.21,MOMOMENTUM
2025-07-18,62.49,63.3,62.0,62.31,78.5,51.21,MOMOMENTUM
2025-07-17,63.34,63.34,62.33,62.59,78.5,51.21,MOMOMENTUM
2025-07-16,63.19,63.32,63.0,63.17,78.5,51.21,MOMOMENTUM
2025-07-15,61.24,63.83,61.24,63.19,78.5,51.21,MOMOMENTUM
2025-07-14,63.06,63.18,62.21,62.82,78.5,51.21,MOMOMENTUM
