DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,234.48,234.48,231.75,233.22,258.8,159.3,MON100
2025-11-28,234.44,234.44,230.58,231.75,258.8,159.3,MON100
2025-11-27,233.63,234.48,230.4,232.1,258.8,159.3,MON100
2025-11-26,232.49,234.8,230.82,232.74,258.8,159.3,MON100
2025-11-25,233.06,233.99,230.4,230.9,258.8,159.3,MON100
2025-11-24,234.63,234.64,229.56,230.35,258.8,159.3,MON100
2025-11-21,237.71,238.69,230.66,232.42,258.8,159.3,MON100
2025-11-20,237.24,238.6,234.01,236.43,258.8,159.3,MON100
2025-11-19,234.78,234.78,231.26,233.55,258.8,159.3,MON100
2025-11-18,236.48,236.48,230.59,234.28,258.8,159.3,MON100
2025-11-17,237.28,242.71,234.0,235.78,258.8,159.3,MON100
2025-11-14,238.12,238.85,234.77,237.28,258.8,159.3,MON100
2025-11-13,243.51,243.51,237.8,240.32,258.8,159.3,MON100
2025-11-12,244.44,244.44,240.55,243.37,258.8,159.3,MON100
2025-11-11,242.68,243.43,240.53,241.73,258.8,159.3,MON100
2025-11-10,235.48,242.5,234.0,239.87,258.8,159.3,MON100
2025-11-07,239.65,239.65,231.05,234.06,258.8,159.3,MON100
2025-11-06,240.4,242.99,235.6,238.47,258.8,159.3,MON100
2025-11-04,247.94,247.94,240.03,241.4,258.8,159.3,MON100
2025-11-03,246.0,247.75,243.63,245.44,258.8,159.3,MON100
2025-10-31,243.98,245.02,242.22,244.55,258.8,159.3,MON100
2025-10-30,242.0,245.6,241.33,245.02,258.8,159.3,MON100
2025-10-29,246.7,248.44,240.6,241.67,258.8,159.3,MON100
2025-10-28,247.02,249.43,243.02,244.25,258.8,159.3,MON100
2025-10-27,242.0,246.06,237.56,245.29,258.8,159.3,MON100
2025-10-24,247.24,247.24,238.33,241.8,258.8,159.3,MON100
2025-10-23,243.07,248.79,237.01,240.46,258.8,159.3,MON100
2025-10-21,244.41,244.41,232.71,241.54,258.8,159.3,MON100
2025-10-20,239.48,240.2,237.02,239.16,258.8,159.3,MON100
2025-10-17,237.0,237.74,234.14,236.21,258.8,159.3,MON100
2025-10-16,235.5,238.0,232.36,237.12,258.8,159.3,MON100
2025-10-15,240.22,240.22,230.58,233.23,258.8,159.3,MON100
2025-10-14,235.0,238.43,230.03,233.22,258.8,159.3,MON100
2025-10-13,239.0,239.05,227.0,233.7,258.8,159.3,MON100
2025-10-10,247.69,248.39,236.7,238.93,258.8,159.3,MON100
2025-10-09,247.74,253.5,239.52,241.75,258.8,159.3,MON100
2025-10-08,253.15,258.8,238.0,242.12,258.8,159.2,MON100
2025-10-07,242.98,253.95,241.8,250.26,253.95,159.2,MON100
2025-10-06,230.98,242.97,228.26,240.61,242.97,159.2,MON100
2025-10-03,223.84,230.99,220.5,229.61,230.99,159.2,MON100
2025-10-01,223.88,224.87,220.03,221.51,225.0,159.2,MON100
2025-09-30,223.24,223.48,218.26,222.38,225.0,159.2,MON100
2025-09-29,216.35,225.0,213.54,219.83,225.0,159.2,MON100
2025-09-26,216.44,216.44,211.51,214.53,221.7,159.2,MON100
2025-09-25,210.01,217.24,210.01,213.8,221.7,158.0,MON100
2025-09-24,218.94,218.94,214.87,215.4,221.7,158.0,MON100
2025-09-23,219.97,219.97,215.44,216.98,221.7,157.48,MON100
2025-09-22,215.93,215.93,213.51,214.61,221.7,157.02,MON100
2025-09-19,216.0,216.0,213.11,213.92,221.7,157.02,MON100
2025-09-18,212.78,213.5,211.84,213.43,221.7,157.02,MON100
2025-09-17,213.78,213.78,211.12,211.84,221.7,157.02,MON100
2025-09-16,212.87,213.55,210.51,212.62,221.7,156.12,MON100
2025-09-15,209.29,211.99,206.16,209.89,221.7,153.42,MON100
2025-09-12,209.44,209.44,205.63,207.06,221.7,153.01,MON100
2025-09-11,206.34,206.34,204.51,205.65,221.7,152.0,MON100
2025-09-10,206.74,206.74,203.81,204.86,221.7,152.0,MON100
2025-09-09,204.32,206.74,204.32,205.5,221.7,151.15,MON100
2025-09-08,206.19,206.19,204.22,205.28,221.7,151.15,MON100
2025-09-05,204.84,205.0,202.68,204.85,221.7,151.15,MON100
2025-09-04,209.57,209.57,201.6,202.48,221.7,151.15,MON100
2025-09-03,203.94,204.0,200.7,203.47,221.7,151.15,MON100
2025-09-02,204.74,204.74,201.56,202.37,221.7,151.15,MON100
2025-09-01,203.88,204.49,202.0,203.66,221.7,151.15,MON100
2025-08-29,202.32,205.29,202.32,204.42,221.7,151.15,MON100
2025-08-28,204.44,204.44,200.65,203.29,221.7,151.15,MON100
2025-08-26,203.99,203.99,201.26,202.49,221.7,151.15,MON100
2025-08-25,203.84,203.98,202.51,203.4,221.7,151.15,MON100
2025-08-22,200.66,204.84,200.21,201.14,221.7,151.15,MON100
2025-08-21,201.61,203.88,201.2,202.14,221.7,151.15,MON100
2025-08-20,204.45,204.53,201.87,203.48,221.7,151.15,MON100
2025-08-19,205.78,207.24,203.44,205.48,221.7,151.15,MON100
2025-08-18,206.0,206.24,198.73,205.78,221.7,151.15,MON100
2025-08-14,206.34,206.34,203.11,204.89,221.7,151.15,MON100
2025-08-13,204.24,204.98,203.31,204.3,221.7,151.15,MON100
2025-08-12,204.74,204.74,197.81,202.19,221.7,150.01,MON100
