DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,93.69,93.99,92.89,93.7,113.5,77.0,MOREALTY
2025-10-17,93.32,94.13,92.75,93.23,113.5,77.0,MOREALTY
2025-10-16,91.8,93.5,91.69,93.31,113.5,77.0,MOREALTY
2025-10-15,89.01,91.99,89.0,91.66,113.5,77.0,MOREALTY
2025-10-14,90.3,90.4,88.64,89.03,113.5,77.0,MOREALTY
2025-10-13,90.28,90.28,88.5,89.86,113.5,77.0,MOREALTY
2025-10-10,88.43,90.11,88.09,89.84,113.5,77.0,MOREALTY
2025-10-09,87.99,88.98,87.68,88.28,113.5,77.0,MOREALTY
2025-10-08,89.12,89.4,87.53,87.67,113.5,77.0,MOREALTY
2025-10-07,88.49,89.22,87.71,89.12,113.5,77.0,MOREALTY
2025-10-06,88.69,88.9,87.3,88.45,113.5,77.0,MOREALTY
2025-10-03,88.5,88.74,87.3,87.84,113.5,77.0,MOREALTY
2025-10-01,87.36,88.08,86.93,87.71,113.5,77.0,MOREALTY
2025-09-30,87.86,89.25,86.5,86.93,113.5,77.0,MOREALTY
2025-09-29,88.39,88.39,86.96,87.78,113.5,77.0,MOREALTY
2025-09-26,87.98,88.5,86.85,87.09,113.8,77.0,MOREALTY
2025-09-25,89.29,89.75,87.5,87.78,113.8,77.0,MOREALTY
2025-09-24,91.89,91.89,89.09,89.28,113.8,77.0,MOREALTY
2025-09-23,92.42,92.96,90.53,91.26,113.8,77.0,MOREALTY
2025-09-22,92.38,93.25,91.5,91.97,113.8,77.0,MOREALTY
2025-09-19,92.0,92.7,91.39,92.38,113.8,77.0,MOREALTY
2025-09-18,91.99,92.74,91.51,91.9,113.8,77.0,MOREALTY
2025-09-17,91.97,92.49,91.36,91.95,113.8,77.0,MOREALTY
2025-09-16,90.49,91.65,90.49,91.36,113.8,77.0,MOREALTY
2025-09-15,90.47,91.29,88.18,90.53,113.8,77.0,MOREALTY
2025-09-12,88.99,89.6,86.75,88.7,113.8,77.0,MOREALTY
2025-09-11,88.51,88.99,88.12,88.56,113.8,77.0,MOREALTY
2025-09-10,88.03,89.0,87.74,88.51,113.8,77.0,MOREALTY
2025-09-09,88.64,88.64,87.22,87.6,113.8,77.0,MOREALTY
2025-09-08,88.02,88.5,87.59,87.79,113.8,77.0,MOREALTY
2025-09-05,89.47,89.47,86.76,87.58,113.8,77.0,MOREALTY
2025-09-04,91.94,91.94,88.12,88.4,113.8,77.0,MOREALTY
2025-09-03,89.63,89.63,88.35,89.26,113.8,77.0,MOREALTY
2025-09-02,88.01,89.68,88.01,88.8,113.8,77.0,MOREALTY
2025-09-01,87.29,88.71,87.15,88.19,113.8,77.0,MOREALTY
2025-08-29,88.84,88.98,87.05,87.29,113.8,77.0,MOREALTY
2025-08-28,89.89,89.9,88.16,88.38,113.8,77.0,MOREALTY
2025-08-26,91.98,92.0,89.63,89.79,113.8,77.0,MOREALTY
2025-08-25,91.24,92.38,91.24,91.74,113.8,77.0,MOREALTY
2025-08-22,92.49,92.5,91.02,91.14,113.8,77.0,MOREALTY
2025-08-21,91.69,92.94,90.3,91.97,113.8,77.0,MOREALTY
