DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,89.5,90.13,89.36,90.04,97.2,85.82,MOTOUR
2025-10-17,89.5,91.0,89.15,89.43,97.2,85.82,MOTOUR
2025-10-16,88.93,89.67,88.7,89.53,97.2,85.82,MOTOUR
2025-10-15,88.87,88.87,87.25,88.46,97.2,85.82,MOTOUR
2025-10-14,86.0,89.67,86.0,87.2,97.2,85.82,MOTOUR
2025-10-13,88.18,89.2,87.66,88.21,97.2,85.82,MOTOUR
2025-10-10,90.14,90.14,88.82,88.87,97.2,85.82,MOTOUR
2025-10-09,87.78,89.2,87.58,88.69,97.2,85.82,MOTOUR
2025-10-08,88.78,88.78,88.0,88.22,97.2,85.82,MOTOUR
2025-10-07,88.81,89.2,88.29,88.71,97.2,85.82,MOTOUR
2025-10-06,91.44,91.44,88.35,88.81,97.2,85.82,MOTOUR
2025-10-03,88.82,90.3,88.38,89.21,97.2,85.82,MOTOUR
2025-10-01,88.74,90.5,87.6,88.38,97.2,85.82,MOTOUR
2025-09-30,88.6,88.74,87.58,87.94,97.2,85.82,MOTOUR
2025-09-29,92.27,92.27,87.5,88.59,97.2,85.82,MOTOUR
2025-09-26,90.26,90.26,87.86,88.3,97.2,85.82,MOTOUR
2025-09-25,91.03,93.41,90.1,90.25,97.2,85.82,MOTOUR
2025-09-24,91.95,91.99,90.96,91.03,97.2,85.82,MOTOUR
2025-09-23,92.37,92.37,90.61,91.5,97.2,85.82,MOTOUR
2025-09-22,94.8,94.8,91.93,92.37,97.2,85.82,MOTOUR
2025-09-19,93.14,93.15,92.55,92.94,97.2,85.82,MOTOUR
2025-09-18,93.32,93.53,92.94,93.15,97.2,85.82,MOTOUR
2025-09-17,93.94,95.33,91.53,93.32,97.2,85.82,MOTOUR
2025-09-16,92.91,93.66,92.9,93.48,97.2,85.82,MOTOUR
2025-09-15,93.1,93.27,92.47,92.76,97.2,85.82,MOTOUR
2025-09-12,92.93,93.07,92.44,92.64,97.2,85.82,MOTOUR
2025-09-11,95.25,95.25,92.47,92.47,97.2,85.82,MOTOUR
2025-09-10,92.64,92.72,92.05,92.48,97.2,85.82,MOTOUR
2025-09-09,92.71,92.74,92.17,92.64,97.2,85.82,MOTOUR
2025-09-08,92.51,93.41,92.31,92.71,97.2,85.82,MOTOUR
2025-09-05,92.5,92.8,91.61,92.05,97.2,85.82,MOTOUR
2025-09-04,92.57,93.04,90.59,92.19,97.2,85.82,MOTOUR
2025-09-03,91.69,92.3,91.27,92.11,97.2,85.82,MOTOUR
2025-09-02,91.06,91.69,90.61,91.15,97.2,85.82,MOTOUR
2025-09-01,92.01,92.01,90.22,91.05,97.2,85.82,MOTOUR
2025-08-29,91.36,91.51,90.15,90.21,97.2,85.82,MOTOUR
2025-08-28,91.96,92.0,90.87,90.91,97.2,85.82,MOTOUR
2025-08-26,93.82,93.82,92.65,92.66,97.2,85.82,MOTOUR
2025-08-25,95.67,95.67,93.45,93.87,97.2,85.82,MOTOUR
2025-08-22,94.17,94.34,93.55,93.65,97.2,85.82,MOTOUR
2025-08-21,95.9,95.9,93.47,93.71,97.2,85.82,MOTOUR
2025-08-20,93.0,94.48,93.0,94.28,97.2,85.82,MOTOUR
2025-08-19,94.92,94.92,91.6,92.69,97.2,85.82,MOTOUR
2025-08-18,92.95,95.42,92.32,92.61,97.2,85.82,MOTOUR
2025-08-14,92.13,92.54,91.75,91.9,97.2,85.82,MOTOUR
2025-08-13,90.98,91.99,90.73,91.85,97.2,85.82,MOTOUR
2025-08-12,90.63,90.95,90.32,90.62,97.2,85.82,MOTOUR
2025-08-11,91.4,91.4,89.41,90.11,97.2,85.82,MOTOUR
2025-08-08,90.94,90.94,89.48,89.61,97.2,85.82,MOTOUR
2025-08-07,90.46,90.73,89.31,90.49,97.2,85.82,MOTOUR
2025-08-06,90.93,91.05,90.45,90.7,97.2,85.82,MOTOUR
2025-08-05,91.28,91.28,90.5,90.93,97.2,85.82,MOTOUR
2025-08-04,90.34,91.52,90.31,91.28,97.2,85.82,MOTOUR
2025-08-01,91.77,91.77,89.99,90.22,97.2,85.82,MOTOUR
2025-07-31,90.77,91.52,90.5,91.32,97.2,85.82,MOTOUR
2025-07-30,91.22,91.67,90.68,90.77,97.2,85.82,MOTOUR
2025-07-29,91.05,91.3,90.74,91.19,97.2,85.82,MOTOUR
2025-07-28,91.64,92.18,90.73,90.84,97.2,85.82,MOTOUR
2025-07-25,93.0,93.0,91.4,91.64,97.2,85.82,MOTOUR
2025-07-24,95.02,95.02,92.7,92.99,97.2,85.82,MOTOUR
2025-07-23,93.45,93.56,92.7,93.16,97.2,85.82,MOTOUR
2025-07-22,94.83,94.83,93.26,93.45,97.2,85.82,MOTOUR
2025-07-21,94.4,94.4,93.74,94.03,97.2,85.82,MOTOUR
2025-07-18,94.94,94.94,93.61,94.4,97.2,85.82,MOTOUR
2025-07-17,96.0,97.2,93.91,94.0,97.2,85.82,MOTOUR
2025-07-16,94.13,94.26,93.27,94.12,94.26,85.82,MOTOUR
2025-07-15,92.9,93.9,92.9,93.67,94.01,85.82,MOTOUR
2025-07-14,92.55,92.98,92.17,92.69,94.01,85.82,MOTOUR
2025-07-11,93.8,93.8,92.46,92.55,94.01,85.82,MOTOUR
2025-07-10,93.28,94.01,93.01,93.5,94.01,85.82,MOTOUR
2025-07-09,93.04,93.9,93.04,93.19,93.9,85.82,MOTOUR
2025-07-08,92.66,92.72,92.13,92.72,93.66,85.82,MOTOUR
