DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,31.07,31.22,31.03,31.09,32.14,25.6,MSCIINDIA
2025-11-28,31.48,31.48,31.02,31.08,32.14,25.6,MSCIINDIA
2025-11-27,31.05,31.12,30.93,31.08,32.14,25.6,MSCIINDIA
2025-11-26,30.77,31.08,30.67,30.93,32.14,25.6,MSCIINDIA
2025-11-25,30.76,30.83,30.65,30.69,32.14,25.6,MSCIINDIA
2025-11-24,30.8,30.97,30.65,30.75,32.14,25.6,MSCIINDIA
2025-11-21,31.01,31.05,30.78,30.8,32.14,25.6,MSCIINDIA
2025-11-20,31.0,31.16,30.94,31.01,32.14,25.6,MSCIINDIA
2025-11-19,30.85,30.99,30.7,30.89,32.14,25.6,MSCIINDIA
2025-11-18,30.95,30.96,30.73,30.85,32.14,25.6,MSCIINDIA
2025-11-17,31.03,31.03,30.77,30.95,32.14,25.6,MSCIINDIA
2025-11-14,30.83,31.18,30.64,30.88,32.14,25.6,MSCIINDIA
2025-11-13,30.67,30.99,30.67,30.82,32.14,25.6,MSCIINDIA
2025-11-12,30.98,30.98,30.55,30.87,32.14,25.6,MSCIINDIA
2025-11-11,30.52,30.87,30.3,30.68,32.14,25.6,MSCIINDIA
2025-11-10,30.77,30.77,30.38,30.52,32.14,25.6,MSCIINDIA
2025-11-07,30.57,30.57,30.1,30.42,32.14,25.6,MSCIINDIA
2025-11-06,30.61,30.62,30.27,30.32,32.14,25.6,MSCIINDIA
2025-11-04,31.42,32.14,30.43,30.46,32.14,25.6,MSCIINDIA
2025-11-03,30.97,30.97,30.51,30.67,31.5,25.6,MSCIINDIA
2025-10-31,30.78,30.83,30.5,30.58,31.5,25.6,MSCIINDIA
2025-10-30,30.94,30.94,30.62,30.66,31.5,25.6,MSCIINDIA
2025-10-29,30.81,30.92,30.67,30.88,31.5,25.6,MSCIINDIA
2025-10-28,30.64,31.18,30.55,30.65,31.5,25.6,MSCIINDIA
2025-10-27,30.71,30.86,30.6,30.79,31.5,25.6,MSCIINDIA
2025-10-24,30.74,30.98,30.49,30.57,31.5,25.6,MSCIINDIA
2025-10-23,30.75,30.9,30.52,30.58,31.5,25.6,MSCIINDIA
2025-10-21,30.76,30.78,30.53,30.68,31.5,25.6,MSCIINDIA
2025-10-20,30.61,31.5,30.48,30.76,31.5,25.6,MSCIINDIA
2025-10-17,30.42,30.49,30.3,30.38,31.13,25.6,MSCIINDIA
