DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,534.75,537.4,530.1,532.65,809.75,411.1,MSTCLTD
2025-11-07,534.0,541.3,522.4,535.0,809.75,411.1,MSTCLTD
2025-11-06,554.5,557.2,531.0,535.05,809.75,411.1,MSTCLTD
2025-11-04,554.5,560.0,545.1,548.7,809.75,411.1,MSTCLTD
2025-11-03,540.2,565.85,539.0,553.1,809.75,411.1,MSTCLTD
2025-10-31,551.0,551.0,535.25,541.15,809.75,411.1,MSTCLTD
2025-10-30,549.9,557.4,546.1,548.9,809.75,411.1,MSTCLTD
2025-10-29,536.5,553.0,533.0,548.45,809.75,411.1,MSTCLTD
2025-10-28,538.6,540.05,531.3,533.05,809.75,411.1,MSTCLTD
2025-10-27,534.05,541.2,528.0,533.3,809.75,411.1,MSTCLTD
2025-10-24,537.4,542.9,532.0,533.4,809.75,411.1,MSTCLTD
2025-10-23,550.0,550.0,533.4,537.65,809.75,411.1,MSTCLTD
2025-10-21,550.0,550.0,542.65,549.5,809.75,411.1,MSTCLTD
2025-10-20,541.9,549.0,538.0,546.95,809.75,411.1,MSTCLTD
2025-10-17,546.5,546.5,531.9,536.2,809.75,411.1,MSTCLTD
2025-10-16,543.9,551.4,540.05,543.0,809.75,411.1,MSTCLTD
2025-10-15,512.1,545.0,509.8,540.7,809.75,411.1,MSTCLTD
2025-10-14,532.0,533.8,509.1,511.1,809.75,411.1,MSTCLTD
2025-10-13,540.0,542.45,528.15,529.75,809.75,411.1,MSTCLTD
2025-10-10,544.9,550.45,539.0,543.35,809.75,411.1,MSTCLTD
2025-10-09,538.0,555.0,534.2,544.35,809.75,411.1,MSTCLTD
2025-10-08,535.85,543.8,526.35,530.9,809.75,411.1,MSTCLTD
2025-10-07,533.15,544.0,531.4,537.15,809.75,411.1,MSTCLTD
2025-10-06,524.65,558.3,517.5,533.25,809.75,411.1,MSTCLTD
2025-10-03,493.3,528.0,489.5,522.95,809.75,411.1,MSTCLTD
2025-10-01,476.4,493.2,474.0,492.3,809.75,411.1,MSTCLTD
2025-09-30,471.6,483.9,471.6,476.4,809.75,411.1,MSTCLTD
2025-09-29,484.3,489.25,466.8,473.2,809.75,411.1,MSTCLTD
2025-09-26,500.0,501.45,481.6,483.55,809.75,411.1,MSTCLTD
2025-09-25,510.15,514.8,500.0,501.2,809.75,411.1,MSTCLTD
2025-09-24,519.6,519.6,508.65,510.15,809.75,411.1,MSTCLTD
2025-09-23,534.0,534.0,516.4,517.55,809.75,411.1,MSTCLTD
2025-09-22,521.0,534.3,516.55,530.85,809.75,411.1,MSTCLTD
2025-09-19,522.9,526.2,519.45,521.15,809.75,411.1,MSTCLTD
2025-09-18,536.3,537.7,521.0,521.75,809.75,411.1,MSTCLTD
2025-09-17,532.9,541.5,531.25,534.45,809.75,411.1,MSTCLTD
2025-09-16,537.65,540.4,529.05,531.15,809.75,411.1,MSTCLTD
2025-09-15,532.45,545.4,532.45,538.65,809.75,411.1,MSTCLTD
2025-09-12,540.4,540.4,525.05,527.45,809.75,411.1,MSTCLTD
2025-09-11,532.0,546.4,531.05,537.75,809.75,411.1,MSTCLTD
2025-09-10,526.45,538.95,525.05,529.3,809.75,411.1,MSTCLTD
2025-09-09,515.2,539.0,508.1,524.95,809.75,411.1,MSTCLTD
2025-09-08,501.95,524.55,500.0,515.2,809.75,411.1,MSTCLTD
2025-09-05,495.7,507.2,490.05,500.65,822.8,411.1,MSTCLTD
2025-09-04,485.0,505.4,483.05,493.85,822.8,411.1,MSTCLTD
2025-09-03,474.0,491.7,467.0,483.4,822.8,411.1,MSTCLTD
2025-09-02,461.0,475.0,460.0,471.9,822.8,411.1,MSTCLTD
2025-09-01,460.0,462.5,451.35,458.75,822.8,411.1,MSTCLTD
2025-08-29,456.0,468.7,449.3,451.25,848.0,411.1,MSTCLTD
2025-08-28,450.0,474.2,442.6,461.85,848.0,411.1,MSTCLTD
2025-08-26,443.0,456.0,431.35,438.4,848.0,411.1,MSTCLTD
2025-08-25,452.95,453.0,440.3,444.1,848.0,411.1,MSTCLTD
2025-08-22,466.0,466.05,449.0,450.25,848.0,411.1,MSTCLTD
2025-08-21,469.5,473.0,464.75,467.05,848.0,411.1,MSTCLTD
2025-08-20,474.6,476.55,468.05,470.1,848.0,411.1,MSTCLTD
2025-08-19,481.5,482.0,467.8,473.3,848.0,411.1,MSTCLTD
2025-08-18,447.95,484.3,447.55,472.7,848.0,411.1,MSTCLTD
2025-08-14,465.0,466.25,438.8,445.15,874.55,411.1,MSTCLTD
2025-08-13,469.95,469.95,459.35,463.55,874.55,411.1,MSTCLTD
2025-08-12,475.95,477.9,468.1,469.95,874.55,411.1,MSTCLTD
2025-08-11,468.95,474.6,462.8,468.2,874.55,411.1,MSTCLTD
2025-08-08,484.95,484.95,466.1,470.0,921.0,411.1,MSTCLTD
2025-08-07,474.0,483.5,465.8,479.85,921.0,411.1,MSTCLTD
2025-08-06,476.0,479.35,470.4,473.65,921.0,411.1,MSTCLTD
2025-08-05,479.9,490.2,477.1,478.7,921.0,411.1,MSTCLTD
2025-08-04,469.9,477.4,465.0,475.1,921.0,411.1,MSTCLTD
2025-08-01,478.8,487.15,466.05,469.8,988.7,411.1,MSTCLTD
2025-07-31,482.0,489.05,474.95,478.05,988.7,411.1,MSTCLTD
2025-07-30,498.9,505.0,485.0,489.0,988.7,411.1,MSTCLTD
