DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,66.88,67.49,65.71,67.31,102.0,59.26,MUKTAARTS
2025-11-13,66.11,67.5,65.6,66.47,102.0,59.26,MUKTAARTS
2025-11-12,66.5,68.0,65.42,65.82,102.0,59.26,MUKTAARTS
2025-11-11,68.4,68.4,65.25,66.52,102.0,59.26,MUKTAARTS
2025-11-10,68.51,68.51,66.01,66.58,102.0,59.26,MUKTAARTS
2025-11-07,67.65,68.4,67.0,68.17,102.0,59.26,MUKTAARTS
2025-11-06,68.79,68.79,66.5,66.88,102.0,59.26,MUKTAARTS
2025-11-04,67.5,68.99,67.21,68.79,102.0,59.26,MUKTAARTS
2025-11-03,66.0,70.12,65.2,69.33,102.0,59.26,MUKTAARTS
2025-10-31,66.0,66.88,65.21,66.7,102.0,59.26,MUKTAARTS
2025-10-30,65.84,67.35,64.61,65.57,102.0,59.26,MUKTAARTS
2025-10-29,66.03,67.0,65.21,65.84,102.0,59.26,MUKTAARTS
2025-10-28,65.1,67.42,65.0,66.03,102.0,59.26,MUKTAARTS
2025-10-27,67.71,69.99,64.0,65.4,102.0,59.26,MUKTAARTS
2025-10-24,71.9,71.9,67.25,67.71,102.0,59.26,MUKTAARTS
2025-10-23,67.7,72.7,67.7,70.36,102.0,59.26,MUKTAARTS
2025-10-21,67.25,69.46,67.25,68.89,102.0,59.26,MUKTAARTS
2025-10-20,68.1,69.7,67.71,69.12,102.0,59.26,MUKTAARTS
2025-10-17,67.57,68.98,67.2,68.44,102.0,59.26,MUKTAARTS
2025-10-16,69.99,69.99,67.11,67.57,102.0,59.26,MUKTAARTS
2025-10-15,66.5,70.49,65.51,67.59,102.0,59.26,MUKTAARTS
2025-10-14,66.62,68.5,65.42,66.5,102.0,59.26,MUKTAARTS
2025-10-13,69.0,69.0,66.0,66.62,102.0,59.26,MUKTAARTS
2025-10-10,68.95,68.98,67.8,68.21,102.0,59.26,MUKTAARTS
2025-10-09,69.45,69.45,68.5,68.57,102.0,59.26,MUKTAARTS
2025-10-08,69.38,69.38,67.5,67.75,102.0,59.26,MUKTAARTS
2025-10-07,67.5,69.27,67.31,68.82,102.0,59.26,MUKTAARTS
2025-10-06,68.0,69.0,67.51,67.72,102.0,59.26,MUKTAARTS
2025-10-03,69.74,69.74,67.07,68.53,108.49,59.26,MUKTAARTS
2025-10-01,69.0,70.01,68.0,68.65,108.49,59.26,MUKTAARTS
2025-09-30,69.25,69.25,67.6,67.88,108.49,59.26,MUKTAARTS
2025-09-29,68.99,69.49,67.95,69.08,108.49,59.26,MUKTAARTS
2025-09-26,68.9,68.95,67.06,67.95,116.79,59.26,MUKTAARTS
2025-09-25,70.31,70.31,68.62,68.72,116.79,59.26,MUKTAARTS
2025-09-24,70.0,70.7,68.34,68.93,116.79,59.26,MUKTAARTS
2025-09-23,70.7,70.74,69.3,69.93,116.79,59.26,MUKTAARTS
2025-09-22,69.29,72.74,69.29,70.74,116.79,59.26,MUKTAARTS
2025-09-19,69.5,70.0,68.4,68.95,116.79,59.26,MUKTAARTS
2025-09-18,71.9,72.05,69.0,69.34,116.79,59.26,MUKTAARTS
2025-09-17,69.35,72.0,69.35,70.15,116.79,59.26,MUKTAARTS
2025-09-16,69.52,71.4,68.55,69.34,116.79,59.26,MUKTAARTS
2025-09-15,68.54,72.8,67.12,69.52,116.79,59.26,MUKTAARTS
2025-09-12,67.6,68.94,67.01,68.54,116.79,59.26,MUKTAARTS
2025-09-11,67.0,67.99,66.66,67.05,116.79,59.26,MUKTAARTS
2025-09-10,67.0,69.59,65.73,67.21,116.79,59.26,MUKTAARTS
2025-09-09,68.05,69.0,66.45,67.44,116.79,59.26,MUKTAARTS
2025-09-08,70.5,72.89,68.05,68.33,116.79,59.26,MUKTAARTS
2025-09-05,70.57,70.57,68.72,69.76,116.79,59.26,MUKTAARTS
2025-09-04,68.13,69.89,68.1,68.7,116.79,59.26,MUKTAARTS
2025-09-03,68.93,70.39,68.01,68.95,116.79,59.26,MUKTAARTS
2025-09-02,69.2,70.5,67.51,69.27,116.79,59.26,MUKTAARTS
2025-09-01,70.99,72.86,69.5,70.11,116.79,59.26,MUKTAARTS
2025-08-29,71.6,71.71,70.5,70.75,116.79,59.26,MUKTAARTS
2025-08-28,70.25,73.7,70.25,71.14,116.79,59.26,MUKTAARTS
2025-08-26,73.0,74.89,69.5,70.28,116.79,59.26,MUKTAARTS
2025-08-25,73.28,74.39,72.31,72.65,116.79,59.26,MUKTAARTS
2025-08-22,75.12,76.48,71.0,72.38,116.79,59.26,MUKTAARTS
2025-08-21,74.99,76.49,74.53,75.2,116.79,59.26,MUKTAARTS
2025-08-20,75.86,77.6,72.06,74.99,116.79,59.26,MUKTAARTS
2025-08-19,77.23,77.53,75.0,75.49,116.79,59.26,MUKTAARTS
2025-08-18,78.03,79.2,77.0,78.2,116.79,59.26,MUKTAARTS
2025-08-14,77.0,79.63,77.0,78.03,116.79,59.26,MUKTAARTS
2025-08-13,79.55,81.0,76.2,77.59,116.79,59.26,MUKTAARTS
2025-08-12,82.98,83.0,78.33,79.55,116.79,59.26,MUKTAARTS
2025-08-11,77.99,84.2,75.63,80.46,116.79,59.26,MUKTAARTS
2025-08-08,74.0,81.11,74.0,76.82,116.79,59.26,MUKTAARTS
2025-08-07,77.25,78.89,71.4,74.88,116.79,59.26,MUKTAARTS
2025-08-06,78.85,78.85,73.19,75.05,116.79,59.26,MUKTAARTS
2025-08-05,78.05,79.89,77.4,77.6,116.79,59.26,MUKTAARTS
2025-08-04,77.55,81.18,77.55,79.45,116.79,59.26,MUKTAARTS
2025-08-01,82.6,84.4,75.21,77.55,116.79,59.26,MUKTAARTS
2025-07-31,83.67,85.18,82.1,82.43,116.79,59.26,MUKTAARTS
2025-07-30,85.32,85.55,83.1,83.67,116.79,59.26,MUKTAARTS
2025-07-29,84.01,84.75,82.1,83.38,116.79,59.26,MUKTAARTS
2025-07-28,82.2,86.68,82.15,84.98,116.79,59.26,MUKTAARTS
2025-07-25,85.25,87.0,82.8,84.62,116.79,59.26,MUKTAARTS
2025-07-24,84.83,88.8,84.8,87.52,116.79,59.26,MUKTAARTS
2025-07-23,86.06,86.06,84.12,84.71,116.79,59.26,MUKTAARTS
2025-07-22,85.93,87.0,84.41,86.06,116.79,59.26,MUKTAARTS
2025-07-21,88.39,88.39,83.2,84.82,116.79,59.26,MUKTAARTS
2025-07-18,82.9,86.4,82.9,83.44,116.79,59.26,MUKTAARTS
2025-07-17,85.25,87.98,83.21,84.52,116.79,59.26,MUKTAARTS
2025-07-16,85.7,87.0,83.59,86.31,116.79,59.26,MUKTAARTS
2025-07-15,85.64,86.08,83.0,83.33,116.79,59.26,MUKTAARTS
