DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,16.73,16.73,16.57,16.63,17.03,13.43,MULTICAP
2025-11-13,16.76,16.87,16.52,16.65,17.03,13.43,MULTICAP
2025-11-12,16.84,16.84,16.5,16.68,17.03,13.43,MULTICAP
2025-11-11,16.59,16.59,16.41,16.55,17.03,13.43,MULTICAP
2025-11-10,16.54,16.55,16.45,16.51,17.03,13.43,MULTICAP
2025-11-07,16.51,16.51,16.25,16.46,17.03,13.43,MULTICAP
2025-11-06,16.65,16.65,16.41,16.43,17.03,13.43,MULTICAP
2025-11-04,16.68,16.7,16.56,16.57,17.03,13.43,MULTICAP
2025-11-03,16.68,16.7,16.57,16.67,17.03,13.43,MULTICAP
2025-10-31,16.6,16.75,16.53,16.6,17.03,13.43,MULTICAP
2025-10-30,16.95,16.95,16.65,16.66,17.03,13.43,MULTICAP
2025-10-29,16.72,17.03,16.6,16.7,17.03,13.43,MULTICAP
2025-10-28,16.72,16.72,16.56,16.64,16.88,13.43,MULTICAP
2025-10-27,16.62,16.68,16.57,16.63,16.88,13.43,MULTICAP
2025-10-24,16.83,16.83,16.49,16.54,16.88,13.43,MULTICAP
2025-10-23,16.7,16.74,16.55,16.56,16.88,13.43,MULTICAP
2025-10-21,16.65,16.74,16.47,16.63,16.88,13.43,MULTICAP
2025-10-20,16.54,16.59,16.48,16.57,16.88,13.43,MULTICAP
2025-10-17,16.64,16.64,16.35,16.46,16.88,13.43,MULTICAP
2025-10-16,16.44,16.48,16.3,16.44,16.88,13.43,MULTICAP
2025-10-15,16.21,16.42,16.05,16.36,16.88,13.43,MULTICAP
2025-10-14,16.39,16.48,16.16,16.22,16.88,13.43,MULTICAP
2025-10-13,16.06,16.42,16.06,16.31,16.88,13.43,MULTICAP
2025-10-10,16.32,16.37,16.24,16.34,16.88,13.43,MULTICAP
2025-10-09,16.22,16.28,16.17,16.24,16.88,13.43,MULTICAP
