DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,129.3,129.62,126.55,127.6,164.0,104.2,MUNJALSHOW
2025-11-28,125.07,130.5,123.23,128.16,164.0,104.2,MUNJALSHOW
2025-11-27,125.85,126.16,124.24,124.47,164.0,104.2,MUNJALSHOW
2025-11-26,124.87,126.48,123.3,124.86,164.0,104.2,MUNJALSHOW
2025-11-25,122.2,125.49,122.2,124.61,164.0,104.2,MUNJALSHOW
2025-11-24,125.75,125.75,122.9,123.3,164.0,104.2,MUNJALSHOW
2025-11-21,125.9,125.99,124.0,125.16,164.0,104.2,MUNJALSHOW
2025-11-20,127.9,128.19,125.66,126.13,164.0,104.2,MUNJALSHOW
2025-11-19,130.25,130.79,122.1,127.2,164.0,104.2,MUNJALSHOW
2025-11-18,130.25,130.8,129.3,129.54,164.0,104.2,MUNJALSHOW
2025-11-17,130.5,131.59,129.35,130.21,164.0,104.2,MUNJALSHOW
2025-11-14,134.8,137.5,127.05,128.75,164.0,104.2,MUNJALSHOW
2025-11-13,133.33,137.37,133.0,134.87,164.0,104.2,MUNJALSHOW
2025-11-12,132.6,134.55,131.21,132.5,164.0,104.2,MUNJALSHOW
2025-11-11,130.0,133.0,130.0,132.01,164.0,104.2,MUNJALSHOW
2025-11-10,131.0,131.86,130.38,130.65,164.0,104.2,MUNJALSHOW
2025-11-07,128.41,131.89,127.3,130.96,164.0,104.2,MUNJALSHOW
2025-11-06,131.9,131.9,126.8,127.41,164.0,104.2,MUNJALSHOW
2025-11-04,130.9,132.0,129.53,130.29,164.0,104.2,MUNJALSHOW
2025-11-03,129.5,132.29,129.5,130.55,164.0,104.2,MUNJALSHOW
2025-10-31,131.55,132.0,129.18,130.35,164.0,104.2,MUNJALSHOW
2025-10-30,130.2,132.5,130.2,131.07,164.0,104.2,MUNJALSHOW
2025-10-29,130.27,130.89,128.78,130.19,164.0,104.2,MUNJALSHOW
2025-10-28,128.09,130.9,127.31,130.01,164.0,104.2,MUNJALSHOW
2025-10-27,126.81,129.15,126.62,127.83,164.0,104.2,MUNJALSHOW
2025-10-24,126.7,127.13,126.0,126.3,164.0,104.2,MUNJALSHOW
2025-10-23,125.56,126.89,125.21,126.13,164.32,104.2,MUNJALSHOW
2025-10-21,125.05,125.98,124.67,125.06,169.0,104.2,MUNJALSHOW
2025-10-20,124.7,125.98,124.2,124.57,169.7,104.2,MUNJALSHOW
2025-10-17,126.0,126.0,124.2,124.7,169.7,104.2,MUNJALSHOW
2025-10-16,125.51,127.7,124.1,125.27,169.7,104.2,MUNJALSHOW
2025-10-15,126.39,127.0,124.0,125.44,169.7,104.2,MUNJALSHOW
2025-10-14,125.0,128.0,124.31,125.46,169.7,104.2,MUNJALSHOW
2025-10-13,138.55,138.55,119.0,123.97,169.7,104.2,MUNJALSHOW
2025-10-10,139.39,139.87,137.0,138.55,169.7,104.2,MUNJALSHOW
2025-10-09,138.13,139.5,137.8,138.77,169.7,104.2,MUNJALSHOW
2025-10-08,138.01,143.0,136.4,137.18,169.7,104.2,MUNJALSHOW
2025-10-07,140.04,140.04,137.0,138.33,169.7,104.2,MUNJALSHOW
2025-10-06,141.33,142.1,138.1,138.75,170.97,104.2,MUNJALSHOW
2025-10-03,142.23,142.23,139.44,141.33,170.97,104.2,MUNJALSHOW
2025-10-01,139.5,141.84,139.5,140.84,173.6,104.2,MUNJALSHOW
2025-09-30,140.92,143.12,138.5,139.47,174.0,104.2,MUNJALSHOW
2025-09-29,137.1,144.8,137.1,140.52,178.4,104.2,MUNJALSHOW
2025-09-26,142.0,142.51,137.0,137.67,178.4,104.2,MUNJALSHOW
2025-09-25,146.08,149.0,142.5,143.05,178.4,104.2,MUNJALSHOW
2025-09-24,138.3,150.9,137.41,146.07,178.5,104.2,MUNJALSHOW
2025-09-23,137.55,142.5,137.55,138.3,178.5,104.2,MUNJALSHOW
