DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,273.0,273.1,248.9,255.4,401.0,234.01,MUTHOOTCAP
2025-10-15,272.0,275.0,269.6,272.85,401.0,234.01,MUTHOOTCAP
2025-10-14,275.0,282.0,270.6,272.0,401.0,234.01,MUTHOOTCAP
2025-10-13,276.0,276.0,270.35,273.65,401.0,234.01,MUTHOOTCAP
2025-10-10,273.9,276.0,273.4,274.6,401.0,234.01,MUTHOOTCAP
2025-10-09,276.0,276.0,272.1,273.9,401.0,234.01,MUTHOOTCAP
2025-10-08,277.0,277.0,270.7,274.55,401.0,234.01,MUTHOOTCAP
2025-10-07,275.6,278.55,272.0,274.9,401.0,234.01,MUTHOOTCAP
2025-10-06,274.75,281.4,268.95,274.2,401.0,234.01,MUTHOOTCAP
2025-10-03,279.6,281.0,274.4,275.95,401.7,234.01,MUTHOOTCAP
2025-10-01,280.2,282.5,277.6,278.1,401.7,234.01,MUTHOOTCAP
2025-09-30,279.0,281.4,277.5,278.7,401.7,234.01,MUTHOOTCAP
2025-09-29,281.0,286.95,279.35,280.3,401.7,234.01,MUTHOOTCAP
2025-09-26,281.3,290.0,277.55,286.95,405.75,234.01,MUTHOOTCAP
2025-09-25,287.6,290.0,280.0,280.7,405.75,234.01,MUTHOOTCAP
2025-09-24,285.95,288.6,282.75,286.05,405.75,234.01,MUTHOOTCAP
2025-09-23,282.95,287.4,280.95,285.0,405.75,234.01,MUTHOOTCAP
2025-09-22,281.45,286.65,279.5,282.05,405.75,234.01,MUTHOOTCAP
2025-09-19,286.0,286.0,278.0,281.45,405.75,234.01,MUTHOOTCAP
2025-09-18,279.6,289.45,275.0,282.5,405.75,234.01,MUTHOOTCAP
2025-09-17,279.95,279.95,275.7,278.7,405.75,234.01,MUTHOOTCAP
2025-09-16,274.8,279.9,273.45,277.9,405.75,234.01,MUTHOOTCAP
2025-09-15,278.9,280.0,270.0,273.4,405.75,234.01,MUTHOOTCAP
2025-09-12,279.2,281.5,274.65,277.45,405.75,234.01,MUTHOOTCAP
2025-09-11,278.0,278.75,275.05,277.75,405.75,234.01,MUTHOOTCAP
2025-09-10,277.1,278.0,269.2,275.6,405.75,234.01,MUTHOOTCAP
2025-09-09,274.5,277.55,274.2,275.65,405.75,234.01,MUTHOOTCAP
2025-09-08,276.35,278.0,274.05,277.0,405.75,234.01,MUTHOOTCAP
2025-09-05,277.45,277.6,274.4,276.35,405.75,234.01,MUTHOOTCAP
2025-09-04,281.0,285.95,276.3,276.65,405.75,234.01,MUTHOOTCAP
2025-09-03,278.95,278.95,275.5,277.25,405.75,234.01,MUTHOOTCAP
2025-09-02,277.0,280.0,274.4,278.0,405.75,234.01,MUTHOOTCAP
2025-09-01,275.1,277.7,273.05,275.5,405.75,234.01,MUTHOOTCAP
2025-08-29,276.4,278.0,274.0,275.1,405.75,234.01,MUTHOOTCAP
