DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,116.49,116.49,113.5,114.31,168.3,88.8,NAHARINDUS
2025-11-28,115.01,116.54,113.6,114.84,168.3,88.8,NAHARINDUS
2025-11-27,117.95,118.81,114.62,116.51,168.3,88.8,NAHARINDUS
2025-11-26,112.98,118.79,112.7,116.65,168.3,88.8,NAHARINDUS
2025-11-25,114.5,114.5,110.5,110.97,168.3,88.8,NAHARINDUS
2025-11-24,114.35,116.8,112.54,112.83,168.3,88.8,NAHARINDUS
2025-11-21,115.31,116.84,114.1,114.35,168.3,88.8,NAHARINDUS
2025-11-20,120.0,120.0,113.39,114.33,168.3,88.8,NAHARINDUS
2025-11-19,121.81,121.81,116.0,117.46,168.3,88.8,NAHARINDUS
2025-11-18,110.6,122.4,110.6,119.79,168.3,88.8,NAHARINDUS
2025-11-17,112.86,116.0,110.22,110.6,168.3,88.8,NAHARINDUS
2025-11-14,109.1,113.69,109.05,110.55,168.3,88.8,NAHARINDUS
2025-11-13,112.29,113.6,110.15,110.42,168.3,88.8,NAHARINDUS
2025-11-12,111.89,112.8,109.8,110.09,168.3,88.8,NAHARINDUS
2025-11-11,111.49,113.63,109.5,111.16,174.5,88.8,NAHARINDUS
2025-11-10,113.5,113.5,109.5,109.93,174.5,88.8,NAHARINDUS
2025-11-07,109.16,114.0,108.6,110.92,174.5,88.8,NAHARINDUS
2025-11-06,112.3,113.01,110.12,110.82,174.5,88.8,NAHARINDUS
2025-11-04,114.0,116.03,111.8,113.49,174.5,88.8,NAHARINDUS
2025-11-03,115.13,115.13,112.6,113.89,174.5,88.8,NAHARINDUS
2025-10-31,119.0,119.0,114.5,115.13,174.5,88.8,NAHARINDUS
2025-10-30,118.95,118.95,115.0,115.02,174.5,88.8,NAHARINDUS
2025-10-29,114.2,117.89,114.2,116.63,174.5,88.8,NAHARINDUS
2025-10-28,114.6,116.77,114.0,115.26,174.5,88.8,NAHARINDUS
2025-10-27,114.92,116.0,113.65,114.12,174.5,88.8,NAHARINDUS
2025-10-24,119.34,119.34,114.12,114.83,174.5,88.8,NAHARINDUS
2025-10-23,112.71,119.07,112.71,115.32,174.5,88.8,NAHARINDUS
2025-10-21,115.4,116.56,114.1,115.06,174.5,88.8,NAHARINDUS
2025-10-20,114.67,116.99,113.24,115.35,174.5,88.8,NAHARINDUS
2025-10-17,115.38,117.0,114.05,114.67,174.5,88.8,NAHARINDUS
2025-10-16,111.2,126.0,111.2,113.71,174.5,88.8,NAHARINDUS
2025-10-15,116.04,116.04,113.58,114.01,174.5,88.8,NAHARINDUS
2025-10-14,117.92,117.92,113.12,114.66,174.5,88.8,NAHARINDUS
2025-10-13,118.15,120.5,117.0,117.7,174.5,88.8,NAHARINDUS
2025-10-10,115.16,118.32,114.95,117.49,174.5,88.8,NAHARINDUS
2025-10-09,117.18,117.18,113.65,114.44,174.5,88.8,NAHARINDUS
2025-10-08,121.6,121.6,115.0,115.76,174.5,88.8,NAHARINDUS
2025-10-07,123.99,123.99,117.0,117.44,174.5,88.8,NAHARINDUS
2025-10-06,120.9,127.22,118.0,120.45,174.5,88.8,NAHARINDUS
2025-10-03,118.46,119.08,115.1,116.83,174.5,88.8,NAHARINDUS
2025-10-01,114.21,116.97,113.0,115.24,174.5,88.8,NAHARINDUS
2025-09-30,115.0,119.43,114.0,114.19,174.5,88.8,NAHARINDUS
2025-09-29,122.0,122.0,114.05,115.15,174.5,88.8,NAHARINDUS
2025-09-26,122.36,122.36,113.05,114.25,174.5,88.8,NAHARINDUS
2025-09-25,125.5,125.5,118.65,119.89,174.5,88.8,NAHARINDUS
2025-09-24,124.48,129.0,122.34,124.12,174.5,88.8,NAHARINDUS
2025-09-23,119.41,130.0,116.71,124.48,174.5,88.8,NAHARINDUS
2025-09-22,122.0,124.0,117.1,118.19,174.5,88.8,NAHARINDUS
2025-06-17,146.0,149.56,140.97,141.82,174.5,88.8,NAHARINDUS
2025-06-16,145.02,150.0,142.53,147.32,174.5,88.8,NAHARINDUS
2025-06-13,135.0,148.45,132.21,145.62,174.5,88.8,NAHARINDUS
2025-06-12,137.44,137.82,132.0,135.13,174.5,88.8,NAHARINDUS
2025-06-11,139.0,139.69,135.1,135.8,174.5,88.8,NAHARINDUS
2025-06-10,134.99,143.0,133.56,136.33,174.5,88.8,NAHARINDUS
2025-06-09,136.8,136.8,133.62,133.97,174.5,88.8,NAHARINDUS
2025-06-06,134.1,135.0,132.0,134.0,174.5,88.8,NAHARINDUS
2025-06-05,134.47,139.98,132.02,133.24,174.5,88.8,NAHARINDUS
2025-06-04,134.27,136.5,132.85,133.57,174.5,88.8,NAHARINDUS
2025-06-03,139.97,139.97,135.0,135.33,174.5,88.8,NAHARINDUS
2025-06-02,138.0,140.9,136.28,137.64,174.5,88.8,NAHARINDUS
2025-05-30,139.63,141.5,134.0,137.44,174.5,88.8,NAHARINDUS
2025-05-29,134.07,142.4,134.07,138.4,174.5,88.8,NAHARINDUS
2025-05-28,136.1,136.1,132.61,134.43,174.5,88.8,NAHARINDUS
2025-05-27,138.4,141.5,134.11,136.1,174.5,88.8,NAHARINDUS
2025-05-26,136.25,139.67,136.11,137.3,174.5,88.8,NAHARINDUS
2025-05-23,138.85,138.85,134.55,136.21,174.5,88.8,NAHARINDUS
2025-05-22,132.51,142.9,132.41,137.38,174.5,88.8,NAHARINDUS
