DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,922.0,928.55,895.5,904.95,987.35,498.05,NAM-INDIA
2025-10-27,922.75,944.1,913.3,915.65,987.35,498.05,NAM-INDIA
2025-10-24,946.45,949.3,917.0,922.75,987.35,498.05,NAM-INDIA
2025-10-23,973.8,987.35,934.15,940.75,987.35,498.05,NAM-INDIA
2025-10-21,951.4,971.9,947.05,968.2,971.9,498.05,NAM-INDIA
2025-10-20,920.65,956.8,915.0,951.05,956.8,498.05,NAM-INDIA
2025-10-17,887.2,939.0,887.0,913.3,939.0,498.05,NAM-INDIA
2025-10-16,910.0,910.0,885.15,887.2,911.0,498.05,NAM-INDIA
2025-10-15,879.8,910.0,870.1,898.6,911.0,498.05,NAM-INDIA
2025-10-14,884.65,911.0,875.0,879.85,911.0,498.05,NAM-INDIA
2025-10-13,865.0,907.0,860.45,884.55,907.0,498.05,NAM-INDIA
2025-10-10,857.7,874.65,857.0,871.85,903.7,498.05,NAM-INDIA
2025-10-09,860.0,865.0,850.1,857.7,903.7,498.05,NAM-INDIA
2025-10-08,875.0,879.7,857.3,860.9,903.7,498.05,NAM-INDIA
2025-10-07,876.0,881.8,870.0,875.05,903.7,498.05,NAM-INDIA
2025-10-06,895.8,903.7,865.6,871.8,903.7,498.05,NAM-INDIA
2025-10-03,878.0,897.9,871.0,887.1,897.9,498.05,NAM-INDIA
2025-10-01,864.5,885.05,862.55,876.1,887.9,498.05,NAM-INDIA
2025-09-30,870.0,880.95,860.35,868.35,887.9,498.05,NAM-INDIA
2025-09-29,855.0,879.25,853.65,871.0,887.9,498.05,NAM-INDIA
2025-09-26,859.0,861.0,847.15,855.9,887.9,498.05,NAM-INDIA
2025-09-25,847.0,861.0,847.0,858.45,887.9,498.05,NAM-INDIA
2025-09-24,842.0,856.8,840.15,851.55,887.9,498.05,NAM-INDIA
2025-09-23,840.0,857.75,833.05,837.85,887.9,498.05,NAM-INDIA
2025-09-22,836.9,854.15,833.9,841.5,887.9,498.05,NAM-INDIA
2025-09-19,839.0,844.8,830.75,834.8,887.9,498.05,NAM-INDIA
2025-09-18,846.75,854.95,837.0,838.95,887.9,498.05,NAM-INDIA
2025-09-17,834.0,856.55,834.0,846.75,887.9,498.05,NAM-INDIA
2025-09-16,832.0,845.5,827.65,833.3,887.9,498.05,NAM-INDIA
2025-09-15,829.95,835.95,823.0,832.25,887.9,498.05,NAM-INDIA
2025-09-12,820.0,843.2,818.0,827.75,887.9,498.05,NAM-INDIA
2025-09-11,828.0,829.7,813.55,818.2,887.9,498.05,NAM-INDIA
