DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,72.2,73.6,72.2,73.2,78.3,58.7,NEXT50IETF
2025-11-07,72.82,73.11,71.9,72.92,78.3,58.7,NEXT50IETF
2025-11-06,74.4,74.4,72.75,72.83,78.3,58.7,NEXT50IETF
2025-11-04,72.09,74.5,71.1,73.68,78.3,58.7,NEXT50IETF
2025-11-03,74.1,74.1,72.7,73.94,78.3,58.7,NEXT50IETF
2025-10-31,73.85,73.85,73.34,73.41,78.3,58.7,NEXT50IETF
2025-10-30,74.1,74.1,73.32,73.59,78.3,58.7,NEXT50IETF
2025-10-29,73.06,73.8,72.67,73.73,78.3,58.7,NEXT50IETF
2025-10-28,73.4,73.4,72.55,72.8,78.3,58.7,NEXT50IETF
2025-10-27,72.1,73.49,72.05,73.13,78.3,58.7,NEXT50IETF
2025-10-24,73.6,73.6,72.41,72.77,79.39,58.7,NEXT50IETF
2025-10-23,74.25,74.25,72.6,72.89,79.39,58.7,NEXT50IETF
2025-10-21,72.5,73.69,72.5,73.33,79.39,58.7,NEXT50IETF
2025-10-20,72.99,73.1,70.88,72.91,79.39,58.7,NEXT50IETF
2025-10-17,73.6,73.6,72.2,72.68,81.1,58.7,NEXT50IETF
2025-10-16,72.81,73.0,72.3,72.88,81.1,58.7,NEXT50IETF
2025-10-15,72.3,72.48,71.11,72.35,81.1,58.7,NEXT50IETF
2025-10-14,71.9,72.28,71.32,71.63,81.1,58.7,NEXT50IETF
2025-10-13,72.9,72.9,71.1,71.91,81.1,58.7,NEXT50IETF
2025-10-10,71.71,72.21,71.71,72.04,81.37,58.7,NEXT50IETF
2025-10-09,72.25,72.25,71.29,71.71,81.37,58.7,NEXT50IETF
2025-10-08,72.8,72.8,71.3,71.52,81.37,58.7,NEXT50IETF
2025-10-07,72.7,72.7,71.65,72.14,81.37,58.7,NEXT50IETF
2025-10-06,72.6,72.6,71.5,72.02,81.37,58.7,NEXT50IETF
2025-10-03,72.3,72.9,71.11,71.8,81.64,58.7,NEXT50IETF
2025-10-01,71.57,72.36,71.02,71.52,81.64,58.7,NEXT50IETF
2025-09-30,71.49,71.7,71.01,71.32,81.64,58.7,NEXT50IETF
2025-09-29,71.4,71.4,70.57,71.19,81.64,58.7,NEXT50IETF
2025-09-26,72.4,72.4,70.45,70.57,81.64,58.7,NEXT50IETF
2025-09-25,72.9,72.9,71.65,71.75,81.64,58.7,NEXT50IETF
2025-09-24,73.34,73.34,72.23,72.31,81.64,58.7,NEXT50IETF
2025-09-23,73.9,73.9,72.74,73.07,81.64,58.7,NEXT50IETF
2025-09-22,73.2,73.8,72.55,73.25,81.64,58.7,NEXT50IETF
2025-09-19,72.6,73.15,72.6,73.06,81.64,58.7,NEXT50IETF
2025-09-18,72.7,73.0,72.28,72.73,81.64,58.7,NEXT50IETF
2025-09-17,72.71,72.71,72.1,72.6,81.64,58.7,NEXT50IETF
2025-09-16,71.2,72.51,71.2,72.39,81.64,58.7,NEXT50IETF
2025-09-15,71.89,72.18,71.34,71.91,81.64,58.7,NEXT50IETF
2025-09-12,70.6,72.1,70.6,71.62,81.64,58.7,NEXT50IETF
2025-09-11,71.79,71.79,70.77,71.28,81.64,58.7,NEXT50IETF
2025-09-10,71.5,71.5,70.5,71.17,81.64,58.7,NEXT50IETF
2025-09-09,71.35,71.35,70.47,70.78,81.64,58.7,NEXT50IETF
2025-09-08,71.2,71.2,70.4,70.79,81.64,58.7,NEXT50IETF
2025-09-05,71.04,71.04,70.02,70.49,81.64,58.7,NEXT50IETF
2025-09-04,71.6,71.69,70.1,70.49,81.64,58.7,NEXT50IETF
2025-09-03,69.7,71.1,68.33,70.75,81.64,58.7,NEXT50IETF
2025-09-02,70.7,70.7,69.5,70.44,81.64,58.7,NEXT50IETF
