DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,715.41,720.33,713.5,716.96,755.21,573.45,NEXT50
2025-11-13,716.16,719.62,714.97,716.97,755.21,573.45,NEXT50
2025-11-12,716.85,718.98,714.5,716.11,755.21,573.45,NEXT50
2025-11-11,712.59,716.1,707.28,714.06,755.21,573.45,NEXT50
2025-11-10,713.31,717.65,713.12,714.86,755.21,573.45,NEXT50
2025-11-07,707.84,714.65,702.08,712.4,755.21,573.45,NEXT50
2025-11-06,724.0,724.0,711.0,711.32,755.21,573.45,NEXT50
2025-11-04,723.71,723.76,718.99,720.4,755.21,573.45,NEXT50
2025-11-03,722.88,722.95,717.12,721.79,755.21,573.45,NEXT50
2025-10-31,719.42,721.45,714.44,716.44,755.21,573.45,NEXT50
2025-10-30,723.3,723.3,716.21,719.42,755.21,573.45,NEXT50
2025-10-29,712.55,721.0,710.53,719.71,755.21,573.45,NEXT50
2025-10-28,716.21,716.21,708.49,708.86,755.21,573.45,NEXT50
2025-10-27,713.99,714.82,710.45,712.65,755.21,573.45,NEXT50
2025-10-24,711.75,714.45,709.68,710.43,769.7,573.45,NEXT50
2025-10-23,714.58,717.1,710.07,711.75,769.7,573.45,NEXT50
2025-10-21,719.99,722.57,711.28,713.58,769.7,573.45,NEXT50
2025-10-20,713.66,714.56,710.12,710.5,769.7,573.45,NEXT50
2025-10-17,712.42,713.03,707.43,710.11,781.9,573.45,NEXT50
2025-10-16,711.42,713.26,708.07,711.87,781.9,573.45,NEXT50
2025-10-15,701.6,708.57,700.14,707.88,781.9,573.45,NEXT50
2025-10-14,703.79,706.15,697.0,699.54,781.9,573.45,NEXT50
2025-10-13,702.68,703.02,698.25,702.67,781.9,573.45,NEXT50
2025-10-10,704.11,706.71,701.45,703.84,899.0,573.45,NEXT50
2025-10-09,694.1,702.6,694.1,702.11,899.0,573.45,NEXT50
2025-10-08,704.06,704.91,697.76,699.7,899.0,573.45,NEXT50
2025-10-07,703.41,706.63,702.07,702.73,899.0,573.45,NEXT50
2025-10-06,702.87,704.12,698.27,703.41,899.0,573.45,NEXT50
2025-10-03,696.39,702.26,696.09,700.38,899.0,573.45,NEXT50
2025-10-01,697.29,699.64,693.34,698.84,899.0,573.45,NEXT50
2025-09-30,698.13,698.6,693.01,696.02,899.0,573.45,NEXT50
2025-09-29,709.73,709.73,688.87,695.25,899.0,573.45,NEXT50
2025-09-26,700.0,700.0,688.0,689.06,899.0,573.45,NEXT50
2025-09-25,706.29,709.11,699.05,700.81,899.0,573.45,NEXT50
2025-09-24,717.1,717.1,705.24,706.28,899.0,573.45,NEXT50
2025-09-23,721.26,721.26,711.49,714.66,899.0,573.45,NEXT50
2025-09-22,699.98,721.99,699.97,717.8,899.0,573.45,NEXT50
2025-09-19,714.34,715.0,711.25,714.27,899.0,573.45,NEXT50
