DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,6.8,6.8,6.66,6.77,12.79,5.7,NEXTMEDIA
2025-10-27,6.76,6.89,6.71,6.75,12.79,5.7,NEXTMEDIA
2025-10-24,6.89,6.9,6.66,6.79,12.79,5.7,NEXTMEDIA
2025-10-23,6.74,7.5,6.7,6.76,12.79,5.7,NEXTMEDIA
2025-10-21,6.66,6.9,6.66,6.77,12.79,5.7,NEXTMEDIA
2025-10-20,6.94,6.94,6.66,6.88,12.79,5.7,NEXTMEDIA
2025-10-17,6.69,6.88,6.57,6.73,12.79,5.7,NEXTMEDIA
2025-10-16,6.89,6.89,6.58,6.72,12.79,5.7,NEXTMEDIA
2025-10-15,6.6,6.8,6.46,6.74,12.79,5.7,NEXTMEDIA
2025-10-14,6.89,6.89,6.2,6.61,12.79,5.7,NEXTMEDIA
2025-10-13,6.67,6.92,6.67,6.79,12.79,5.7,NEXTMEDIA
2025-10-10,6.89,6.89,6.66,6.88,12.79,5.7,NEXTMEDIA
2025-10-09,6.9,6.94,6.51,6.85,12.79,5.7,NEXTMEDIA
2025-10-08,6.66,7.12,6.66,6.74,12.79,5.7,NEXTMEDIA
2025-10-07,6.84,6.84,6.51,6.8,12.79,5.7,NEXTMEDIA
2025-10-06,6.89,6.89,6.52,6.61,12.79,5.7,NEXTMEDIA
2025-10-03,7.29,7.29,6.61,6.8,12.79,5.7,NEXTMEDIA
2025-10-01,6.18,6.93,6.16,6.92,12.79,5.7,NEXTMEDIA
2025-09-30,6.3,6.52,6.24,6.3,12.79,5.7,NEXTMEDIA
2025-09-29,6.21,6.84,6.21,6.3,12.79,5.7,NEXTMEDIA
2025-09-26,6.44,6.44,6.22,6.24,12.79,5.7,NEXTMEDIA
2025-09-25,6.22,6.44,6.22,6.36,12.79,5.7,NEXTMEDIA
2025-09-24,6.22,6.46,6.21,6.28,12.79,5.7,NEXTMEDIA
2025-09-23,6.43,6.43,6.12,6.33,12.79,5.7,NEXTMEDIA
2025-09-22,6.38,6.38,6.05,6.3,12.79,5.7,NEXTMEDIA
2025-09-19,6.22,6.48,5.72,6.28,12.79,5.7,NEXTMEDIA
2025-09-18,6.18,6.43,6.18,6.23,12.79,5.7,NEXTMEDIA
2025-09-17,6.33,6.39,6.15,6.23,12.79,5.7,NEXTMEDIA
