DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,88.5,88.65,85.5,86.42,129.7,71.0,NFL
2025-11-21,88.53,88.96,87.75,88.58,129.7,71.0,NFL
2025-11-20,90.45,90.45,89.0,89.3,129.7,71.0,NFL
2025-11-19,92.29,92.35,89.85,90.09,129.7,71.0,NFL
2025-11-18,92.7,93.9,91.71,91.84,129.7,71.0,NFL
2025-11-17,92.19,93.5,92.1,92.21,129.7,71.0,NFL
2025-11-14,92.59,92.64,92.03,92.19,129.7,71.0,NFL
2025-11-13,92.82,93.5,92.2,92.58,129.7,71.0,NFL
2025-11-12,92.0,94.05,92.0,92.81,129.7,71.0,NFL
2025-11-11,92.98,93.0,91.3,92.41,129.7,71.0,NFL
2025-11-10,92.71,93.48,92.1,92.24,129.7,71.0,NFL
2025-11-07,93.18,93.65,91.69,92.61,129.7,71.0,NFL
2025-11-06,95.45,95.45,93.01,93.18,129.7,71.0,NFL
2025-11-04,94.75,96.04,93.5,95.45,129.7,71.0,NFL
2025-11-03,93.5,95.0,93.27,94.42,129.7,71.0,NFL
2025-10-31,94.99,95.5,93.2,93.45,129.7,71.0,NFL
2025-10-30,95.48,95.77,94.6,94.89,129.7,71.0,NFL
2025-10-29,95.44,96.0,94.38,95.07,129.7,71.0,NFL
2025-10-28,93.8,96.4,93.35,95.06,129.7,71.0,NFL
2025-10-27,94.07,94.27,93.25,93.48,129.7,71.0,NFL
2025-10-24,94.3,94.62,93.55,93.75,129.7,71.0,NFL
2025-10-23,95.4,95.4,93.85,94.15,129.7,71.0,NFL
2025-10-21,93.99,95.25,93.98,94.53,129.7,71.0,NFL
2025-10-20,93.54,93.9,92.4,93.54,129.7,71.0,NFL
2025-10-17,95.95,95.95,93.0,93.29,129.7,71.0,NFL
2025-10-16,95.9,98.3,95.25,96.06,129.7,71.0,NFL
2025-10-15,93.0,96.0,92.15,95.16,129.7,71.0,NFL
2025-10-14,93.59,94.1,92.01,92.57,129.7,71.0,NFL
2025-10-13,92.7,94.15,92.65,93.77,129.7,71.0,NFL
2025-10-10,93.05,93.94,92.64,93.35,129.7,71.0,NFL
2025-10-09,92.5,93.49,92.5,92.9,129.7,71.0,NFL
2025-10-08,94.3,94.45,92.85,92.98,129.7,71.0,NFL
2025-10-07,95.0,95.0,93.43,93.79,129.7,71.0,NFL
2025-10-06,95.5,95.93,94.15,94.48,130.7,71.0,NFL
2025-10-03,93.1,95.78,93.09,95.43,130.7,71.0,NFL
2025-10-01,92.09,93.6,91.65,92.99,130.7,71.0,NFL
2025-09-30,90.0,92.5,90.0,92.03,130.7,71.0,NFL
2025-09-29,92.2,92.99,91.29,92.46,130.7,71.0,NFL
2025-09-26,95.28,95.28,91.8,92.27,130.7,71.0,NFL
2025-09-25,96.54,96.58,94.79,95.24,130.7,71.0,NFL
2025-09-24,95.81,97.15,95.28,96.11,131.59,71.0,NFL
2025-09-23,97.19,97.19,95.53,95.81,137.3,71.0,NFL
2025-09-22,97.95,98.39,96.68,96.97,138.8,71.0,NFL
2025-09-19,98.0,98.9,97.79,98.39,138.8,71.0,NFL
2025-09-18,99.68,99.69,98.1,98.45,138.8,71.0,NFL
2025-09-17,99.64,100.3,98.9,99.21,138.8,71.0,NFL
2025-09-16,99.49,100.25,98.55,99.36,138.8,71.0,NFL
2025-09-15,97.8,101.4,97.35,99.0,138.8,71.0,NFL
2025-09-12,98.8,98.97,97.25,97.58,138.8,71.0,NFL
2025-09-11,97.95,99.56,97.8,98.63,138.8,71.0,NFL
2025-09-10,98.15,98.79,97.2,97.79,138.8,71.0,NFL
2025-09-09,99.09,99.3,97.42,97.63,139.9,71.0,NFL
2025-09-08,99.3,99.78,98.17,98.63,139.9,71.0,NFL
2025-09-05,99.14,100.62,98.29,98.91,139.9,71.0,NFL
2025-09-04,102.0,102.97,98.56,99.14,142.29,71.0,NFL
2025-09-03,98.3,101.5,97.7,100.7,142.53,71.0,NFL
2025-09-02,98.22,100.9,97.17,98.08,142.53,71.0,NFL
2025-09-01,96.35,98.4,96.35,97.68,143.25,71.0,NFL
2025-08-29,96.3,98.18,94.74,96.29,145.81,71.0,NFL
2025-08-28,94.25,96.0,92.85,95.61,145.81,71.0,NFL
2025-08-26,96.35,97.06,94.5,94.92,145.81,71.0,NFL
2025-08-25,98.7,99.1,97.0,97.53,146.25,71.0,NFL
2025-08-22,96.6,100.0,95.75,98.19,146.25,71.0,NFL
2025-08-21,97.7,98.37,96.0,97.22,146.25,71.0,NFL
2025-08-20,92.2,97.95,92.2,96.89,146.25,71.0,NFL
2025-08-19,90.02,92.7,89.59,92.11,146.25,71.0,NFL
2025-08-18,91.7,92.7,90.07,90.45,146.25,71.0,NFL
2025-08-14,93.35,93.5,91.49,91.77,146.25,71.0,NFL
2025-08-13,92.64,93.79,91.8,93.15,146.25,71.0,NFL
2025-08-12,93.5,94.6,91.54,92.31,146.25,71.0,NFL
2025-08-11,93.14,93.68,92.1,93.1,146.25,71.0,NFL
2025-08-08,93.42,94.37,92.4,93.03,146.25,71.0,NFL
2025-08-07,95.14,95.24,90.55,92.78,146.25,71.0,NFL
2025-08-06,97.2,97.8,94.36,95.28,146.25,71.0,NFL
2025-08-05,95.7,97.79,95.45,96.82,146.25,71.0,NFL
2025-08-04,94.69,95.87,94.18,95.26,149.35,71.0,NFL
2025-08-01,97.75,99.28,94.0,94.37,152.55,71.0,NFL
2025-07-31,98.0,98.8,97.4,97.69,152.55,71.0,NFL
2025-07-30,99.48,101.25,98.88,99.58,152.55,71.0,NFL
2025-07-29,96.75,99.39,95.72,98.32,152.55,71.0,NFL
2025-07-28,99.24,99.35,96.45,96.89,152.55,71.0,NFL
2025-07-25,100.8,104.36,98.3,98.87,153.31,71.0,NFL
2025-07-24,98.0,103.24,97.8,100.93,169.95,71.0,NFL
2025-07-23,98.32,98.49,97.11,97.69,169.95,71.0,NFL
2025-07-22,98.69,99.45,97.8,97.95,169.95,71.0,NFL
2025-07-21,98.3,99.35,97.35,98.25,169.95,71.0,NFL
2025-07-18,99.32,99.5,98.0,98.28,169.95,71.0,NFL
2025-07-17,100.5,100.5,99.0,99.18,169.95,71.0,NFL
2025-07-16,99.93,101.0,99.35,100.0,169.95,71.0,NFL
2025-07-15,96.9,101.7,96.8,99.88,169.95,71.0,NFL
2025-07-14,97.35,97.35,96.16,96.79,169.95,71.0,NFL
2025-07-11,98.1,98.69,97.0,97.37,169.95,71.0,NFL
2025-07-10,99.0,99.22,98.03,98.65,169.95,71.0,NFL
2025-07-09,98.9,99.7,98.47,98.72,169.95,71.0,NFL
