DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,29.0,32.55,27.5,31.9,50.4,19.5,NIBL
2025-11-21,30.04,30.04,28.1,28.78,50.4,19.5,NIBL
2025-11-20,30.91,31.97,30.0,30.04,50.4,19.5,NIBL
2025-11-19,30.65,31.49,30.0,30.31,50.4,19.5,NIBL
2025-11-18,32.38,32.38,30.8,31.25,50.4,19.5,NIBL
2025-11-17,30.53,32.2,30.1,32.04,50.4,19.5,NIBL
2025-11-14,31.96,33.4,29.31,30.52,50.4,19.5,NIBL
2025-11-13,31.41,32.2,29.55,31.71,51.0,19.5,NIBL
2025-11-12,26.9,31.4,26.9,30.39,51.0,19.5,NIBL
2025-11-11,27.41,27.41,26.81,26.93,51.0,19.5,NIBL
2025-11-10,26.82,27.97,26.82,27.41,51.0,19.5,NIBL
2025-11-07,27.32,27.6,26.82,27.22,51.0,19.5,NIBL
2025-11-06,29.55,29.92,27.01,27.72,51.0,19.5,NIBL
2025-11-04,29.4,30.79,28.52,29.54,51.0,19.5,NIBL
2025-11-03,30.56,32.0,28.81,29.54,51.0,19.5,NIBL
2025-10-31,30.02,30.9,29.57,29.96,51.0,19.5,NIBL
2025-10-30,31.45,31.45,30.03,30.21,51.0,19.5,NIBL
2025-10-29,31.08,31.48,29.52,30.33,51.0,19.5,NIBL
2025-10-28,30.71,31.97,30.2,30.47,51.0,19.5,NIBL
2025-10-27,32.6,33.45,31.01,31.19,51.0,19.5,NIBL
2025-10-24,32.4,33.0,31.3,31.97,51.0,19.5,NIBL
2025-10-23,34.0,34.0,31.11,31.89,51.0,19.5,NIBL
2025-10-21,29.51,34.5,28.01,33.23,51.0,19.5,NIBL
2025-10-20,28.75,29.8,27.68,28.81,51.0,19.5,NIBL
2025-10-17,29.68,29.68,28.21,28.82,51.0,19.5,NIBL
2025-10-16,29.9,29.9,28.61,28.86,51.0,19.5,NIBL
2025-10-15,28.5,29.94,28.21,29.58,51.0,19.5,NIBL
2025-10-14,30.6,30.6,28.4,28.71,51.0,19.5,NIBL
2025-10-13,30.5,30.98,28.3,29.38,51.0,19.5,NIBL
2025-10-10,29.49,31.75,29.49,30.92,51.0,19.5,NIBL
2025-10-09,29.59,31.48,28.42,30.76,51.0,19.5,NIBL
2025-10-08,28.65,30.05,27.02,29.6,51.0,19.5,NIBL
2025-10-07,27.1,28.79,27.1,28.09,51.0,19.5,NIBL
2025-10-06,28.04,28.99,26.15,28.02,51.0,19.5,NIBL
2025-10-03,27.53,28.46,27.2,28.04,51.0,19.5,NIBL
2025-10-01,27.6,28.49,26.5,27.34,51.0,19.5,NIBL
2025-09-30,26.25,29.39,26.25,28.17,51.0,19.5,NIBL
2025-09-29,27.0,28.6,27.0,27.97,51.0,19.5,NIBL
2025-09-26,27.65,28.63,27.2,27.66,51.0,19.5,NIBL
2025-09-25,28.89,29.12,28.05,28.42,51.0,19.5,NIBL
2025-09-24,29.58,29.75,28.32,28.49,51.0,19.5,NIBL
2025-09-23,31.18,31.18,28.41,29.58,51.0,19.5,NIBL
2025-09-22,32.38,32.38,30.1,30.15,51.0,19.5,NIBL
2025-09-19,31.01,32.69,31.01,31.95,51.0,18.6,NIBL
2025-09-18,31.9,32.0,30.17,31.68,51.0,18.35,NIBL
2025-09-17,33.99,33.99,32.15,32.93,51.0,18.35,NIBL
2025-09-16,32.34,34.09,30.8,33.66,51.0,18.35,NIBL
2025-09-15,30.29,32.6,28.17,31.94,51.0,18.35,NIBL
2025-09-12,28.59,29.97,27.25,29.97,51.0,18.35,NIBL
2025-09-11,28.13,28.95,26.6,27.25,51.0,18.35,NIBL
2025-09-10,30.49,31.0,28.01,28.7,51.0,18.35,NIBL
2025-09-09,26.18,28.23,25.59,28.23,51.0,18.35,NIBL
2025-09-08,24.06,28.9,24.06,25.67,51.0,18.35,NIBL
2025-06-05,33.01,34.62,30.55,30.96,51.0,18.35,NIBL
2025-06-04,35.88,35.88,33.45,33.66,51.0,18.35,NIBL
2025-06-03,33.0,37.17,32.65,37.17,51.0,18.35,NIBL
2025-06-02,25.5,30.98,25.5,30.98,51.0,18.35,NIBL
2025-05-30,25.6,26.98,25.6,25.82,51.0,18.35,NIBL
2025-05-29,26.78,27.28,25.5,25.98,51.0,18.35,NIBL
2025-05-28,25.2,28.5,24.5,26.64,51.0,18.35,NIBL
2025-05-27,24.72,24.89,23.2,24.52,51.0,18.35,NIBL
2025-05-26,24.02,24.95,24.0,24.26,51.0,18.35,NIBL
2025-05-23,24.96,24.96,23.6,23.91,51.0,18.35,NIBL
2025-05-22,24.91,24.91,24.08,24.53,51.0,18.35,NIBL
2025-05-21,24.83,25.53,24.22,24.56,51.0,18.35,NIBL
2025-05-20,25.2,25.98,24.28,24.58,51.0,18.35,NIBL
2025-05-19,26.58,26.96,24.56,25.22,51.0,18.35,NIBL
2025-05-16,25.44,26.8,24.81,25.34,51.0,18.35,NIBL
2025-05-15,24.93,25.45,22.38,25.29,51.0,18.35,NIBL
2025-05-14,22.35,22.99,22.12,22.86,51.0,18.35,NIBL
2025-05-13,22.99,22.99,21.92,22.35,51.0,18.35,NIBL
2025-05-12,22.26,22.89,22.26,22.67,51.0,18.35,NIBL
2025-05-09,22.67,22.67,21.52,21.82,51.0,18.35,NIBL
2025-05-08,22.59,23.38,21.6,22.16,51.0,18.35,NIBL
2025-05-07,22.25,22.89,21.62,22.26,51.0,18.35,NIBL
2025-05-06,23.08,23.08,22.36,22.68,51.0,18.35,NIBL
2025-05-05,24.87,24.87,22.61,23.08,51.0,18.35,NIBL
2025-05-02,23.28,23.28,22.11,22.33,51.0,18.35,NIBL
2025-04-30,23.4,23.44,22.11,22.29,51.0,18.35,NIBL
2025-04-29,22.91,23.98,22.27,23.05,51.0,18.35,NIBL
2025-04-28,22.17,22.75,21.51,22.31,51.0,18.35,NIBL
2025-04-25,23.0,23.73,22.02,22.17,51.0,18.35,NIBL
2025-04-24,23.92,23.92,23.11,23.21,51.0,18.35,NIBL
2025-04-23,24.75,24.75,23.25,23.57,51.0,18.35,NIBL
2025-04-22,23.88,23.99,23.54,23.67,51.0,18.35,NIBL
2025-04-21,23.88,24.06,23.31,23.5,51.0,18.35,NIBL
2025-04-17,23.53,23.83,22.56,23.5,51.0,18.35,NIBL
2025-04-16,23.71,23.98,23.1,23.35,51.0,18.35,NIBL
2025-04-15,22.95,25.03,22.71,23.24,51.0,18.35,NIBL
2025-04-11,23.3,23.3,21.75,22.71,51.0,18.35,NIBL
2025-04-09,22.14,22.2,21.1,21.71,51.0,18.35,NIBL
2025-04-08,23.84,24.69,21.4,21.83,51.0,18.35,NIBL
2025-04-07,22.0,23.93,21.4,22.43,51.0,18.35,NIBL
2025-04-04,23.81,26.0,23.0,23.77,51.0,18.35,NIBL
2025-04-03,22.93,23.9,22.09,23.35,51.0,18.35,NIBL
2025-04-02,21.33,23.98,20.95,22.74,51.0,18.35,NIBL
2025-04-01,21.0,23.38,20.69,21.33,51.0,18.35,NIBL
2025-03-28,22.02,23.4,19.5,20.69,51.0,18.35,NIBL
2025-03-27,22.95,23.46,21.25,21.5,51.0,18.35,NIBL
2025-03-26,24.09,25.49,22.5,22.55,51.0,18.35,NIBL
2025-03-25,25.53,26.34,23.3,23.51,51.0,18.35,NIBL
2025-03-24,25.01,28.49,25.01,25.53,51.0,18.35,NIBL
2025-03-21,25.98,28.49,24.14,25.43,51.0,18.35,NIBL
2025-03-20,25.19,25.85,23.6,24.47,51.0,18.35,NIBL
2025-03-19,23.96,26.89,23.02,25.15,51.0,18.35,NIBL
2025-03-18,23.12,23.98,22.3,23.49,51.0,18.35,NIBL
2025-03-17,24.04,25.42,21.3,22.55,51.0,18.35,NIBL
2024-10-30,27.7,28.5,26.91,27.33,51.0,18.35,NIBL
2024-10-29,27.49,28.79,26.89,27.08,51.0,18.35,NIBL
2024-10-28,28.5,31.78,25.41,26.3,51.0,18.35,NIBL
2024-10-25,33.74,33.74,27.7,28.14,51.0,18.35,NIBL
2024-10-24,33.52,33.72,32.11,33.14,51.0,18.35,NIBL
2024-10-23,32.99,33.49,32.41,32.7,51.0,18.35,NIBL
2024-10-22,32.85,35.79,32.62,32.99,51.0,18.35,NIBL
2024-10-21,34.57,35.94,33.33,34.0,51.0,18.35,NIBL
2024-10-18,35.9,36.39,34.11,35.38,51.0,18.35,NIBL
2024-10-17,35.51,37.09,34.51,35.03,51.0,18.35,NIBL
2024-10-16,36.3,38.01,35.08,36.34,51.0,18.35,NIBL
2024-10-15,35.0,39.9,34.96,37.01,51.0,18.35,NIBL
2024-10-14,34.89,34.89,33.45,34.1,51.0,18.35,NIBL
2024-10-11,33.01,34.84,33.01,34.33,51.0,18.35,NIBL
2024-10-10,34.94,34.95,33.0,33.78,51.0,18.35,NIBL
2024-10-09,35.2,35.2,34.0,34.14,51.0,18.35,NIBL
2024-10-08,32.0,34.0,31.21,33.88,51.0,18.35,NIBL
2024-10-07,34.0,34.88,31.0,31.66,51.0,18.35,NIBL
2024-10-04,34.15,34.45,33.02,33.98,51.0,18.35,NIBL
2024-10-03,34.02,35.5,33.92,34.14,51.0,18.35,NIBL
2024-10-01,35.79,35.79,34.56,35.09,51.0,18.35,NIBL
2024-09-30,34.88,35.8,34.3,35.06,51.0,18.35,NIBL
2024-09-27,33.8,37.48,33.8,34.16,51.0,18.35,NIBL
2024-09-26,34.15,35.23,34.0,34.42,51.0,18.35,NIBL
2024-09-25,35.4,36.4,34.0,34.29,51.0,18.35,NIBL
2024-09-24,35.8,35.8,34.47,34.97,51.0,18.35,NIBL
2024-09-23,36.65,36.65,34.5,35.17,51.0,18.35,NIBL
2024-09-20,37.75,37.75,35.38,35.8,51.0,18.35,NIBL
2024-09-19,37.8,38.0,34.96,35.57,51.0,18.35,NIBL
2024-09-18,38.58,38.58,36.52,36.73,51.0,18.35,NIBL
2024-09-17,38.58,38.98,38.1,38.35,51.0,18.35,NIBL
2024-09-16,39.0,39.39,38.05,38.58,51.0,18.35,NIBL
2024-09-13,39.99,39.99,38.51,39.05,51.0,18.35,NIBL
2024-09-12,38.6,40.45,38.6,39.26,51.0,18.35,NIBL
2024-09-11,38.62,40.66,38.35,39.03,51.0,18.35,NIBL
2024-09-10,40.12,42.35,38.75,39.6,51.0,18.35,NIBL
2024-09-09,39.95,42.95,39.11,40.92,51.0,18.35,NIBL
2024-09-06,38.22,45.9,38.22,39.99,51.0,18.35,NIBL
2024-09-05,39.69,39.69,38.4,38.41,51.0,18.35,NIBL
2024-09-04,39.95,39.95,38.51,38.7,51.0,18.35,NIBL
2024-09-03,38.1,40.0,38.09,39.32,51.0,18.35,NIBL
2024-09-02,37.36,39.28,37.36,38.1,51.0,18.35,NIBL
2024-08-30,39.3,39.3,37.81,38.11,51.0,18.35,NIBL
2024-08-29,39.13,39.88,37.71,38.19,51.0,18.35,NIBL
2024-08-28,38.4,40.0,37.3,39.13,51.0,18.35,NIBL
2024-08-27,39.97,39.97,37.25,37.77,51.0,18.35,NIBL
2024-08-26,38.89,40.0,38.89,39.62,51.0,18.35,NIBL
2024-08-23,39.12,40.09,38.7,38.89,51.0,18.35,NIBL
2024-08-22,39.99,40.49,39.11,39.5,51.0,18.35,NIBL
2024-08-21,40.99,40.99,39.06,39.36,51.0,18.35,NIBL
2024-08-20,39.21,40.5,39.21,39.7,51.0,18.35,NIBL
2024-08-19,40.8,40.8,39.1,39.73,51.0,18.35,NIBL
2024-08-16,38.0,41.45,36.7,39.89,51.0,18.35,NIBL
2024-08-14,39.99,39.99,36.55,37.39,51.0,18.35,NIBL
2024-08-13,41.85,41.85,38.4,38.79,51.0,18.35,NIBL
2024-08-12,41.74,42.4,40.5,40.56,51.0,18.35,NIBL
2024-08-09,43.0,43.0,40.75,41.74,51.0,18.35,NIBL
2024-08-08,40.9,42.99,39.72,41.13,51.0,18.35,NIBL
2024-08-07,39.0,42.5,39.0,40.94,51.0,18.35,NIBL
2024-08-06,40.05,42.5,38.55,38.86,51.0,18.35,NIBL
2024-08-05,43.5,44.69,40.4,40.83,51.0,18.35,NIBL
2024-08-02,38.9,47.17,38.51,43.63,51.0,18.35,NIBL
2024-08-01,44.0,44.38,38.2,39.31,51.0,18.35,NIBL
2024-07-31,46.0,46.0,43.1,43.91,51.0,18.35,NIBL
2024-07-30,46.8,50.4,43.5,46.16,51.0,18.35,NIBL
2024-07-29,36.14,42.75,35.71,42.75,51.0,18.35,NIBL
2024-07-26,36.84,36.84,35.11,35.63,51.0,18.35,NIBL
2024-07-25,36.5,36.99,34.12,35.45,51.0,18.35,NIBL
2024-07-24,35.94,36.2,35.21,35.96,51.0,18.35,NIBL
2024-07-23,37.54,37.54,34.99,35.56,51.0,18.35,NIBL
2024-07-22,37.79,37.79,34.5,36.33,51.0,18.35,NIBL
2024-07-19,37.55,37.55,36.42,37.15,51.0,18.35,NIBL
2024-07-18,37.09,37.49,36.01,36.81,51.0,18.35,NIBL
2024-07-16,37.89,38.43,35.62,36.77,51.0,18.35,NIBL
2024-07-15,38.5,38.5,37.5,37.89,51.0,18.35,NIBL
