DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-23,22.04,22.14,21.91,22.05,23.63,18.3,NIFTYQLITY
2025-10-21,22.04,22.04,21.78,21.97,23.63,18.3,NIFTYQLITY
2025-10-20,22.0,22.03,21.88,21.95,23.63,18.3,NIFTYQLITY
2025-10-17,21.83,22.0,21.71,21.9,24.67,18.3,NIFTYQLITY
2025-10-16,21.73,21.89,21.59,21.86,24.67,18.3,NIFTYQLITY
2025-10-15,21.51,21.95,21.41,21.69,24.67,18.3,NIFTYQLITY
2025-10-14,21.56,21.63,21.33,21.4,24.67,18.3,NIFTYQLITY
2025-10-13,21.7,21.7,21.17,21.57,24.67,18.3,NIFTYQLITY
2025-10-10,21.63,21.77,21.46,21.6,25.06,18.3,NIFTYQLITY
2025-10-09,21.45,21.61,21.35,21.53,25.06,18.3,NIFTYQLITY
2025-10-08,21.39,21.63,21.33,21.35,25.06,18.3,NIFTYQLITY
2025-10-07,21.41,21.82,21.28,21.39,25.06,18.3,NIFTYQLITY
2025-10-06,21.33,21.52,21.25,21.41,25.06,18.3,NIFTYQLITY
2025-10-03,21.58,21.58,21.15,21.33,25.06,18.3,NIFTYQLITY
2025-10-01,20.65,21.74,20.65,21.24,25.06,18.3,NIFTYQLITY
2025-09-30,21.11,21.74,21.0,21.18,25.06,18.3,NIFTYQLITY
2025-09-29,21.32,21.38,21.02,21.11,25.06,18.3,NIFTYQLITY
2025-09-26,21.4,21.6,21.13,21.22,25.06,18.3,NIFTYQLITY
2025-09-25,21.8,21.8,21.35,21.4,25.06,18.3,NIFTYQLITY
2025-09-24,21.75,21.75,21.45,21.54,25.06,18.3,NIFTYQLITY
2025-09-23,21.52,22.21,21.02,21.65,25.06,18.3,NIFTYQLITY
2025-09-22,22.05,22.05,21.36,21.79,25.06,18.3,NIFTYQLITY
2025-09-19,22.04,22.05,21.9,21.95,25.1,18.3,NIFTYQLITY
2025-09-18,22.04,22.07,21.94,21.98,25.1,18.3,NIFTYQLITY
2025-09-17,22.08,22.08,21.86,21.94,25.1,18.3,NIFTYQLITY
2025-09-16,22.0,22.0,21.73,21.88,25.1,18.3,NIFTYQLITY
2025-09-15,21.71,22.05,21.4,21.81,25.1,18.3,NIFTYQLITY
2025-09-12,21.89,21.91,21.74,21.85,25.1,18.3,NIFTYQLITY
2025-09-11,21.88,22.02,21.73,21.9,25.1,18.3,NIFTYQLITY
2025-09-10,21.59,21.87,21.58,21.81,25.1,18.3,NIFTYQLITY
2025-09-09,21.57,21.65,21.46,21.58,25.1,18.3,NIFTYQLITY
2025-09-08,21.63,21.8,21.41,21.47,25.1,18.3,NIFTYQLITY
2025-09-05,21.18,21.93,21.18,21.53,25.1,18.3,NIFTYQLITY
2025-09-04,21.69,21.9,21.61,21.73,25.1,18.3,NIFTYQLITY
2025-09-03,22.05,22.05,21.02,21.62,25.1,18.3,NIFTYQLITY
2025-09-02,21.54,21.6,21.31,21.55,25.1,18.3,NIFTYQLITY
2025-09-01,21.59,21.6,21.13,21.44,25.1,18.3,NIFTYQLITY
2025-08-29,21.15,21.89,21.09,21.47,25.1,18.3,NIFTYQLITY
2025-08-28,21.39,21.39,21.07,21.14,25.1,18.3,NIFTYQLITY
2025-08-26,21.43,21.52,21.24,21.29,25.1,18.3,NIFTYQLITY
2025-08-25,21.45,21.96,21.1,21.44,25.1,18.3,NIFTYQLITY
2025-08-22,21.57,21.89,21.21,21.45,25.1,18.3,NIFTYQLITY
2025-08-21,21.57,21.57,21.4,21.47,25.1,18.3,NIFTYQLITY
2025-08-20,21.38,21.52,21.2,21.49,25.1,18.3,NIFTYQLITY
2025-08-19,20.56,21.35,20.13,21.28,25.1,18.3,NIFTYQLITY
2025-08-18,21.45,21.53,20.39,21.09,25.1,18.3,NIFTYQLITY
2025-08-14,21.24,21.34,20.9,20.93,25.1,18.3,NIFTYQLITY
2025-08-13,20.85,21.35,20.75,21.09,25.1,18.3,NIFTYQLITY
2025-08-12,21.02,21.07,20.85,20.86,25.1,18.3,NIFTYQLITY
2025-08-11,20.6,21.74,20.12,20.91,25.1,18.3,NIFTYQLITY
2025-08-08,20.93,21.35,20.79,20.85,25.1,18.3,NIFTYQLITY
2025-08-07,21.0,21.03,20.7,20.98,25.1,18.3,NIFTYQLITY
2025-08-06,21.12,21.12,20.79,20.9,25.1,18.3,NIFTYQLITY
2025-08-05,21.03,21.19,20.86,21.02,25.1,18.3,NIFTYQLITY
2025-08-04,21.33,21.33,20.4,20.99,25.1,18.3,NIFTYQLITY
2025-08-01,21.03,21.17,20.72,20.81,25.1,18.3,NIFTYQLITY
2025-07-31,21.07,21.07,20.75,20.93,25.1,18.3,NIFTYQLITY
