DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-16,106.5,107.0,105.51,106.09,233.8,103.4,NIITLTD
2025-10-15,105.6,107.1,104.63,106.07,233.8,103.4,NIITLTD
2025-10-14,105.31,106.34,104.56,104.92,233.8,103.4,NIITLTD
2025-10-13,105.6,106.61,105.04,105.59,233.8,103.4,NIITLTD
2025-10-10,106.05,107.5,106.01,106.93,233.8,103.4,NIITLTD
2025-10-09,105.56,106.75,105.05,106.28,233.8,103.4,NIITLTD
2025-10-08,108.0,108.01,105.35,105.55,233.8,103.4,NIITLTD
2025-10-07,107.49,108.38,106.8,107.36,233.8,103.4,NIITLTD
2025-10-06,109.95,109.95,106.8,107.13,233.8,103.4,NIITLTD
2025-10-03,105.4,110.9,105.39,109.47,233.8,103.4,NIITLTD
2025-10-01,106.28,106.3,104.76,105.41,233.8,103.4,NIITLTD
2025-09-30,105.68,106.1,104.94,105.5,233.8,103.4,NIITLTD
2025-09-29,105.55,106.21,104.79,105.26,233.8,103.4,NIITLTD
2025-09-26,108.1,109.83,105.2,105.5,233.8,103.4,NIITLTD
2025-09-25,108.5,110.25,108.2,108.71,233.8,103.4,NIITLTD
2025-09-24,109.45,110.0,108.25,108.53,233.8,103.4,NIITLTD
2025-09-23,110.79,112.0,109.11,109.4,233.8,103.4,NIITLTD
2025-09-22,110.63,112.4,110.25,110.71,233.8,103.4,NIITLTD
2025-09-19,112.35,113.34,111.69,112.29,233.8,103.4,NIITLTD
2025-09-18,112.49,114.41,111.6,112.33,233.8,103.4,NIITLTD
2025-09-17,112.74,113.76,111.6,112.13,233.8,103.4,NIITLTD
2025-09-16,111.6,113.8,111.0,111.87,233.8,103.4,NIITLTD
2025-09-15,110.3,112.69,110.03,111.58,233.8,103.4,NIITLTD
2025-09-12,111.8,112.79,109.32,110.17,233.8,103.4,NIITLTD
2025-09-11,112.48,114.75,110.69,110.94,233.8,103.4,NIITLTD
2025-09-10,112.01,116.4,111.16,111.84,233.8,103.4,NIITLTD
2025-09-09,112.3,114.8,111.1,111.73,233.8,103.4,NIITLTD
2025-09-08,113.54,114.2,112.0,112.3,233.8,103.4,NIITLTD
2025-09-05,113.63,114.54,111.22,113.54,233.8,103.4,NIITLTD
2025-09-04,114.83,115.82,113.02,113.63,233.8,103.4,NIITLTD
2025-09-03,113.82,115.19,113.32,114.81,233.8,103.4,NIITLTD
2025-09-02,112.22,115.0,111.37,113.82,233.8,103.4,NIITLTD
2025-09-01,107.0,112.8,106.99,112.22,233.8,103.4,NIITLTD
2025-08-29,108.38,109.4,106.8,107.28,233.8,103.4,NIITLTD
2025-08-28,110.32,110.36,107.85,108.29,233.8,103.4,NIITLTD
2025-08-26,112.32,112.32,109.5,110.32,233.8,103.4,NIITLTD
2025-08-25,112.32,114.8,112.25,112.77,233.8,103.4,NIITLTD
2025-08-22,114.15,114.79,112.2,112.44,233.8,103.4,NIITLTD
2025-08-21,113.12,117.75,113.12,114.15,233.8,103.4,NIITLTD
2025-08-20,111.12,115.44,111.0,112.92,233.8,103.4,NIITLTD
2025-08-19,110.0,112.4,109.62,110.96,233.8,103.4,NIITLTD
2025-08-18,111.49,111.6,108.75,109.6,233.8,103.4,NIITLTD
2025-08-14,113.0,116.3,109.01,109.26,233.8,103.4,NIITLTD
2025-08-13,112.9,113.62,112.05,112.65,233.8,103.4,NIITLTD
2025-08-12,113.19,114.61,111.6,112.55,233.8,103.4,NIITLTD
2025-08-11,116.5,116.5,112.32,112.99,233.8,103.4,NIITLTD
2025-08-08,118.79,118.79,115.12,116.53,233.8,103.4,NIITLTD
2025-08-07,117.11,118.38,115.01,117.14,233.8,103.4,NIITLTD
2025-08-06,122.0,122.31,117.25,118.4,233.8,103.4,NIITLTD
2025-08-05,121.0,125.0,118.7,121.3,233.8,103.4,NIITLTD
2025-08-04,113.89,122.92,113.35,121.51,233.8,103.4,NIITLTD
2025-08-01,115.25,116.55,112.85,113.33,233.8,103.4,NIITLTD
2025-07-31,115.8,116.89,113.79,115.61,233.8,103.4,NIITLTD
2025-07-30,118.5,120.52,116.2,116.59,233.8,103.4,NIITLTD
2025-07-29,116.6,118.99,115.67,118.53,233.8,103.4,NIITLTD
2025-07-28,120.0,120.8,116.35,117.16,233.8,103.4,NIITLTD
2025-07-25,120.63,123.0,118.9,120.15,233.8,103.4,NIITLTD
2025-07-24,122.85,123.06,119.54,120.62,233.8,103.4,NIITLTD
2025-07-23,123.39,123.39,121.5,122.26,233.8,103.4,NIITLTD
2025-07-22,124.89,125.88,121.31,121.66,233.8,103.4,NIITLTD
2025-07-21,124.9,125.19,122.55,123.94,233.8,103.4,NIITLTD
2025-07-18,127.0,127.2,124.0,124.88,233.8,103.4,NIITLTD
2025-07-17,126.49,128.9,125.85,126.63,233.8,103.4,NIITLTD
2025-07-16,125.97,127.02,125.0,125.91,233.8,103.4,NIITLTD
2025-07-15,126.99,128.0,125.47,125.82,233.8,103.4,NIITLTD
2025-07-14,126.9,126.92,125.65,126.07,233.8,103.4,NIITLTD
2025-07-11,127.69,128.5,126.0,126.98,233.8,103.4,NIITLTD
2025-07-10,128.88,129.51,126.56,127.78,233.8,103.4,NIITLTD
2025-07-09,125.52,130.0,125.46,127.9,233.8,103.4,NIITLTD
2025-07-08,126.36,128.2,124.01,125.49,233.8,103.4,NIITLTD
2025-07-07,128.93,129.45,125.64,126.36,233.8,103.4,NIITLTD
2025-07-04,130.09,130.88,127.81,129.05,233.8,102.27,NIITLTD
2025-07-03,129.29,130.48,127.79,130.0,233.8,102.27,NIITLTD
2025-07-02,131.5,132.1,127.99,128.4,233.8,102.27,NIITLTD
2025-07-01,130.9,132.57,130.33,131.5,233.8,102.27,NIITLTD
2025-06-30,132.25,133.85,129.89,130.65,233.8,102.27,NIITLTD
2025-06-27,131.5,132.5,131.0,131.29,233.8,101.32,NIITLTD
2025-06-26,132.0,133.3,130.6,131.5,233.8,101.32,NIITLTD
2025-06-25,128.05,132.2,128.05,131.56,233.8,101.32,NIITLTD
2025-06-24,130.0,130.0,127.12,127.76,233.8,101.32,NIITLTD
2025-06-23,124.81,127.32,124.22,126.67,233.8,101.32,NIITLTD
2025-06-20,127.52,128.6,124.95,125.61,233.8,100.96,NIITLTD
2025-06-19,130.5,131.99,126.34,127.52,233.8,100.96,NIITLTD
2025-06-18,133.5,133.99,130.01,130.42,233.8,100.96,NIITLTD
2025-06-17,133.75,137.89,132.55,133.46,233.8,100.96,NIITLTD
2025-06-16,135.15,136.23,129.75,133.12,233.8,100.96,NIITLTD
2025-06-13,134.49,136.32,133.01,134.14,233.8,100.96,NIITLTD
2025-06-12,139.98,142.69,135.1,136.03,233.8,100.96,NIITLTD
2025-06-11,144.9,145.9,138.31,139.77,233.8,100.96,NIITLTD
2025-06-10,137.2,144.0,135.76,142.48,233.8,100.96,NIITLTD
2025-06-09,135.6,138.0,135.1,136.26,233.8,100.96,NIITLTD
2025-06-06,137.0,137.4,134.56,134.71,233.8,90.55,NIITLTD
2025-06-05,134.07,137.74,133.9,136.18,233.8,90.55,NIITLTD
2025-06-04,134.83,135.51,132.99,133.53,233.8,90.55,NIITLTD
2025-06-03,138.0,138.8,134.34,134.83,233.8,90.55,NIITLTD
2025-06-02,136.49,137.94,134.0,137.35,233.8,90.55,NIITLTD
2025-05-30,137.8,138.07,134.23,136.02,233.8,90.55,NIITLTD
2025-05-29,137.8,140.95,137.0,137.43,233.8,90.55,NIITLTD
