DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,10.1,10.19,9.79,9.91,15.49,8.12,NILAINFRA
2025-11-28,10.06,10.27,9.85,10.01,15.49,8.12,NILAINFRA
2025-11-27,9.45,10.2,9.45,9.94,15.49,8.12,NILAINFRA
2025-11-26,9.44,9.62,9.4,9.45,15.49,8.12,NILAINFRA
2025-11-25,9.22,9.74,9.18,9.43,15.49,8.12,NILAINFRA
2025-11-24,9.48,9.55,9.15,9.21,15.49,8.12,NILAINFRA
2025-11-21,9.46,9.69,9.35,9.47,15.49,8.12,NILAINFRA
2025-11-20,9.46,9.71,9.45,9.46,15.49,8.12,NILAINFRA
2025-11-19,9.43,9.6,9.4,9.55,15.49,8.12,NILAINFRA
2025-11-18,9.62,9.76,9.4,9.43,15.49,8.12,NILAINFRA
2025-11-17,9.55,9.71,9.54,9.62,15.49,8.12,NILAINFRA
2025-11-14,9.66,9.89,9.4,9.55,15.49,8.12,NILAINFRA
2025-11-13,9.81,9.9,9.65,9.66,15.49,8.12,NILAINFRA
2025-11-12,10.01,10.09,9.81,9.9,15.49,8.12,NILAINFRA
2025-11-11,9.82,10.19,9.82,10.02,15.49,8.12,NILAINFRA
2025-11-10,9.89,10.06,9.62,9.94,15.49,8.12,NILAINFRA
2025-11-07,9.71,9.82,9.58,9.72,15.49,8.12,NILAINFRA
2025-11-06,10.05,10.05,9.71,9.77,15.49,8.12,NILAINFRA
2025-11-04,10.19,10.19,9.9,9.94,15.49,8.12,NILAINFRA
2025-11-03,10.0,10.2,9.92,10.02,15.49,8.12,NILAINFRA
2025-10-31,10.25,10.25,10.08,10.1,15.49,8.12,NILAINFRA
2025-10-30,10.17,10.34,10.1,10.17,15.49,8.12,NILAINFRA
2025-10-29,10.19,10.35,10.02,10.19,15.49,8.12,NILAINFRA
2025-10-28,10.2,10.39,10.15,10.19,15.49,8.12,NILAINFRA
2025-10-27,10.28,10.37,10.11,10.25,15.49,8.12,NILAINFRA
2025-10-24,10.28,10.32,10.1,10.24,15.49,8.12,NILAINFRA
2025-10-23,10.25,10.35,10.14,10.2,15.49,8.12,NILAINFRA
2025-10-21,10.16,10.35,9.9,10.15,15.49,8.12,NILAINFRA
2025-10-20,10.06,10.18,9.56,10.07,15.49,8.12,NILAINFRA
2025-10-17,10.2,10.28,10.05,10.17,15.49,8.12,NILAINFRA
2025-10-16,10.15,10.34,10.04,10.21,15.49,8.12,NILAINFRA
2025-10-15,10.16,10.26,9.9,10.12,15.49,8.12,NILAINFRA
2025-10-14,10.31,10.4,10.05,10.16,15.49,8.12,NILAINFRA
2025-10-13,10.5,10.58,10.22,10.3,15.49,8.12,NILAINFRA
2025-10-10,10.39,10.76,10.31,10.62,15.49,8.12,NILAINFRA
2025-10-09,11.1,11.18,10.31,10.4,15.49,8.12,NILAINFRA
2025-10-08,10.25,11.2,10.21,10.89,15.49,8.12,NILAINFRA
2025-10-07,10.11,10.17,10.0,10.02,15.49,8.12,NILAINFRA
2025-10-06,10.4,10.42,10.06,10.11,15.49,8.12,NILAINFRA
2025-10-03,10.14,10.4,10.09,10.29,15.49,8.12,NILAINFRA
2025-10-01,10.09,10.2,9.93,10.11,15.49,8.12,NILAINFRA
2025-09-30,10.4,10.4,9.9,9.98,15.49,8.12,NILAINFRA
2025-09-29,10.21,11.55,10.06,10.29,15.49,8.12,NILAINFRA
