DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-12-01,217.83,217.83,217.83,217.83,414.2,185.65,NIRAJISPAT
2025-11-27,224.0,238.24,216.0,217.83,414.2,185.65,NIRAJISPAT
2025-11-26,228.95,228.95,226.89,226.9,414.2,185.65,NIRAJISPAT
2025-11-25,215.8,235.0,214.79,219.0,414.2,185.65,NIRAJISPAT
2025-11-24,237.75,237.75,226.1,226.1,414.2,185.65,NIRAJISPAT
2025-11-21,221.0,238.0,221.0,238.0,414.2,185.65,NIRAJISPAT
2025-11-20,229.4,229.4,229.4,229.4,414.2,185.65,NIRAJISPAT
2025-11-19,239.8,239.8,223.41,228.34,414.2,185.65,NIRAJISPAT
2025-11-18,219.8,230.99,212.46,228.66,414.2,185.65,NIRAJISPAT
2025-11-17,220.0,225.0,220.0,220.0,414.2,185.65,NIRAJISPAT
2025-11-14,220.0,220.0,200.01,218.82,414.2,185.65,NIRAJISPAT
2025-11-13,200.0,212.14,199.4,209.83,414.2,185.65,NIRAJISPAT
2025-11-12,202.0,218.0,200.85,202.14,414.2,185.65,NIRAJISPAT
2025-11-11,213.0,219.99,200.0,211.43,414.2,185.65,NIRAJISPAT
2025-11-10,245.0,245.0,206.05,212.75,414.2,185.65,NIRAJISPAT
2025-11-07,245.0,255.16,216.0,228.39,414.2,185.65,NIRAJISPAT
2025-11-04,236.0,236.03,230.0,231.97,414.2,185.65,NIRAJISPAT
2025-11-03,241.2,241.2,235.0,236.03,414.2,185.65,NIRAJISPAT
2025-10-31,251.25,251.3,230.25,241.2,414.2,185.65,NIRAJISPAT
2025-10-30,251.5,259.35,245.55,251.25,414.2,185.65,NIRAJISPAT
2025-10-29,262.1,270.0,250.0,263.3,414.2,185.65,NIRAJISPAT
2025-10-28,269.85,278.45,255.0,261.5,414.2,185.65,NIRAJISPAT
2025-10-27,313.0,313.0,266.15,269.8,414.2,185.65,NIRAJISPAT
2025-10-24,298.95,300.55,288.05,295.7,414.2,185.65,NIRAJISPAT
2025-10-23,302.4,302.4,290.4,297.5,414.2,185.65,NIRAJISPAT
2025-10-21,278.0,304.9,278.0,303.5,414.2,185.65,NIRAJISPAT
2025-10-20,318.4,319.0,272.95,278.0,414.2,185.65,NIRAJISPAT
2025-10-17,305.0,305.0,260.9,300.6,414.2,185.65,NIRAJISPAT
2025-10-16,267.0,284.5,267.0,282.8,414.2,185.65,NIRAJISPAT
2025-10-15,267.75,274.7,258.4,259.1,414.2,185.65,NIRAJISPAT
2025-10-14,255.0,286.45,255.0,267.75,414.2,185.65,NIRAJISPAT
2025-10-13,284.9,284.9,252.0,267.45,414.2,185.65,NIRAJISPAT
2025-10-10,297.0,303.0,277.65,279.3,414.2,185.65,NIRAJISPAT
2025-10-09,277.0,318.95,270.0,277.85,414.2,185.65,NIRAJISPAT
2025-10-08,304.5,328.0,276.0,294.65,414.2,185.65,NIRAJISPAT
2025-10-07,285.1,310.0,285.1,299.05,414.2,185.65,NIRAJISPAT
2025-10-06,296.2,325.4,295.85,299.7,414.2,185.65,NIRAJISPAT
2025-10-03,310.1,336.4,310.0,311.4,414.2,185.65,NIRAJISPAT
2025-10-01,306.1,337.65,306.1,325.8,414.2,185.65,NIRAJISPAT
2025-09-30,316.1,345.9,316.1,321.6,414.2,185.65,NIRAJISPAT
2025-09-29,347.4,347.4,332.5,332.5,414.2,185.65,NIRAJISPAT
2025-06-27,414.2,414.2,414.2,414.2,414.2,185.65,NIRAJISPAT
2025-06-25,394.5,394.5,394.5,394.5,394.5,185.65,NIRAJISPAT
2025-06-24,375.75,375.75,375.75,375.75,375.75,185.65,NIRAJISPAT
2025-06-23,357.9,357.9,357.9,357.9,357.9,185.65,NIRAJISPAT
2025-06-20,340.9,340.9,340.9,340.9,340.9,185.65,NIRAJISPAT
2025-06-19,324.7,324.7,324.7,324.7,324.7,185.65,NIRAJISPAT
2025-06-18,300.5,309.25,300.5,309.25,309.25,185.65,NIRAJISPAT
2025-06-17,294.5,294.55,294.5,294.55,294.55,185.65,NIRAJISPAT
2025-06-16,280.55,280.55,280.55,280.55,280.55,185.65,NIRAJISPAT
2025-02-05,267.16,267.16,267.16,267.16,267.16,185.65,NIRAJISPAT
2025-02-04,254.44,254.44,254.44,254.44,257.43,185.65,NIRAJISPAT
2025-01-21,254.44,254.44,242.33,242.33,257.43,185.65,NIRAJISPAT
2025-01-17,257.43,257.43,237.82,242.33,257.43,185.65,NIRAJISPAT
2024-12-23,245.18,245.18,245.18,245.18,248.2,185.65,NIRAJISPAT
2024-12-20,245.16,245.16,234.8,245.16,248.2,185.65,NIRAJISPAT
2024-12-19,248.2,248.2,229.29,233.49,248.2,185.65,NIRAJISPAT
2024-10-10,236.39,236.39,236.39,236.39,236.39,185.65,NIRAJISPAT
2024-10-09,225.14,225.14,225.14,225.14,225.14,185.65,NIRAJISPAT
2024-10-08,214.42,214.42,214.42,214.42,214.42,185.65,NIRAJISPAT
2024-10-07,204.21,204.21,204.21,204.21,210.54,185.65,NIRAJISPAT
2024-09-12,185.65,185.65,185.65,185.65,210.54,185.65,NIRAJISPAT
2024-09-04,210.54,210.54,185.65,185.81,210.54,185.65,NIRAJISPAT
