DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,4.73,4.75,4.36,4.4,23.97,2.57,NOIDATOLL
2025-10-17,4.38,4.59,4.2,4.59,23.97,2.57,NOIDATOLL
2025-10-16,4.55,4.55,4.12,4.38,23.97,2.57,NOIDATOLL
2025-10-15,4.34,4.34,4.34,4.34,23.97,2.57,NOIDATOLL
2025-10-14,4.14,4.14,4.14,4.14,23.97,2.57,NOIDATOLL
2025-10-13,3.95,3.95,3.95,3.95,23.97,2.57,NOIDATOLL
2024-11-13,16.25,16.25,15.33,16.06,17.06,7.45,NOIDATOLL
2024-11-12,16.3,16.42,16.01,16.14,17.06,7.45,NOIDATOLL
2024-11-11,16.49,16.74,16.14,16.39,17.06,7.45,NOIDATOLL
2024-11-08,16.21,16.9,16.15,16.49,17.06,7.45,NOIDATOLL
2024-11-07,15.91,16.44,15.83,16.17,17.06,7.45,NOIDATOLL
2024-11-06,16.18,16.59,15.8,15.91,17.06,7.45,NOIDATOLL
2024-11-05,15.06,15.9,15.05,15.84,17.06,7.45,NOIDATOLL
2024-11-04,15.35,15.35,14.84,15.15,17.06,7.45,NOIDATOLL
2024-11-01,14.48,14.89,14.1,14.84,17.06,7.45,NOIDATOLL
2024-06-12,12.45,13.06,12.3,13.06,15.4,6.6,NOIDATOLL
2024-06-11,12.68,13.17,11.5,11.88,15.4,6.6,NOIDATOLL
2024-06-10,11.65,12.26,11.3,12.26,15.4,6.6,NOIDATOLL
2024-06-07,10.35,11.15,10.3,11.15,15.4,6.6,NOIDATOLL
2024-06-06,10.1,10.15,9.55,10.15,15.4,6.6,NOIDATOLL
2024-06-05,9.7,9.7,8.8,9.7,15.4,6.6,NOIDATOLL
2024-06-04,10.1,10.1,9.2,9.25,15.4,6.6,NOIDATOLL
2024-06-03,9.65,9.65,9.65,9.65,15.4,6.6,NOIDATOLL
2024-05-31,9.1,9.2,9.1,9.2,15.4,6.6,NOIDATOLL
2024-05-30,9.15,9.25,8.7,8.8,15.4,6.6,NOIDATOLL
2024-05-29,8.75,8.95,8.2,8.9,15.4,6.6,NOIDATOLL
2024-05-28,8.9,9.2,8.45,8.55,15.4,6.6,NOIDATOLL
2024-05-27,9.0,9.3,8.8,8.9,15.4,6.6,NOIDATOLL
2023-11-06,8.45,9.95,8.25,9.7,9.95,6.05,NOIDATOLL
2023-11-03,8.15,8.35,8.1,8.3,9.55,6.05,NOIDATOLL
2023-11-02,8.25,8.5,7.95,8.05,9.55,6.05,NOIDATOLL
2023-11-01,8.3,8.45,8.1,8.25,9.55,6.05,NOIDATOLL
2023-10-31,8.65,8.75,8.05,8.15,9.55,6.05,NOIDATOLL
2023-10-30,8.55,9.15,8.5,8.55,9.55,6.05,NOIDATOLL
2023-10-27,8.5,8.9,8.5,8.55,9.55,6.05,NOIDATOLL
2023-10-26,8.45,8.85,8.1,8.6,9.55,6.05,NOIDATOLL
2023-10-25,8.65,9.0,8.25,8.3,9.55,6.05,NOIDATOLL
2023-10-23,9.1,9.5,8.35,8.65,9.55,6.05,NOIDATOLL
2023-10-20,9.15,9.55,8.75,8.85,9.55,6.05,NOIDATOLL
2023-10-19,8.75,9.45,8.65,9.0,9.55,6.05,NOIDATOLL
2023-10-18,8.6,9.55,8.5,8.95,9.55,6.05,NOIDATOLL
2023-10-17,7.2,8.5,7.1,8.4,9.0,6.05,NOIDATOLL
2023-10-16,7.05,7.2,7.0,7.1,9.0,6.05,NOIDATOLL
2023-10-13,6.95,7.15,6.95,7.0,9.0,6.05,NOIDATOLL
2023-10-12,7.45,7.8,6.95,7.05,9.0,6.05,NOIDATOLL
2023-10-11,7.35,7.55,7.3,7.4,9.0,6.05,NOIDATOLL
2023-10-10,7.75,7.95,7.2,7.3,9.0,6.05,NOIDATOLL
2023-10-09,7.9,7.95,7.3,7.6,9.0,6.05,NOIDATOLL
2023-10-06,8.0,8.1,7.7,7.8,9.0,6.05,NOIDATOLL
2023-10-05,8.25,8.3,7.95,8.0,9.0,6.05,NOIDATOLL
2023-10-04,7.85,8.25,7.55,7.9,9.0,6.05,NOIDATOLL
2023-10-03,6.9,8.2,6.85,7.6,9.0,6.05,NOIDATOLL
