DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-21,342.95,343.5,341.05,342.0,428.75,292.8,NTPC
2025-10-20,341.4,344.45,340.3,341.95,428.75,292.8,NTPC
2025-10-17,341.5,344.2,340.15,341.0,429.4,292.8,NTPC
2025-10-16,340.2,342.6,339.65,341.5,429.4,292.8,NTPC
2025-10-15,336.95,341.75,336.75,339.25,429.4,292.8,NTPC
2025-10-14,342.0,343.0,335.2,336.65,429.4,292.8,NTPC
2025-10-13,337.95,342.1,336.2,341.7,429.4,292.8,NTPC
2025-10-10,336.0,341.95,335.95,339.7,433.0,292.8,NTPC
2025-10-09,333.8,336.4,331.2,335.85,433.0,292.8,NTPC
2025-10-08,339.25,339.25,332.3,333.8,433.0,292.8,NTPC
2025-10-07,339.1,341.4,336.85,338.0,433.0,292.8,NTPC
2025-10-06,340.6,341.8,335.65,339.1,433.0,292.8,NTPC
2025-10-03,340.25,343.5,338.75,342.0,448.45,292.8,NTPC
2025-10-01,340.3,343.05,338.05,340.25,448.45,292.8,NTPC
2025-09-30,341.1,343.05,339.15,340.45,448.45,292.8,NTPC
2025-09-29,339.1,343.75,338.0,340.95,448.45,292.8,NTPC
2025-09-26,340.5,340.75,336.45,337.9,448.45,292.8,NTPC
2025-09-25,349.3,350.8,340.0,340.5,448.45,292.8,NTPC
2025-09-24,343.3,350.4,342.25,347.6,448.45,292.8,NTPC
2025-09-23,339.45,344.1,338.1,343.0,448.45,292.8,NTPC
2025-09-22,339.15,340.35,336.85,339.2,448.45,292.8,NTPC
2025-09-19,336.95,339.5,336.45,338.65,448.45,292.8,NTPC
2025-09-18,337.0,337.6,334.1,336.95,448.45,292.8,NTPC
2025-09-17,335.5,337.45,334.55,336.4,448.45,292.8,NTPC
2025-09-16,331.2,335.8,331.2,335.05,448.45,292.8,NTPC
2025-09-15,331.0,333.8,330.65,331.1,448.45,292.8,NTPC
2025-09-12,332.0,333.5,328.4,331.7,448.45,292.8,NTPC
2025-09-11,326.45,333.5,326.0,331.05,448.45,292.8,NTPC
