DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-10,966.0,1005.1,963.0,989.5,1378.0,725.0,NUCLEUS
2025-11-07,1035.0,1041.0,1014.9,1030.9,1378.0,725.0,NUCLEUS
2025-11-06,1026.1,1064.8,1026.1,1030.9,1378.0,725.0,NUCLEUS
2025-11-04,1027.3,1049.9,1019.7,1028.8,1378.0,725.0,NUCLEUS
2025-11-03,1002.0,1049.0,1002.0,1037.7,1378.0,725.0,NUCLEUS
2025-10-31,1017.0,1025.95,1005.0,1010.05,1378.0,725.0,NUCLEUS
2025-10-30,1020.0,1020.05,1005.0,1008.4,1378.0,725.0,NUCLEUS
2025-10-29,1008.5,1043.0,1005.0,1020.7,1378.0,725.0,NUCLEUS
2025-10-28,1012.0,1021.95,1005.0,1016.15,1378.0,725.0,NUCLEUS
2025-10-27,1007.2,1014.45,1000.0,1007.55,1378.0,725.0,NUCLEUS
2025-10-24,1016.0,1016.0,1000.0,1003.2,1378.0,725.0,NUCLEUS
2025-10-23,1012.9,1048.5,997.5,1006.9,1378.0,725.0,NUCLEUS
2025-10-21,1024.3,1025.0,1000.0,1008.9,1378.0,725.0,NUCLEUS
2025-10-20,1005.0,1008.95,1000.0,1002.1,1378.0,725.0,NUCLEUS
2025-10-17,1011.7,1013.55,1003.0,1007.2,1378.0,725.0,NUCLEUS
2025-10-16,1015.9,1025.95,1002.5,1011.1,1378.0,725.0,NUCLEUS
2025-10-15,1022.0,1025.1,1008.8,1019.9,1378.0,725.0,NUCLEUS
2025-10-14,1014.9,1021.45,1000.25,1015.5,1378.0,725.0,NUCLEUS
2025-10-13,1016.0,1016.0,1000.0,1005.95,1378.0,725.0,NUCLEUS
2025-10-10,1015.0,1020.0,1006.1,1009.95,1378.0,725.0,NUCLEUS
2025-10-09,1003.45,1008.75,999.35,1004.25,1378.0,725.0,NUCLEUS
2025-10-08,1012.0,1031.0,995.15,1003.45,1378.0,725.0,NUCLEUS
2025-10-07,997.5,1020.0,997.15,1011.25,1378.0,725.0,NUCLEUS
2025-10-06,992.8,1009.0,992.8,997.6,1378.0,725.0,NUCLEUS
2025-10-03,1004.15,1012.0,1000.0,1003.1,1378.0,725.0,NUCLEUS
2025-10-01,1004.0,1009.0,999.0,1004.15,1378.0,725.0,NUCLEUS
2025-09-30,1000.0,1007.0,990.0,995.7,1378.0,725.0,NUCLEUS
2025-09-29,1004.4,1017.0,994.8,1000.2,1378.0,725.0,NUCLEUS
2025-09-26,1003.4,1020.0,987.5,998.4,1378.0,725.0,NUCLEUS
2025-09-25,1000.0,1020.0,999.4,1003.4,1378.0,725.0,NUCLEUS
2025-09-24,1016.0,1020.0,1002.0,1008.2,1378.0,725.0,NUCLEUS
2025-09-23,1030.0,1039.9,1005.0,1016.1,1378.0,725.0,NUCLEUS
2025-09-22,1049.9,1049.9,1025.0,1029.9,1378.0,725.0,NUCLEUS
2025-09-19,1066.8,1072.1,1046.9,1053.6,1378.0,725.0,NUCLEUS
2025-09-18,1050.9,1084.8,1047.0,1066.8,1378.0,725.0,NUCLEUS
2025-09-17,1055.0,1058.9,1039.1,1046.9,1378.0,725.0,NUCLEUS
2025-09-16,1038.6,1055.0,1026.0,1047.7,1378.0,725.0,NUCLEUS
2025-09-15,1028.1,1042.0,1020.2,1036.5,1378.0,725.0,NUCLEUS
2025-09-12,1039.7,1048.0,1026.0,1027.9,1386.4,725.0,NUCLEUS
2025-09-11,1044.5,1050.0,1029.0,1035.6,1386.4,725.0,NUCLEUS
2025-09-10,1029.0,1047.4,1020.0,1032.4,1386.4,725.0,NUCLEUS
2025-09-09,1009.8,1033.6,1009.8,1026.9,1386.4,725.0,NUCLEUS
2025-09-08,1015.0,1027.1,1004.0,1007.0,1386.4,725.0,NUCLEUS
2025-09-05,1015.0,1028.6,1010.0,1014.6,1418.8,725.0,NUCLEUS
2025-09-04,1020.0,1038.0,1016.3,1019.4,1418.8,725.0,NUCLEUS
2025-09-03,1033.7,1044.5,1024.8,1028.0,1418.8,725.0,NUCLEUS
2025-09-02,1030.1,1054.5,1025.8,1028.9,1418.8,725.0,NUCLEUS
2025-09-01,1025.0,1043.0,1010.6,1026.0,1418.8,725.0,NUCLEUS
2025-08-29,1024.4,1024.4,1005.8,1015.1,1420.0,725.0,NUCLEUS
2025-08-28,1025.0,1036.3,1010.0,1014.3,1420.0,725.0,NUCLEUS
2025-08-26,1049.0,1050.0,1024.0,1025.4,1420.0,725.0,NUCLEUS
2025-08-25,1065.0,1069.0,1040.0,1045.8,1420.0,725.0,NUCLEUS
2025-08-22,1059.0,1065.5,1043.0,1045.6,1574.0,725.0,NUCLEUS
2025-08-21,1024.8,1069.0,1016.9,1053.8,1574.0,725.0,NUCLEUS
2025-08-20,1025.0,1034.0,1009.0,1018.6,1574.0,725.0,NUCLEUS
2025-08-19,999.7,1035.0,999.7,1030.2,1574.0,725.0,NUCLEUS
2025-08-18,1004.0,1010.9,988.0,999.7,1574.0,725.0,NUCLEUS
2025-08-14,1000.0,1004.0,993.0,998.1,1574.0,725.0,NUCLEUS
2025-08-13,1000.7,1008.0,991.6,999.0,1574.0,725.0,NUCLEUS
2025-08-12,1000.1,1011.0,996.8,1000.7,1574.0,725.0,NUCLEUS
2025-08-11,991.1,1009.0,985.0,999.0,1574.0,725.0,NUCLEUS
2025-08-08,1009.9,1012.4,992.1,998.0,1574.0,725.0,NUCLEUS
2025-08-07,1005.5,1029.4,989.6,1004.7,1574.0,725.0,NUCLEUS
2025-08-06,1000.0,1007.8,977.3,993.5,1574.0,725.0,NUCLEUS
2025-08-05,999.1,1019.7,990.0,993.6,1574.0,725.0,NUCLEUS
2025-08-04,1010.1,1023.8,991.6,999.3,1574.0,725.0,NUCLEUS
2025-08-01,1042.0,1065.0,1000.0,1015.7,1628.0,725.0,NUCLEUS
2025-07-31,1014.0,1168.6,905.3,1080.7,1628.0,725.0,NUCLEUS
2025-07-30,1029.6,1046.0,1005.0,1014.6,1628.0,725.0,NUCLEUS
2025-07-29,1031.0,1035.4,1005.4,1024.5,1628.0,725.0,NUCLEUS
2025-07-28,1045.0,1046.0,1022.5,1030.2,1628.0,725.0,NUCLEUS
2025-07-25,1077.1,1095.3,1020.0,1046.3,1628.0,725.0,NUCLEUS
2025-07-24,1100.0,1108.6,1081.4,1088.0,1628.0,725.0,NUCLEUS
2025-07-23,1093.7,1106.9,1077.9,1099.6,1628.0,725.0,NUCLEUS
2025-07-22,1089.0,1104.7,1080.8,1091.8,1628.0,725.0,NUCLEUS
2025-07-21,1100.0,1105.0,1077.9,1083.0,1628.0,725.0,NUCLEUS
2025-07-18,1126.8,1126.8,1100.7,1105.7,1645.0,725.0,NUCLEUS
2025-07-17,1141.3,1151.2,1102.5,1117.0,1645.0,725.0,NUCLEUS
2025-07-16,1140.2,1148.3,1135.0,1141.3,1645.0,725.0,NUCLEUS
2025-07-15,1150.0,1154.0,1134.1,1140.2,1645.0,725.0,NUCLEUS
2025-07-14,1158.8,1158.8,1132.6,1146.5,1645.0,725.0,NUCLEUS
2025-07-11,1163.0,1180.8,1152.5,1159.1,1645.0,725.0,NUCLEUS
2025-07-10,1179.8,1197.0,1171.9,1181.4,1645.0,725.0,NUCLEUS
2025-07-09,1163.0,1178.9,1162.5,1169.7,1645.0,725.0,NUCLEUS
2025-07-08,1176.5,1184.8,1152.3,1161.0,1645.0,725.0,NUCLEUS
2025-07-07,1202.5,1206.8,1173.0,1179.8,1645.0,725.0,NUCLEUS
2025-07-04,1178.3,1213.6,1168.0,1199.2,1645.0,725.0,NUCLEUS
2025-07-03,1173.8,1185.0,1162.2,1167.2,1645.0,725.0,NUCLEUS
2025-07-02,1187.8,1191.3,1165.7,1173.8,1645.0,725.0,NUCLEUS
2025-07-01,1199.9,1201.3,1173.0,1187.8,1645.0,725.0,NUCLEUS
2025-06-30,1180.2,1204.2,1180.2,1192.5,1645.0,725.0,NUCLEUS
2025-06-27,1202.5,1202.5,1170.0,1174.4,1645.0,725.0,NUCLEUS
2025-06-26,1193.3,1205.2,1173.1,1184.7,1645.0,725.0,NUCLEUS
2025-06-25,1170.1,1186.2,1164.1,1182.5,1645.0,725.0,NUCLEUS
2025-06-24,1174.0,1242.4,1154.3,1163.4,1645.0,725.0,NUCLEUS
2025-06-23,1121.6,1168.8,1121.6,1162.0,1645.0,725.0,NUCLEUS
2025-06-20,1159.7,1168.9,1135.4,1146.2,1645.0,725.0,NUCLEUS
2025-06-19,1183.6,1193.9,1140.5,1147.1,1645.0,725.0,NUCLEUS
2025-06-18,1203.8,1220.0,1172.6,1179.9,1645.0,725.0,NUCLEUS
2025-06-17,1188.0,1223.0,1178.0,1191.7,1645.0,725.0,NUCLEUS
2025-06-16,1188.5,1199.6,1154.3,1185.3,1645.0,725.0,NUCLEUS
2025-06-13,1193.7,1204.6,1175.0,1182.8,1645.0,725.0,NUCLEUS
2025-06-12,1239.0,1246.3,1196.0,1209.2,1645.0,725.0,NUCLEUS
2025-06-11,1264.9,1264.9,1226.2,1233.8,1645.0,725.0,NUCLEUS
2025-06-10,1233.0,1268.0,1229.5,1253.8,1645.0,725.0,NUCLEUS
2025-06-09,1237.0,1247.1,1216.1,1223.7,1645.0,725.0,NUCLEUS
2025-06-06,1251.0,1251.0,1220.4,1227.5,1645.0,725.0,NUCLEUS
2025-06-05,1250.0,1267.9,1230.0,1241.3,1645.0,725.0,NUCLEUS
2025-06-04,1235.9,1255.0,1227.7,1241.8,1645.0,725.0,NUCLEUS
2025-06-03,1243.2,1270.0,1230.2,1236.0,1645.0,725.0,NUCLEUS
2025-06-02,1286.0,1298.6,1224.4,1239.9,1645.0,725.0,NUCLEUS
2025-05-30,1297.6,1299.95,1275.9,1282.15,1645.0,725.0,NUCLEUS
2025-05-29,1318.0,1378.0,1270.55,1280.65,1645.0,725.0,NUCLEUS
2025-05-28,1310.0,1330.75,1286.1,1306.7,1645.0,725.0,NUCLEUS
2025-05-27,1257.0,1310.1,1236.15,1295.3,1645.0,725.0,NUCLEUS
2025-05-26,1255.0,1290.0,1230.95,1238.25,1645.0,725.0,NUCLEUS
2025-05-23,1287.9,1316.9,1250.0,1257.15,1645.0,725.0,NUCLEUS
2025-05-22,1200.0,1338.0,1189.3,1286.05,1645.0,725.0,NUCLEUS
2025-05-21,1234.0,1239.85,1200.1,1212.3,1645.0,725.0,NUCLEUS
2025-05-20,1336.0,1336.0,1221.6,1238.95,1645.0,725.0,NUCLEUS
2025-05-19,1240.0,1352.0,1226.15,1332.55,1645.0,725.0,NUCLEUS
2025-05-16,999.7,1186.25,999.7,1186.25,1645.0,725.0,NUCLEUS
2025-05-15,970.8,994.0,969.4,988.55,1645.0,725.0,NUCLEUS
2025-05-14,984.5,997.9,963.15,966.0,1645.0,725.0,NUCLEUS
2025-05-13,962.0,995.0,962.0,973.4,1645.0,725.0,NUCLEUS
2025-05-12,902.0,967.8,902.0,960.35,1645.0,725.0,NUCLEUS
2025-05-09,878.0,906.25,875.05,889.85,1645.0,725.0,NUCLEUS
2025-05-08,898.4,929.45,876.0,895.65,1645.0,725.0,NUCLEUS
2025-05-07,856.0,898.6,851.2,894.35,1645.0,725.0,NUCLEUS
2025-05-06,896.0,908.45,871.0,876.0,1645.0,725.0,NUCLEUS
2025-05-05,886.2,905.0,883.2,894.85,1645.0,725.0,NUCLEUS
2025-05-02,872.3,895.0,870.95,888.05,1645.0,725.0,NUCLEUS
2025-04-30,882.0,888.95,865.45,872.3,1645.0,725.0,NUCLEUS
2025-04-29,879.5,917.45,870.3,879.5,1645.0,725.0,NUCLEUS
2025-04-28,879.0,897.9,866.45,875.35,1645.0,725.0,NUCLEUS
2025-04-25,918.75,938.0,875.15,882.5,1645.0,725.0,NUCLEUS
2025-04-24,928.75,953.65,911.15,923.35,1645.0,725.0,NUCLEUS
2025-04-23,950.0,962.45,921.6,928.75,1645.0,725.0,NUCLEUS
2025-04-22,950.0,975.25,934.5,943.0,1645.0,725.0,NUCLEUS
2025-04-21,944.3,996.45,942.35,957.55,1645.0,725.0,NUCLEUS
2025-04-17,877.6,999.0,877.6,944.3,1645.0,725.0,NUCLEUS
2025-04-16,859.45,888.0,848.3,877.6,1645.0,725.0,NUCLEUS
2025-04-15,825.0,854.9,811.05,846.75,1645.0,725.0,NUCLEUS
2025-04-11,809.0,819.0,793.25,808.55,1645.0,725.0,NUCLEUS
2025-04-09,780.0,789.8,768.6,780.45,1645.0,725.0,NUCLEUS
2025-04-08,783.7,798.0,771.9,791.4,1645.0,725.0,NUCLEUS
2025-04-07,776.25,798.3,725.0,772.1,1645.0,725.0,NUCLEUS
2025-04-04,819.0,826.95,798.6,809.6,1645.0,790.55,NUCLEUS
2025-04-03,802.0,824.85,802.0,819.9,1645.0,790.55,NUCLEUS
2025-04-02,806.05,829.7,803.0,819.75,1645.0,790.55,NUCLEUS
2025-04-01,802.7,828.55,799.0,810.65,1645.0,790.55,NUCLEUS
2025-03-28,809.8,828.45,800.0,802.7,1645.0,790.55,NUCLEUS
2025-03-27,804.5,819.0,802.0,804.75,1645.0,790.55,NUCLEUS
2025-03-26,823.85,834.4,804.0,806.25,1645.0,790.55,NUCLEUS
2025-03-25,842.9,842.9,821.25,823.85,1645.0,790.55,NUCLEUS
2025-03-24,830.05,854.05,822.6,828.6,1645.0,790.55,NUCLEUS
2025-03-21,825.6,845.2,816.2,823.65,1645.0,790.55,NUCLEUS
2025-03-20,832.25,847.55,820.0,821.75,1645.0,790.55,NUCLEUS
2025-03-19,815.0,835.0,814.2,825.3,1645.0,790.55,NUCLEUS
2025-03-18,797.0,819.75,796.55,813.5,1645.0,790.55,NUCLEUS
2025-03-17,800.0,807.3,792.0,794.85,1645.0,790.55,NUCLEUS
2025-03-13,818.5,818.95,802.7,805.3,1645.0,790.55,NUCLEUS
2025-03-12,827.75,833.35,805.0,806.4,1645.0,790.55,NUCLEUS
2025-03-11,858.65,858.65,824.5,825.7,1645.0,790.55,NUCLEUS
2025-03-10,900.0,905.0,855.0,858.6,1645.0,790.55,NUCLEUS
2025-03-07,900.4,910.0,895.5,900.25,1645.0,790.55,NUCLEUS
2025-03-06,899.95,915.0,899.95,900.4,1645.0,790.55,NUCLEUS
2025-03-05,882.65,902.25,882.65,894.2,1645.0,790.55,NUCLEUS
2025-03-04,857.6,889.0,847.25,881.0,1645.0,790.55,NUCLEUS
2025-03-03,855.0,883.0,838.05,870.65,1645.0,790.55,NUCLEUS
2025-02-28,889.3,889.3,833.3,854.0,1645.0,790.55,NUCLEUS
2025-02-27,875.0,894.0,870.5,886.15,1645.0,790.55,NUCLEUS
2025-02-25,837.5,894.25,837.5,887.4,1645.0,790.55,NUCLEUS
2025-02-24,866.0,866.0,834.05,844.1,1645.0,790.55,NUCLEUS
2025-02-21,870.0,895.0,860.0,866.1,1645.0,790.55,NUCLEUS
2025-02-20,812.3,883.9,812.25,876.35,1645.0,790.55,NUCLEUS
2025-02-19,805.7,832.2,800.05,824.6,1645.0,790.55,NUCLEUS
2025-02-18,806.0,826.7,795.3,802.8,1645.0,790.55,NUCLEUS
2025-02-17,806.15,830.4,801.55,817.45,1645.0,790.55,NUCLEUS
2025-02-14,815.6,820.05,790.55,806.15,1653.0,790.55,NUCLEUS
2025-02-13,824.9,828.8,796.5,810.05,1653.0,794.55,NUCLEUS
2025-02-12,840.25,840.25,794.55,802.5,1653.0,794.55,NUCLEUS
2025-02-11,885.0,885.0,820.0,827.85,1653.0,820.0,NUCLEUS
2025-02-10,907.0,907.0,871.0,875.05,1653.0,871.0,NUCLEUS
2025-02-07,910.55,915.7,901.25,907.0,1729.9,900.75,NUCLEUS
2025-02-06,912.1,921.45,900.75,909.45,1729.9,900.75,NUCLEUS
2025-02-05,915.55,925.0,910.0,912.1,1729.9,904.05,NUCLEUS
2025-02-04,929.15,936.95,913.95,916.45,1729.9,904.05,NUCLEUS
2025-02-03,924.95,939.25,904.05,918.7,1729.9,904.05,NUCLEUS
2025-02-01,936.55,937.0,915.0,928.1,1729.9,915.0,NUCLEUS
2025-01-31,946.8,950.9,917.5,925.85,1729.9,917.5,NUCLEUS
2025-01-30,949.0,969.0,934.2,941.8,1729.9,921.0,NUCLEUS
2025-01-29,948.0,972.9,931.0,957.7,1729.9,921.0,NUCLEUS
2025-01-28,1008.4,1019.8,921.0,948.65,1729.9,921.0,NUCLEUS
