DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,57.98,58.61,57.24,58.01,63.0,26.67,ORICONENT
2025-11-13,59.0,60.89,57.62,58.47,63.0,26.67,ORICONENT
2025-11-12,56.47,58.95,56.0,58.49,63.0,26.67,ORICONENT
2025-11-11,56.2,57.9,55.72,56.47,63.0,26.67,ORICONENT
2025-11-10,55.4,57.22,55.0,56.21,63.0,26.67,ORICONENT
2025-11-07,55.95,56.7,55.07,56.3,63.0,26.67,ORICONENT
2025-11-06,57.3,57.61,55.43,55.97,63.0,26.67,ORICONENT
2025-11-04,54.72,58.4,54.72,57.61,63.0,26.67,ORICONENT
2025-11-03,53.31,55.11,52.6,54.61,63.0,26.67,ORICONENT
2025-10-31,53.24,54.31,52.5,53.1,63.0,26.67,ORICONENT
2025-10-30,53.58,53.58,53.0,53.04,63.0,26.67,ORICONENT
2025-10-29,53.43,53.82,53.05,53.37,63.0,26.67,ORICONENT
2025-10-28,53.05,54.0,53.05,53.43,63.0,26.67,ORICONENT
2025-10-27,54.62,54.68,53.05,53.6,63.0,26.67,ORICONENT
2025-10-24,52.97,54.88,52.06,54.44,63.0,26.67,ORICONENT
2025-10-23,53.2,53.94,52.0,52.97,63.0,26.67,ORICONENT
2025-10-21,53.1,54.95,52.92,53.28,63.0,26.67,ORICONENT
2025-10-20,54.5,54.5,52.61,53.2,63.0,26.67,ORICONENT
2025-10-17,54.98,54.98,53.25,53.32,63.0,26.67,ORICONENT
2025-10-16,53.49,54.8,53.0,54.26,63.0,26.67,ORICONENT
2025-10-15,55.48,55.48,53.45,53.5,63.0,26.67,ORICONENT
2025-10-14,54.8,55.2,48.81,54.66,63.0,26.67,ORICONENT
2025-10-13,54.34,55.69,54.0,54.98,63.0,26.67,ORICONENT
2025-10-10,54.28,55.13,54.28,54.54,63.0,26.67,ORICONENT
2025-10-09,55.1,55.51,54.5,54.98,63.0,26.67,ORICONENT
2025-10-08,56.14,57.42,54.75,55.03,63.0,26.67,ORICONENT
2025-10-07,55.58,56.48,54.75,55.99,63.0,26.67,ORICONENT
2025-10-06,54.75,56.31,54.5,55.31,63.0,26.67,ORICONENT
2025-10-03,53.6,56.95,53.01,55.31,63.0,26.67,ORICONENT
2025-10-01,53.47,53.47,52.42,53.23,63.0,26.67,ORICONENT
2025-09-30,53.2,53.38,52.52,52.98,63.0,26.67,ORICONENT
2025-09-29,54.9,54.9,53.0,53.09,63.0,26.67,ORICONENT
2025-09-26,54.2,54.33,52.8,53.7,63.0,26.67,ORICONENT
2025-09-25,52.94,54.44,52.62,54.07,63.0,26.67,ORICONENT
2025-09-24,53.55,53.86,52.15,52.94,63.0,26.67,ORICONENT
2025-09-23,54.48,54.48,53.5,53.68,63.0,26.67,ORICONENT
2025-09-22,54.65,55.17,53.81,54.02,63.0,26.67,ORICONENT
2025-09-19,54.18,54.64,52.85,54.49,63.0,26.67,ORICONENT
2025-09-18,54.99,54.99,53.75,53.83,63.0,26.67,ORICONENT
2025-09-17,55.25,55.81,54.25,54.55,63.0,26.67,ORICONENT
2025-09-16,55.3,55.64,54.52,54.87,63.0,26.67,ORICONENT
2025-09-15,55.41,56.21,54.66,54.91,63.0,26.67,ORICONENT
2025-09-12,56.44,57.39,55.11,55.41,63.0,26.67,ORICONENT
2025-09-11,57.0,58.09,55.61,56.07,63.0,26.67,ORICONENT
2025-09-10,55.8,63.0,55.79,56.97,63.0,26.67,ORICONENT
2025-09-09,55.5,56.29,54.82,55.14,57.5,26.67,ORICONENT
2025-09-08,54.4,56.2,53.57,55.35,57.5,26.67,ORICONENT
2025-09-05,53.15,55.46,53.15,54.23,57.5,26.67,ORICONENT
2025-09-04,53.32,54.45,53.03,53.38,57.5,26.67,ORICONENT
2025-09-03,52.35,53.56,52.35,53.08,57.5,26.67,ORICONENT
2025-09-02,53.02,53.7,52.28,52.52,57.5,26.67,ORICONENT
2025-09-01,53.27,54.95,52.94,53.15,57.5,26.67,ORICONENT
2025-08-29,52.77,55.96,52.77,53.06,57.5,26.67,ORICONENT
2025-08-28,54.23,54.28,52.61,52.83,57.5,26.67,ORICONENT
