DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-20,38.02,38.74,38.0,38.24,57.37,30.15,OSWALGREEN
2025-10-17,39.17,39.17,37.76,38.04,57.37,30.15,OSWALGREEN
2025-10-16,38.65,39.5,38.65,38.8,57.37,30.15,OSWALGREEN
2025-10-15,38.8,39.28,38.36,38.65,57.37,30.15,OSWALGREEN
2025-10-14,39.39,39.73,38.12,38.5,57.37,30.15,OSWALGREEN
2025-10-13,40.0,40.0,38.77,39.18,57.37,30.15,OSWALGREEN
2025-10-10,39.82,40.79,39.58,40.0,58.5,30.15,OSWALGREEN
2025-10-09,39.99,40.9,39.54,39.82,58.5,30.15,OSWALGREEN
2025-10-08,39.9,40.08,38.55,39.25,58.5,30.15,OSWALGREEN
2025-10-07,40.2,40.79,39.8,40.1,58.5,30.15,OSWALGREEN
2025-10-06,40.51,41.16,40.1,40.2,58.5,30.15,OSWALGREEN
2025-10-03,40.7,41.2,40.1,40.93,59.9,30.15,OSWALGREEN
2025-10-01,41.4,42.5,40.0,40.2,59.9,30.15,OSWALGREEN
2025-09-30,37.66,43.79,37.66,41.07,59.9,30.15,OSWALGREEN
2025-09-29,38.66,38.67,37.3,37.49,59.9,30.15,OSWALGREEN
2025-09-26,39.54,39.88,37.55,37.89,62.74,30.15,OSWALGREEN
2025-09-25,39.91,40.11,39.72,39.83,62.74,30.15,OSWALGREEN
2025-09-24,40.11,40.37,39.9,40.0,62.74,30.15,OSWALGREEN
2025-09-23,40.66,40.9,40.01,40.19,62.74,30.15,OSWALGREEN
2025-09-22,40.97,41.0,40.33,40.56,62.74,30.15,OSWALGREEN
2025-09-19,41.44,41.9,40.91,41.0,68.9,30.15,OSWALGREEN
2025-09-18,41.05,41.9,40.95,41.03,68.9,30.15,OSWALGREEN
2025-09-17,40.95,41.25,40.62,40.98,68.9,30.15,OSWALGREEN
2025-09-16,40.3,41.47,40.11,40.59,68.9,30.15,OSWALGREEN
2025-09-15,39.62,40.4,39.62,39.89,68.9,30.15,OSWALGREEN
2025-09-12,40.2,40.57,39.5,39.76,68.9,30.15,OSWALGREEN
2025-09-11,40.44,41.15,40.2,40.24,68.9,30.15,OSWALGREEN
2025-09-10,40.75,41.16,40.08,40.38,68.9,30.15,OSWALGREEN
2025-09-09,40.23,40.76,40.1,40.27,68.9,30.15,OSWALGREEN
2025-09-08,40.2,40.89,40.07,40.25,68.9,30.15,OSWALGREEN
2025-09-05,41.41,41.44,40.02,40.18,68.9,30.15,OSWALGREEN
2025-09-04,41.88,42.1,40.8,40.93,68.9,30.15,OSWALGREEN
2025-09-03,40.87,41.5,40.82,41.19,68.9,30.15,OSWALGREEN
2025-09-02,41.0,41.5,40.64,41.09,68.9,30.15,OSWALGREEN
2025-09-01,40.02,41.38,40.02,40.57,68.9,30.15,OSWALGREEN
2025-08-29,40.31,41.29,39.9,40.02,68.9,30.15,OSWALGREEN
2025-08-28,40.7,41.6,40.05,40.26,68.9,30.15,OSWALGREEN
2025-08-26,41.6,41.87,41.05,41.18,68.9,30.15,OSWALGREEN
2025-08-25,42.67,43.09,41.61,41.88,68.9,30.15,OSWALGREEN
2025-08-22,41.9,42.99,41.65,42.6,68.9,30.15,OSWALGREEN
2025-08-21,42.01,43.15,41.53,41.92,68.9,30.15,OSWALGREEN
2025-08-20,41.7,42.6,41.62,41.93,68.9,30.15,OSWALGREEN
2025-08-19,41.96,42.16,41.5,41.65,68.9,30.15,OSWALGREEN
2025-08-18,42.0,42.44,41.82,42.05,68.9,30.15,OSWALGREEN
2025-08-14,41.78,42.01,41.05,41.7,68.9,30.15,OSWALGREEN
2025-08-13,42.29,42.44,41.67,41.78,68.9,30.15,OSWALGREEN
2025-08-12,42.81,43.09,41.9,42.15,68.9,30.15,OSWALGREEN
2025-08-11,43.18,43.68,42.24,42.81,68.9,30.15,OSWALGREEN
2025-08-08,44.95,45.24,42.55,42.84,68.9,30.15,OSWALGREEN
2025-08-07,43.68,46.99,42.62,45.45,68.9,30.15,OSWALGREEN
2025-08-06,43.05,45.36,43.02,43.47,68.9,30.15,OSWALGREEN
2025-08-05,42.19,45.54,42.05,43.82,68.9,30.15,OSWALGREEN
2025-08-04,41.99,42.49,41.56,42.32,68.9,30.15,OSWALGREEN
2025-08-01,43.15,43.25,41.47,41.63,68.9,30.15,OSWALGREEN
2025-07-31,43.89,43.89,42.55,42.72,68.9,30.15,OSWALGREEN
2025-07-30,43.72,44.75,43.35,44.37,68.9,30.15,OSWALGREEN
2025-07-29,43.36,44.0,42.56,43.52,68.9,30.15,OSWALGREEN
2025-07-28,44.26,44.39,42.9,43.11,68.9,30.15,OSWALGREEN
2025-07-25,45.99,46.39,43.55,44.26,68.9,30.15,OSWALGREEN
2025-07-24,45.4,45.4,44.41,44.72,68.9,30.15,OSWALGREEN
