DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,238.99,245.0,228.87,242.04,269.3,211.25,PATELRMART
2025-11-21,219.07,241.8,219.07,234.17,269.3,211.25,PATELRMART
2025-11-20,218.0,222.3,216.27,221.22,269.3,211.25,PATELRMART
2025-11-19,221.0,222.19,217.3,218.68,269.3,211.25,PATELRMART
2025-11-18,225.0,225.0,220.0,220.97,269.3,211.25,PATELRMART
2025-11-17,224.2,227.0,222.0,224.75,269.3,211.25,PATELRMART
2025-11-14,227.5,238.0,215.55,221.96,269.3,211.25,PATELRMART
2025-11-13,222.09,225.8,222.09,224.4,269.3,211.25,PATELRMART
2025-11-12,224.8,224.8,221.0,222.09,269.3,211.25,PATELRMART
2025-11-11,227.56,228.25,222.25,222.62,269.3,211.25,PATELRMART
2025-11-10,216.8,229.99,216.8,227.56,269.3,211.25,PATELRMART
2025-11-07,215.4,218.27,211.25,215.44,269.3,211.25,PATELRMART
2025-11-06,219.35,220.85,215.56,216.49,269.3,215.56,PATELRMART
2025-11-04,221.67,222.98,219.0,219.31,269.3,219.0,PATELRMART
2025-11-03,223.8,223.8,221.05,221.67,269.3,220.25,PATELRMART
2025-10-31,221.2,224.1,221.2,223.14,269.3,220.25,PATELRMART
2025-10-30,225.0,225.0,222.0,222.98,269.3,220.25,PATELRMART
2025-10-29,223.01,228.0,221.05,221.58,269.3,220.25,PATELRMART
2025-10-28,222.51,224.32,222.2,222.62,269.3,220.25,PATELRMART
2025-10-27,222.6,226.53,222.21,223.62,269.3,220.25,PATELRMART
2025-10-24,222.01,224.39,222.01,222.61,269.3,220.25,PATELRMART
2025-10-23,228.71,228.71,221.49,222.32,269.3,220.25,PATELRMART
2025-10-21,229.1,229.99,221.3,224.91,269.3,220.25,PATELRMART
2025-10-20,233.8,233.8,228.01,229.06,269.3,220.25,PATELRMART
2025-10-17,233.12,234.1,230.1,231.58,269.3,220.25,PATELRMART
2025-10-16,232.0,234.59,228.67,233.13,269.3,220.25,PATELRMART
2025-10-15,229.5,235.0,226.91,230.83,269.3,220.25,PATELRMART
2025-10-14,230.24,233.4,225.05,226.92,269.3,220.25,PATELRMART
2025-10-13,226.0,231.49,225.05,230.24,269.3,220.25,PATELRMART
2025-10-10,224.0,232.41,223.0,226.57,269.3,220.25,PATELRMART
2025-10-09,222.0,225.3,220.25,224.17,269.3,220.25,PATELRMART
2025-10-08,223.25,224.18,221.39,222.52,269.3,220.5,PATELRMART
2025-10-07,226.5,228.0,222.3,223.27,269.3,220.5,PATELRMART
2025-10-06,230.05,232.27,226.08,227.36,269.3,220.5,PATELRMART
2025-10-03,232.8,236.0,231.0,232.57,269.3,220.5,PATELRMART
2025-10-01,236.55,239.18,232.8,234.19,269.3,220.5,PATELRMART
2025-09-30,234.1,246.15,231.95,237.6,269.3,220.5,PATELRMART
2025-09-29,223.0,238.4,221.3,234.0,269.3,220.5,PATELRMART
2025-09-26,232.0,232.0,220.5,222.65,269.3,220.5,PATELRMART
2025-09-25,236.75,238.8,229.0,232.35,269.3,229.0,PATELRMART
2025-09-24,242.7,243.9,231.5,236.75,269.3,230.0,PATELRMART
2025-09-23,242.0,252.35,236.8,244.0,269.3,230.0,PATELRMART
2025-09-22,233.05,242.9,230.0,240.2,269.3,230.0,PATELRMART
2025-09-19,236.95,238.5,233.7,235.1,269.3,233.7,PATELRMART
2025-09-18,241.95,244.45,235.6,236.9,269.3,235.6,PATELRMART
2025-09-17,245.65,248.75,238.7,240.25,269.3,238.7,PATELRMART
2025-09-16,253.0,253.0,245.9,246.5,269.3,245.9,PATELRMART
2025-09-15,257.1,260.0,253.4,255.8,269.3,253.4,PATELRMART
2025-09-12,258.7,260.0,255.0,257.35,269.3,255.0,PATELRMART
2025-09-11,264.35,265.5,255.25,257.7,269.3,255.25,PATELRMART
2025-09-10,265.2,269.3,258.0,263.65,269.3,258.0,PATELRMART
