DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,395.5,395.5,353.1,369.4,659.0,289.95,PDSL
2025-11-21,407.0,407.0,391.1,395.7,659.0,289.95,PDSL
2025-11-20,390.0,411.0,390.0,407.4,659.0,289.95,PDSL
2025-11-19,385.5,395.0,379.3,389.95,659.0,289.95,PDSL
2025-11-18,403.9,407.1,380.0,382.45,659.0,289.95,PDSL
2025-11-17,391.45,404.65,385.35,401.85,659.0,289.95,PDSL
2025-11-14,397.9,397.9,383.25,389.2,659.0,289.95,PDSL
2025-11-13,404.75,410.4,391.9,402.3,659.0,289.95,PDSL
2025-11-12,358.0,407.3,349.0,401.1,659.0,289.95,PDSL
2025-11-11,361.0,361.1,352.65,356.05,659.0,289.95,PDSL
2025-11-10,369.0,373.35,358.65,361.95,659.0,289.95,PDSL
2025-11-07,381.0,381.0,362.85,367.5,659.0,289.95,PDSL
2025-11-06,377.55,385.7,370.1,380.5,659.0,289.95,PDSL
2025-11-04,385.0,386.55,373.45,377.55,659.0,289.95,PDSL
2025-11-03,373.95,382.85,363.2,378.65,659.0,289.95,PDSL
2025-10-31,368.35,375.9,351.55,370.25,659.0,289.95,PDSL
2025-10-30,348.4,374.0,348.4,368.35,659.0,289.95,PDSL
2025-10-29,332.45,350.5,320.45,346.8,659.0,289.95,PDSL
2025-10-28,328.0,343.85,324.85,329.8,659.0,289.95,PDSL
2025-10-27,337.5,339.1,327.05,329.6,659.0,289.95,PDSL
2025-10-24,336.5,340.55,334.25,336.15,659.0,289.95,PDSL
2025-10-23,338.0,343.2,335.0,336.5,659.0,289.95,PDSL
2025-10-21,323.3,335.8,323.3,333.55,659.0,289.95,PDSL
2025-10-20,311.9,323.2,308.0,316.9,659.0,289.95,PDSL
2025-10-17,308.35,318.0,297.05,310.7,659.0,289.95,PDSL
2025-10-16,295.8,316.8,294.25,311.0,659.0,289.95,PDSL
2025-10-15,295.0,298.2,292.85,295.8,659.0,289.95,PDSL
2025-10-14,301.15,302.45,289.95,293.7,659.0,289.95,PDSL
2025-10-13,310.3,310.3,298.1,299.7,659.0,298.1,PDSL
2025-10-10,313.0,313.95,309.25,310.4,659.0,303.75,PDSL
2025-10-09,308.0,315.35,306.4,311.0,659.0,303.75,PDSL
2025-10-08,306.75,310.9,303.75,308.8,659.0,303.75,PDSL
2025-10-07,311.95,314.95,306.0,306.75,659.0,306.0,PDSL
2025-10-06,320.7,320.9,309.15,311.5,659.0,309.15,PDSL
2025-10-03,319.7,319.7,314.8,317.15,659.0,311.25,PDSL
2025-10-01,318.15,322.7,315.0,318.1,659.0,311.25,PDSL
2025-09-30,315.0,323.65,311.8,318.15,659.0,311.25,PDSL
2025-09-29,324.0,324.0,311.25,313.15,659.0,311.25,PDSL
2025-09-26,334.65,335.05,321.5,324.15,659.0,314.25,PDSL
2025-09-25,336.75,337.5,331.0,332.5,659.0,314.25,PDSL
2025-09-24,337.0,339.7,332.8,336.75,659.0,314.25,PDSL
2025-09-23,350.0,350.0,336.7,339.65,659.0,314.25,PDSL
2025-09-22,350.65,353.55,344.15,346.85,659.0,314.25,PDSL
2025-09-19,353.5,357.5,346.7,353.65,659.0,314.25,PDSL
2025-09-18,342.0,356.0,340.05,351.7,659.0,314.25,PDSL
2025-09-17,334.35,340.0,330.0,338.6,659.0,314.25,PDSL
2025-09-16,324.7,334.45,324.3,332.05,659.0,314.25,PDSL
2025-09-15,324.95,326.9,320.25,323.4,659.0,314.25,PDSL
2025-09-12,328.1,328.95,320.0,320.9,659.0,314.25,PDSL
2025-09-11,336.0,336.0,327.85,329.05,659.0,314.25,PDSL
2025-09-10,330.0,339.0,327.0,333.65,659.0,314.25,PDSL
2025-09-09,327.1,328.8,322.5,325.95,659.0,314.25,PDSL
2025-09-08,327.5,331.9,322.25,327.1,659.0,314.25,PDSL
2025-09-05,325.0,325.95,318.05,323.8,659.0,314.25,PDSL
2025-09-04,328.0,328.05,320.1,321.8,659.0,314.25,PDSL
2025-09-03,324.05,326.45,321.05,323.45,659.0,314.25,PDSL
2025-09-02,324.65,331.2,317.8,323.3,659.0,314.25,PDSL
2025-09-01,324.0,325.05,320.05,321.45,659.0,314.25,PDSL
2025-08-29,328.65,336.0,320.0,321.95,659.0,314.25,PDSL
2025-08-28,322.0,335.35,320.85,326.05,659.0,314.25,PDSL
2025-08-26,324.25,327.95,316.2,321.75,659.0,314.25,PDSL
2025-08-25,328.0,328.9,322.4,324.25,659.0,314.25,PDSL
2025-08-22,330.0,331.95,323.8,326.75,659.0,314.25,PDSL
2025-08-21,335.0,336.7,328.0,328.8,659.0,314.25,PDSL
2025-08-20,338.5,350.2,331.35,334.3,659.0,314.25,PDSL
2025-08-19,326.0,339.9,323.45,335.15,659.0,314.25,PDSL
2025-08-18,318.45,338.9,317.55,323.4,659.0,314.25,PDSL
2025-08-14,318.1,326.45,314.25,316.45,659.0,314.25,PDSL
2025-08-13,326.4,326.4,319.0,319.85,659.0,319.0,PDSL
2025-08-12,327.5,327.5,321.2,322.55,659.0,319.55,PDSL
2025-08-11,326.35,328.6,319.55,323.75,659.0,319.55,PDSL
2025-08-08,333.0,333.0,320.55,322.6,659.0,320.55,PDSL
2025-08-07,334.0,334.0,321.55,330.2,659.0,321.55,PDSL
