DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,1711.5,1741.6,1710.0,1736.4,1902.0,1392.1,PHOENIXLTD
2025-11-13,1734.2,1760.1,1710.5,1714.8,1902.0,1392.1,PHOENIXLTD
2025-11-12,1738.0,1744.4,1718.8,1732.2,1902.0,1392.1,PHOENIXLTD
2025-11-11,1769.0,1770.5,1725.0,1736.7,1902.0,1392.1,PHOENIXLTD
2025-11-10,1780.0,1782.3,1746.1,1760.9,1902.0,1392.1,PHOENIXLTD
2025-11-07,1740.2,1785.6,1727.5,1773.3,1902.0,1392.1,PHOENIXLTD
2025-11-06,1767.7,1780.0,1738.9,1744.8,1902.0,1392.1,PHOENIXLTD
2025-11-04,1745.9,1774.5,1740.0,1767.7,1902.0,1392.1,PHOENIXLTD
2025-11-03,1695.0,1762.0,1660.1,1746.5,1902.0,1392.1,PHOENIXLTD
2025-10-31,1703.9,1715.6,1675.0,1682.6,1902.0,1338.05,PHOENIXLTD
2025-10-30,1717.8,1720.0,1692.1,1703.5,1902.0,1338.05,PHOENIXLTD
2025-10-29,1699.9,1715.0,1684.4,1707.9,1902.0,1338.05,PHOENIXLTD
2025-10-28,1723.0,1723.0,1688.8,1702.0,1902.0,1338.05,PHOENIXLTD
2025-10-27,1688.8,1715.4,1680.7,1711.1,1902.0,1338.05,PHOENIXLTD
2025-10-24,1691.5,1709.5,1673.6,1680.7,1902.0,1338.05,PHOENIXLTD
2025-10-23,1653.0,1706.9,1652.0,1691.2,1902.0,1338.05,PHOENIXLTD
2025-10-21,1655.0,1663.2,1642.0,1651.8,1902.0,1338.05,PHOENIXLTD
2025-10-20,1690.0,1699.6,1652.6,1656.3,1902.0,1338.05,PHOENIXLTD
2025-10-17,1675.0,1694.9,1663.1,1687.8,1902.0,1338.05,PHOENIXLTD
2025-10-16,1674.1,1716.4,1656.8,1694.9,1902.0,1338.05,PHOENIXLTD
2025-10-15,1626.2,1681.0,1616.1,1676.3,1902.0,1338.05,PHOENIXLTD
2025-10-14,1638.0,1664.6,1615.5,1625.8,1902.0,1338.05,PHOENIXLTD
2025-10-13,1605.0,1627.7,1580.3,1622.9,1902.0,1338.05,PHOENIXLTD
2025-10-10,1590.4,1625.9,1585.0,1597.8,1902.0,1338.05,PHOENIXLTD
2025-10-09,1588.6,1601.2,1575.0,1593.8,1902.0,1338.05,PHOENIXLTD
2025-10-08,1610.0,1618.6,1588.2,1592.3,1902.0,1338.05,PHOENIXLTD
2025-10-07,1594.9,1614.9,1589.3,1611.8,1902.0,1338.05,PHOENIXLTD
2025-10-06,1555.2,1598.6,1549.9,1594.4,1902.0,1338.05,PHOENIXLTD
2025-10-03,1553.0,1576.7,1541.2,1562.5,1902.0,1338.05,PHOENIXLTD
2025-10-01,1547.0,1580.9,1542.5,1563.8,1902.0,1338.05,PHOENIXLTD
2025-09-30,1560.6,1565.0,1533.0,1555.5,1902.0,1338.05,PHOENIXLTD
2025-09-29,1554.0,1580.8,1543.0,1548.8,1902.0,1338.05,PHOENIXLTD
