DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,45.0,45.38,43.68,44.21,90.38,43.68,PLAZACABLE
2025-11-13,45.99,45.99,44.65,44.86,90.38,44.6,PLAZACABLE
2025-11-12,44.75,45.97,44.75,45.32,90.38,44.6,PLAZACABLE
2025-11-11,45.08,45.58,44.71,45.15,90.38,44.6,PLAZACABLE
2025-11-10,45.59,45.59,44.6,45.08,90.38,44.6,PLAZACABLE
2025-11-07,46.55,47.79,45.0,45.22,90.38,45.0,PLAZACABLE
2025-11-06,48.59,48.59,47.0,47.15,90.38,47.0,PLAZACABLE
2025-11-04,49.3,49.87,47.99,48.22,90.38,47.7,PLAZACABLE
2025-11-03,49.2,49.64,48.49,48.68,90.38,47.7,PLAZACABLE
2025-10-31,49.3,49.5,48.62,48.97,90.38,47.7,PLAZACABLE
2025-10-30,48.88,49.68,48.73,49.41,90.38,47.7,PLAZACABLE
2025-10-29,48.89,49.14,48.45,48.64,90.38,47.7,PLAZACABLE
2025-10-28,49.05,49.25,48.0,48.89,90.38,47.7,PLAZACABLE
2025-10-27,49.0,49.48,48.6,48.86,90.38,47.7,PLAZACABLE
2025-10-24,49.85,49.85,48.7,48.99,90.38,47.7,PLAZACABLE
2025-10-23,49.9,50.19,48.7,48.9,90.38,47.7,PLAZACABLE
2025-10-21,49.0,50.35,48.5,49.21,90.38,47.7,PLAZACABLE
2025-10-20,50.8,50.8,48.25,49.35,90.38,47.7,PLAZACABLE
2025-10-17,49.56,50.0,48.61,49.38,90.78,47.7,PLAZACABLE
2025-10-16,50.27,50.27,49.37,49.56,90.78,47.7,PLAZACABLE
2025-10-15,50.27,50.27,49.31,49.66,90.78,47.7,PLAZACABLE
2025-10-14,51.08,51.99,49.0,49.28,90.78,47.7,PLAZACABLE
2025-10-13,51.32,52.65,50.5,50.82,90.78,47.7,PLAZACABLE
2025-10-10,52.4,53.57,51.0,51.32,90.78,47.7,PLAZACABLE
2025-10-09,50.57,52.8,50.15,51.32,90.78,47.7,PLAZACABLE
2025-10-08,51.8,53.94,50.3,50.87,90.78,47.7,PLAZACABLE
2025-10-07,52.2,53.08,51.75,51.78,90.78,47.7,PLAZACABLE
2025-10-06,53.0,54.34,52.05,52.51,90.78,47.7,PLAZACABLE
2025-10-03,53.08,54.0,52.8,52.93,90.78,47.7,PLAZACABLE
2025-10-01,53.95,54.9,52.17,53.08,90.78,47.7,PLAZACABLE
2025-09-30,53.96,53.96,52.35,52.84,90.78,47.7,PLAZACABLE
2025-09-29,56.0,56.0,52.11,53.08,90.78,47.7,PLAZACABLE
2025-09-26,56.79,56.79,54.61,55.04,90.78,47.7,PLAZACABLE
2025-09-25,55.25,56.94,55.25,55.84,90.78,47.7,PLAZACABLE
2025-09-24,56.68,56.97,55.4,55.87,90.78,47.7,PLAZACABLE
2025-09-23,57.19,57.19,55.72,56.68,90.78,47.7,PLAZACABLE
2025-09-22,54.51,57.39,54.51,56.32,90.78,47.7,PLAZACABLE
2025-09-19,56.06,56.66,54.87,55.33,90.78,47.7,PLAZACABLE
2025-09-18,55.13,57.0,55.13,56.06,90.78,47.7,PLAZACABLE
2025-09-17,55.99,56.51,55.11,55.77,90.78,47.7,PLAZACABLE
2025-09-16,56.21,56.72,55.63,55.91,90.78,47.7,PLAZACABLE
2025-09-15,56.9,56.9,55.72,55.93,90.78,47.7,PLAZACABLE
2025-09-12,57.0,57.0,55.11,55.87,90.78,47.7,PLAZACABLE
2025-09-11,55.93,57.08,55.93,56.25,90.78,47.7,PLAZACABLE
2025-09-10,55.2,56.96,55.2,55.93,90.78,47.7,PLAZACABLE
2025-09-09,57.01,57.01,55.4,56.15,90.78,47.7,PLAZACABLE
2025-09-08,55.5,56.89,55.5,56.51,90.78,47.7,PLAZACABLE
2025-09-05,56.99,56.99,56.0,56.2,90.78,47.7,PLAZACABLE
2025-09-04,58.8,58.8,56.1,56.29,90.78,47.7,PLAZACABLE
2025-09-03,55.95,56.79,55.51,56.29,90.78,47.7,PLAZACABLE
2025-09-02,55.5,56.6,55.06,55.82,90.78,47.7,PLAZACABLE
2025-09-01,55.37,55.97,55.01,55.35,90.78,47.7,PLAZACABLE
2025-08-29,56.8,56.8,55.0,55.36,91.51,47.7,PLAZACABLE
2025-08-28,55.01,57.39,55.01,55.46,91.51,47.7,PLAZACABLE
2025-08-26,56.88,56.91,55.6,55.97,91.51,47.7,PLAZACABLE
2025-08-25,56.0,57.12,55.05,56.63,91.51,47.7,PLAZACABLE
2025-08-22,55.6,56.95,54.71,55.6,92.9,47.7,PLAZACABLE
2025-08-21,56.5,58.77,56.2,56.4,92.9,47.7,PLAZACABLE
2025-08-20,55.78,56.8,55.54,56.5,92.9,47.7,PLAZACABLE
2025-08-19,55.0,56.13,55.0,55.8,92.9,47.7,PLAZACABLE
2025-08-18,56.65,56.65,54.6,54.94,92.9,47.7,PLAZACABLE
2025-08-14,57.25,57.25,55.0,55.52,95.4,47.7,PLAZACABLE
2025-08-13,55.26,56.49,55.11,56.18,95.4,47.7,PLAZACABLE
2025-08-12,56.5,56.59,55.4,55.72,95.4,47.7,PLAZACABLE
2025-08-11,56.97,56.97,54.55,55.79,95.4,47.7,PLAZACABLE
2025-08-08,55.1,56.97,54.59,55.15,95.4,47.7,PLAZACABLE
2025-08-07,58.11,58.11,54.57,55.23,95.4,47.7,PLAZACABLE
2025-08-06,57.05,58.0,56.03,56.5,95.4,47.7,PLAZACABLE
2025-08-05,57.25,58.14,57.1,57.16,95.4,47.7,PLAZACABLE
2025-08-04,58.86,64.37,57.39,57.86,95.4,47.7,PLAZACABLE
2025-08-01,58.99,59.39,57.0,57.35,103.28,47.7,PLAZACABLE
2025-07-31,58.9,60.5,58.01,58.35,103.28,47.7,PLAZACABLE
2025-07-30,58.99,60.68,58.01,58.77,103.28,47.7,PLAZACABLE
2025-07-29,58.9,59.0,57.42,58.42,103.28,47.7,PLAZACABLE
2025-07-28,60.4,60.4,57.75,58.3,103.28,47.7,PLAZACABLE
2025-07-25,60.1,61.84,59.5,59.73,103.28,47.7,PLAZACABLE
2025-07-24,61.0,61.88,60.21,60.34,103.28,47.7,PLAZACABLE
2025-07-23,60.66,61.99,60.66,61.23,103.28,47.7,PLAZACABLE
2025-07-22,61.5,62.39,60.8,61.76,103.28,47.7,PLAZACABLE
2025-07-21,62.49,62.49,60.2,61.67,103.28,47.7,PLAZACABLE
2025-07-18,62.73,63.2,61.9,62.14,103.28,47.7,PLAZACABLE
2025-07-17,61.03,64.33,60.5,62.64,103.28,47.7,PLAZACABLE
2025-07-16,60.51,61.4,60.03,61.03,103.28,47.7,PLAZACABLE
2025-07-15,59.7,60.99,59.7,60.53,103.28,47.7,PLAZACABLE
2025-07-14,59.94,60.2,59.58,59.93,103.28,47.7,PLAZACABLE
2025-07-11,59.27,61.35,59.27,59.94,103.28,47.7,PLAZACABLE
2025-07-10,61.15,61.24,60.12,60.84,103.28,47.7,PLAZACABLE
2025-07-09,60.0,61.35,60.0,60.29,103.28,47.7,PLAZACABLE
2025-07-08,61.79,61.79,59.99,60.26,103.28,47.7,PLAZACABLE
2025-07-07,61.88,61.88,60.22,60.71,103.28,47.7,PLAZACABLE
