DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-10-28,882.15,896.9,857.1,862.65,1451.65,699.95,POKARNA
2025-10-27,923.75,938.0,877.0,882.15,1451.65,699.95,POKARNA
2025-10-24,876.2,988.0,876.05,927.7,1451.65,699.95,POKARNA
2025-10-23,879.95,924.9,864.95,894.05,1451.65,699.95,POKARNA
2025-10-21,793.0,826.15,782.5,805.7,1451.65,699.95,POKARNA
2025-10-20,829.1,829.1,782.05,793.05,1451.65,699.95,POKARNA
2025-10-17,765.0,835.8,760.0,829.1,1451.65,699.95,POKARNA
2025-10-16,700.0,796.0,699.95,767.65,1451.65,699.95,POKARNA
2025-10-15,724.9,724.9,701.15,704.5,1451.65,701.15,POKARNA
2025-10-14,732.0,738.05,718.0,719.75,1451.65,718.0,POKARNA
2025-10-13,739.9,739.9,731.5,735.45,1451.65,722.7,POKARNA
2025-10-10,726.15,745.0,724.5,735.75,1451.65,722.7,POKARNA
2025-10-09,733.0,734.0,724.75,726.15,1451.65,722.7,POKARNA
2025-10-08,746.1,751.85,728.1,731.3,1451.65,722.7,POKARNA
2025-10-07,769.95,777.25,746.0,748.55,1451.65,722.7,POKARNA
2025-10-06,784.0,785.5,765.9,769.0,1451.65,722.7,POKARNA
2025-10-03,778.0,794.0,777.9,781.05,1451.65,722.7,POKARNA
2025-10-01,771.5,785.0,765.0,778.7,1451.65,722.7,POKARNA
2025-09-30,763.65,785.95,763.65,769.7,1451.65,722.7,POKARNA
2025-09-29,790.95,804.9,765.0,768.25,1451.65,722.7,POKARNA
2025-09-26,820.0,824.6,782.0,787.6,1451.65,722.7,POKARNA
2025-09-25,841.75,843.85,821.0,824.7,1451.65,722.7,POKARNA
2025-09-24,853.5,858.95,831.9,836.3,1451.65,722.7,POKARNA
2025-09-23,855.0,865.55,848.45,850.95,1451.65,722.7,POKARNA
2025-09-22,871.95,887.85,856.9,860.75,1451.65,722.7,POKARNA
2025-09-19,875.5,880.1,860.3,872.05,1451.65,722.7,POKARNA
2025-09-18,907.0,913.0,866.45,870.7,1451.65,722.7,POKARNA
2025-09-17,860.0,924.0,855.15,906.5,1451.65,722.7,POKARNA
2025-09-16,858.0,868.0,844.0,847.05,1451.65,722.7,POKARNA
2025-09-15,856.0,876.15,847.1,849.5,1451.65,722.7,POKARNA
2025-09-12,864.5,868.0,847.7,853.45,1451.65,722.7,POKARNA
2025-09-11,883.05,899.7,851.95,857.7,1451.65,722.7,POKARNA
2025-09-10,855.0,931.0,832.0,881.0,1451.65,722.7,POKARNA
2025-09-09,780.0,827.0,774.75,819.35,1451.65,722.7,POKARNA
2025-09-08,780.5,852.6,770.0,774.5,1451.65,722.7,POKARNA
2025-09-05,779.9,791.0,765.05,771.95,1451.65,722.7,POKARNA
2025-09-04,845.0,845.0,763.3,777.4,1451.65,722.7,POKARNA
2025-09-03,847.0,860.9,811.5,819.75,1451.65,722.7,POKARNA
2025-09-02,860.0,898.0,841.3,846.5,1451.65,722.7,POKARNA
2025-09-01,884.3,899.0,846.25,852.3,1451.65,722.7,POKARNA
2025-08-29,890.95,901.15,874.8,884.3,1451.65,722.7,POKARNA
2025-08-28,943.9,944.0,888.1,890.95,1451.65,722.7,POKARNA
2025-08-26,945.55,951.0,925.3,939.2,1451.65,722.7,POKARNA
2025-08-25,951.0,968.45,936.8,955.1,1451.65,722.7,POKARNA
