DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-14,2295.0,2424.8,2289.8,2416.7,3415.0,1700.0,POWERMECH
2025-11-13,2295.1,2347.0,2285.0,2298.5,3415.0,1700.0,POWERMECH
2025-11-12,2352.9,2400.0,2300.0,2312.5,3415.0,1700.0,POWERMECH
2025-11-11,2300.0,2376.0,2258.4,2350.6,3415.0,1700.0,POWERMECH
2025-11-10,2413.0,2448.8,2372.7,2395.9,3415.0,1700.0,POWERMECH
2025-11-07,2389.0,2420.9,2366.1,2396.3,3415.0,1700.0,POWERMECH
2025-11-06,2479.9,2484.9,2361.7,2372.8,3415.0,1700.0,POWERMECH
2025-11-04,2518.8,2523.0,2460.0,2467.0,3415.0,1700.0,POWERMECH
2025-11-03,2506.0,2566.3,2470.2,2496.3,3415.0,1700.0,POWERMECH
2025-10-31,2504.9,2524.6,2449.0,2496.2,3415.0,1700.0,POWERMECH
2025-10-30,2548.0,2571.2,2494.5,2500.4,3415.0,1700.0,POWERMECH
2025-10-29,2554.9,2561.3,2520.1,2531.5,3415.0,1700.0,POWERMECH
2025-10-28,2632.0,2634.0,2531.0,2541.0,3415.0,1700.0,POWERMECH
2025-10-27,2602.2,2632.5,2580.0,2625.5,3415.0,1700.0,POWERMECH
2025-10-24,2660.0,2683.3,2590.1,2600.0,3415.0,1700.0,POWERMECH
2025-10-23,2698.5,2737.8,2625.5,2646.8,3415.0,1700.0,POWERMECH
2025-10-21,2687.8,2701.0,2663.3,2690.9,3415.0,1700.0,POWERMECH
2025-10-20,2686.0,2688.6,2617.0,2651.1,3415.0,1700.0,POWERMECH
2025-10-17,2737.7,2744.0,2660.0,2666.9,3415.0,1700.0,POWERMECH
2025-10-16,2829.0,2829.0,2710.0,2737.7,3415.0,1700.0,POWERMECH
2025-10-15,2854.4,2975.0,2771.0,2779.9,3415.0,1700.0,POWERMECH
2025-10-14,2709.2,2839.6,2667.8,2822.0,3415.0,1700.0,POWERMECH
2025-10-13,2689.9,2782.0,2640.0,2669.2,3415.0,1700.0,POWERMECH
2025-10-10,2693.9,2699.0,2661.0,2679.8,6497.85,1700.0,POWERMECH
2025-10-09,2702.0,2702.0,2640.0,2671.3,6497.85,1700.0,POWERMECH
2025-10-08,2715.6,2723.0,2650.0,2661.5,6497.85,1700.0,POWERMECH
2025-10-07,2730.3,2752.0,2692.0,2704.8,6497.85,1700.0,POWERMECH
2025-10-06,2800.4,2800.4,2710.0,2725.1,6497.85,1700.0,POWERMECH
2025-10-03,2749.5,2800.0,2730.7,2773.3,6771.95,1700.0,POWERMECH
2025-10-01,2705.2,2740.1,2685.0,2730.7,6771.95,1700.0,POWERMECH
2025-09-30,2687.8,2764.0,2668.3,2706.1,6771.95,1700.0,POWERMECH
2025-09-29,2686.0,2751.0,2660.0,2683.0,6771.95,1700.0,POWERMECH
