DATE,OPEN,HIGH,LOW,CLOSE,52W H,52W L,SYMBOL
2025-11-24,188.38,189.91,185.25,186.33,283.9,181.73,PPLPHARMA
2025-11-21,190.15,190.15,187.5,188.38,283.9,181.73,PPLPHARMA
2025-11-20,190.0,192.0,189.11,189.64,283.9,181.73,PPLPHARMA
2025-11-19,192.95,192.99,188.07,188.8,283.9,181.73,PPLPHARMA
2025-11-18,195.47,195.88,191.6,192.13,283.9,181.73,PPLPHARMA
2025-11-17,194.99,197.16,192.65,195.47,283.9,181.73,PPLPHARMA
2025-11-14,193.84,197.99,193.1,194.03,293.65,181.73,PPLPHARMA
2025-11-13,195.9,196.6,193.4,193.84,303.15,181.73,PPLPHARMA
2025-11-12,195.0,196.59,193.67,195.64,307.9,181.73,PPLPHARMA
2025-11-11,195.4,196.43,192.9,194.22,307.9,181.73,PPLPHARMA
2025-11-10,199.25,199.85,194.4,195.45,307.9,181.73,PPLPHARMA
2025-11-07,198.6,201.08,196.0,199.15,307.9,181.73,PPLPHARMA
2025-11-06,196.5,209.25,196.5,199.33,307.9,181.73,PPLPHARMA
2025-11-04,201.49,202.74,198.24,200.42,307.9,181.73,PPLPHARMA
2025-11-03,199.76,203.74,199.76,201.56,307.9,181.73,PPLPHARMA
2025-10-31,202.2,202.9,198.82,199.63,307.9,181.73,PPLPHARMA
2025-10-30,204.13,204.44,200.1,201.9,307.9,181.73,PPLPHARMA
2025-10-29,203.15,205.9,202.5,204.13,307.9,181.73,PPLPHARMA
2025-10-28,203.1,205.28,200.28,202.1,307.9,181.73,PPLPHARMA
2025-10-27,203.45,204.76,202.65,203.14,307.9,181.73,PPLPHARMA
2025-10-24,204.9,206.5,201.77,202.37,307.9,181.73,PPLPHARMA
2025-10-23,198.99,204.95,197.0,203.6,307.9,181.73,PPLPHARMA
2025-10-21,196.89,198.4,195.4,197.28,307.9,181.73,PPLPHARMA
2025-10-20,193.5,196.23,191.58,195.56,307.9,181.73,PPLPHARMA
2025-10-17,194.9,195.36,191.13,192.64,307.9,181.73,PPLPHARMA
2025-10-16,194.1,195.4,193.22,194.16,307.9,181.73,PPLPHARMA
2025-10-15,192.26,194.81,191.58,193.5,307.9,181.73,PPLPHARMA
2025-10-14,197.58,198.19,190.72,192.26,307.9,181.73,PPLPHARMA
2025-10-13,201.52,201.85,197.0,197.58,307.9,181.73,PPLPHARMA
2025-10-10,197.67,206.6,195.5,201.69,307.9,181.73,PPLPHARMA
2025-10-09,195.0,198.64,195.0,197.67,307.9,181.73,PPLPHARMA
2025-10-08,194.61,197.79,193.32,193.8,307.9,181.73,PPLPHARMA
2025-10-07,196.51,198.0,193.75,195.56,307.9,181.73,PPLPHARMA
2025-10-06,198.99,199.26,193.7,195.61,307.9,181.73,PPLPHARMA
2025-10-03,199.06,201.59,196.15,198.47,307.9,181.73,PPLPHARMA
2025-10-01,191.07,200.2,190.52,199.04,307.9,181.73,PPLPHARMA
2025-09-30,192.48,192.9,188.9,191.16,307.9,181.73,PPLPHARMA
2025-09-29,189.9,193.3,187.94,191.64,307.9,181.73,PPLPHARMA
2025-09-26,195.06,195.06,187.0,187.73,307.9,181.73,PPLPHARMA
2025-09-25,199.1,201.0,194.8,195.2,307.9,181.73,PPLPHARMA
2025-09-24,200.45,200.93,195.8,196.34,307.9,181.73,PPLPHARMA
2025-09-23,202.6,203.42,199.51,200.03,307.9,181.73,PPLPHARMA
2025-09-22,208.34,208.67,201.6,202.71,307.9,181.73,PPLPHARMA
2025-09-19,203.33,209.44,203.33,208.28,307.9,181.73,PPLPHARMA
2025-09-18,204.07,204.4,201.65,203.33,307.9,181.73,PPLPHARMA
2025-09-17,206.39,207.14,201.0,203.13,307.9,181.73,PPLPHARMA
2025-09-16,204.9,205.94,202.21,205.63,307.9,181.73,PPLPHARMA
2025-09-15,201.71,205.71,198.81,203.69,307.9,181.73,PPLPHARMA
2025-09-12,201.0,201.96,199.65,200.67,307.9,181.73,PPLPHARMA
2025-09-11,199.2,203.35,199.05,200.16,307.9,181.73,PPLPHARMA
2025-09-10,200.02,202.34,198.7,199.2,307.9,181.73,PPLPHARMA
2025-09-09,199.93,199.99,197.53,198.17,307.9,181.73,PPLPHARMA
2025-09-08,202.0,202.0,198.5,198.94,307.9,181.73,PPLPHARMA
2025-09-05,200.39,202.49,199.76,200.65,307.9,181.73,PPLPHARMA
2025-09-04,203.4,203.5,197.2,198.98,307.9,181.73,PPLPHARMA
2025-09-03,186.99,202.2,186.99,201.16,307.9,181.73,PPLPHARMA
2025-09-02,188.74,189.27,185.73,186.71,307.9,181.62,PPLPHARMA
2025-09-01,183.45,188.2,182.0,187.81,307.9,181.62,PPLPHARMA
2025-08-29,186.51,188.17,182.8,183.44,307.9,181.62,PPLPHARMA
2025-08-28,189.6,190.33,186.01,186.3,307.9,181.62,PPLPHARMA
2025-08-26,192.8,192.8,188.5,189.36,307.9,181.62,PPLPHARMA
2025-08-25,194.85,197.2,192.33,192.82,307.9,181.62,PPLPHARMA
2025-08-22,192.5,195.1,192.43,192.75,307.9,181.62,PPLPHARMA
2025-08-21,190.0,196.25,190.0,192.05,307.9,181.62,PPLPHARMA
2025-08-20,194.59,194.99,191.63,191.79,307.9,181.62,PPLPHARMA
2025-08-19,192.87,195.64,192.24,194.21,307.9,181.5,PPLPHARMA
2025-08-18,192.0,194.47,190.38,192.87,307.9,181.5,PPLPHARMA
2025-08-14,192.88,193.79,189.55,190.04,307.9,181.5,PPLPHARMA
2025-08-13,191.0,193.9,190.45,192.13,307.9,181.5,PPLPHARMA
2025-08-12,190.24,191.24,188.6,189.41,307.9,180.5,PPLPHARMA
2025-08-11,190.07,191.11,188.0,189.94,307.9,179.54,PPLPHARMA
2025-08-08,191.86,196.52,189.1,190.07,307.9,169.01,PPLPHARMA
2025-08-07,186.31,192.8,186.1,191.85,307.9,166.05,PPLPHARMA
2025-08-06,193.5,193.52,185.12,186.33,307.9,166.0,PPLPHARMA
2025-08-05,195.25,195.64,193.08,193.53,307.9,166.0,PPLPHARMA
